D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
GPT-OSS_120B_baseline,7.0,2.0,10.0,9.0,1.0,9.0,2.0,2.0,10.0
LLAMA3_1_70B_baseline,8.0,0.0,8.0,8.0,0.0,9.0,2.0,0.0,9.0
LLAMA3_70B_baseline,10.0,0.0,10.0,8.0,0.0,10.0,2.0,0.0,10.0
PHI3_INSTRUCT_baseline,7.0,2.0,9.0,4.0,9.0,9.0,0.0,9.0,9.0
QWEN2_5VL_32B_baseline,4.0,0.0,10.0,4.0,0.0,9.0,2.0,1.0,10.0
QWEN2_5VL_72B_baseline,5.0,1.0,10.0,5.0,1.0,9.0,2.0,1.0,9.0
QWEN2_5VL_7B_baseline,7.0,0.0,9.0,3.0,0.0,9.0,0.0,0.0,9.0
QWEN3_32B_baseline,7.0,1.0,10.0,5.0,1.0,10.0,2.0,4.0,10.0
QWEN_7B_baseline,7.0,6.0,9.0,,6.0,9.0,3.0,2.0,10.0
GPT_4O_baseline,7.0,1.0,10.0,5.0,1.0,10.0,3.0,3.0,10.0
GPT-OSS_120B_chainofthought,8.0,2.0,10.0,9.0,1.0,10.0,3.0,3.0,10.0
LLAMA3_1_70B_chainofthought,8.0,0.0,10.0,8.0,0.0,10.0,7.0,0.0,9.0
LLAMA3_70B_chainofthought,8.0,0.0,10.0,8.0,0.0,10.0,2.0,2.0,10.0
PHI3_INSTRUCT_chainofthought,7.0,2.0,9.0,7.0,2.0,9.0,2.0,9.0,9.0
QWEN2_5VL_32B_chainofthought,7.0,1.0,10.0,4.0,2.0,9.0,2.0,2.0,10.0
QWEN2_5VL_72B_chainofthought,7.0,1.0,9.0,5.0,1.0,9.0,2.0,2.0,9.0
QWEN2_5VL_7B_chainofthought,7.0,0.0,9.0,3.0,0.0,9.0,0.0,2.0,9.0
QWEN3_32B_chainofthought,7.0,1.0,10.0,7.0,1.0,10.0,4.0,6.0,10.0
QWEN_7B_chainofthought,6.0,3.0,9.0,3.0,3.0,7.0,2.0,2.0,7.0
GPT_4O_chainofthought,7.0,1.0,10.0,5.0,1.0,9.0,1.0,3.0,10.0
GPT-OSS_120B_declarative,8.0,2.0,10.0,8.0,1.0,10.0,2.0,2.0,10.0
LLAMA3_1_70B_declarative,7.0,0.0,10.0,7.0,0.0,8.0,2.0,2.0,10.0
LLAMA3_70B_declarative,8.0,0.0,10.0,8.0,0.0,10.0,3.0,0.0,10.0
PHI3_INSTRUCT_declarative,7.0,9.0,9.0,8.0,8.0,9.0,2.0,2.0,9.0
QWEN2_5VL_32B_declarative,7.0,1.0,10.0,7.0,1.0,9.0,2.0,1.0,10.0
QWEN2_5VL_72B_declarative,7.0,1.0,9.0,6.0,1.0,9.0,2.0,1.0,9.0
QWEN2_5VL_7B_declarative,7.0,0.0,9.0,7.0,0.0,8.0,2.0,2.0,9.0
QWEN3_32B_declarative,7.0,1.0,10.0,7.0,1.0,10.0,3.0,2.0,10.0
QWEN_7B_declarative,5.0,3.0,9.0,2.0,2.0,9.0,2.0,2.0,6.0
GPT_4O_declarative,7.0,1.0,10.0,5.0,1.0,9.0,1.0,3.0,10.0
GPT-OSS_120B_explicit,7.0,1.0,10.0,8.0,1.0,10.0,3.0,2.0,10.0
LLAMA3_1_70B_explicit,7.0,0.0,10.0,8.0,0.0,9.0,2.0,0.0,9.0
LLAMA3_70B_explicit,8.0,0.0,10.0,8.0,0.0,10.0,2.0,0.0,10.0
PHI3_INSTRUCT_explicit,7.0,2.0,8.0,6.0,9.0,8.0,2.0,2.0,9.0
