D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
300070001,10,-1,10,10,0,-1,5,5,10
300070002,7,1,10,10,0,7,4,5,10
300070003,10,-1,10,10,1,7,5,5,10
300070004,10,0,10,10,0,9,7,6,10
300070005,9,0,10,10,1,10,4,1,10
300070006,5,1,10,8,5,10,8,7,10
300070007,-1,-1,10,10,0,7,-1,10,10
300070008,10,7,10,10,6,10,7,10,10
300070009,-1,-1,10,10,3,10,5,5,10
300070010,1,1,10,10,1,10,2,5,10
300070011,9,3,10,8,0,10,9,3,10
300070012,8,4,10,8,1,10,8,3,10
300070013,9,2,10,8,1,10,8,4,10
300070014,9,3,10,8,1,9,8,2,10
300070015,9,3,10,8,1,10,9,5,10
300070016,8,3,10,8,1,10,8,4,10
300070017,9,2,10,8,1,10,8,3,10
300070018,10,5,10,9,0,9,9,6,10
300070019,9,-1,10,9,1,8,10,7,10
300070020,10,1,10,8,1,9,9,2,10
300070021,1,1,10,10,1,10,-1,10,10
300070022,7,2,9,7,2,8,7,6,10
300070023,6,1,10,10,4,8,8,5,8
300070024,4,5,8,8,7,6,1,1,8
300070025,10,1,10,10,10,10,9,1,10
300070026,10,1,10,10,1,10,1,1,10
300070027,2,1,10,4,1,10,6,9,9
300070028,1,1,1,10,1,8,10,5,10
300070029,10,1,10,10,1,1,10,7,10
300070030,1,1,10,10,10,10,6,1,10
300070031,7,4,8,10,3,4,7,3,10
300070032,8,5,10,10,3,8,10,3,10
300070033,8,6,10,8,1,6,8,6,6
300070034,6,4,8,10,3,8,8,4,10
300070035,7,5,10,10,1,4,8,2,10
300070036,7,3,10,10,1,7,4,8,10
300070037,8,3,10,7,1,6,8,3,10
300070038,6,4,10,10,1,7,5,4,10
300070039,10,4,10,8,1,10,10,6,10
300070040,6,4,10,10,1,6,7,3,10
300070041,8,1,10,10,1,10,10,1,1
300070042,1,1,10,10,1,5,1,1,10
300070043,7,8,8,10,8,8,5,8,8
300070044,10,1,10,-1,-1,-1,10,10,10
300070045,1,1,10,7,0,7,8,9,10
300070046,10,1,10,10,1,10,1,1,10
300070047,7,-1,9,8,-1,7,7,5,8
300070048,6,6,7,6,3,5,6,5,8
300070049,6,-1,6,7,0,6,7,-1,8
300070050,5,5,10,10,1,6,6,4,10
300070051,6,1,10,7,3,8,5,5,10
300070052,1,10,10,6,0,10,10,1,10
300070053,10,0,10,9,1,8,5,4,10
300070054,8,3,10,9,1,10,9,7,10
300070055,8,1,10,8,1,10,9,2,10
300070056,8,1,10,7,1,9,7,3,10
300070057,9,1,10,9,1,8,8,3,10
300070058,7,5,10,10,1,9,7,5,10
300070059,7,5,10,-1,2,-1,7,2,10
300070060,5,5,7,6,9,8,7,5,5
300070061,8,1,10,7,1,8,8,7,10
300070062,7,1,10,9,3,8,8,5,10
300070063,9,1,10,10,1,10,4,2,10
300070064,8,1,10,9,1,9,10,7,10
300070065,7,1,10,7,1,9,7,2,10
300070066,6,2,10,7,5,7,8,9,10
300070067,8,0,10,8,0,9,5,3,10
300070068,8,1,10,4,1,7,9,1,10
300070069,8,1,10,6,1,10,5,3,10
300070070,8,1,10,8,1,9,4,5,10
300070071,10,1,10,10,1,8,5,7,10
300070072,8,1,10,10,1,10,5,8,10
300070073,7,3,10,10,1,8,5,7,10
300070074,10,3,10,10,1,5,-1,10,10
300070075,10,7,10,10,1,5,-1,-1,10
300070076,10,0,10,10,1,10,1,10,10
300070077,10,-1,10,10,1,-1,-1,10,10
300070078,10,1,10,10,1,9,5,5,10
300070079,10,1,10,10,1,10,-1,3,10
300070080,10,1,10,10,1,10,1,3,10
300070081,5,1,10,10,1,10,5,5,10
300070082,5,5,10,8,1,10,1,8,10
300070083,7,1,10,10,4,10,8,7,10
300070084,5,5,10,10,1,10,5,5,10
