D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
300070001,10.0,-1.0,10.0,10.0,0.0,-1.0,5.0,5.0,10.0
300070002,7.0,1.0,10.0,10.0,0.0,7.0,4.0,5.0,10.0
300070003,10.0,-1.0,10.0,10.0,1.0,7.0,5.0,5.0,10.0
300070004,10.0,0.0,10.0,10.0,0.0,9.0,7.0,6.0,10.0
300070005,9.0,0.0,10.0,10.0,1.0,10.0,4.0,1.0,10.0
300070006,5.0,1.0,10.0,8.0,5.0,10.0,8.0,7.0,10.0
300070007,-1.0,-1.0,10.0,10.0,0.0,7.0,-1.0,10.0,10.0
300070008,10.0,7.0,10.0,10.0,6.0,10.0,7.0,10.0,10.0
300070009,-1.0,-1.0,10.0,10.0,3.0,10.0,5.0,5.0,10.0
300070010,1.0,1.0,10.0,10.0,1.0,10.0,2.0,5.0,10.0
300070011,9.0,3.0,10.0,8.0,0.0,10.0,9.0,3.0,10.0
300070012,8.0,4.0,10.0,8.0,1.0,10.0,8.0,3.0,10.0
300070013,9.0,2.0,10.0,8.0,1.0,10.0,8.0,4.0,10.0
300070014,9.0,3.0,10.0,8.0,1.0,9.0,8.0,2.0,10.0
300070015,9.0,3.0,10.0,8.0,1.0,10.0,9.0,5.0,10.0
300070016,8.0,3.0,10.0,8.0,1.0,10.0,8.0,4.0,10.0
300070017,9.0,2.0,10.0,8.0,1.0,10.0,8.0,3.0,10.0
300070018,10.0,5.0,10.0,9.0,0.0,9.0,9.0,6.0,10.0
300070019,9.0,-1.0,10.0,9.0,1.0,8.0,10.0,7.0,10.0
300070020,10.0,1.0,10.0,8.0,1.0,9.0,9.0,2.0,10.0
300070021,1.0,1.0,10.0,10.0,1.0,10.0,-1.0,10.0,10.0
300070022,7.0,2.0,9.0,7.0,2.0,8.0,7.0,6.0,10.0
300070023,6.0,1.0,10.0,10.0,4.0,8.0,8.0,5.0,8.0
300070024,4.0,5.0,8.0,8.0,7.0,6.0,1.0,1.0,8.0
300070025,10.0,1.0,10.0,10.0,10.0,10.0,9.0,1.0,10.0
300070026,10.0,1.0,10.0,10.0,1.0,10.0,1.0,1.0,10.0
300070027,2.0,1.0,10.0,4.0,1.0,10.0,6.0,9.0,9.0
300070028,1.0,1.0,1.0,10.0,1.0,8.0,10.0,5.0,10.0
300070029,10.0,1.0,10.0,10.0,1.0,1.0,10.0,7.0,10.0
300070030,1.0,1.0,10.0,10.0,10.0,10.0,6.0,1.0,10.0
300070031,7.0,4.0,8.0,10.0,3.0,4.0,7.0,3.0,10.0
300070032,8.0,5.0,10.0,10.0,3.0,8.0,10.0,3.0,10.0
