D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
392070001,7,1,10,10,1,10,1,1,10
392070002,10,1,10,8,1,10,5,1,10
392070003,7,1,5,9,1,7,1,1,5
392070004,8,1,10,10,1,-1,2,1,10
392070005,-1,1,8,6,-1,-1,7,-1,1
392070006,5,5,5,5,5,5,5,5,5
392070007,5,1,5,1,1,5,1,1,1
392070008,5,1,10,-1,10,1,10,-1,10
392070009,10,5,5,5,1,5,5,5,10
392070010,8,1,10,9,1,10,5,1,10
392070011,7,1,6,10,2,9,5,1,10
392070012,8,2,6,7,3,5,2,5,6
392070013,6,4,6,5,5,5,5,5,5
392070014,10,1,10,10,1,10,6,-1,10
392070015,8,1,10,8,1,10,1,1,10
392070016,10,1,10,10,1,10,-1,-1,10
392070017,7,1,-1,10,1,10,5,5,10
392070018,8,8,8,8,3,8,6,2,8
392070019,5,2,10,8,1,6,4,3,6
392070020,9,1,9,6,1,6,3,-1,10
392070021,-1,1,10,5,1,10,5,1,10
392070022,10,1,10,8,1,10,5,1,10
392070023,6,3,7,8,1,8,4,3,9
392070024,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070025,7,2,7,7,2,-1,-1,-1,-1
392070026,7,5,5,7,3,3,6,5,9
392070027,7,1,5,-2,1,-1,3,6,9
392070028,10,5,-1,10,-1,-1,-1,-1,10
392070029,3,1,9,4,2,8,10,3,10
392070030,-1,-1,7,7,3,-1,-1,-1,-1
392070031,9,1,9,7,1,9,2,-1,10
392070032,6,1,10,3,1,-1,7,-1,10
392070033,10,1,10,10,1,-1,-1,-1,10
392070034,10,1,10,7,1,10,1,-1,10
392070035,5,1,8,6,3,5,3,4,9
392070036,8,1,10,7,1,6,6,1,6
392070037,4,1,8,6,1,9,6,3,9
392070038,-1,1,10,10,1,10,8,2,10
392070039,8,3,6,6,3,7,8,3,10
392070040,7,1,10,10,1,10,1,1,10
392070041,10,1,1,10,1,10,10,1,1
392070042,6,2,10,9,1,8,5,-1,10
392070043,10,1,10,1,1,10,1,1,5
392070044,7,1,8,3,1,10,3,-1,10
392070045,2,1,8,6,1,5,1,1,10
392070046,3,1,10,2,1,-1,2,2,10
392070047,5,-1,-1,5,-1,-1,-1,-1,-1
392070048,10,1,10,10,1,10,7,1,10
392070049,5,1,1,10,5,10,1,1,8
392070050,-1,1,10,10,1,10,-1,1,10
392070051,1,1,1,6,5,-1,-1,-1,8
392070052,7,1,9,5,1,8,2,2,10
392070053,-2,-2,-2,-2,-2,-2,-2,-2,-2
392070054,3,1,9,2,1,10,3,1,10
392070055,7,1,10,10,1,1,3,1,7
392070056,6,4,4,5,3,3,5,4,5
392070057,7,1,10,7,1,10,1,1,10
392070058,-1,1,-1,10,1,-1,1,1,10
392070059,8,1,10,8,1,10,3,3,10
392070060,7,2,7,3,3,7,5,6,6
392070061,5,1,10,5,1,10,1,1,10
392070062,4,9,9,5,2,8,5,5,5
392070063,8,5,8,8,1,8,5,-1,10
392070064,6,1,10,6,1,10,10,1,10
392070065,8,1,8,10,1,8,4,1,10
392070066,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070067,8,1,10,-1,1,10,8,1,10
392070068,6,-1,10,1,1,6,2,5,10
392070069,10,1,10,10,1,10,1,-1,10
392070070,8,1,10,8,1,10,3,1,10
392070071,9,1,-2,8,1,2,2,-1,1
392070072,7,1,10,10,-1,10,7,-1,10
392070073,3,1,6,4,1,6,2,5,7
392070074,3,1,1,1,1,1,3,1,3
392070075,6,2,-1,8,1,-1,3,-1,10
392070076,5,1,9,3,1,10,1,1,10
392070077,5,1,8,5,1,10,1,1,6
392070078,9,2,10,7,1,8,7,-1,8
392070079,-1,-1,-1,10,-1,-1,8,-1,10
392070080,4,1,6,5,3,6,2,3,7
392070081,-1,-1,-1,-1,-1,-1,-1,-1,1
392070082,7,1,9,7,2,4,6,4,10
392070083,-1,-1,-1,-1,-1,-1,-1,-1,10
392070084,8,-1,8,9,1,9,9,-1,9
392070085,6,1,7,7,1,8,1,3,10
392070086,3,1,10,7,1,10,3,1,10
392070087,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070088,-1,-1,-1,-1,-1,-1,-1,-1,-1
392070089,6,3,7,6,1,5,3,5,5
392070090,6,1,10,10,1,1,1,1,10
