D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
458070001,1,1,1,1,1,1,1,1,1
458070002,5,7,6,5,7,6,5,6,7
458070003,9,9,8,8,8,9,8,7,7
458070004,8,8,8,9,8,7,8,8,8
458070005,10,10,10,10,10,10,10,10,10
458070006,5,5,5,5,5,5,5,5,5
458070007,7,7,5,4,7,5,5,7,7
458070008,4,3,4,4,3,3,3,4,4
458070009,5,8,10,5,10,5,5,10,10
458070010,6,6,5,6,6,6,6,5,6
458070011,6,5,6,6,5,-1,-1,-1,-1
458070012,7,6,6,7,6,7,6,6,6
458070013,10,7,5,5,5,5,10,10,5
458070014,5,7,7,7,4,4,7,7,7
458070015,6,6,6,6,6,6,6,6,6
458070016,8,5,7,7,5,5,7,8,5
458070017,-1,-1,-1,-1,-1,-1,-1,-1,-1
458070018,-1,-1,-1,-1,-1,-1,-1,-1,-1
458070019,4,5,4,6,6,5,5,4,5
458070020,8,7,7,7,3,7,8,5,6
458070021,10,7,9,7,4,8,8,3,8
458070022,10,10,10,5,7,10,10,10,10
458070023,8,9,9,8,2,8,9,9,8
458070024,-1,-1,-1,-1,-1,-1,-1,-1,-1
458070025,10,10,10,10,10,10,10,10,10
458070026,5,7,10,5,10,10,10,10,9
458070027,10,9,10,10,10,10,10,10,10
458070028,10,5,5,5,6,5,5,7,4
458070029,10,7,5,3,2,1,1,10,10
458070030,6,6,5,6,5,6,5,6,5
458070031,9,9,9,8,9,8,9,8,10
458070032,1,1,1,5,1,1,1,5,5
458070033,-1,-1,-1,-1,-1,-1,-1,-1,-1
458070034,5,5,5,5,5,5,5,5,5
458070035,1,5,5,5,5,5,5,5,5
458070036,6,5,5,5,6,5,5,6,5
458070037,6,4,4,1,1,4,1,1,1
458070038,1,1,1,10,1,1,1,1,1
458070039,5,5,10,2,2,5,8,5,10
458070040,10,9,10,10,1,10,10,10,10
458070041,1,1,1,5,5,5,5,5,-1
458070042,9,9,9,9,3,9,9,9,9
458070043,7,7,8,6,6,6,8,7,6
458070044,6,6,6,5,4,6,6,6,6
458070045,10,8,8,5,3,8,8,9,9
458070046,8,9,8,5,5,7,7,9,5
458070047,6,7,7,6,6,6,7,7,7
458070048,5,5,6,5,5,5,5,5,5
458070049,1,2,2,1,2,2,1,2,2
458070050,1,1,1,2,2,2,1,1,1
458070051,1,1,3,4,4,3,2,1,1
458070052,2,1,1,1,1,2,3,1,3
458070053,10,8,8,9,1,8,9,10,9
458070054,10,10,10,10,1,10,10,10,10
458070055,4,4,3,5,4,3,-1,-1,-1
458070056,9,10,10,10,3,2,9,10,3
458070057,10,8,10,10,1,7,6,9,2
458070058,10,10,10,10,10,10,10,10,10
458070059,8,9,9,9,7,10,9,9,7
458070060,7,5,5,6,6,5,7,6,5
458070061,10,8,8,8,9,9,7,7,7
458070062,8,8,7,8,8,8,7,7,7
458070063,6,6,7,5,6,5,6,5,6
458070064,2,2,2,2,2,2,2,2,2
458070065,9,3,3,3,7,-1,-1,-1,-1
458070066,9,4,3,4,5,4,8,6,6
458070067,10,10,10,10,10,10,10,10,10
458070068,6,7,8,7,7,9,9,9,9
458070069,6,5,7,3,4,8,7,7,7
458070070,5,5,8,5,1,10,5,7,10
458070071,7,3,10,8,2,10,3,10,10
458070072,5,5,10,6,8,8,7,9,10
458070073,4,6,5,4,7,5,6,3,6
458070074,6,5,2,4,6,4,5,4,6
458070075,6,-1,5,6,6,6,7,6,8
458070076,10,9,10,9,2,10,10,10,10
458070077,1,8,10,8,6,5,9,9,9
458070078,7,8,7,8,8,6,8,8,9
458070079,8,9,7,8,9,3,9,8,8
458070080,8,8,7,7,8,8,8,7,7
458070081,7,8,7,4,6,8,7,7,3
458070082,3,6,6,3,8,5,5,4,6
458070083,-1,-1,-1,-1,-1,-1,-1,-1,-1
458070084,1,2,10,5,1,8,2,5,10
458070085,7,1,10,10,4,10,4,4,9
458070086,5,5,7,5,4,5,5,6,5
458070087,6,7,7,7,7,6,5,5,5
458070088,4,2,10,2,1,2,1,8,10
458070089,3,3,10,3,2,-1,6,6,8
458070090,7,2,10,8,2,8,8,9,9
458070091,1,5,10,8,6,7,8,10,10
458070092,1,6,10,6,10,9,7,9,10
458070093,8,8,7,4,4,7,7,7,8
458070094,7,6,10,5,6,9,8,9,10
458070095,5,5,6,5,5,5,6,5,5
458070096,5,5,5,5,5,5,5,5,5
458070097,9,5,10,7,5,7,7,8,10
458070098,5,5,5,5,5,5,5,5,5
458070099,5,5,5,5,5,5,5,5,5
458070100,8,8,10,7,6,8,8,9,10
458070101,6,5,10,6,7,7,7,7,10
458070102,5,5,10,5,5,10,9,10,10
458070103,8,7,9,7,7,9,9,7,7
458070104,8,8,7,8,-1,7,8,8,7
458070105,8,8,6,9,6,6,6,7,7
458070106,5,5,5,5,5,5,5,5,5
458070107,10,10,10,10,10,10,10,10,10
458070108,6,5,8,5,5,5,6,5,5
458070109,5,5,6,5,5,5,6,5,5
458070110,5,5,7,7,6,6,7,6,5
458070111,6,7,7,6,7,7,6,7,6
458070112,7,5,5,8,5,5,5,9,5
458070113,10,10,10,10,10,10,10,10,10
458070114,6,5,5,4,7,5,5,6,4
458070115,8,7,8,8,7,7,9,8,9
458070116,4,1,10,8,5,4,5,5,10
458070117,6,6,5,6,7,6,7,7,7
458070118,5,1,1,5,5,5,6,6,6
458070119,10,10,10,10,10,10,10,10,10
458070120,9,9,9,9,9,9,9,9,9
458070121,5,5,10,5,1,8,5,8,10
458070122,5,5,10,7,1,8,5,7,10
458070123,8,7,9,5,6,7,7,5,8
458070124,10,10,10,10,10,10,10,10,10
458070125,6,5,5,5,6,5,5,5,5
458070126,5,5,5,5,5,5,5,5,5
458070127,5,5,5,5,5,5,5,5,5
458070128,5,5,7,6,5,5,5,7,5
458070129,8,7,6,7,5,5,6,5,5
458070130,8,8,7,9,7,9,9,7,6
458070131,9,8,7,7,7,8,9,9,8
458070132,10,6,9,9,9,9,9,9,5
458070133,7,6,5,5,7,7,6,7,8
458070134,5,3,7,7,4,6,5,4,4
458070135,8,3,6,7,5,6,6,7,6
458070136,5,5,5,5,5,5,5,5,5
458070137,2,1,10,2,1,9,2,6,10
458070138,3,3,9,2,1,3,3,9,9
458070139,1,1,10,1,1,10,1,5,10
458070140,3,1,10,5,1,9,5,-1,10
458070141,5,2,10,5,1,5,5,7,10
458070142,8,6,7,6,7,6,6,5,5
458070143,10,10,10,10,10,10,10,10,10
458070144,6,6,5,6,7,6,5,5,6
458070145,9,8,8,8,8,8,8,8,8
458070146,9,9,9,9,9,9,9,9,9
458070147,4,5,5,3,4,3,4,3,3
458070148,10,10,10,10,10,10,10,10,10
458070149,6,7,6,6,7,6,7,6,7
458070150,1,4,10,10,1,10,4,9,9
458070151,8,8,9,7,8,8,9,8,8
