D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
458070001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458070002,5.0,7.0,6.0,5.0,7.0,6.0,5.0,6.0,7.0
458070003,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0
458070004,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0
458070005,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
458070006,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
458070007,7.0,7.0,5.0,4.0,7.0,5.0,5.0,7.0,7.0
458070008,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
458070009,5.0,8.0,10.0,5.0,10.0,5.0,5.0,10.0,10.0
458070010,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0
458070011,6.0,5.0,6.0,6.0,5.0,-1.0,-1.0,-1.0,-1.0
458070012,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0
458070013,10.0,7.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0
458070014,5.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0
458070015,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
458070016,8.0,5.0,7.0,7.0,5.0,5.0,7.0,8.0,5.0
458070017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
458070018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
458070019,4.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0
458070020,8.0,7.0,7.0,7.0,3.0,7.0,8.0,5.0,6.0
458070021,10.0,7.0,9.0,7.0,4.0,8.0,8.0,3.0,8.0
458070022,10.0,10.0,10.0,5.0,7.0,10.0,10.0,10.0,10.0
458070023,8.0,9.0,9.0,8.0,2.0,8.0,9.0,9.0,8.0
458070024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
458070025,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
458070026,5.0,7.0,10.0,5.0,10.0,10.0,10.0,10.0,9.0
458070027,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
458070028,10.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,4.0
458070029,10.0,7.0,5.0,3.0,2.0,1.0,1.0,10.0,10.0
458070030,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0
458070031,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0
458070032,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0
458070033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
458070034,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
458070035,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
458070036,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0
458070037,6.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0
458070038,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
458070039,5.0,5.0,10.0,2.0,2.0,5.0,8.0,5.0,10.0
458070040,10.0,9.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0
458070041,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,-1.0
458070042,9.0,9.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0
458070043,7.0,7.0,8.0,6.0,6.0,6.0,8.0,7.0,6.0
458070044,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0
458070045,10.0,8.0,8.0,5.0,3.0,8.0,8.0,9.0,9.0
458070046,8.0,9.0,8.0,5.0,5.0,7.0,7.0,9.0,5.0
458070047,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0
458070048,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
458070049,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
458070050,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
458070051,1.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0
458070052,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
458070053,10.0,8.0,8.0,9.0,1.0,8.0,9.0,10.0,9.0
458070054,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0
458070055,4.0,4.0,3.0,5.0,4.0,3.0,-1.0,-1.0,-1.0
458070056,9.0,10.0,10.0,10.0,3.0,2.0,9.0,10.0,3.0
458070057,10.0,8.0,10.0,10.0,1.0,7.0,6.0,9.0,2.0
458070058,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
458070059,8.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,7.0
458070060,7.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0
458070061,10.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0
458070062,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
458070063,6.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0
