D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
840071001,6,6,3,3,4,5,5,4,6
840071002,5,5,5,-2,5,5,5,-2,5
840071003,10,10,10,10,10,1,10,10,10
840071004,1,1,10,1,1,5,10,1,10
840071005,5,5,5,5,5,5,5,5,5
840071006,1,1,1,1,1,1,1,1,1
840071007,10,1,5,10,5,10,7,1,10
840071008,5,6,5,1,6,6,1,1,1
840071009,-2,-2,-2,-2,-2,-2,-2,-2,-2
840071010,1,1,10,10,10,10,10,10,10
840071011,-1,-1,1,-1,1,10,1,1,1
840071012,10,10,10,10,1,10,1,1,1
840071013,9,6,4,7,3,4,8,7,8
840071014,10,7,10,10,7,10,10,1,10
840071015,9,2,7,6,7,8,5,5,7
840071016,3,2,5,5,8,1,9,4,6
840071017,8,5,8,8,5,8,8,8,8
840071018,5,5,10,10,10,10,5,5,10
840071019,10,4,10,5,1,10,10,1,10
840071020,5,5,5,5,5,5,5,5,8
840071021,7,7,10,9,9,9,8,8,10
840071022,6,6,7,2,4,7,6,8,4
840071023,10,5,10,10,8,7,5,10,10
840071024,6,7,7,6,7,4,5,5,2
840071025,7,3,3,2,8,8,6,5,4
840071026,1,1,10,1,1,10,1,5,10
840071027,5,4,5,5,4,5,4,5,8
840071028,6,3,5,3,5,3,3,5,5
840071029,5,8,7,6,5,5,6,7,6
840071030,7,9,8,6,6,6,10,7,5
840071031,6,4,10,7,4,6,3,4,5
840071032,4,4,4,6,5,5,5,5,5
840071033,5,5,5,5,5,5,5,5,5
840071034,6,2,5,5,5,5,5,5,5
840071035,10,2,4,6,10,7,1,5,10
840071036,10,5,6,7,6,7,8,2,10
840071037,10,1,10,10,5,5,10,5,5
840071038,4,5,5,4,6,6,3,4,4
840071039,6,5,7,5,7,5,1,4,5
840071040,10,1,10,10,6,5,9,7,8
840071041,5,5,10,5,5,5,5,5,5
840071042,5,5,5,5,5,5,5,5,5
840071043,1,1,10,1,1,10,1,10,10
840071044,2,5,5,5,5,5,5,5,5
840071045,5,5,6,5,5,5,5,5,5
840071046,8,1,10,6,4,10,4,3,10
840071047,5,5,5,5,5,5,6,5,10
840071048,5,5,5,5,5,5,5,5,5
840071049,6,6,7,9,9,8,9,7,8
840071050,6,1,10,8,1,10,1,9,9
840071051,5,5,5,5,5,5,5,10,5
840071052,9,10,10,10,7,10,5,10,10
840071053,2,4,3,3,8,3,4,5,4
840071054,5,5,5,5,5,5,5,5,5
840071055,5,5,5,5,5,5,5,5,5
840071056,6,6,4,4,7,2,10,5,10
