D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
51070001,5,5,5,1,5,1,1,4
51070002,5,1,5,5,5,5,5,3
51070003,1,1,5,1,5,5,5,1
51070004,5,2,5,1,5,1,1,2
51070005,5,5,5,3,5,1,1,3
51070006,5,1,5,5,5,1,5,2
51070007,5,1,1,1,5,3,5,1
51070008,5,5,5,1,5,1,1,5
51070009,5,1,5,1,5,2,5,2
51070010,5,3,4,1,1,1,1,1
51070011,5,1,5,1,1,1,1,2
51070012,1,1,5,5,5,2,5,1
51070013,5,2,5,1,5,1,1,2
51070014,5,1,5,1,4,1,1,4
51070015,5,2,2,1,2,1,1,1
51070016,5,2,5,5,5,1,2,1
51070017,5,1,5,1,5,5,5,4
51070018,3,1,5,1,5,1,1,5
51070019,2,1,5,1,5,5,1,2
51070020,5,2,5,1,2,1,1,1
51070021,5,1,1,5,5,5,5,5
51070022,5,1,5,5,5,5,5,1
51070023,3,2,3,1,2,1,1,1
51070024,2,1,5,1,5,5,5,5
51070025,5,1,5,1,1,2,1,1
51070026,5,1,5,1,5,1,1,1
51070027,5,2,5,1,5,1,1,5
51070028,5,1,5,1,5,1,1,2
51070029,5,5,5,1,5,1,5,4
51070030,5,1,5,1,5,1,1,1
51070031,5,1,5,1,5,5,5,5
51070032,5,1,4,1,4,1,1,3
51070033,5,2,5,1,5,1,5,5
51070034,5,1,1,5,5,5,5,5
51070035,5,1,5,1,5,1,1,1
51070036,5,5,5,1,5,1,1,5
51070037,5,2,5,1,5,1,1,3
51070038,5,1,1,5,5,5,5,2
51070039,5,2,5,1,3,4,1,2
51070040,5,1,5,3,5,5,5,2
51070041,2,1,1,1,4,1,2,1
51070042,2,1,5,1,5,1,1,2
51070043,5,1,5,1,4,1,1,1
51070044,1,1,5,1,5,1,1,1
51070045,5,1,5,1,5,1,1,1
51070046,5,1,5,5,5,5,5,2
51070047,5,1,5,5,5,1,5,1
51070048,5,1,1,1,1,1,1,1
51070049,5,1,5,1,5,1,1,1
51070050,5,1,5,1,5,2,5,2
51070051,5,1,5,1,3,1,1,1
51070052,5,2,5,5,5,5,2,2
51070053,5,2,5,1,5,1,1,3
51070054,5,1,5,1,5,5,1,1
51070055,5,2,5,1,5,2,2,1
51070056,5,1,5,1,1,1,1,2
51070057,5,1,5,5,5,5,5,1
51070058,5,1,2,1,5,2,2,1
51070059,5,2,5,1,5,1,1,2
51070060,5,5,5,1,5,1,1,1
51070061,5,1,5,5,5,5,5,2
51070062,1,1,4,1,1,1,1,1
51070063,4,2,1,1,5,1,1,1
51070064,5,1,5,1,5,5,5,2
51070065,3,1,5,1,5,1,1,1
51070066,2,5,5,1,5,1,1,2
51070067,5,1,5,1,5,1,5,1
51070068,5,3,5,1,5,1,1,5
51070069,5,1,5,1,5,1,1,2
51070070,5,1,5,1,5,1,1,1
51070071,5,1,5,5,5,5,5,1
51070072,5,1,5,5,2,2,2,2
51070073,5,1,1,5,5,5,5,3
51070074,5,5,5,5,5,1,1,1
51070075,5,1,5,5,5,5,5,2
51070076,5,2,5,5,5,5,5,2
51070077,5,2,5,1,1,1,1,1
51070078,5,2,5,1,1,1,1,1
51070079,1,1,5,1,3,1,1,1
51070080,3,1,5,1,5,5,5,1
51070081,5,5,5,5,5,5,1,1
51070082,5,2,5,1,2,1,1,1
51070083,5,1,5,5,5,5,5,5
51070084,5,2,5,1,5,2,1,5
51070085,5,5,5,1,5,1,1,5
51070086,5,1,5,1,5,5,1,2
51070087,5,1,5,1,5,2,2,2
51070088,5,5,5,1,5,1,1,2
51070089,5,1,1,1,5,1,1,1
51070090,4,1,5,1,2,1,1,1
51070091,5,2,5,1,2,1,1,2
51070092,1,1,5,1,5,2,1,2
51070093,2,1,3,5,5,5,5,1
51070094,3,1,3,1,1,1,1,1
51070095,5,1,5,1,1,1,1,2
51070096,5,2,5,1,5,1,1,1
51070097,5,1,5,1,5,1,1,1
51070098,5,1,5,1,5,1,1,1
51070099,1,1,5,1,1,1,1,1
51070100,1,1,5,1,5,1,1,1
51070101,5,1,5,5,5,5,5,2
51070102,5,1,4,1,4,1,1,1
51070103,5,1,5,2,5,2,2,2
51070104,5,3,5,1,5,1,1,1
51070105,2,1,5,1,5,1,5,1
51070106,5,1,5,1,5,1,1,1
51070107,5,1,5,5,5,5,5,2
51070108,5,1,5,5,5,5,5,5
51070109,5,3,5,1,1,1,1,1
51070110,5,1,5,1,1,1,1,2
51070111,5,5,5,1,3,1,1,1
51070112,5,1,1,1,3,1,1,2
51070113,5,1,5,1,5,1,5,2
51070114,5,1,5,1,5,1,1,2
51070115,5,2,2,1,2,1,1,5
51070116,5,1,5,1,5,1,1,3
51070117,5,1,5,5,5,5,5,5
51070118,5,1,5,1,5,5,5,2
51070119,5,1,5,1,5,1,1,5
51070120,1,1,5,1,2,2,2,2
51070121,5,1,5,1,5,1,4,1
51070122,4,5,4,2,1,3,2,3
51070123,5,1,5,1,3,1,4,5
51070124,2,1,1,1,4,5,5,5
51070125,2,1,5,1,2,1,5,1
51070126,5,1,5,1,5,1,1,1
51070127,5,2,5,1,5,1,1,1
51070128,5,1,5,1,1,1,1,1
51070129,5,1,5,1,4,1,1,1
51070130,5,1,4,1,1,1,1,1
51070131,5,2,5,1,5,1,1,5
51070132,2,1,5,1,5,1,1,1
51070133,5,1,1,1,2,1,1,1
51070134,5,1,5,1,5,2,5,2
51070135,5,1,5,1,5,1,1,1
51070136,5,1,5,5,5,5,5,5
51070137,2,1,5,1,2,1,1,1
51070138,5,1,2,1,5,2,5,1
51070139,5,1,5,1,5,1,1,2
51070140,5,5,5,1,2,1,1,1
51070141,5,5,5,1,5,1,1,1
51070142,5,4,5,1,4,1,1,3
51070143,5,5,5,1,5,1,1,1
51070144,5,2,5,1,1,1,1,1
51070145,5,2,5,5,5,1,1,2
51070146,4,1,1,1,5,1,1,1
51070147,3,5,5,1,1,1,1,1
51070148,5,1,5,5,5,5,5,2
51070149,1,1,5,1,3,1,1,1
51070150,5,1,1,1,5,1,1,1
51070151,2,1,5,1,5,1,1,1
51070152,5,1,5,3,5,2,2,5
51070153,5,1,5,1,5,1,1,1
51070154,5,3,5,1,5,1,1,4
51070155,5,4,5,1,5,1,1,1
51070156,5,5,5,4,2,1,3,1
51070157,5,1,5,1,5,1,1,1
51070158,5,1,5,5,5,5,5,5
51070159,4,1,5,1,5,2,5,3
51070160,4,1,1,1,5,1,2,1
51070161,3,1,5,1,4,1,1,1
51070162,5,1,5,1,1,1,1,1
51070163,5,1,5,1,5,1,1,1
51070164,2,1,4,4,5,5,5,1
51070165,5,5,5,1,5,1,2,5
51070166,5,2,1,2,3,2,1,1
51070167,5,3,4,2,3,1,1,1
51070168,5,4,5,1,4,1,1,1
51070169,5,1,5,1,5,1,1,1
51070170,5,2,5,1,-1,1,5,2
51070171,5,1,5,1,5,1,1,5
51070172,5,1,1,1,5,1,1,1
51070173,5,2,5,1,5,1,1,2
51070174,5,1,5,1,5,1,1,1
51070175,5,1,1,5,5,1,5,1
51070176,5,1,5,2,5,1,5,2
51070177,5,1,1,1,5,1,5,1
51070178,5,1,5,5,5,5,2,1
51070179,5,2,5,1,5,2,5,2
51070180,5,1,5,2,5,1,2,1
51070181,3,5,5,1,2,1,1,2
51070182,5,1,1,1,5,1,1,1
51070183,5,2,5,1,5,5,1,1
51070184,5,2,5,2,3,1,5,2
51070185,3,1,5,4,5,5,5,3
51070186,1,1,5,1,5,1,1,3
51070187,2,1,3,5,5,5,5,2
51070188,5,1,5,4,5,5,1,3
51070189,5,4,1,1,5,2,1,1
51070190,5,1,4,2,5,1,1,3
51070191,5,1,5,1,5,1,1,1
51070192,5,1,5,1,5,1,1,1
51070193,5,4,5,1,5,1,1,1
51070194,5,1,5,1,5,1,1,5
51070195,2,2,2,1,2,1,1,1
51070196,5,5,5,1,5,1,1,5
51070197,3,2,5,1,3,1,1,1
51070198,5,1,5,1,4,1,1,1
51070199,5,1,1,1,3,1,1,1
51070200,5,1,5,1,2,1,1,1
51070201,5,2,5,1,3,2,2,1
51070202,5,1,3,1,1,1,5,1
51070203,3,1,5,1,4,3,1,2
51070204,5,1,4,1,1,1,1,2
51070205,4,1,5,1,5,2,2,1
51070206,5,1,5,1,5,1,1,1
51070207,5,1,5,1,2,1,1,1
51070208,5,2,5,1,5,1,1,5
51070209,5,2,5,5,5,5,5,5
51070210,5,1,5,1,5,1,1,2
51070211,5,5,5,1,5,1,5,2
51070212,5,1,1,1,1,1,1,5
51070213,5,5,5,4,5,1,1,2
51070214,5,1,1,3,3,1,1,2
51070215,5,1,5,5,5,5,1,2
51070216,5,1,1,5,5,5,5,5
51070217,5,5,5,1,5,5,1,1
51070218,5,2,2,5,5,1,1,5
51070219,5,1,5,5,5,5,1,5
51070220,5,1,5,3,5,5,5,1
51070221,5,1,1,3,5,1,1,3
51070222,5,1,1,1,5,4,1,1
51070223,3,1,5,1,1,1,1,1
51070224,5,1,5,1,1,1,1,1
51070225,-2,1,5,5,5,5,5,5
51070226,5,1,5,1,5,5,5,1
51070227,5,5,5,1,5,1,1,1
51070228,5,5,5,2,5,2,2,2
51070229,3,1,5,1,5,1,5,2
51070230,5,1,5,1,5,1,1,1
51070231,5,1,5,5,5,5,5,4
51070232,5,1,1,1,5,1,1,1
51070233,5,1,5,5,5,5,5,5
51070234,3,1,2,1,1,1,1,2
51070235,5,1,5,5,5,5,5,5
51070236,5,5,5,1,1,1,5,1
51070237,5,2,5,1,5,1,1,4
51070238,5,1,5,1,5,1,1,1
51070239,4,1,5,1,5,1,1,1
51070240,5,1,5,1,4,1,1,1
51070241,5,1,5,1,5,1,1,1
51070242,5,1,5,1,5,1,1,1
51070243,3,5,5,1,5,1,1,1
51070244,5,1,5,1,5,1,1,1
51070245,5,1,5,1,5,1,1,1
51070246,5,1,5,1,4,1,2,1
51070247,5,4,2,1,4,1,1,1
51070248,5,4,5,1,4,1,1,1
51070249,5,1,5,1,5,5,5,1
51070250,5,5,5,1,1,1,1,1
51070251,5,1,5,5,5,1,5,4
51070252,5,3,5,1,5,1,1,2
51070253,5,1,5,1,5,1,1,2
51070254,5,1,5,1,5,1,1,1
51070255,5,1,5,1,5,5,1,2
51070256,5,5,5,1,5,5,5,1
51070257,5,1,3,4,5,5,5,1
51070258,5,1,3,1,1,1,1,2
51070259,5,1,5,1,1,1,1,1
51070260,5,5,5,2,5,2,2,1
51070261,5,3,5,1,3,1,1,2
51070262,5,1,5,1,5,1,1,1
51070263,1,1,1,1,1,1,1,1
51070264,1,1,3,1,1,1,1,1
51070265,1,1,5,1,2,1,1,1
51070266,1,1,5,1,3,1,1,1
51070267,5,1,5,1,5,5,5,2
51070268,5,1,5,1,1,1,1,1
51070269,5,1,5,1,5,1,1,1
51070270,4,1,5,1,4,2,2,1
51070271,5,1,5,1,4,1,5,1
51070272,5,1,5,5,5,5,1,1
51070273,5,2,5,1,2,1,1,1
51070274,5,2,5,3,-2,-2,-2,2
51070275,5,5,5,2,-2,-2,-2,2
51070276,5,5,5,3,5,2,1,3
51070277,5,5,5,5,5,1,1,5
51070278,5,2,5,5,5,5,2,5
51070279,5,2,1,1,5,5,1,1
51070280,5,1,5,1,5,2,3,1
51070281,5,1,1,1,5,5,5,1
51070282,5,2,5,1,2,1,1,1
51070283,5,1,5,1,1,1,1,1
51070284,5,5,5,5,5,3,3,3
51070285,5,2,5,2,5,1,1,1
51070286,5,1,5,5,5,5,5,1
51070287,2,1,5,1,5,1,2,1
51070288,2,4,5,5,5,1,1,2
51070289,5,4,5,5,5,1,1,-1
51070290,3,1,5,1,5,5,5,1
51070291,1,1,5,1,1,1,1,1
51070292,5,5,5,5,5,5,5,5
51070293,5,4,5,1,5,1,1,2
51070294,5,4,5,1,5,1,1,1
51070295,5,4,5,1,5,1,1,1
51070296,5,1,5,1,5,1,2,2
51070297,5,1,5,1,5,1,1,2
51070298,5,1,5,5,5,5,5,2
51070299,5,3,-1,1,5,1,1,1
51070300,5,2,5,5,5,5,5,1
51070301,5,5,2,1,5,1,1,1
51070302,5,1,1,5,5,5,5,5
51070303,5,2,-1,1,5,1,1,5
51070304,5,1,5,1,5,1,1,2
51070305,5,1,5,1,5,1,1,4
51070306,5,1,5,1,5,1,1,1
51070307,5,1,1,1,5,1,1,1
51070308,1,1,5,1,5,1,1,1
51070309,5,5,1,1,5,1,1,1
51070310,4,2,5,2,1,2,2,1
51070311,5,2,1,1,5,1,5,1
51070312,5,5,5,1,5,1,1,2
51070313,5,1,1,2,2,2,5,5
51070314,5,1,5,5,5,5,5,3
51070315,5,2,5,1,5,1,1,2
51070316,5,5,5,1,5,2,1,1
51070317,5,4,5,1,5,1,1,4
51070318,5,1,5,5,5,4,4,4
51070319,5,1,5,1,5,1,1,1
51070320,5,1,2,5,-2,-2,-2,1
51070321,5,5,5,5,5,1,2,1
51070322,5,5,5,5,5,1,1,5
51070323,5,5,5,3,4,1,1,1
51070324,5,1,5,5,5,5,1,2
51070325,5,1,1,1,5,5,5,5
51070326,5,2,5,1,2,1,1,1
51070327,5,5,5,5,5,5,5,5
51070328,5,2,5,1,5,1,1,1
51070329,5,1,3,1,3,1,1,3
51070330,3,5,5,1,2,1,1,1
51070331,5,1,1,1,5,1,1,5
51070332,5,1,5,1,5,1,1,1
51070333,5,1,1,1,5,1,1,1
51070334,5,1,5,5,5,5,5,1
51070335,5,1,5,1,5,1,1,1
51070336,5,1,5,1,5,3,1,1
51070337,5,1,5,1,5,1,1,1
51070338,5,5,5,1,5,1,1,1
51070339,5,1,5,1,5,1,1,2
51070340,5,1,4,1,5,5,5,1
51070341,5,1,5,1,5,1,1,1
51070342,5,1,5,1,5,5,5,3
51070343,5,1,5,1,5,1,1,1
51070344,5,1,5,2,2,2,2,3
51070345,1,1,1,5,5,5,5,1
51070346,2,1,5,5,5,1,1,2
51070347,5,5,5,2,2,1,1,2
51070348,5,1,5,1,5,1,1,1
51070349,5,1,5,2,5,1,1,2
51070350,5,1,3,1,5,1,1,1
51070351,2,1,5,1,5,1,2,2
51070352,3,1,1,1,3,5,4,1
51070353,5,1,5,1,1,1,1,1
51070354,5,1,5,1,1,1,1,1
51070355,5,1,5,5,5,1,5,1
51070356,5,1,5,1,5,1,1,1
51070357,5,1,5,1,5,5,5,2
51070358,5,1,5,1,5,1,1,1
51070359,1,2,4,1,1,1,5,1
51070360,2,2,5,1,1,1,1,1
51070361,5,1,5,1,5,5,5,1
51070362,5,4,5,1,4,4,4,2
51070363,5,1,5,1,5,1,1,1
51070364,5,1,1,1,5,5,5,1
51070365,5,1,2,1,5,5,5,2
51070366,5,1,5,1,5,1,1,1
51070367,5,1,5,5,5,1,5,2
51070368,5,1,5,5,5,5,5,1
51070369,5,1,5,5,5,1,1,1
51070370,5,1,1,5,5,1,1,1
51070371,5,1,2,3,5,5,2,2
51070372,5,2,5,3,5,2,1,2
51070373,5,2,5,1,5,1,1,1
51070374,5,1,5,1,5,1,1,2
51070375,5,1,1,1,5,1,1,1
51070376,5,1,5,1,5,1,1,1
51070377,5,2,5,2,2,2,2,2
51070378,5,1,5,1,4,1,1,1
51070379,5,1,5,1,5,1,1,1
51070380,3,1,5,1,5,5,5,2
51070381,2,1,5,1,5,1,1,5
