D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
170070052,2,2,1,1,5,1,1,3
170070053,1,2,2,1,4,1,1,2
170070054,4,1,2,5,5,5,5,2
170070057,4,1,4,1,1,1,1,1
170070069,2,1,2,1,2,2,1,1
170070074,1,1,1,1,1,1,1,2
170070075,5,1,5,2,3,2,1,2
170070076,5,1,5,3,5,2,2,4
170070080,1,4,5,1,1,1,1,1
170070085,2,1,3,1,1,1,1,1
170070087,3,1,5,5,5,5,5,5
170070093,1,1,1,2,5,5,4,3
170070104,1,1,1,5,5,4,5,3
170070105,1,1,2,2,2,2,2,3
170070112,5,1,5,1,5,5,5,3
170070113,5,4,4,1,4,1,1,1
170070122,1,1,1,1,1,1,1,1
170070126,2,1,5,1,4,5,1,2
170070128,1,1,1,1,5,1,1,1
170070132,3,1,5,1,1,1,1,1
170070154,2,1,5,5,5,5,5,5
170070156,1,1,1,1,2,1,1,1
170070197,1,2,1,1,5,1,5,3
170070198,5,2,5,1,3,1,1,2
170070210,2,2,5,1,2,1,5,1
170070213,1,1,1,1,2,1,1,1
170070214,5,5,4,5,5,5,5,2
170070215,5,4,1,1,2,2,1,1
170070219,3,1,5,1,3,1,1,2
170070222,3,2,3,1,1,1,1,3
170070224,5,1,5,1,5,5,1,1
170070253,3,1,5,1,2,1,1,1
170070255,1,1,1,1,5,5,5,5
170070261,5,1,5,1,5,5,5,5
170070308,5,1,1,1,4,1,1,2
170070312,5,2,1,5,5,5,2,2
170070323,2,4,5,1,1,1,1,4
170070332,4,1,1,5,5,5,5,2
170070334,5,1,5,5,5,3,1,3
170070337,3,1,1,3,5,5,5,1
170070341,3,1,1,1,1,1,1,1
170070344,5,1,1,1,1,1,1,1
170070358,4,4,5,2,2,2,2,2
170070366,5,3,1,1,5,1,5,1
170070369,2,1,1,1,1,1,1,1
170070378,5,5,5,5,5,5,5,5
170070385,2,1,1,1,3,5,5,1
170070388,1,1,3,1,1,1,1,1
170070389,5,5,5,4,4,4,4,3
170070390,2,5,2,5,5,1,1,1
170070393,4,1,5,1,4,1,1,5
170070394,5,1,5,1,5,1,1,1
170070395,2,1,1,1,2,2,2,1
170070407,4,1,1,5,5,5,1,1
170070408,2,1,2,1,3,1,1,1
170070414,5,5,5,1,1,1,1,1
170070415,5,3,5,1,1,1,1,1
170070418,5,1,5,5,5,4,5,5
170070421,2,4,4,1,5,1,1,5
170070422,2,1,5,1,5,1,1,1
170070423,5,1,5,1,5,1,1,1
170070426,4,1,3,1,5,5,1,1
170070432,5,1,2,1,3,2,1,1
170070442,1,1,1,1,1,1,1,1
170070465,3,1,1,1,1,1,1,1
170070471,1,1,1,1,1,1,1,1
170070497,5,1,5,1,5,5,5,1
170070503,4,1,5,1,1,1,1,1
170070507,1,1,4,5,5,5,5,1
170070510,4,1,5,4,5,5,5,4
170070514,1,1,5,1,5,1,2,1
170070515,4,4,1,5,5,5,5,5
170070522,5,1,1,1,5,5,5,3
170070530,1,1,1,1,1,1,1,1
170070531,3,1,2,1,3,4,3,2
170070534,3,1,1,1,2,2,1,1
170070538,2,2,5,1,2,2,2,2
