D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
170070052,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0
170070053,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0
170070054,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0
170070057,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
170070069,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
170070074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
170070075,5.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0
170070076,5.0,1.0,5.0,3.0,5.0,2.0,2.0,4.0
170070080,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
170070085,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
170070087,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
170070093,1.0,1.0,1.0,2.0,5.0,5.0,4.0,3.0
170070104,1.0,1.0,1.0,5.0,5.0,4.0,5.0,3.0
170070105,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
170070112,5.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0
170070113,5.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0
170070122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070126,2.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0
170070128,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
170070132,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
170070154,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
170070156,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
170070197,1.0,2.0,1.0,1.0,5.0,1.0,5.0,3.0
170070198,5.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0
170070210,2.0,2.0,5.0,1.0,2.0,1.0,5.0,1.0
170070213,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
170070214,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0
170070215,5.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0
170070219,3.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0
170070222,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0
170070224,5.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0
170070253,3.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0
170070255,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0
170070261,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0
170070308,5.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
170070312,5.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0
170070323,2.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0
170070332,4.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0
170070334,5.0,1.0,5.0,5.0,5.0,3.0,1.0,3.0
170070337,3.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0
170070341,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070344,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070358,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
170070366,5.0,3.0,1.0,1.0,5.0,1.0,5.0,1.0
170070369,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070378,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170070385,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0
170070388,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
170070389,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
170070390,2.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0
