D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
276070001,5,1,1,1,1,1,1,1
276070002,2,3,3,1,2,1,1,2
276070003,1,1,4,5,5,5,5,3
276070004,2,1,1,5,5,5,5,2
276070005,1,1,1,5,5,5,5,5
276070006,5,5,1,5,5,1,5,2
276070007,5,1,1,5,1,1,5,2
276070008,4,1,1,5,5,5,5,3
276070009,1,2,4,1,2,2,1,1
276070010,5,1,2,1,4,1,5,2
276070011,1,1,1,2,2,5,5,1
276070012,1,1,1,5,5,2,5,1
276070013,4,1,4,5,5,2,1,1
276070014,1,1,1,5,5,5,5,2
276070015,2,1,2,1,5,1,1,2
276070016,3,1,1,1,2,1,1,3
276070017,5,1,1,5,5,1,3,4
276070018,1,1,1,2,1,1,5,2
276070019,4,1,1,5,5,5,5,5
276070020,1,3,1,5,5,5,5,4
276070021,2,2,2,5,5,1,3,2
276070022,5,4,1,5,5,5,5,3
276070023,1,1,4,5,5,1,1,2
276070024,1,1,1,5,5,1,5,2
276070025,2,1,1,5,5,2,5,2
276070026,4,1,1,5,5,5,5,2
276070027,4,1,1,1,2,1,5,1
276070028,2,2,1,1,5,1,5,1
276070029,4,2,5,5,1,1,5,1
276070030,5,2,5,1,5,1,5,1
276070031,4,2,1,1,4,1,1,2
276070032,1,1,1,5,5,4,5,3
276070033,1,1,1,5,5,1,5,3
276070034,2,1,1,1,2,1,2,1
276070035,1,1,1,1,1,1,5,2
276070036,1,1,1,5,5,5,5,2
276070037,4,1,1,5,5,4,5,2
276070038,3,1,1,1,3,2,2,1
276070039,1,1,1,1,1,1,5,2
276070040,4,5,4,2,4,1,2,2
276070041,5,1,4,1,1,1,1,1
276070042,4,2,2,5,5,1,3,2
276070043,2,1,1,5,1,4,1,2
276070044,5,1,1,1,5,5,5,2
276070045,4,1,4,5,5,5,1,4
276070046,2,1,1,4,4,4,4,3
276070047,4,1,1,5,5,5,5,3
276070048,1,1,1,1,1,1,4,2
276070049,1,2,2,1,1,1,1,1
276070050,1,1,1,1,1,1,1,1
276070051,1,1,1,5,5,5,5,2
276070052,1,1,1,5,5,5,5,3
276070053,1,1,1,1,2,2,5,2
276070054,4,1,1,1,1,1,5,1
276070055,2,1,2,1,5,4,5,2
276070056,5,1,1,5,5,5,5,1
276070057,2,1,1,1,1,1,5,1
276070058,2,2,1,1,3,1,1,2
276070059,1,1,1,1,2,1,5,1
276070060,1,1,1,5,5,1,5,2
276070061,1,1,1,1,1,1,1,1
276070062,4,2,5,1,1,1,5,2
276070063,2,1,1,1,2,1,1,2
276070064,4,1,1,1,4,1,5,2
276070065,5,4,1,1,1,1,1,1
276070066,4,4,2,1,2,1,4,1
276070067,4,1,1,1,1,1,2,1
276070068,5,1,4,1,3,1,1,1
276070069,5,2,2,1,3,1,1,1
276070070,2,2,2,1,2,1,1,1
276070071,1,1,5,1,1,1,1,1
276070072,1,1,1,2,1,1,5,2
276070073,4,1,1,2,2,1,2,1
276070074,1,1,1,1,1,1,2,1
276070075,1,1,1,1,1,1,5,1
276070076,1,1,4,1,1,1,1,2
276070077,1,1,4,5,5,5,5,4
276070078,5,1,5,5,5,5,5,4
276070079,1,1,5,5,5,5,5,2
276070080,1,1,1,1,1,1,4,3
276070081,2,1,1,2,2,1,2,1
276070082,1,1,1,4,5,1,5,1
276070083,5,1,1,1,2,1,1,4
276070084,1,1,1,2,2,1,5,2
276070085,3,4,4,2,4,1,1,2
276070086,2,1,1,4,4,5,5,2
276070087,1,2,1,1,1,1,5,2
276070088,3,2,1,3,5,2,5,2
276070089,4,4,2,1,5,1,2,2
276070090,2,1,1,1,5,1,1,2
276070091,4,4,1,1,1,1,1,1
276070092,1,1,5,5,5,1,5,1
276070093,1,1,1,5,5,3,5,2
276070094,1,1,1,5,5,5,5,2
276070095,1,1,1,5,5,4,5,2
276070096,4,1,1,5,5,3,5,2
276070097,4,1,5,5,5,2,5,2
276070098,1,1,1,5,4,5,5,2
276070099,2,2,2,1,1,1,2,1
276070100,1,1,2,1,5,2,2,1
276070101,1,1,4,5,5,5,5,2
276070102,3,1,2,1,2,1,3,4
276070103,2,2,4,1,5,1,2,1
276070104,2,1,4,5,5,5,5,3
276070105,3,1,1,2,5,2,5,1
276070106,1,1,1,4,4,1,4,1
276070107,1,5,1,4,3,2,2,1
276070108,1,1,5,5,5,1,1,1
276070109,4,1,1,1,1,1,2,2
276070110,1,1,4,5,5,5,5,2
276070111,3,2,1,1,5,1,1,2
276070112,5,5,5,1,5,1,5,2
276070113,2,1,1,1,1,1,4,1
276070114,1,1,1,3,5,5,5,2
276070115,1,1,1,5,5,2,3,2
276070116,5,1,1,1,1,1,1,3
276070117,4,1,3,1,3,1,1,1
276070118,1,1,1,1,1,1,5,1
276070119,1,1,4,1,4,4,1,2
276070120,5,1,1,1,3,1,5,2
276070121,5,1,1,1,2,1,5,1
276070122,1,1,2,1,1,1,1,2
276070123,1,1,1,4,3,2,5,3
276070124,2,1,1,1,1,1,1,1
276070125,2,1,2,1,5,2,1,1
276070126,4,4,4,1,1,1,1,1
276070127,4,4,3,5,3,1,5,2
276070128,1,1,1,5,5,5,5,2
276070129,1,1,5,1,5,3,5,2
276070130,5,5,5,5,4,4,4,4
276070131,3,1,1,1,4,1,1,2
276070132,1,1,1,5,5,5,5,2
276070133,1,1,1,3,4,3,5,2
276070134,2,1,1,1,1,1,1,1
276070135,1,1,1,4,1,1,5,2
276070136,2,1,1,5,5,5,5,2
276070137,1,1,1,5,5,4,5,2
276070138,1,1,1,5,5,1,1,1
276070139,2,2,2,1,1,1,1,1
276070140,2,1,1,2,5,3,5,2
276070141,5,1,4,1,4,1,1,1
276070142,1,1,2,1,5,2,5,1
276070143,2,1,4,2,5,5,5,1
276070144,1,1,4,5,5,5,5,1
276070145,1,1,1,1,1,1,1,1
276070146,5,2,2,1,1,1,3,2
276070147,1,1,1,5,5,4,5,3
276070148,3,1,1,1,5,1,5,2
276070149,1,1,1,5,5,5,5,2
276070150,4,2,2,1,2,1,1,2
276070151,1,1,1,5,5,5,5,3
276070152,1,1,1,1,1,1,4,1
276070153,1,1,2,1,2,1,1,2
276070154,1,1,1,1,1,1,1,3
276070155,1,1,1,2,2,2,5,1
276070156,1,1,1,1,1,1,1,1
276070157,1,1,1,2,2,1,1,2
276070158,1,1,1,1,5,4,5,2
276070159,1,1,1,5,5,4,4,2
276070160,1,2,2,1,1,1,1,1
276070161,1,1,1,5,5,5,5,2
276070162,2,2,2,2,1,1,2,2
276070163,1,2,1,5,5,5,5,4
276070164,4,1,1,4,5,1,5,1
276070165,1,1,1,5,5,1,5,2
276070166,1,1,1,5,5,5,5,4
276070167,3,1,1,2,5,2,5,2
276070168,5,1,5,5,5,5,5,4
276070169,5,1,2,5,5,1,5,3
276070170,2,1,5,1,5,1,5,2
276070171,1,1,1,5,5,2,5,3
276070172,3,3,2,1,1,1,1,1
276070173,1,1,1,5,5,5,5,4
276070174,5,1,1,1,2,2,5,2
276070175,5,5,1,1,1,1,1,4
276070176,1,1,1,4,2,1,4,2
276070177,2,1,5,5,5,5,5,2
276070178,5,5,4,1,1,1,1,1
276070179,1,1,1,1,1,1,5,1
276070180,1,1,1,1,1,1,2,1
276070181,5,5,5,5,5,5,5,5
276070182,4,2,2,1,2,1,2,1
276070183,1,1,1,1,1,1,1,1
276070184,5,5,2,1,1,1,1,1
276070185,2,1,1,1,2,2,5,1
276070186,5,1,2,5,5,2,1,1
276070187,1,1,1,5,5,5,5,2
276070188,4,2,5,1,1,1,1,1
276070189,4,1,1,1,3,1,1,1
276070190,2,1,1,1,5,5,5,2
276070191,5,1,5,5,5,1,5,2
276070192,4,1,1,5,5,5,5,5
276070193,1,1,5,5,1,1,5,2
276070194,1,1,5,5,5,5,5,4
276070195,1,1,2,5,5,1,1,4
276070196,2,4,1,4,4,4,5,1
276070197,5,4,4,1,4,1,1,1
276070198,5,1,1,4,4,4,4,1
276070199,5,1,1,5,5,5,5,4
276070200,4,4,4,3,5,3,2,3
276070201,1,1,1,5,4,1,5,4
276070202,2,1,1,2,4,1,2,2
276070203,2,1,1,1,2,1,1,1
276070204,1,1,1,1,1,1,4,1
276070205,1,1,1,5,5,5,5,2
276070206,1,1,3,5,5,5,5,5
276070207,1,1,4,2,4,2,2,2
276070208,2,1,1,-2,1,1,1,1
276070209,1,1,1,5,5,5,5,4
276070210,4,4,2,5,5,5,5,4
276070211,4,2,2,2,2,1,2,3
276070212,2,5,1,1,5,2,5,2
276070213,5,4,1,5,5,4,2,2
276070214,5,2,5,1,1,1,5,1
276070215,1,1,1,4,1,1,5,1
276070216,1,5,1,1,1,1,5,1
276070217,3,1,1,2,5,5,5,5
276070218,1,1,5,1,5,5,5,1
276070219,4,1,1,5,5,1,1,5
276070220,5,2,4,5,1,1,4,2
276070221,4,2,1,1,1,1,5,2
276070222,1,1,1,1,1,1,5,2
276070223,1,1,1,5,5,5,5,2
276070224,1,1,3,5,5,5,5,2
276070225,5,1,1,1,2,1,1,1
276070226,1,1,1,1,4,1,4,1
276070227,4,2,1,1,1,1,1,1
276070228,1,1,4,5,5,3,3,1
276070229,1,1,1,5,5,5,5,1
276070230,1,1,1,4,4,2,5,1
276070231,1,1,1,2,2,2,2,2
276070232,1,1,1,5,5,5,5,2
276070233,4,2,1,4,4,4,5,3
276070234,1,1,1,1,5,1,1,1
276070235,1,1,4,4,1,1,4,1
276070236,1,1,1,4,4,4,4,2
276070237,2,2,1,4,5,4,1,1
276070238,1,1,1,5,5,5,5,1
276070239,1,1,1,5,5,1,5,1
276070240,4,4,4,2,4,1,2,1
276070241,1,1,1,1,5,1,1,1
276070242,4,5,5,1,5,1,1,2
276070243,2,1,1,1,1,1,5,2
276070244,2,1,1,5,4,2,4,2
276070245,2,2,4,1,1,1,2,2
276070246,5,1,2,2,3,1,2,3
276070247,5,5,3,1,1,1,1,1
276070248,1,1,1,1,1,1,1,2
276070249,1,1,5,5,5,5,5,2
276070250,2,1,1,5,5,2,5,1
276070251,1,1,1,1,1,1,5,2
276070252,1,2,1,1,1,1,1,1
276070253,4,1,1,4,2,1,1,1
276070254,2,1,1,1,4,1,1,1
276070255,1,1,1,1,1,1,1,1
276070256,5,1,1,4,4,4,5,2
276070257,5,2,1,4,5,3,5,3
276070258,4,1,1,2,5,2,2,4
276070259,1,1,1,5,2,2,5,4
276070260,1,1,1,2,1,1,4,1
276070261,1,1,2,5,4,1,1,2
276070262,5,1,2,1,1,1,2,1
276070263,2,1,1,5,5,5,5,2
276070264,1,1,1,1,2,1,1,2
276070265,1,1,1,4,5,5,5,1
276070266,1,1,1,4,3,3,5,2
276070267,1,1,1,5,5,5,5,5
276070268,1,1,1,2,3,2,5,2
276070269,4,1,1,1,2,1,5,1
276070270,5,1,1,1,2,1,2,1
276070271,1,3,1,2,2,1,1,1
276070272,1,1,2,1,2,1,5,2
276070273,1,1,2,1,1,1,1,1
276070274,4,3,1,5,1,3,5,1
276070275,4,1,2,5,5,2,5,3
276070276,5,4,1,1,5,1,4,2
276070277,4,1,2,1,4,1,4,2
276070278,1,1,2,4,4,4,5,3
276070279,4,1,4,2,4,1,5,1
276070280,2,2,2,2,5,1,5,2
276070281,4,2,2,2,2,2,1,2
276070282,1,2,2,1,2,2,2,2
276070283,4,1,3,3,5,3,3,1
276070284,2,1,1,1,5,5,5,2
276070285,5,2,2,5,5,5,5,2
276070286,3,2,1,1,2,1,1,1
276070287,5,2,4,1,1,1,1,1
276070288,1,2,1,1,1,1,1,1
276070289,4,1,1,5,1,1,5,2
276070290,1,1,3,1,3,1,3,2
276070291,1,2,1,1,1,1,4,2
276070292,4,1,4,1,5,1,1,4
276070293,5,2,1,5,5,5,5,1
276070294,1,1,1,5,5,1,5,2
276070295,5,5,5,5,5,5,5,5
276070296,1,1,1,1,1,1,1,1
276070297,1,1,1,5,5,2,2,1
276070298,2,2,2,2,2,1,4,1
276070299,1,1,2,1,1,1,5,1
276070300,2,4,4,1,5,1,1,4
276070301,5,1,1,5,5,5,5,4
276070302,1,2,1,5,5,5,5,4
276070303,1,1,1,5,5,5,5,2
276070304,1,1,1,5,4,2,5,2
276070305,1,1,1,4,5,3,5,3
276070306,1,1,1,5,5,5,5,5
276070307,5,2,5,5,5,5,5,5
276070308,1,1,1,4,5,5,5,1
276070309,2,1,2,5,5,5,5,2
276070310,1,1,2,1,1,1,4,1
276070311,5,1,1,3,3,2,5,2
276070312,1,1,5,5,4,4,4,2
276070313,2,2,2,1,1,1,5,1
276070314,1,2,2,5,5,5,5,5
276070315,3,1,4,1,5,1,1,2
276070316,3,1,1,1,1,1,5,1
276070317,2,1,1,1,1,1,1,1
276070318,1,1,1,1,5,1,1,1
