D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
300070001,5,1,5,5,5,2,2,5
300070002,1,1,4,5,5,5,5,1
300070003,5,1,4,5,5,5,5,2
300070004,1,1,4,5,5,1,5,1
300070005,5,5,5,5,2,1,1,1
300070006,1,1,5,5,5,5,5,5
300070007,2,1,3,2,5,2,1,1
300070008,5,1,5,5,5,5,5,4
300070009,5,1,4,5,5,5,1,2
300070010,1,1,5,5,5,5,5,1
300070011,5,1,2,5,5,5,5,2
300070012,5,1,1,5,5,5,5,5
300070013,5,1,5,5,5,5,5,2
300070014,5,1,5,5,5,2,2,4
300070015,5,1,5,5,5,2,5,1
300070016,4,1,1,5,5,2,5,1
300070017,5,1,1,5,5,5,5,1
300070018,2,1,1,1,1,1,2,1
300070019,2,1,1,1,2,2,2,1
300070020,5,2,1,5,5,5,5,1
300070021,4,1,1,1,1,1,1,1
300070022,4,2,2,2,-5,-5,-5,1
300070023,5,1,2,1,1,1,1,1
300070024,5,1,1,1,5,1,1,1
300070025,5,5,5,1,1,1,1,1
300070026,2,1,1,3,1,1,1,1
300070027,1,1,1,1,1,1,1,1
300070028,5,3,3,1,1,1,1,1
300070029,5,1,5,5,5,5,5,5
300070030,5,3,2,1,1,1,1,1
300070031,3,1,1,1,5,1,1,2
300070032,2,1,1,1,5,2,2,2
300070033,4,1,2,1,5,2,2,1
300070034,2,1,4,1,5,1,1,2
300070035,3,1,3,1,5,1,2,1
300070036,4,1,2,1,5,1,1,2
300070037,4,1,1,1,5,1,5,2
300070038,5,1,1,1,5,2,2,1
300070039,3,2,4,1,1,1,1,2
300070040,5,1,2,1,5,4,4,1
300070041,5,5,5,5,5,1,5,1
300070042,4,5,4,4,1,1,1,2
300070043,1,1,1,1,-5,-5,-5,4
300070044,4,1,2,1,1,1,1,1
300070045,2,1,1,5,5,5,4,3
300070046,1,1,1,1,1,1,5,1
300070047,4,2,2,4,2,1,1,1
300070048,4,2,4,1,1,1,1,1
300070049,5,-2,-2,1,1,1,5,1
300070050,4,1,1,1,1,1,1,1
300070051,5,1,4,3,2,1,1,1
300070052,2,2,1,3,1,1,1,1
300070053,5,2,2,1,5,1,1,1
300070054,5,1,5,5,5,2,5,4
300070055,2,1,3,2,1,1,1,1
300070056,4,1,1,5,5,5,5,3
300070057,3,1,5,5,5,4,5,2
300070058,5,1,5,5,5,1,1,1
300070059,5,1,5,5,5,5,5,5
300070060,3,2,5,5,5,5,5,5
300070061,3,1,5,5,5,5,5,4
300070062,4,1,5,5,4,2,2,2
300070063,5,1,5,1,1,1,1,1
300070064,-2,1,3,5,5,1,1,2
300070065,5,5,4,1,1,1,1,1
300070066,4,1,3,5,5,5,5,2
300070067,2,2,2,5,5,1,1,2
300070068,4,1,5,3,2,1,1,2
300070069,4,2,2,5,1,1,1,1
300070070,5,1,4,2,2,1,1,2
300070071,5,2,4,1,1,1,1,4
300070072,5,1,3,5,5,5,1,2
300070073,5,1,5,5,5,5,5,4
300070074,5,1,4,5,5,5,5,4
300070075,5,1,5,5,5,5,5,5
300070076,5,4,5,1,1,1,1,4
300070077,5,1,4,5,5,5,5,3
300070078,5,1,3,5,5,5,5,5
300070079,5,4,4,5,5,5,5,2
300070080,5,1,4,5,5,5,5,2
300070081,5,2,5,1,2,2,2,2
300070082,5,1,3,4,5,5,5,2
300070083,1,1,2,4,2,2,2,1
300070084,2,1,2,2,2,2,2,2
300070085,5,1,1,2,3,2,2,2
300070086,2,1,2,2,2,2,2,2
300070087,2,1,3,2,4,4,5,1
300070088,1,1,1,4,5,5,5,5
300070089,5,2,5,1,5,2,2,2
300070090,5,1,2,5,5,5,5,2
300070091,2,1,3,1,1,1,1,1
300070092,4,2,2,1,3,1,1,2
300070093,2,1,2,1,1,1,1,1
300070094,5,2,3,1,1,1,1,2
300070095,5,4,5,1,1,1,1,1
300070096,4,1,2,1,1,1,1,2
300070097,5,3,3,5,5,5,3,2
300070098,4,1,3,1,4,1,1,2
300070099,5,1,2,5,-5,-5,-5,3
300070100,4,1,4,1,1,1,1,1
300070101,5,1,5,5,5,5,5,2
300070102,4,1,1,5,5,1,5,1
300070103,4,1,2,2,5,1,5,1
300070104,5,1,1,5,5,5,5,1
300070105,2,1,1,5,5,2,5,1
300070106,4,1,1,5,5,1,5,1
300070107,5,1,1,5,5,5,5,5
300070108,2,1,1,5,5,5,5,1
300070109,3,1,1,5,5,1,5,1
300070110,5,1,1,5,5,1,5,1
300070111,5,1,4,1,2,2,2,2
300070112,5,1,4,2,5,5,5,1
300070113,2,1,4,1,1,1,1,1
300070114,5,5,1,1,1,1,1,1
300070115,5,2,2,1,1,1,1,1
300070116,5,1,5,1,5,1,5,1
300070117,4,1,1,1,1,1,1,1
300070118,4,1,1,1,5,5,5,1
300070119,4,1,2,1,1,1,1,1
300070120,5,5,5,1,1,1,1,1
300070121,4,1,2,1,1,1,1,2
300070122,2,1,2,1,5,1,1,2
300070123,4,3,5,1,5,1,2,2
300070124,2,1,2,1,5,1,2,1
300070125,2,1,2,1,5,1,2,1
300070126,3,1,2,1,2,1,2,1
300070127,2,5,1,1,4,1,1,1
300070128,2,1,1,1,5,1,1,1
300070129,3,1,3,1,5,5,5,1
300070130,4,1,1,1,4,1,5,1
300070131,5,2,2,2,1,1,1,1
300070132,2,1,1,3,2,2,2,2
300070133,4,1,1,4,2,2,4,2
300070134,5,3,3,3,1,1,3,1
300070135,2,1,2,2,2,2,2,2
