D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
484070001,5,1,5,5,5,5,5,5
484070002,3,1,2,1,2,1,1,1
484070003,5,1,5,1,5,5,5,3
484070004,1,1,5,1,5,2,1,1
484070005,1,2,1,1,1,1,1,4
484070006,1,1,1,5,5,5,5,3
484070007,5,2,5,1,1,1,1,5
484070008,3,3,3,1,2,1,1,5
484070009,5,1,5,5,5,5,2,1
484070010,1,1,1,2,1,1,1,1
484070011,1,1,1,2,2,2,2,2
484070012,1,1,1,1,5,5,5,2
484070013,1,1,2,1,5,1,1,2
484070014,4,2,2,1,2,2,1,4
484070015,5,2,5,5,5,5,5,5
484070016,3,1,5,5,5,5,5,5
484070017,2,1,1,2,5,5,5,5
484070018,5,1,4,1,4,1,1,1
484070019,2,1,1,1,5,3,1,1
484070020,5,4,5,2,5,1,1,5
484070021,2,1,1,1,5,5,1,1
484070022,1,3,3,5,5,5,5,5
484070023,5,2,2,5,5,5,5,5
484070024,3,5,5,5,5,5,5,5
484070025,5,1,5,4,4,3,3,3
484070026,5,1,5,5,5,5,1,1
484070027,1,1,5,5,5,5,5,1
484070028,1,1,1,4,4,4,4,5
484070029,3,1,1,3,2,3,3,3
484070030,5,2,2,4,5,5,5,5
484070031,5,1,5,5,5,5,5,1
484070032,3,3,3,2,2,2,2,5
484070033,5,4,5,5,5,5,5,2
484070034,5,2,2,5,5,5,5,5
484070035,4,4,3,4,4,4,4,4
484070036,5,1,1,5,5,5,5,4
484070037,3,1,1,5,5,5,5,3
484070038,5,1,1,2,3,1,1,5
484070039,4,1,1,5,5,5,2,1
484070040,4,4,4,1,4,1,1,1
484070041,5,1,1,4,5,5,5,4
484070042,5,3,1,5,5,5,2,3
484070043,5,3,5,1,3,1,1,1
484070044,5,1,1,1,1,2,2,2
484070045,3,1,4,1,1,4,2,1
484070046,4,1,4,1,4,3,3,3
484070047,2,2,1,2,2,2,2,2
484070048,5,5,5,5,3,5,5,5
484070049,4,4,5,1,1,1,3,1
484070050,5,3,1,1,5,1,1,1
484070051,1,1,1,1,4,4,4,4
484070052,5,5,5,1,1,1,1,1
484070053,5,5,5,5,4,3,3,3
484070054,5,2,5,1,2,2,1,5
484070055,1,1,1,1,1,1,1,1
484070056,5,1,5,1,1,1,1,5
484070057,1,1,1,1,5,5,1,3
484070058,5,2,2,1,1,1,1,1
484070059,5,1,1,1,5,2,2,2
484070060,4,1,1,3,3,3,3,3
484070061,5,1,5,1,2,1,1,4
484070062,3,2,5,2,5,3,3,4
484070063,5,1,4,2,1,1,4,1
484070064,5,5,5,5,1,1,1,1
484070065,5,5,5,1,1,1,1,1
484070066,1,1,5,5,5,5,5,3
484070067,5,1,5,1,5,1,1,1
484070068,4,1,1,1,5,5,5,4
484070069,2,1,2,1,5,1,1,5
484070070,2,1,1,5,5,5,5,5
484070071,4,1,3,5,5,5,5,5
484070072,1,2,1,1,5,1,1,2
484070073,3,1,3,5,5,5,5,5
484070074,1,1,1,2,5,1,1,5
484070075,1,2,1,1,5,1,1,2
484070076,1,1,1,5,1,1,1,1
484070077,3,1,2,5,5,5,5,5
484070078,2,1,4,2,1,1,1,2
484070079,2,1,1,5,5,5,5,2
484070080,5,1,2,5,5,5,5,5
484070081,2,2,2,1,4,1,1,1
484070082,5,5,5,1,1,1,1,1
484070083,1,1,5,2,1,1,1,2
484070084,4,2,5,3,5,5,3,5
484070085,5,1,5,5,1,1,1,1
484070086,1,1,2,5,5,5,5,5
484070087,5,1,1,5,5,5,5,5
484070088,4,1,3,5,5,5,5,4
484070089,1,1,1,5,5,5,5,5
484070090,5,1,5,1,1,1,3,3
484070091,1,1,1,1,1,1,1,1
484070092,1,1,2,1,5,1,5,1
484070093,3,1,4,5,5,5,5,3
484070094,5,5,5,5,5,5,5,5
484070095,1,1,1,4,4,4,4,2
484070096,3,3,1,1,5,1,5,1
484070097,4,1,5,2,4,1,1,1
484070098,4,2,4,1,4,1,1,1
484070099,4,3,3,2,5,1,1,4
484070100,3,2,2,1,1,1,1,2
484070101,3,2,2,5,5,5,5,5
484070102,2,1,5,1,4,1,1,4
484070103,5,1,1,5,5,5,5,2
484070104,5,5,5,5,5,5,1,1
484070105,3,2,5,5,5,5,5,3
484070106,3,3,4,5,5,5,5,2
484070107,2,2,2,2,2,2,2,2
484070108,3,1,1,3,5,5,5,3
484070109,4,1,4,4,4,1,1,2
484070110,4,1,5,1,2,1,1,1
484070111,2,1,2,2,2,2,2,2
484070112,5,2,3,5,5,5,5,3
484070113,4,1,5,1,2,1,1,1
484070114,2,1,1,5,5,5,5,1
484070115,4,1,1,2,1,1,1,1
484070116,5,1,1,2,4,5,3,4
484070117,5,1,5,5,5,5,5,1
484070118,5,2,2,5,5,5,5,4
484070119,4,1,2,5,5,5,5,5
484070120,2,1,1,5,5,5,5,4
484070121,5,5,5,5,5,5,5,5
484070122,5,1,3,5,5,5,5,2
484070123,1,1,1,5,5,5,5,1
484070124,5,1,1,5,5,5,5,3
484070125,5,1,1,1,1,1,1,2
484070126,5,3,3,1,5,1,1,4
484070127,5,2,5,2,5,1,1,5
484070128,1,5,1,4,4,5,5,2
484070129,3,2,3,2,2,1,1,3
484070130,3,1,2,1,2,5,5,5
484070131,5,2,5,1,1,1,1,5
484070132,2,1,1,5,5,5,5,2
484070133,5,1,1,5,5,1,1,5
484070134,2,1,2,5,5,5,5,5
484070135,2,2,3,1,1,1,1,3
484070136,2,2,2,1,2,2,2,2
484070137,4,2,3,3,2,1,1,4
484070138,3,2,5,3,3,3,3,5
484070139,1,1,1,5,5,1,1,2
484070140,2,2,2,1,3,3,4,4
484070141,4,3,4,2,2,2,2,3
484070142,5,2,2,2,5,5,2,5
484070143,4,2,1,5,5,5,5,5
484070144,5,1,1,5,5,1,1,3
484070145,1,1,1,1,3,1,2,2
484070146,2,1,3,1,1,1,1,3
484070147,5,1,1,1,1,1,1,4
484070148,5,2,5,5,5,5,5,5
484070149,5,2,2,5,5,5,5,1
484070150,5,2,1,4,5,5,5,3
484070151,3,3,3,5,5,5,5,5
484070152,5,4,4,1,5,5,5,5
484070153,1,1,5,5,5,5,5,5
484070154,5,1,1,5,5,5,5,5
484070155,4,2,5,5,5,3,5,3
484070156,3,3,2,3,2,1,2,1
484070157,1,2,2,5,5,5,5,5
484070158,5,1,5,5,5,5,5,5
484070159,5,1,1,5,5,5,5,5
484070160,1,1,4,1,5,2,2,2
484070161,5,1,1,1,5,5,1,5
484070162,5,1,5,1,5,5,5,5
484070163,5,2,5,5,5,5,2,5
484070164,1,2,3,2,1,1,1,1
484070165,4,3,2,3,2,4,1,1
484070166,2,3,3,1,4,1,1,1
484070167,1,1,1,1,2,1,1,3
484070168,1,1,1,2,2,1,1,3
484070169,1,1,5,1,5,5,5,5
484070170,1,1,1,3,5,5,5,3
484070171,2,1,5,1,5,5,5,2
484070172,2,2,2,2,2,2,2,2
484070173,4,2,4,5,5,5,5,5
484070174,5,1,1,4,5,5,5,2
484070175,4,2,4,4,4,4,4,4
484070176,2,1,1,1,2,1,2,2
484070177,5,1,1,5,5,5,5,5
484070178,5,1,5,5,5,5,5,5
484070179,5,5,5,5,5,5,5,5
484070180,2,3,2,3,3,2,2,2
484070181,5,1,5,1,5,5,5,5
484070182,1,1,1,5,5,5,3,1
484070183,5,1,5,5,5,5,5,5
484070184,1,2,3,2,2,3,1,1
484070185,5,5,5,4,5,5,5,4
484070186,1,2,2,4,5,5,5,5
484070187,5,1,1,1,5,1,1,5
484070188,1,2,1,1,1,1,1,1
484070189,5,1,5,5,5,5,5,5
484070190,1,1,5,5,5,3,3,3
484070191,1,1,1,5,5,5,5,5
484070192,3,2,3,1,3,2,4,4
484070193,5,1,2,5,5,5,5,5
484070194,1,1,1,1,1,1,1,1
484070195,5,1,5,5,5,5,5,1
484070196,3,1,3,5,5,5,5,2
484070197,3,1,3,5,5,5,5,5
484070198,5,1,3,5,5,5,5,1
484070199,5,1,2,5,5,5,5,5
484070200,4,4,4,4,4,4,4,4
484070201,1,1,1,1,1,5,1,3
484070202,5,1,1,1,4,5,5,1
484070203,3,1,1,4,4,4,4,4
484070204,4,4,3,4,4,4,4,3
484070205,2,1,3,2,2,2,2,3
484070206,3,2,3,2,2,2,2,3
484070207,5,2,3,2,2,2,2,2
484070208,3,2,2,2,2,2,2,2
484070209,3,1,2,1,1,1,1,3
484070210,2,1,3,2,2,2,2,1
484070211,4,1,1,3,5,5,5,2
484070212,2,2,4,1,1,1,1,3
484070213,3,2,5,5,2,1,1,2
484070214,5,1,1,1,5,5,5,2
484070215,5,1,5,5,5,5,5,1
484070216,2,1,5,2,5,5,5,1
484070217,3,1,3,5,5,5,5,1
484070218,2,1,1,1,1,1,1,1
