D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
528070001,-5,-5,-5,-5,-5,-5,-5,-5
528070002,1,1,1,1,5,1,1,2
528070003,1,1,2,1,2,2,1,2
528070004,2,1,1,1,1,1,1,1
528070005,-1,-1,-1,-1,-1,-1,-2,-1
528070006,4,1,1,1,4,2,2,1
528070007,2,1,2,1,3,1,3,2
528070008,1,1,1,5,2,1,2,1
528070009,1,1,1,2,1,1,5,2
528070010,1,1,1,1,1,1,1,2
528070011,2,1,1,1,1,1,1,3
528070012,1,1,2,1,1,1,1,2
528070013,4,1,4,2,5,1,5,2
528070014,1,1,1,2,5,2,1,3
528070015,5,2,5,1,5,5,5,3
528070016,5,2,2,2,2,1,5,2
528070017,1,1,2,1,2,1,1,2
528070018,5,4,2,1,1,1,1,2
528070019,1,1,1,1,-5,2,1,2
528070020,5,1,5,1,1,1,1,5
528070021,5,1,2,1,1,1,1,5
528070022,5,1,5,5,5,1,5,1
528070023,1,1,1,5,5,5,5,4
528070024,2,1,2,4,5,3,5,4
528070025,1,3,2,1,1,1,1,1
528070026,4,1,2,1,2,1,1,1
528070027,1,1,1,3,2,1,1,3
528070028,5,4,4,4,4,4,5,4
528070029,2,1,3,1,1,1,1,2
528070030,5,1,1,5,5,1,5,2
528070031,5,1,1,1,1,1,5,1
528070032,5,1,5,1,1,1,1,2
528070033,4,1,5,1,1,1,1,4
528070034,-5,-5,-5,-5,-5,-5,-5,-5
528070035,5,4,4,4,4,4,4,4
528070036,2,1,1,1,1,1,1,1
528070037,3,1,5,1,1,1,1,2
528070038,5,5,5,1,1,1,5,5
528070039,1,1,1,2,2,1,1,3
528070040,4,2,2,4,4,4,5,4
528070041,2,1,1,3,2,2,5,2
528070042,1,4,2,1,5,1,2,3
528070043,-1,-1,-1,-1,-1,-1,-1,-1
528070044,2,2,5,1,1,1,1,2
528070045,5,5,5,1,1,1,1,1
528070046,1,1,1,1,1,1,5,1
528070047,1,1,1,1,1,1,2,2
528070048,4,4,5,4,2,1,1,1
528070049,-5,-5,-5,-5,-5,-5,-5,-5
528070050,2,1,2,1,1,1,1,1
528070051,1,1,1,1,1,1,1,1
528070052,2,2,2,1,2,1,2,2
528070053,2,1,4,1,2,2,2,2
528070054,4,1,1,1,1,1,1,1
528070055,2,1,1,1,2,1,1,1
528070056,2,1,2,1,1,1,5,2
528070057,1,1,1,1,1,1,2,3
528070058,4,3,2,1,2,1,1,1
528070059,1,-5,1,1,1,1,5,1
528070060,5,1,1,5,1,1,2,3
528070061,5,5,5,1,5,5,2,2
528070062,5,1,4,5,5,5,5,2
528070063,1,1,1,1,1,1,1,1
528070064,4,1,1,1,1,1,1,1
528070065,4,2,2,2,5,3,4,2
528070066,3,1,5,1,5,1,1,2
528070067,5,1,2,1,2,1,1,2
528070068,1,1,5,1,5,4,2,2
528070069,4,4,2,1,1,1,1,1
528070070,5,1,2,1,5,4,1,3
528070071,1,1,5,1,1,1,2,4
528070072,-5,-5,-5,-5,-5,-5,-5,-5
528070073,1,1,1,5,1,1,5,-1
528070074,5,1,5,2,1,1,5,3
528070075,1,1,1,1,1,1,1,3
528070076,5,5,5,1,4,1,1,1
528070077,1,5,5,1,1,1,2,2
528070078,5,3,5,4,5,4,3,4
528070079,1,2,2,1,1,1,1,2
528070080,1,1,1,5,5,5,5,5
528070081,1,1,1,1,1,1,1,1
528070082,4,1,1,4,2,1,1,2
528070083,1,2,2,1,1,1,1,2
528070084,1,1,1,1,2,1,5,2
528070085,1,1,1,2,4,1,5,4
528070086,5,1,1,1,1,1,1,1
528070087,1,1,1,1,1,1,5,2
528070088,1,1,1,2,3,3,5,3
528070089,1,1,1,1,5,1,5,3
528070090,2,1,4,1,1,1,2,3
528070091,1,1,4,2,1,1,2,2
528070092,5,5,5,5,5,5,5,5
528070093,4,1,1,1,1,1,1,1
528070094,1,1,1,1,5,1,1,2
528070095,3,1,1,1,1,1,1,2
528070096,1,1,4,1,1,1,2,2
528070097,1,1,1,1,2,1,1,2
528070098,1,1,1,4,5,4,5,2
528070099,1,1,5,1,1,1,1,4
528070100,1,1,2,1,2,1,2,1
528070101,4,1,2,1,2,1,2,2
528070102,4,5,5,1,1,1,1,1
528070103,1,1,4,1,4,1,1,3
528070104,2,1,1,1,1,1,1,2
528070105,5,1,1,1,5,1,1,1
528070106,1,1,1,1,1,1,2,2
528070107,5,1,1,5,1,1,5,-1
528070108,3,3,2,2,2,2,5,-5
528070109,5,1,2,1,1,1,1,1
528070110,1,1,1,5,1,1,5,2
528070111,5,1,1,1,1,1,5,5
528070112,1,1,1,2,2,2,5,4
