D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
604070001,1,1,2,1,1,2,2,2
604070002,3,1,2,5,5,5,5,3
604070003,1,1,3,5,5,5,5,3
604070004,1,1,5,5,5,5,1,1
604070005,5,1,5,5,5,5,5,5
604070006,1,1,2,1,3,1,1,1
604070007,1,2,1,1,2,2,1,2
604070008,4,1,5,5,2,4,2,5
604070009,1,1,5,1,3,1,1,5
604070010,1,1,3,1,3,1,3,1
604070011,1,1,5,5,5,5,5,2
604070012,1,1,5,5,5,5,5,2
604070013,5,2,5,5,5,5,5,2
604070014,5,1,3,1,5,1,1,3
604070015,2,1,5,2,5,2,2,2
604070016,2,1,1,1,5,1,1,2
604070017,4,2,5,5,5,5,5,3
604070018,5,1,5,1,5,1,1,2
604070019,1,1,5,5,5,5,5,4
604070020,2,2,5,2,5,2,2,4
604070021,1,1,5,5,5,5,5,3
604070022,1,1,3,5,5,5,5,1
604070023,1,2,3,5,5,5,4,2
604070024,1,1,2,5,5,5,5,2
604070025,1,1,2,5,5,5,5,2
604070026,2,2,3,3,3,2,2,2
604070027,2,2,2,5,5,5,5,2
604070028,2,2,2,2,3,3,3,2
604070029,2,2,2,2,2,2,2,1
604070030,1,1,2,1,1,1,1,1
604070031,2,1,2,2,2,1,1,2
604070032,2,2,3,5,5,5,5,2
604070033,1,1,1,2,2,1,1,1
604070034,2,2,3,2,2,2,2,2
604070035,1,1,2,2,2,1,1,2
604070036,1,1,2,5,5,2,2,3
604070037,1,1,2,2,3,1,1,1
604070038,4,3,4,3,4,4,4,2
604070039,1,1,2,3,4,4,4,3
604070040,2,2,2,4,5,5,5,3
604070041,2,1,1,4,4,4,4,4
604070042,2,1,1,4,4,4,4,4
604070043,2,1,1,4,4,4,4,4
604070044,2,1,1,3,4,3,4,4
604070045,2,1,1,4,4,4,4,4
604070046,2,1,2,4,4,3,4,4
604070047,2,1,1,4,4,4,4,4
604070048,4,1,1,4,4,4,4,2
604070049,2,1,1,4,4,5,5,5
604070050,1,1,1,5,5,5,5,5
604070051,3,1,2,2,3,1,2,1
604070052,2,1,5,1,1,1,1,1
604070053,2,1,2,1,5,3,5,2
604070054,2,1,2,1,3,2,1,1
604070055,1,1,1,2,3,2,1,1
604070056,2,1,3,3,4,4,3,4
604070057,4,1,5,1,1,1,1,2
604070058,5,1,5,1,1,1,1,1
604070059,4,1,1,2,5,5,5,1
604070060,1,1,1,5,5,5,5,2
604070061,1,1,1,1,1,1,1,1
604070062,1,1,2,1,2,1,1,1
604070063,2,1,3,1,3,1,1,1
604070064,1,1,2,1,2,1,1,1
604070065,2,2,2,1,1,1,1,1
604070066,2,1,1,2,5,5,5,2
604070067,2,1,1,2,1,2,2,2
604070068,1,1,2,1,2,2,2,2
604070069,1,1,1,1,2,2,2,2
604070070,1,1,1,2,2,2,2,2
604070071,5,4,5,1,1,1,1,1
604070072,2,1,4,1,1,1,1,1
604070073,1,1,4,1,2,1,1,1
604070074,2,1,3,1,1,1,1,1
604070075,2,1,4,1,1,1,1,1
604070076,1,1,1,2,5,5,5,2
604070077,4,1,2,1,2,1,1,1
604070078,1,1,1,1,1,1,1,1
604070079,1,1,3,1,5,5,5,1
604070080,2,1,2,1,1,1,1,1
604070081,2,3,5,2,5,2,5,5
604070082,2,1,5,1,1,1,1,1
604070083,5,1,5,1,1,1,1,1
604070084,1,1,5,1,1,1,1,1
604070085,2,1,1,5,5,5,5,5
604070086,2,1,1,2,5,2,2,2
604070087,2,1,1,1,1,1,1,1
604070088,2,1,1,5,5,5,5,5
604070089,5,1,1,1,1,1,1,5
604070090,3,1,2,5,5,5,5,5
604070091,2,1,1,5,5,5,5,2
