D_INTERVIEW,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208
840071001,4,1,1,1,-2,1,1,1
840071002,5,1,1,1,1,1,1,5
840071003,5,3,1,5,5,5,5,3
840071004,4,1,4,1,5,1,1,5
840071005,5,5,2,1,1,1,1,4
840071006,5,5,5,-2,5,5,5,5
840071007,1,1,1,1,1,1,1,1
840071008,4,1,4,1,1,1,1,3
840071009,5,5,5,5,5,5,5,5
840071010,1,1,1,1,1,1,1,1
840071011,2,2,2,1,3,3,3,2
840071012,5,5,5,5,5,5,5,1
840071013,5,5,5,2,5,1,2,1
840071014,4,5,4,2,2,1,5,5
840071015,5,4,4,3,3,3,1,5
840071016,4,2,1,3,4,4,4,2
840071017,5,1,1,1,1,1,1,2
840071018,4,1,2,1,1,1,1,1
840071019,5,1,1,1,4,1,3,3
840071020,4,4,4,1,3,1,5,3
840071021,5,1,4,5,1,1,5,1
840071022,1,5,-2,-2,-2,-2,-2,2
840071023,4,2,2,2,2,2,4,1
840071024,4,2,4,-2,1,1,1,1
840071025,5,5,5,2,2,2,1,2
840071026,5,2,2,1,5,1,1,2
840071027,5,4,4,1,4,1,1,2
840071028,4,1,5,2,1,1,1,1
840071029,4,1,4,1,1,1,1,4
840071030,5,5,5,2,4,1,1,1
840071031,4,5,1,1,2,1,5,1
840071032,2,1,2,1,1,1,1,1
840071033,5,2,5,2,2,1,2,2
840071034,5,2,5,2,2,2,2,2
840071035,4,2,2,1,5,1,2,1
840071036,2,2,2,1,2,1,1,2
840071037,2,1,1,1,1,1,5,2
840071038,5,5,5,5,5,5,5,5
840071039,5,1,1,1,1,1,1,3
840071040,2,1,1,1,1,1,1,2
840071041,5,3,5,1,4,1,1,4
840071042,1,1,1,1,1,1,1,1
840071043,5,5,2,5,1,1,1,2
840071044,5,2,5,1,1,1,1,1
840071045,4,1,4,1,4,1,1,1
840071046,5,5,1,2,3,2,5,1
840071047,2,2,2,2,5,3,2,2
840071048,4,3,2,1,1,1,1,1
840071049,5,5,5,5,5,5,5,5
840071050,1,1,5,1,1,1,1,1
840071051,1,1,1,1,1,1,1,1
840071052,3,3,3,3,3,2,1,1
840071053,4,4,4,3,3,3,3,2
840071054,5,1,5,1,1,1,1,2
840071055,5,5,5,5,5,5,5,5
840071056,4,2,4,2,1,1,1,2
840071057,5,5,5,3,5,5,2,5
840071058,5,1,2,1,1,1,1,3
840071059,4,1,1,1,1,1,5,1
840071060,4,5,4,2,5,1,2,2
840071061,4,1,1,4,4,1,1,1
840071062,5,5,5,5,5,5,5,5
840071063,5,1,4,1,1,1,5,4
840071064,4,3,1,1,1,1,1,2
840071065,2,1,2,4,4,1,5,3
840071066,5,5,5,3,3,3,1,3
840071067,4,1,1,3,4,2,1,1
840071068,3,3,3,3,3,3,3,3
840071069,5,4,4,3,4,1,1,2
840071070,5,2,2,1,3,3,2,4
840071071,5,3,4,1,1,1,1,2
840071072,4,4,4,4,1,1,1,2
840071073,4,4,4,1,1,1,1,2
840071074,5,1,5,1,1,1,1,2
840071075,5,1,5,5,5,5,5,5
840071076,4,1,3,1,1,1,1,1
840071077,5,1,1,1,2,1,2,2
840071078,5,1,2,1,1,5,1,1
840071079,5,5,5,5,1,1,5,1
840071080,3,1,2,1,5,1,1,3
840071081,3,2,4,3,3,2,5,4
840071082,5,2,2,1,1,1,5,1
840071083,4,4,5,5,5,5,5,5
840071084,3,3,4,3,4,3,4,4
840071085,5,3,3,4,4,4,5,-2
840071086,4,3,4,3,3,3,2,2
840071087,4,2,2,1,1,1,1,1
840071088,4,1,5,2,5,4,4,2
840071089,1,1,1,1,1,1,1,1
840071090,5,3,5,3,3,2,2,2
840071091,5,1,5,1,5,1,1,2
840071092,2,2,1,1,2,1,1,1
840071093,5,4,2,1,5,1,1,2
840071094,2,4,1,1,1,1,1,1
840071095,5,2,5,5,1,1,5,2
840071096,1,1,1,1,5,1,1,1
840071097,2,1,5,1,1,1,1,2
840071098,1,2,2,2,1,2,1,1
840071099,4,2,4,3,1,2,1,2
840071100,4,1,2,1,1,1,1,1
840071101,5,1,1,3,1,1,5,4
840071102,5,5,5,4,4,3,2,2
840071103,2,1,1,5,5,5,5,5
840071104,3,1,2,1,1,1,4,2
840071105,2,1,1,1,3,1,1,1
840071106,5,1,2,5,2,1,1,3
840071107,5,1,1,1,1,1,1,1
840071108,2,1,3,3,1,1,2,2
840071109,4,4,2,1,1,1,1,1
840071110,1,1,1,1,1,1,3,3
840071111,4,4,4,2,5,1,4,3
840071112,5,3,4,1,3,1,1,3
840071113,3,4,3,3,2,3,5,5
840071114,1,2,1,1,5,1,2,5
840071115,5,3,2,1,1,1,1,2
840071116,3,2,2,2,3,2,3,2
840071117,4,1,2,1,5,3,1,3
840071118,5,1,2,1,3,2,1,1
840071119,1,1,2,1,5,1,1,5
840071120,4,2,2,1,4,1,2,2
840071121,5,4,4,4,4,4,3,3
840071122,1,1,1,1,1,1,1,1
840071123,4,2,1,4,3,1,5,2
840071124,3,3,5,2,1,1,1,1
840071125,1,1,1,5,1,1,5,1
840071126,3,1,4,1,4,4,4,4
840071127,1,2,4,1,1,1,1,2
840071128,1,1,1,1,1,1,1,1
840071129,5,5,2,1,4,1,4,2
840071130,1,1,1,1,1,1,1,1
840071131,5,5,5,5,5,5,5,5
840071132,4,2,4,1,1,1,3,1
840071133,5,5,5,5,5,5,5,5
840071134,2,2,5,1,2,1,1,1
840071135,4,4,2,5,2,2,5,1
840071136,5,1,1,5,5,1,5,5
840071137,5,5,5,1,3,1,2,3
840071138,5,1,3,1,3,1,1,1
840071139,5,4,3,1,2,1,1,1
840071140,4,2,2,1,1,1,2,2
840071141,1,1,1,5,5,1,5,5
840071142,5,1,1,1,1,1,5,1
840071143,3,3,3,3,3,3,3,3
840071144,5,4,4,2,2,2,2,4
840071145,5,5,5,1,4,1,1,1
840071146,5,5,5,5,5,-2,5,5
840071147,5,5,5,5,5,4,1,5
840071148,5,2,1,2,2,1,1,3
840071149,5,2,4,1,2,1,1,3
840071150,2,2,2,2,1,1,1,1
840071151,5,4,2,1,1,1,1,-2
840071152,2,2,1,4,2,1,5,2
840071153,4,4,4,1,1,1,4,1
840071154,5,2,5,5,5,2,3,4
840071155,5,1,5,1,1,1,1,2
840071156,2,1,5,1,1,1,1,1
840071157,4,3,2,2,5,2,2,4
840071158,3,1,1,5,2,1,1,2
840071159,5,5,5,5,5,1,1,1
840071160,5,5,4,1,4,1,4,2
840071161,5,2,2,1,1,1,2,3
840071162,2,2,1,1,5,2,2,1
840071163,5,1,2,1,2,1,1,1
840071164,2,5,2,3,3,2,-2,3
840071165,3,2,2,1,1,1,3,1
840071166,1,3,5,1,4,1,4,1
840071167,-2,1,3,1,1,1,5,5
840071168,5,1,2,1,1,1,1,1
840071169,2,2,2,2,2,2,2,3
840071170,2,3,3,3,3,3,4,4
840071171,2,3,3,2,5,3,2,-2
840071172,2,1,1,1,5,1,3,2
840071173,1,3,1,3,2,1,1,1
840071174,5,1,4,4,4,4,4,4
840071175,5,3,2,1,1,1,1,1
840071176,5,5,5,1,1,1,1,1
