D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
51070001,3.0,-2.0,1.0,1.0,3.0,4.0,-1.0,4.0,-1.0,3.0
51070002,4.0,4.0,1.0,-1.0,-1.0,4.0,-1.0,1.0,1.0,-1.0
51070003,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0
51070004,3.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0
51070005,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0
51070006,3.0,2.0,1.0,-1.0,2.0,3.0,1.0,2.0,2.0,1.0
51070007,3.0,-1.0,4.0,2.0,3.0,-1.0,2.0,3.0,2.0,1.0
51070008,4.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0
51070009,3.0,4.0,3.0,2.0,3.0,2.0,-1.0,-1.0,-1.0,1.0
51070010,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
51070011,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0
51070012,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0
51070013,4.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,1.0
51070014,3.0,3.0,3.0,-1.0,1.0,3.0,2.0,4.0,3.0,1.0
51070015,3.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0
51070016,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0
51070017,4.0,-1.0,2.0,1.0,4.0,4.0,2.0,-1.0,-1.0,1.0
51070018,1.0,4.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0
51070019,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0
51070020,1.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0
51070021,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0
51070022,-1.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0
51070023,3.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0
51070024,4.0,4.0,-1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
51070025,3.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0
51070026,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0
51070027,-1.0,-1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0
51070028,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,1.0
51070029,-1.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
51070030,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0
51070031,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0
51070032,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
51070033,3.0,2.0,-1.0,2.0,4.0,4.0,-1.0,4.0,-1.0,2.0
51070034,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2.0,4.0,-1.0,1.0
51070035,3.0,4.0,3.0,-1.0,4.0,4.0,2.0,-1.0,-1.0,1.0
51070036,4.0,4.0,-1.0,1.0,4.0,4.0,2.0,2.0,-1.0,1.0
51070037,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0
51070038,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0
51070039,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
51070040,2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,4.0,-1.0,1.0
51070041,-1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0
51070042,4.0,4.0,3.0,-1.0,4.0,-1.0,1.0,4.0,1.0,1.0
51070043,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0
51070044,4.0,-1.0,3.0,-1.0,4.0,-1.0,1.0,4.0,1.0,1.0
51070045,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0
51070046,-1.0,-1.0,3.0,2.0,4.0,3.0,3.0,-1.0,-1.0,-1.0
51070047,3.0,4.0,3.0,3.0,1.0,3.0,-1.0,4.0,1.0,1.0
51070048,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
51070049,4.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0
51070050,1.0,-1.0,2.0,1.0,2.0,4.0,1.0,4.0,-1.0,1.0
51070051,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0
51070052,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0
51070053,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0
51070054,4.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0
51070055,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0
51070056,4.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0
51070057,3.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0
51070058,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
51070059,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0
51070060,-1.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070061,4.0,4.0,4.0,1.0,4.0,4.0,3.0,-1.0,3.0,1.0
51070062,1.0,4.0,3.0,-1.0,3.0,3.0,2.0,4.0,-1.0,1.0
51070063,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0
