D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
170070052,2,2,3,1,2,3,3,4,2,2
170070053,2,3,1,1,3,2,2,3,1,1
170070054,2,4,3,1,4,4,1,1,1,2
170070057,2,1,1,4,3,2,3,4,1,1
170070069,3,3,3,1,1,3,1,1,1,3
170070074,1,1,1,1,1,1,1,1,2,2
170070075,4,1,1,1,1,4,1,3,1,1
170070076,4,1,1,1,4,4,1,1,4,3
170070080,2,2,1,1,4,4,1,1,2,3
170070085,4,3,1,1,1,1,1,3,3,1
170070087,3,4,4,1,1,3,1,3,1,1
170070093,1,3,1,1,1,2,1,1,1,1
170070104,3,3,2,1,3,2,2,3,3,3
170070105,2,3,2,2,2,2,2,3,2,1
170070112,3,1,1,1,1,3,1,3,1,1
170070113,2,3,3,1,1,2,1,3,1,1
170070122,4,3,3,1,1,1,3,3,1,1
170070126,4,3,2,1,1,4,1,1,3,3
170070128,2,1,1,1,3,4,2,1,1,1
170070132,3,3,3,1,1,3,2,4,1,2
170070154,1,4,3,1,1,1,1,4,4,1
170070156,1,4,1,1,1,1,1,3,1,1
170070197,3,2,2,1,3,3,1,3,1,1
170070198,2,2,2,2,2,2,2,2,2,3
170070210,4,3,1,1,2,2,2,1,3,3
170070213,3,3,4,1,1,2,1,4,1,1
170070214,3,3,4,1,1,3,1,1,1,1
170070215,3,4,4,2,3,3,3,3,3,1
170070219,1,1,1,1,1,4,1,1,1,1
170070222,2,3,2,1,3,2,3,1,3,3
170070224,4,3,1,1,3,4,1,4,4,4
170070253,2,3,1,1,2,2,1,3,2,3
170070255,4,1,4,1,1,4,1,1,1,1
170070261,3,3,1,1,1,4,1,3,4,4
170070308,4,3,1,1,1,4,1,3,1,3
170070312,4,1,1,1,1,2,1,2,2,1
170070323,3,3,2,1,4,3,1,2,2,3
170070332,1,3,1,3,3,1,1,3,1,1
170070334,1,1,1,1,1,3,1,3,1,1
170070337,3,4,2,4,4,4,4,4,4,2
170070341,3,1,4,1,1,1,1,4,1,1
170070344,2,1,1,1,1,1,1,1,1,1
170070358,3,3,2,1,2,3,2,2,2,2
170070366,4,4,1,1,4,4,1,2,1,3
170070369,3,1,1,3,3,3,1,4,3,3
170070378,3,3,3,3,3,2,2,1,1,2
170070385,3,3,1,1,1,4,1,4,1,3
170070388,4,1,1,1,4,4,1,1,1,1
170070389,2,2,2,2,1,2,2,2,2,2
170070390,3,3,3,1,1,3,1,4,1,4
170070393,4,4,1,1,1,3,1,3,3,3
170070394,2,3,3,1,1,1,1,3,2,3
170070395,3,4,1,1,3,3,1,3,1,4
170070407,4,2,4,1,3,4,1,2,3,3
170070408,1,1,1,1,1,1,1,1,1,1
170070414,4,4,4,2,2,4,4,4,1,1
170070415,1,2,4,2,2,2,2,2,2,2
170070418,3,3,1,1,3,3,1,3,1,1
170070421,1,3,1,1,1,2,3,2,1,2
170070422,2,1,1,1,1,1,1,1,1,1
170070423,2,4,4,1,1,3,3,3,4,3
170070426,1,2,4,1,1,1,1,4,1,1
170070432,3,3,3,2,2,2,1,3,1,1
170070442,4,4,4,1,1,1,1,1,1,1
170070465,2,1,1,2,1,1,1,1,1,2
170070471,3,3,4,1,1,1,3,4,3,1
170070497,3,3,4,1,1,2,1,1,1,1
170070503,3,3,3,1,3,1,1,1,3,3
170070507,1,4,1,1,4,4,1,1,3,2
170070510,3,4,3,3,4,3,3,3,3,3
170070514,2,3,3,2,1,2,1,3,1,1
170070515,4,3,1,1,3,1,1,1,1,1
170070522,4,4,4,4,4,4,4,4,4,4
170070530,4,4,4,4,4,4,4,4,4,4
170070531,4,4,3,1,4,1,1,4,4,4
170070534,4,3,2,1,1,3,1,1,1,3
170070538,4,1,1,1,1,4,1,1,4,3
170070541,3,3,1,1,4,3,1,2,1,3
170070544,4,4,1,1,1,4,1,3,3,1
170070545,4,4,3,1,3,4,1,1,2,1
170070553,1,3,1,1,1,3,1,4,4,3
170070558,4,4,1,1,1,4,1,1,4,1
170070559,3,3,1,1,1,3,1,2,1,1
170070560,4,4,4,2,2,3,2,3,1,1
170070561,3,2,1,1,2,2,1,1,1,3
170070562,3,3,3,1,1,3,1,4,4,1
170070565,2,3,4,1,2,2,2,4,1,1
