D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
276070001,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0
276070002,1.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0
276070003,1.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
276070004,1.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0
276070005,1.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0
276070006,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
276070007,2.0,-1.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0
276070008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
276070009,2.0,2.0,2.0,-1.0,2.0,2.0,4.0,4.0,1.0,1.0
276070010,2.0,-1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0
276070011,1.0,-1.0,4.0,-1.0,2.0,1.0,4.0,4.0,2.0,2.0
276070012,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
276070013,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0
276070014,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
276070015,1.0,4.0,3.0,4.0,-1.0,1.0,4.0,4.0,1.0,1.0
276070016,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0
276070017,1.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
276070018,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0
276070019,1.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0
276070020,1.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0
276070021,2.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,-1.0
276070022,1.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0
276070023,1.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
276070024,1.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0
276070025,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0
