D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
300070001,1.0,4.0,2.0,4.0,3.0,2.0,-1.0,4.0,-1.0,1.0
300070002,4.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0
300070003,2.0,4.0,2.0,4.0,3.0,-1.0,3.0,4.0,-1.0,1.0
300070004,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
300070005,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0
300070006,4.0,4.0,1.0,4.0,4.0,3.0,-1.0,4.0,2.0,1.0
300070007,3.0,4.0,1.0,-1.0,4.0,4.0,-1.0,4.0,-1.0,2.0
300070008,1.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0
300070009,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070010,-1.0,4.0,4.0,4.0,4.0,-1.0,1.0,4.0,1.0,1.0
300070011,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070012,1.0,4.0,2.0,-1.0,2.0,1.0,-1.0,4.0,1.0,1.0
300070013,1.0,-1.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0
300070014,-1.0,-1.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,1.0
300070015,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070016,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070017,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070018,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070019,-1.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0
300070020,1.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0
300070021,3.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0
300070022,-1.0,4.0,4.0,-1.0,4.0,-1.0,-1.0,-1.0,4.0,1.0
300070023,-1.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0
300070024,4.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0
300070025,2.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0
300070026,1.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0
300070027,1.0,4.0,3.0,-1.0,4.0,2.0,2.0,-1.0,1.0,1.0
300070028,4.0,-1.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0
300070029,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0
300070030,3.0,-1.0,2.0,-1.0,4.0,4.0,-1.0,4.0,4.0,3.0
300070031,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0
300070032,1.0,4.0,3.0,-1.0,4.0,-1.0,4.0,4.0,1.0,2.0
300070033,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0
300070034,3.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0
300070035,1.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0
300070036,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0
300070037,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0
300070038,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0
300070039,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0
300070040,1.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0
300070041,1.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0
300070042,3.0,4.0,1.0,-1.0,4.0,4.0,-1.0,4.0,2.0,2.0
300070043,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
