D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
458070001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
458070002,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0
458070003,3.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0
458070004,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070005,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0
458070006,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
458070007,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070008,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070009,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0
458070010,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070011,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
458070012,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0
458070013,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
458070014,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0
458070015,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
458070016,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
458070017,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
458070018,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0
458070019,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0
458070020,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0
458070021,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
458070022,3.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0
458070023,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0
458070024,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0
458070025,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0
458070026,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0
458070027,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
458070028,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070029,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
458070030,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0
458070031,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
458070032,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070033,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0
458070034,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070035,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070036,4.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0
458070037,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
