D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
484070001,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
484070002,4.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0
484070003,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0
484070004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070005,4.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0
484070006,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
484070007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070008,4.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0
484070009,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0
484070010,2.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0
484070011,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0
484070012,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
484070013,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0
484070014,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0
484070015,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
484070016,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0
484070017,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0
484070018,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0
484070019,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
484070020,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
484070021,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0
484070022,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
484070023,3.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0
484070024,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
484070025,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070026,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
484070027,3.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0
484070028,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
484070029,3.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0
484070030,4.0,2.0,2.0,1.0,1.0,1.0,-1.0,2.0,4.0,1.0
484070031,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
484070032,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0
484070033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070034,3.0,-1.0,-1.0,2.0,2.0,1.0,1.0,4.0,1.0,-1.0
484070035,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
484070036,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
484070037,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0
484070038,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0
484070039,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0
484070040,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
484070041,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0
484070042,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
484070043,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0
484070044,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0
484070045,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0
484070046,4.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0
484070047,-1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0
484070048,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
484070049,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0
484070050,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
484070051,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070052,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
484070053,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
484070054,4.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0
484070055,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
484070056,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0
484070057,4.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0
484070058,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
484070059,3.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0
484070060,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
484070061,3.0,-1.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0
484070062,4.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0
484070063,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0
484070064,4.0,-1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0
484070065,3.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0
484070066,4.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0
484070067,4.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0
484070068,2.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0
484070069,4.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0
484070070,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
484070071,4.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0
484070072,4.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0
484070073,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0
484070074,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0
484070075,4.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0
