D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
528070001,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070002,1,4,4,4,2,1,4,4,2,1
528070003,2,1,3,3,2,3,-1,3,3,1
528070004,1,4,-1,-1,2,1,-1,4,1,1
528070005,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1
528070006,-1,-1,4,3,2,4,-1,3,1,2
528070007,1,4,4,4,1,1,4,4,1,2
528070008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070009,1,4,4,4,3,1,3,4,1,1
528070010,1,3,4,4,1,1,4,4,1,1
528070011,1,3,1,2,2,3,2,3,1,1
528070012,1,4,4,4,2,1,4,4,3,1
528070013,1,4,3,4,2,2,4,3,2,2
528070014,1,4,4,4,1,1,4,4,1,-1
528070015,1,4,4,4,1,1,4,4,1,1
528070016,1,4,4,4,3,1,4,4,2,1
528070017,1,-1,3,4,2,2,4,4,1,2
528070018,3,2,1,3,3,3,4,4,4,2
528070019,1,-1,-1,4,2,1,-1,4,2,1
528070020,4,3,3,3,2,2,3,3,3,2
528070021,2,4,3,4,2,3,3,4,2,2
528070022,1,2,3,4,2,2,4,4,2,2
528070023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070024,1,4,-1,3,1,1,4,4,1,1
528070025,1,3,1,4,2,2,4,4,3,3
528070026,1,2,2,3,2,2,3,3,2,1
528070027,1,4,4,4,1,1,4,4,1,1
528070028,2,-1,-1,-1,-1,-1,-1,-1,-1,2
528070029,1,-1,4,4,3,3,-1,3,2,3
528070030,1,3,4,4,2,1,4,4,1,1
528070031,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070033,1,4,-1,4,-1,-1,4,4,-1,1
528070034,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070035,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070036,1,4,3,4,3,2,3,3,2,1
528070037,1,-1,-1,-1,2,2,-1,-1,2,2
528070038,1,3,3,-1,2,-1,-1,4,1,1
528070039,1,4,3,4,1,1,4,4,1,1
528070040,3,3,3,3,2,2,-1,-1,2,2
528070041,1,3,2,3,3,2,3,3,2,1
528070042,1,4,4,4,1,1,4,4,1,1
528070043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070044,1,4,4,3,1,1,4,4,1,1
528070045,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070046,4,1,-1,1,-1,-1,1,-1,-1,4
528070047,1,3,4,4,1,1,4,3,1,1
528070048,1,-1,-1,-1,-1,-1,-1,-1,2,-1
528070049,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070050,1,-1,-1,-1,2,2,-1,3,2,2
528070051,1,4,4,4,2,3,4,4,3,1
528070052,2,3,1,3,3,3,2,4,3,1
528070053,2,3,4,3,1,2,3,4,3,3
528070054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070055,1,2,4,4,2,1,4,4,1,2
528070056,1,4,3,3,2,2,3,4,3,2
528070057,1,4,2,3,2,2,3,4,2,1
528070058,1,4,4,4,1,1,4,4,1,1
528070059,1,-1,2,2,2,2,2,-1,4,2
528070060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070061,1,3,3,3,1,1,4,3,2,2
528070062,-1,-1,-1,-1,-1,-1,-1,-1,4,-1
528070063,2,-1,-1,3,-1,-1,-1,3,-1,3
528070064,1,-1,-1,-5,-1,-1,-5,-5,2,2
528070065,1,3,3,3,2,2,3,3,2,2
528070066,1,4,4,4,2,1,4,4,1,1
528070067,1,2,-5,3,2,-1,-1,3,3,1
528070068,1,-1,-1,-1,2,2,-1,4,1,1
528070069,1,4,4,4,1,2,4,4,2,1
528070070,2,3,-1,-1,-1,-1,-1,-1,-1,2
528070071,1,3,3,4,2,3,3,4,1,2
528070072,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070073,2,-1,-1,-1,-1,-1,-1,-1,-1,2
528070074,1,-5,-5,-5,4,2,-5,-5,1,1
528070075,1,3,2,4,2,-1,-1,4,3,2
528070076,4,1,1,1,4,4,2,3,3,3
528070077,1,3,3,4,1,1,4,4,2,2
528070078,1,4,4,4,1,1,4,4,2,3
528070079,2,-1,2,-1,-1,3,-1,4,2,3
528070080,1,-1,-1,4,1,-1,4,-1,1,1
528070081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070082,1,3,2,3,3,2,4,4,2,2
528070083,1,4,4,4,1,1,4,4,1,1
528070084,1,4,4,3,1,1,3,3,1,1
528070085,1,-5,-5,-5,1,3,4,-5,2,1
528070086,2,4,1,3,2,2,4,4,2,2
528070087,1,4,4,4,1,1,4,4,1,1
528070088,2,3,2,3,2,-1,-1,-1,4,3
528070089,-1,-2,-5,-5,-5,-5,-5,-5,-5,-5
528070090,1,4,4,4,2,3,-1,4,2,2
528070091,2,3,3,3,3,2,3,4,2,2
528070092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070093,4,1,3,1,4,4,1,3,4,2
528070094,1,-1,4,4,2,2,4,4,2,1
528070095,1,-1,-1,4,2,2,4,4,3,3
528070096,1,4,4,4,1,1,4,4,1,1
528070097,1,4,3,3,1,1,4,4,3,4
528070098,1,4,4,4,1,2,4,4,1,3
528070099,2,3,4,4,4,2,4,4,4,2
528070100,1,-1,4,4,1,1,4,4,1,2
528070101,1,4,4,4,1,1,4,4,2,1
528070102,1,-1,-1,-1,2,1,-1,4,1,2
528070103,2,3,3,4,2,2,4,3,3,2
528070104,2,3,-1,3,2,3,2,4,2,2
528070105,-1,-1,-1,-1,-1,-1,-1,4,4,2
528070106,1,4,4,3,1,1,4,4,3,2
528070107,2,-1,2,-1,2,2,-1,-1,2,1
528070108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070109,3,3,3,3,3,4,2,3,3,1
528070110,1,4,4,3,1,2,3,3,1,2
528070111,1,4,4,4,2,1,4,4,1,1
528070112,2,-1,2,-1,2,-1,4,4,1,1
528070113,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070114,-1,-1,-1,3,2,2,-1,3,2,2
528070115,1,4,4,4,1,1,4,4,2,2
528070116,1,4,4,4,3,2,4,3,3,1
528070117,-1,-1,1,-1,-1,-1,-1,3,3,-1
528070118,1,2,2,2,-1,-1,-1,-1,-1,-1
528070119,1,4,4,4,2,1,4,4,1,1
528070120,1,4,2,4,2,2,4,3,1,1
528070121,1,3,2,3,2,2,4,4,2,2
528070122,1,4,4,4,2,2,4,4,1,1
528070123,2,3,3,3,1,2,3,3,2,2
528070124,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070125,4,4,-1,-1,4,4,-1,4,-1,4
528070126,1,-1,4,3,2,2,4,4,1,1
528070127,1,4,3,4,2,2,4,4,1,1
528070128,1,4,3,4,1,1,4,4,2,1
528070129,1,3,4,4,1,1,4,4,1,2
528070130,1,4,2,4,2,2,4,4,2,2
528070131,1,-1,3,-1,2,2,-1,4,2,2
528070132,2,2,1,-1,3,-1,-1,3,2,1
528070133,-1,-2,-2,-5,-1,-5,-5,-1,-2,-2
528070134,2,-1,2,2,2,-1,-1,3,3,2
528070135,1,3,3,4,2,1,4,4,2,1
528070136,1,-1,-1,-1,2,-1,-1,-1,-1,-1
528070137,2,4,4,4,1,1,4,4,1,1
528070138,2,3,3,3,2,2,3,4,2,2
528070139,1,4,4,4,1,1,4,4,1,1
528070140,1,4,4,4,1,1,4,4,1,2
528070141,1,4,2,2,2,3,3,4,2,1
528070142,1,2,3,3,2,1,2,4,1,2
528070143,1,4,3,4,4,4,4,4,1,1
528070144,1,4,4,4,1,1,-1,4,1,2
528070145,3,1,1,2,3,3,2,3,2,3
528070146,1,-1,-1,-1,2,-1,-1,-1,-1,-1
528070147,1,3,3,3,1,2,4,3,2,2
528070148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070149,-1,-1,4,-1,2,-1,-1,-1,2,2
528070150,2,3,2,3,4,3,2,3,4,3
528070151,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070152,1,4,4,4,1,2,4,4,2,2
528070153,1,-1,4,4,3,2,-1,4,3,1
528070154,1,3,-1,4,2,1,4,4,2,1
528070155,1,4,4,4,3,1,4,4,1,1
528070156,1,4,3,4,1,1,4,4,1,2
528070157,1,-1,4,4,2,-1,-1,4,3,2
528070158,1,1,4,4,2,1,4,4,2,2
528070159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070160,1,4,3,3,2,2,3,4,2,2
528070161,2,2,2,3,2,2,3,2,2,3
528070162,1,4,4,4,1,1,4,4,2,2
528070163,1,4,-1,3,3,-1,-1,4,4,1
528070164,1,-1,-1,-1,2,2,-1,-1,3,2
528070165,1,4,4,4,1,1,4,3,1,2
528070166,2,1,2,3,3,-1,3,4,3,2
528070167,1,3,-1,3,-1,2,3,3,2,3
528070168,1,4,-1,4,-1,-1,4,4,2,-1
528070169,1,2,4,3,2,2,-1,3,3,3
528070170,1,4,4,4,1,1,4,4,1,1
528070171,1,4,3,3,2,2,4,4,1,2
528070172,1,4,4,4,1,1,4,4,1,2
528070173,1,4,4,4,1,1,4,4,1,1
528070174,2,-1,-1,-1,-1,-1,-1,-1,-1,2
528070175,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070176,-2,-2,-2,-5,-5,-5,-2,-5,-2,-1
528070177,1,-1,3,4,2,-1,4,4,3,3
528070178,1,4,4,4,2,2,4,4,1,2
528070179,4,-1,1,-1,4,4,-1,-1,4,-1
528070180,1,4,4,4,1,1,4,4,2,2
528070181,3,3,-1,-1,2,-1,-1,4,-1,2
528070182,3,3,2,2,3,3,-1,4,-1,3
528070183,1,4,3,3,2,3,4,3,2,1
528070184,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
528070185,1,4,4,4,1,4,4,4,1,1
528070186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070187,2,3,1,3,3,2,1,4,3,1
528070188,-1,-1,-1,-1,-1,-1,-1,-1,4,4
528070189,1,4,4,4,2,2,3,4,2,1
528070190,1,4,4,4,4,1,4,4,1,1
528070191,1,4,3,-1,1,-1,4,4,1,1
528070192,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
528070193,4,-1,2,-1,1,-1,2,2,2,2
528070194,1,4,4,4,1,1,4,4,1,1
528070195,1,4,4,4,1,1,4,4,1,1
528070196,2,-1,2,-1,4,3,3,4,2,2
528070197,1,3,3,3,2,2,3,3,3,2
528070198,2,-1,-1,-1,2,2,2,-1,3,4
528070199,1,4,3,4,2,1,3,3,2,2
528070200,1,-1,-1,3,3,-1,-1,-1,-1,-1
528070201,1,-1,2,4,2,2,4,4,3,1
528070202,2,-1,4,4,1,3,4,4,1,-1
528070203,1,2,-1,-1,2,2,4,4,3,2
528070204,1,-1,2,4,2,2,3,4,2,2
528070205,1,4,3,4,1,1,4,4,1,1
528070206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070208,1,4,3,4,1,1,4,4,2,2
528070209,4,2,1,2,4,3,2,4,4,2
528070210,1,4,4,4,1,1,4,3,1,1
528070211,1,4,-1,-1,-1,-1,-1,-1,-1,1
528070212,2,4,2,4,2,2,4,4,2,2
528070213,1,4,3,4,1,1,4,4,1,1
528070214,1,-1,3,4,2,2,4,4,2,2
528070215,1,3,3,3,2,3,3,4,4,2
528070216,2,-1,-1,-1,-1,-1,-1,-1,-1,3
528070217,1,4,3,3,2,1,3,4,1,1
528070218,1,4,3,4,1,1,4,4,1,1
528070219,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070220,1,4,4,4,1,1,4,3,1,1
528070221,1,-1,4,4,4,2,4,4,1,1
528070222,1,-1,3,4,2,1,4,4,3,1
528070223,1,-1,3,3,2,-1,4,3,2,2
528070224,1,2,4,3,2,2,3,4,2,2
528070225,1,4,4,4,1,1,3,4,2,2
528070226,2,3,3,-1,3,2,-1,-1,3,2
528070227,1,-1,-1,-1,-1,2,4,4,2,2
528070228,1,4,-1,-1,2,2,-1,4,2,2
528070229,-1,2,2,-1,-1,3,-1,4,4,2
528070230,1,4,3,4,2,3,3,4,4,1
528070231,-1,-1,-1,-1,-1,-1,-1,-1,1,1
528070232,1,4,3,4,2,2,4,4,1,1
528070233,1,4,3,4,2,-1,4,3,4,1
528070234,1,3,4,4,1,2,4,4,2,1
528070235,1,4,4,3,2,3,3,4,3,2
528070236,1,4,2,3,2,3,3,3,2,1
528070237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070238,2,2,2,4,2,2,3,4,2,1
528070239,1,2,4,4,1,1,4,4,3,1
528070240,1,4,4,4,1,1,4,1,1,1
528070241,1,4,4,4,2,1,4,4,1,3
528070242,1,4,3,3,2,3,3,3,2,1
528070243,4,1,1,-1,4,4,-1,-1,1,2
528070244,1,4,4,4,1,1,3,3,1,1
528070245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070246,2,2,2,2,2,2,2,2,2,2
528070247,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1
528070248,2,-1,-1,2,3,3,2,3,3,3
528070249,1,4,-1,4,-1,1,4,4,1,1
528070250,1,-1,-1,4,2,1,4,4,1,2
528070251,1,4,4,4,4,-1,4,4,1,1
528070252,1,-1,4,4,2,3,4,4,3,1
528070253,1,3,3,4,1,1,4,4,1,1
528070254,1,3,3,4,2,2,4,4,2,2
528070255,1,-1,-1,-1,2,2,-1,4,-1,1
528070256,1,4,4,4,1,2,4,4,2,1
528070257,2,4,2,3,2,1,4,4,2,2
528070258,1,-1,-1,3,4,2,-1,4,3,1
528070259,1,-1,3,4,1,1,-1,4,1,1
528070260,1,4,2,4,3,1,4,4,2,1
528070261,1,-1,-1,-1,2,-1,-1,4,2,2
528070262,1,1,4,3,2,3,-1,4,2,1
528070263,1,4,3,4,2,2,3,4,3,2
528070264,1,4,2,3,3,-1,4,4,2,2
528070265,1,4,4,4,1,2,4,4,1,1
528070266,1,4,4,4,1,1,4,4,1,1
528070267,2,3,3,3,2,2,3,4,3,3
528070268,1,4,-5,-5,1,1,-5,1,1,1
528070269,1,4,4,4,1,1,4,4,3,1
528070270,-1,-1,2,-1,3,-1,-1,-1,-1,3
528070271,2,1,1,-1,3,-1,-1,3,2,1
528070272,1,-1,4,3,3,3,4,4,2,2
528070273,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070274,2,4,1,3,3,2,2,3,3,2
528070275,1,3,4,4,1,1,4,4,2,2
528070276,1,4,3,3,3,2,4,3,2,2
528070277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070278,1,4,3,4,1,1,4,4,1,1
528070279,2,-1,-1,-1,2,2,-1,-1,1,1
528070280,1,4,4,3,2,1,4,4,2,2
528070281,1,4,4,4,2,1,4,4,1,2
528070282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070283,1,-1,-1,-1,-1,-1,-1,-1,1,-1
528070284,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070285,2,-1,4,-1,2,-1,-1,-1,3,4
528070286,1,4,4,4,1,1,4,4,2,1
528070287,1,4,4,4,4,1,4,4,3,1
528070288,2,-1,-1,-1,2,2,-1,-1,2,2
528070289,1,4,4,4,1,1,4,4,1,1
528070290,2,3,3,3,2,3,3,3,3,2
528070291,2,-1,-1,-1,3,2,4,4,1,1
