D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
528070001,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070002,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0
528070003,2.0,1.0,3.0,3.0,2.0,3.0,-1.0,3.0,3.0,1.0
528070004,1.0,4.0,-1.0,-1.0,2.0,1.0,-1.0,4.0,1.0,1.0
528070005,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070006,-1.0,-1.0,4.0,3.0,2.0,4.0,-1.0,3.0,1.0,2.0
528070007,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0
528070008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070009,1.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,1.0
528070010,1.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
528070011,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0
528070012,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0
528070013,1.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0
528070014,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,-1.0
528070015,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
528070016,1.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0
528070017,1.0,-1.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0
528070018,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0
528070019,1.0,-1.0,-1.0,4.0,2.0,1.0,-1.0,4.0,2.0,1.0
528070020,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
528070021,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0
528070022,1.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0
528070023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070024,1.0,4.0,-1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0
528070025,1.0,3.0,1.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0
528070026,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
528070027,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0
528070028,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
528070029,1.0,-1.0,4.0,4.0,3.0,3.0,-1.0,3.0,2.0,3.0
