D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
604070001,1.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
604070002,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
604070003,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0
604070004,4.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,2.0
604070005,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
604070006,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0
604070007,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
604070008,4.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0
604070009,3.0,4.0,2.0,2.0,3.0,-1.0,3.0,4.0,2.0,2.0
604070010,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0
604070011,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0
604070012,3.0,3.0,2.0,2.0,3.0,3.0,1.0,-1.0,2.0,2.0
604070013,3.0,3.0,2.0,2.0,-1.0,3.0,2.0,4.0,2.0,2.0
604070014,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0
604070015,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0
604070016,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0
604070017,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0
604070018,3.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0
604070019,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0
604070020,3.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0
604070021,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0
604070022,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
604070023,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0
604070024,3.0,3.0,3.0,-1.0,3.0,4.0,3.0,3.0,2.0,1.0
604070025,3.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0
604070026,3.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0
604070027,3.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0
604070028,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
604070029,3.0,2.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0
604070030,3.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0
604070031,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
604070032,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0
604070033,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
604070034,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
604070035,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0
604070036,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0
604070037,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
604070038,1.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0
604070039,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
604070040,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
604070041,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0
604070042,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0
604070043,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0
604070044,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
604070045,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0
604070046,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0
604070047,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0
604070048,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0
604070049,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0
604070050,1.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0
604070051,1.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0
604070052,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
604070053,4.0,2.0,2.0,2.0,3.0,3.0,2.0,-1.0,2.0,2.0
604070054,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
604070055,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
604070056,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
604070057,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
604070058,3.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.0,2.0,2.0
604070059,3.0,3.0,3.0,-1.0,3.0,4.0,-1.0,-1.0,3.0,2.0
604070060,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0
604070061,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
604070062,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
604070063,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
604070064,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
604070065,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
604070066,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0
604070067,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0
604070068,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0
604070069,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0
604070070,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0
604070071,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0
604070072,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
604070073,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
604070074,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0
604070075,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0
604070076,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,-1.0
604070077,2.0,1.0,2.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,2.0
604070078,2.0,3.0,1.0,-1.0,2.0,4.0,1.0,-1.0,-1.0,2.0
604070079,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
604070080,3.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0
604070081,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
604070082,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0
