D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
840071001,4,3,4,4,4,4,1,1,2,3
840071002,4,4,4,4,4,4,4,4,4,-2
840071003,4,4,1,4,4,4,4,4,4,4
840071004,4,2,3,4,2,2,3,4,2,1
840071005,4,-2,1,1,3,3,2,3,1,2
840071006,4,4,4,4,4,4,4,4,4,4
840071007,4,1,3,2,2,4,1,2,4,3
840071008,4,3,4,1,3,4,1,1,1,3
840071009,4,1,1,1,4,4,1,2,4,4
840071010,4,4,4,4,4,4,4,4,4,4
840071011,4,1,-1,-1,4,2,2,2,2,4
840071012,4,1,1,1,4,4,1,2,3,4
840071013,4,1,1,2,4,4,1,3,4,4
840071014,4,1,1,1,1,4,1,3,4,4
840071015,4,2,2,2,4,4,1,1,4,4
840071016,4,4,4,4,4,4,4,4,4,4
840071017,4,4,1,1,4,2,2,2,2,2
840071018,4,1,1,1,4,4,1,2,4,4
840071019,4,1,1,1,2,3,1,2,3,3
840071020,4,2,2,2,3,3,2,3,2,2
840071021,4,3,3,3,4,1,3,4,4,2
840071022,4,4,4,4,2,4,4,4,4,4
840071023,4,3,1,2,3,4,1,2,3,2
840071024,4,4,4,4,4,-2,3,3,4,3
840071025,4,3,4,1,2,3,1,1,2,3
840071026,4,1,4,1,4,4,1,3,4,-2
840071027,4,2,2,3,3,3,2,4,2,2
840071028,4,4,4,4,4,3,3,3,2,3
840071029,4,4,4,4,4,4,4,2,2,3
840071030,4,4,2,1,4,4,1,1,1,2
840071031,4,1,3,2,3,4,1,3,4,2
840071032,4,4,4,1,3,3,1,3,4,4
840071033,4,4,4,4,4,4,4,4,4,4
840071034,4,2,2,2,4,4,2,3,4,4
840071035,4,2,2,2,3,4,2,4,4,4
840071036,4,2,1,1,2,4,1,1,4,4
840071037,4,1,1,1,3,4,1,1,1,2
840071038,4,4,4,4,3,4,4,3,3,3
840071039,4,1,4,1,4,-2,-2,-2,-2,-2
840071040,4,2,2,2,3,3,2,3,4,3
840071041,4,3,1,1,4,4,1,2,3,3
840071042,4,4,4,4,4,4,4,4,4,4
840071043,4,2,1,1,4,4,3,2,2,2
840071044,4,4,4,4,4,4,4,4,4,4
840071045,4,4,4,2,2,2,1,1,1,2
840071046,4,1,2,3,3,3,1,4,3,2
840071047,4,4,4,4,4,2,1,4,4,1
840071048,4,4,4,4,4,4,4,4,4,4
840071049,4,4,4,4,4,2,1,2,2,2
840071050,4,4,4,4,4,2,3,3,2,1
840071051,4,4,3,3,3,3,3,3,3,3
840071052,4,4,4,3,2,3,1,1,1,4
840071053,4,4,4,3,4,4,4,4,4,4
840071054,4,3,3,3,3,4,1,1,3,3
840071055,4,4,4,4,4,4,4,4,4,4
840071056,4,4,2,1,4,4,1,2,4,3
840071057,4,-2,-2,-2,-2,-2,-2,2,2,2
840071058,4,3,3,1,3,1,1,4,4,4
840071059,4,2,1,1,3,3,2,3,2,3
840071060,4,-2,2,-2,-2,3,2,3,1,3
840071061,4,3,4,2,1,4,1,2,1,4
840071062,4,4,4,4,4,4,4,4,4,4
840071063,4,4,4,1,1,4,1,2,2,1
840071064,4,4,4,4,4,4,4,4,4,4
840071065,4,2,2,3,3,3,2,3,4,2
840071066,4,4,1,1,4,4,1,3,3,2
840071067,4,3,3,2,2,3,2,1,2,3
840071068,4,2,3,3,4,4,4,4,3,2
840071069,4,4,4,4,4,4,4,4,4,4
840071070,4,3,3,4,2,3,2,3,2,3
840071071,4,1,1,1,4,4,2,2,3,3
840071072,4,1,2,2,4,4,1,2,4,3
840071073,4,4,3,3,3,2,2,2,2,2
840071074,4,3,1,1,4,4,1,3,3,3
840071075,4,4,4,4,4,4,4,4,4,4
840071076,4,4,4,4,4,3,3,3,3,3
840071077,4,3,4,4,4,4,1,1,3,3
840071078,4,3,2,2,3,4,1,2,4,4
840071079,4,4,4,4,4,4,3,3,3,3
840071080,4,2,2,2,3,4,1,3,3,3
840071081,4,-2,-2,2,-2,3,2,-2,-2,1
840071082,4,4,4,4,4,4,4,4,4,4
840071083,4,4,4,4,4,2,2,2,2,2
840071084,4,4,4,4,2,4,3,4,3,3
840071085,4,3,1,2,3,3,2,3,4,1
840071086,4,3,3,2,3,3,2,3,3,2
840071087,4,3,3,1,2,4,4,3,2,1
840071088,4,2,2,3,3,2,2,3,3,3
840071089,4,3,1,1,2,4,1,3,1,1
840071090,4,1,4,1,4,4,1,1,4,1
840071091,4,2,1,1,4,4,1,3,4,1
840071092,4,3,2,2,3,4,1,3,2,2
840071093,4,1,1,1,4,4,1,3,4,4
840071094,4,1,1,2,3,4,1,3,4,2
840071095,4,3,-2,2,3,4,2,2,2,3
840071096,4,2,1,2,2,2,1,4,2,1
840071097,4,4,3,3,3,3,3,3,3,3
840071098,4,3,3,1,2,4,1,2,3,3
840071099,4,3,2,2,2,2,2,4,4,2
840071100,4,-2,2,3,1,2,3,3,1,2
840071101,4,3,1,3,2,3,1,3,2,3
840071102,4,2,2,2,3,4,2,3,4,3
840071103,4,1,2,4,4,2,3,3,2,2
840071104,4,3,2,3,2,2,2,4,2,3
840071105,4,3,3,2,1,2,3,3,3,2
840071106,4,3,1,3,4,3,1,3,2,2
840071107,4,4,4,4,1,4,1,2,2,4
840071108,4,4,4,4,4,3,2,3,3,4
840071109,4,4,4,4,4,4,4,4,3,2
840071110,4,3,3,2,2,3,1,3,3,3
840071111,4,2,2,3,2,3,1,3,3,2
840071112,4,4,4,4,2,2,3,3,3,3
840071113,4,4,-2,-2,-2,-2,-2,-2,-2,-2
840071114,4,1,1,3,4,3,2,3,3,1
840071115,4,1,1,4,2,3,1,1,4,4
840071116,4,3,2,4,4,4,2,2,2,3
840071117,4,1,1,1,4,3,1,1,3,4
840071118,4,3,2,2,3,3,1,4,2,3
840071119,4,1,4,4,1,3,1,2,4,3
840071120,4,4,4,2,4,4,1,3,3,2
840071121,4,1,1,2,4,4,1,3,4,4
840071122,4,3,-2,3,3,2,1,3,4,3
840071123,4,1,1,1,4,4,1,3,4,4
840071124,4,-2,1,2,4,4,1,3,2,4
840071125,4,2,2,1,4,3,1,4,4,1
840071126,4,1,2,1,2,2,1,2,2,2
840071127,4,2,2,4,3,3,1,2,3,2
840071128,4,2,3,2,3,4,1,3,3,1
840071129,4,2,1,1,4,3,1,3,2,2
840071130,4,2,2,2,4,4,1,1,3,3
840071131,4,4,-1,1,1,4,4,4,1,4
840071132,4,2,1,4,4,3,3,3,2,2
840071133,4,4,4,4,4,2,1,2,2,2
840071134,4,4,4,2,3,3,1,3,3,4
840071135,4,2,2,1,3,3,1,4,3,3
840071136,4,2,2,2,3,3,1,2,4,4
