D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
840071001,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0
840071002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.0
840071003,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071004,4.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0
840071005,4.0,-2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0
840071006,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071007,4.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0
840071008,4.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0
840071009,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0
840071010,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071011,4.0,1.0,-1.0,-1.0,4.0,2.0,2.0,2.0,2.0,4.0
840071012,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0
840071013,4.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0
840071014,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0
840071015,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0
840071016,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071017,4.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0
840071018,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0
840071019,4.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0
840071020,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
840071021,4.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0
840071022,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0
840071023,4.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0
840071024,4.0,4.0,4.0,4.0,4.0,-2.0,3.0,3.0,4.0,3.0
840071025,4.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0
840071026,4.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,4.0,-2.0
840071027,4.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0
840071028,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0
840071029,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0
840071030,4.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0
840071031,4.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0
840071032,4.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0
840071033,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071034,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0
840071035,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0
840071036,4.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0
840071037,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0
840071038,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
840071039,4.0,1.0,4.0,1.0,4.0,-2.0,-2.0,-2.0,-2.0,-2.0
840071040,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0
840071041,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0
840071042,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071043,4.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0
840071044,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071045,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
840071046,4.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0
840071047,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0
840071048,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071049,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0
840071050,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0
840071051,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071052,4.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0
840071053,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
840071054,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0
840071055,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071056,4.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,4.0,3.0
840071057,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0
840071058,4.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0
840071059,4.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0
840071060,4.0,-2.0,2.0,-2.0,-2.0,3.0,2.0,3.0,1.0,3.0
840071061,4.0,3.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0
840071062,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071063,4.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0
840071064,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071065,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
840071066,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0
840071067,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0
840071068,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0
840071069,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071070,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
840071071,4.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0
840071072,4.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0
840071073,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
840071074,4.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0
840071075,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071076,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
840071077,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0
840071078,4.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0
840071079,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
840071080,4.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0
840071081,4.0,-2.0,-2.0,2.0,-2.0,3.0,2.0,-2.0,-2.0,1.0
840071082,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071083,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
840071084,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0
840071085,4.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0
840071086,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
840071087,4.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0
840071088,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
840071089,4.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0
840071090,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0
840071091,4.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0
840071092,4.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0
840071093,4.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0
840071094,4.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0
840071095,4.0,3.0,-2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0
840071096,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0
840071097,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071098,4.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0
840071099,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0
840071100,4.0,-2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
840071101,4.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0
840071102,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0
840071103,4.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0
840071104,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0
