D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
51070001,4,2,3,2,4
51070002,3,3,3,3,3
51070003,3,2,3,3,2
51070004,2,1,2,4,2
51070005,4,4,4,4,4
51070006,3,3,2,4,-1
51070007,2,3,3,3,3
51070008,3,3,3,3,3
51070009,3,3,2,3,2
51070010,3,3,2,2,3
51070011,3,2,3,2,3
51070012,2,2,2,2,3
51070013,3,3,4,2,2
51070014,2,2,2,2,4
51070015,1,1,1,1,1
51070016,1,2,2,2,3
51070017,3,4,4,3,4
51070018,2,1,3,2,1
51070019,2,2,2,1,1
51070020,3,3,2,2,2
51070021,4,4,4,4,3
51070022,3,3,3,3,2
51070023,3,3,3,2,2
51070024,4,4,4,4,4
51070025,2,-1,-1,2,-1
51070026,2,2,2,2,2
51070027,-1,3,2,2,-1
51070028,3,3,3,3,3
51070029,-1,3,3,2,4
51070030,3,3,3,3,3
51070031,2,2,2,2,1
51070032,2,2,2,2,2
51070033,-1,-1,-1,-1,-1
51070034,-1,-1,-1,-1,-1
51070035,2,-1,-1,3,3
51070036,4,-1,-1,4,4
51070037,3,3,3,3,2
51070038,3,3,3,4,2
51070039,2,2,2,2,3
51070040,3,4,4,3,-1
51070041,3,-1,3,3,1
51070042,2,2,2,2,2
51070043,-1,2,1,2,3
51070044,3,3,3,2,-1
51070045,3,2,1,1,2
51070046,3,3,-1,-1,-1
51070047,2,4,2,3,-1
51070048,2,4,2,4,2
51070049,3,2,3,2,4
51070050,3,2,2,3,2
51070051,3,3,3,2,2
51070052,3,3,3,2,-1
51070053,2,2,2,2,2
51070054,3,3,3,2,3
51070055,1,3,1,2,2
51070056,2,3,3,2,3
51070057,2,2,3,1,-1
51070058,3,3,4,3,3
51070059,3,1,3,2,2
51070060,3,3,3,3,3
51070061,3,4,3,3,-1
51070062,2,2,2,2,4
51070063,2,1,2,1,1
51070064,4,3,3,4,-1
51070065,3,3,3,4,4
51070066,2,2,2,2,2
51070067,2,1,1,2,1
51070068,3,3,2,2,3
51070069,1,2,1,1,2
51070070,1,3,4,3,4
51070071,2,-1,2,2,2
51070072,3,2,3,2,-1
51070073,3,3,3,2,2
51070074,3,2,3,4,3
51070075,3,-1,-1,4,2
51070076,2,2,2,2,2
51070077,3,2,2,2,2
51070078,3,3,3,2,2
51070079,3,3,-1,3,-1
51070080,-1,-1,-1,2,-1
51070081,3,-1,3,3,3
51070082,3,-1,2,2,3
51070083,2,2,2,2,3
51070084,3,2,2,2,-1
51070085,3,4,4,4,4
51070086,3,2,3,-1,-1
51070087,3,2,2,2,-1
51070088,2,2,2,2,-1
51070089,2,4,2,2,2
51070090,3,3,3,2,2
51070091,3,3,2,2,2
51070092,4,4,2,3,3
51070093,4,3,2,3,2
51070094,3,2,3,2,1
51070095,3,3,3,4,-1
51070096,3,3,2,2,2
51070097,4,3,4,3,3
51070098,3,3,2,2,2
51070099,2,3,3,3,3
51070100,2,2,2,2,2
51070101,2,2,2,2,3
51070102,3,3,3,2,2
51070103,3,4,2,2,2
51070104,3,3,2,3,2
51070105,2,2,3,2,3
51070106,2,3,2,2,3
51070107,3,-1,-1,3,-1
51070108,3,3,3,3,2
51070109,3,3,4,4,2
51070110,2,1,1,2,-1
51070111,4,2,2,2,1
51070112,2,4,2,2,2
51070113,2,3,2,3,-2
51070114,2,2,2,2,2
51070115,3,3,2,3,3
51070116,3,3,4,4,4
51070117,4,-1,-1,-1,-1
51070118,3,-1,3,3,3
51070119,3,2,3,2,3
51070120,3,1,3,4,2
51070121,3,3,3,3,2
51070122,3,2,3,1,1
51070123,3,3,3,3,2
51070124,3,2,2,3,2
51070125,1,2,1,1,1
51070126,3,2,3,3,2
51070127,2,2,2,3,-1
51070128,3,3,3,3,1
51070129,2,2,2,2,2
51070130,3,2,2,2,3
51070131,4,4,4,4,2
51070132,3,2,3,3,3
51070133,3,2,2,2,3
51070134,3,3,2,2,3
51070135,3,3,3,2,2
51070136,2,2,2,2,2
51070137,3,-1,3,-1,2
51070138,2,3,2,2,2
51070139,3,3,3,3,4
51070140,2,2,-2,2,1
51070141,4,4,2,3,3
51070142,3,3,3,4,4
51070143,2,2,2,2,3
51070144,3,2,3,2,2
51070145,4,4,4,4,4
51070146,3,3,3,3,2
51070147,4,3,4,2,3
51070148,4,2,3,2,3
51070149,3,2,3,3,2
51070150,2,3,2,3,4
51070151,2,3,1,1,4
51070152,4,4,2,3,4
51070153,4,3,3,2,3
51070154,2,2,-1,2,-1
51070155,3,4,2,2,2
51070156,3,3,3,3,3
51070157,2,3,2,4,3
51070158,3,2,3,3,2
51070159,3,2,4,2,2
51070160,2,2,2,2,2
51070161,3,2,3,3,2
51070162,2,2,2,2,1
51070163,3,2,3,2,2
51070164,4,4,4,4,4
51070165,2,2,2,2,3
51070166,3,2,3,3,3
51070167,3,3,3,3,2
51070168,3,3,4,2,2
51070169,3,3,3,3,2
51070170,2,2,2,2,-1
51070171,3,3,2,3,3
51070172,4,4,4,4,2
51070173,3,3,2,4,4
51070174,4,4,4,4,4
51070175,2,2,2,2,2
51070176,4,3,3,3,-1
51070177,3,2,-1,3,-1
51070178,3,3,3,2,2
51070179,3,3,4,3,3
51070180,3,4,4,4,2
51070181,3,1,1,2,2
51070182,3,4,3,3,4
51070183,3,2,3,3,3
51070184,3,3,3,4,3
51070185,3,-1,-1,-1,2
51070186,3,3,2,3,3
51070187,4,4,3,4,4
51070188,2,3,2,2,3
51070189,4,2,2,2,2
51070190,4,2,3,3,3
51070191,4,4,4,2,3
51070192,3,3,2,2,4
51070193,4,3,4,4,4
51070194,3,3,4,3,2
51070195,3,2,2,2,3
51070196,3,3,3,3,3
51070197,3,3,3,2,-1
51070198,3,4,3,3,3
51070199,-1,-1,-1,1,-1
51070200,3,3,3,4,4
51070201,2,2,2,-1,-1
51070202,4,2,4,4,4
51070203,3,3,2,2,1
51070204,2,2,2,2,4
51070205,2,2,3,2,2
51070206,2,2,2,2,2
51070207,2,2,2,2,2
51070208,4,4,4,2,2
51070209,1,-1,1,1,1
51070210,3,4,3,3,2
51070211,2,3,2,-1,3
51070212,3,2,1,1,2
51070213,4,2,2,2,2
51070214,2,2,2,2,2
51070215,3,3,3,2,2
51070216,3,3,2,2,2
51070217,1,4,3,4,4
51070218,3,3,3,2,2
51070219,1,3,3,3,4
51070220,3,3,4,4,-1
51070221,3,3,2,2,3
51070222,2,2,2,2,3
51070223,2,2,2,2,3
51070224,3,2,3,2,2
51070225,1,1,2,2,1
51070226,2,3,3,2,4
51070227,2,3,3,3,4
51070228,3,3,3,2,4
51070229,2,2,-1,-1,3
51070230,3,3,3,2,2
51070231,-1,-1,-1,-1,-1
51070232,2,2,1,2,4
51070233,4,4,4,4,4
51070234,3,3,3,3,3
51070235,2,2,2,2,4
51070236,3,3,3,2,3
51070237,2,2,2,3,3
51070238,3,3,4,2,4
51070239,3,3,3,3,4
51070240,4,4,4,2,4
51070241,3,3,3,3,4
51070242,3,4,3,-1,1
51070243,2,2,1,1,2
51070244,3,-1,3,2,3
51070245,-1,-1,-1,-1,3
51070246,3,3,3,3,3
51070247,3,2,3,2,-1
51070248,4,3,3,3,4
51070249,3,4,2,2,2
51070250,2,2,2,2,-1
51070251,2,2,2,2,2
51070252,3,3,3,3,3
51070253,3,3,1,2,1
51070254,2,2,2,1,1
51070255,2,2,2,2,-1
51070256,3,3,3,-1,4
51070257,2,2,1,3,3
51070258,2,2,2,2,4
51070259,2,2,-1,2,3
51070260,4,4,4,3,4
51070261,2,2,2,2,2
51070262,2,2,3,2,2
51070263,4,4,4,4,4
51070264,3,4,4,2,2
51070265,3,3,3,2,2
51070266,3,2,3,3,2
51070267,4,2,4,3,2
51070268,3,4,4,4,2
51070269,4,2,1,2,4
51070270,3,3,3,2,2
51070271,3,3,3,3,3
51070272,2,3,2,2,1
51070273,2,2,2,2,4
51070274,2,3,2,-1,3
51070275,4,2,4,2,3
51070276,3,4,2,3,4
51070277,3,4,4,3,1
51070278,2,-1,-1,-1,-1
51070279,3,3,3,3,3
51070280,2,3,3,3,2
51070281,3,3,3,3,1
51070282,3,3,3,2,3
51070283,2,2,1,-1,1
51070284,4,3,4,3,4
51070285,-1,-1,-1,-1,-1
51070286,-1,3,-1,3,2
51070287,3,-1,2,2,2
51070288,2,2,3,3,3
51070289,3,-1,2,3,2
51070290,4,2,2,2,-1
51070291,4,-1,-1,-1,2
51070292,3,3,3,3,3
51070293,2,2,-1,2,3
51070294,2,1,2,2,3
51070295,3,4,4,4,3
51070296,3,3,3,3,3
51070297,3,3,3,3,4
51070298,-1,-1,-1,2,-1
51070299,3,-1,2,3,-1
51070300,-1,-1,-2,-1,-1
51070301,4,4,4,3,2
51070302,2,2,2,2,3
51070303,1,1,1,1,2
51070304,3,3,3,4,2
51070305,1,2,2,2,3
51070306,2,2,2,2,-1
51070307,4,4,4,2,3
51070308,3,3,3,2,2
51070309,1,4,1,2,2
51070310,3,2,3,2,2
51070311,3,3,2,3,4
51070312,3,3,3,3,4
51070313,1,1,1,4,3
51070314,3,3,3,2,-1
51070315,-1,-1,-2,-1,-1
51070316,2,3,2,2,2
51070317,4,4,2,2,2
51070318,1,2,1,1,3
51070319,-1,1,1,1,-1
51070320,3,2,3,3,2
51070321,3,3,4,3,3
51070322,3,3,3,3,4
51070323,4,4,4,2,2
51070324,2,4,4,4,4
51070325,4,4,4,4,4
51070326,-1,-1,-1,-1,-1
51070327,-2,-2,-2,-2,-2
51070328,-1,3,2,3,4
51070329,2,2,2,2,3
51070330,3,4,4,4,3
51070331,3,3,4,3,3
51070332,2,-1,2,2,4
51070333,2,2,2,2,2
51070334,3,3,1,4,4
51070335,3,3,3,4,4
51070336,3,4,3,4,1
51070337,3,3,2,2,2
51070338,4,4,1,2,4
51070339,3,2,4,2,2
51070340,4,2,1,4,1
51070341,4,4,-1,3,-1
51070342,2,-1,1,1,-1
51070343,2,1,-1,1,3
51070344,2,3,3,3,4
51070345,1,3,-1,2,3
51070346,2,3,2,2,3
51070347,4,4,4,3,3
51070348,4,4,4,4,4
51070349,3,3,3,3,3
51070350,4,4,4,1,1
51070351,4,4,3,3,3
51070352,2,2,2,2,2
51070353,1,4,4,4,4
51070354,4,2,4,2,-1
51070355,4,4,2,2,2
51070356,4,4,4,4,4
51070357,3,3,3,3,3
51070358,2,4,4,4,3
51070359,2,2,3,2,-1
51070360,2,3,2,3,3
51070361,3,3,3,3,3
51070362,-1,-1,-1,-1,2
51070363,3,-1,3,1,-1
51070364,2,2,2,2,1
51070365,3,3,3,3,2
51070366,3,3,3,3,3
51070367,2,2,2,2,1
51070368,3,4,2,2,4
51070369,2,3,1,2,-1
51070370,2,2,2,2,2
51070371,2,2,2,1,2
51070372,3,3,3,3,3
51070373,4,4,4,3,3
51070374,3,3,2,2,2
51070375,3,3,2,4,2
51070376,2,-1,2,2,2
51070377,3,2,2,2,2
51070378,2,-1,3,3,4
51070379,4,4,4,4,4
51070380,3,-1,3,3,3
51070381,3,3,3,3,2
51070382,3,3,3,3,-1
51070383,4,3,2,2,3
51070384,4,4,4,4,4
51070385,4,4,4,3,-1
51070386,3,3,3,3,3
51070387,2,2,2,2,4
51070388,3,3,3,3,3
51070389,3,3,3,3,3
51070390,-1,-1,1,1,4
51070391,4,4,4,3,4
51070392,3,3,3,3,4
51070393,3,3,4,3,-1
51070394,3,3,3,2,3
51070395,4,3,3,2,2
51070396,4,4,4,3,3
51070397,3,4,4,3,1
51070398,3,3,3,3,3
51070399,3,3,3,3,3
51070400,2,3,2,2,4
51070401,-1,2,3,2,-1
51070402,2,3,3,2,2
51070403,3,3,4,3,3
51070404,3,3,3,3,4
51070405,2,3,3,3,4
51070406,2,2,2,2,-1
51070407,3,3,3,2,2
51070408,2,3,2,2,2
51070409,3,3,3,3,3
51070410,3,3,3,2,2
51070411,3,3,3,3,3
51070412,1,4,2,2,4
51070413,3,3,3,3,3
51070414,-1,-1,1,-1,1
51070415,2,3,3,3,3
51070416,3,2,3,2,-2
51070417,3,3,3,2,2
51070418,3,2,3,3,3
51070419,3,2,2,2,4
51070420,4,3,2,3,-1
51070421,2,2,2,2,4
51070422,2,2,2,2,4
51070423,3,3,3,3,2
51070424,2,3,2,2,2
51070425,4,4,4,4,4
51070426,2,2,2,2,2
51070427,4,-1,2,3,-1
51070428,3,3,-1,2,-1
51070429,3,3,3,2,3
51070430,3,3,3,2,3
51070431,3,3,2,2,2
51070432,3,2,2,3,2
51070433,-2,-2,-2,-1,1
51070434,3,3,4,3,-1
51070435,3,3,3,3,3
51070436,-1,-1,-1,-1,-1
51070437,3,3,3,1,4
51070438,1,1,1,1,-1
51070439,2,2,2,2,3
51070440,2,3,3,2,4
51070441,3,3,2,3,3
51070442,2,3,4,3,3
51070443,3,-1,3,3,-1
51070444,4,4,4,4,4
51070445,3,3,3,3,3
51070446,3,2,2,4,-1
51070447,3,3,3,3,3
51070448,2,2,2,2,3
51070449,2,2,2,2,2
51070450,2,2,2,2,3
51070451,2,2,2,2,2
51070452,3,2,4,4,3
51070453,2,3,1,2,1
51070454,3,2,2,2,2
51070455,2,2,-1,2,1
51070456,2,2,2,2,3
51070457,4,2,4,4,1
51070458,4,3,3,3,3
51070459,4,2,4,4,-1
51070460,2,2,3,3,4
51070461,3,3,2,-1,3
51070462,4,3,3,3,4
51070463,3,3,4,3,4
51070464,3,-1,-1,2,4
51070465,4,-1,4,2,4
51070466,-1,-1,3,2,-1
51070467,3,2,3,3,3
51070468,-1,2,2,2,1
51070469,2,-1,3,2,-1
51070470,2,4,2,4,4
51070471,3,3,3,2,-1
51070472,2,2,2,2,2
51070473,-1,2,2,2,-1
51070474,3,3,4,3,3
51070475,3,3,4,3,4
51070476,2,3,2,2,-1
51070477,4,3,3,3,3
51070478,2,2,1,3,3
51070479,4,3,3,3,-1
51070480,2,1,3,2,1
51070481,-1,2,-1,2,2
51070482,2,4,2,2,2
51070483,3,3,3,3,3
51070484,-1,-1,-1,2,-1
51070485,2,2,-1,3,3
51070486,3,3,3,2,2
51070487,1,1,1,1,1
51070488,2,3,3,2,2
51070489,3,4,4,4,4
51070490,4,-1,-1,3,-1
51070491,2,2,2,1,-1
51070492,2,3,2,1,3
51070493,3,3,3,3,3
51070494,3,3,3,2,-1
51070495,3,3,3,3,3
51070496,3,3,3,1,3
51070497,2,3,3,2,2
51070498,3,3,3,3,-1
51070499,-1,-1,-1,-1,-1
51070500,2,3,2,2,3
51070501,3,3,3,2,3
51070502,4,3,4,4,-1
51070503,2,2,2,2,2
51070504,3,3,3,3,1
51070505,3,2,3,4,2
51070506,3,3,3,2,2
51070507,3,3,3,3,3
51070508,4,3,3,3,2
51070509,4,4,3,3,2
51070510,2,2,3,1,1
51070511,4,2,2,2,4
51070512,3,3,3,2,2
51070513,2,3,3,1,4
51070514,3,3,-2,4,3
51070515,3,-1,-1,-1,-1
51070516,2,3,2,2,3
51070517,3,3,2,2,4
51070518,3,4,2,2,2
51070519,3,4,4,3,2
51070520,3,4,-1,4,-1
51070521,3,3,3,3,4
51070522,3,3,3,3,3
51070523,3,3,3,3,2
51070524,3,2,3,2,2
51070525,3,4,3,2,2
51070526,3,3,3,3,2
51070527,3,3,3,3,3
51070528,4,-1,3,3,-1
51070529,-1,-1,-1,-1,-1
51070530,3,3,3,-1,-1
51070531,2,2,2,1,2
51070532,4,4,4,4,4
51070533,2,2,2,2,2
51070534,3,3,2,2,1
51070535,4,3,-1,4,-1
51070536,4,2,2,4,2
51070537,3,3,3,3,3
51070538,4,4,4,4,4
51070539,2,1,1,1,2
51070540,3,2,3,2,3
51070541,3,2,1,1,1
51070542,3,2,2,2,2
51070543,2,2,2,-1,3
51070544,3,3,3,2,1
51070545,3,3,3,2,3
51070546,2,2,-1,1,-1
51070547,-1,-1,-1,-1,-1
51070548,3,3,3,3,3
51070549,3,3,3,2,4
51070550,2,2,-1,2,4
51070551,3,3,2,3,2
51070552,3,3,-1,2,4
51070553,3,2,3,2,2
51070554,2,3,3,2,2
51070555,-1,-1,-1,-1,-1
51070556,4,3,3,3,4
51070557,-1,-1,-1,-1,-1
51070558,2,4,1,2,3
51070559,-1,-1,-1,-1,-1
51070560,3,3,3,3,4
51070561,-1,2,2,3,4
51070562,3,3,3,3,4
51070563,2,1,2,2,-1
51070564,4,3,3,2,4
51070565,4,4,1,1,1
51070566,4,-1,3,3,4
51070567,-1,-1,-1,2,3
51070568,3,3,3,2,2
51070569,-1,2,4,4,-1
