D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
51070001,4.0,2.0,3.0,2.0,4.0
51070002,3.0,3.0,3.0,3.0,3.0
51070003,3.0,2.0,3.0,3.0,2.0
51070004,2.0,1.0,2.0,4.0,2.0
51070005,4.0,4.0,4.0,4.0,4.0
51070006,3.0,3.0,2.0,4.0,-1.0
51070007,2.0,3.0,3.0,3.0,3.0
51070008,3.0,3.0,3.0,3.0,3.0
51070009,3.0,3.0,2.0,3.0,2.0
51070010,3.0,3.0,2.0,2.0,3.0
51070011,3.0,2.0,3.0,2.0,3.0
51070012,2.0,2.0,2.0,2.0,3.0
51070013,3.0,3.0,4.0,2.0,2.0
51070014,2.0,2.0,2.0,2.0,4.0
51070015,1.0,1.0,1.0,1.0,1.0
51070016,1.0,2.0,2.0,2.0,3.0
51070017,3.0,4.0,4.0,3.0,4.0
51070018,2.0,1.0,3.0,2.0,1.0
51070019,2.0,2.0,2.0,1.0,1.0
51070020,3.0,3.0,2.0,2.0,2.0
51070021,4.0,4.0,4.0,4.0,3.0
51070022,3.0,3.0,3.0,3.0,2.0
51070023,3.0,3.0,3.0,2.0,2.0
51070024,4.0,4.0,4.0,4.0,4.0
51070025,2.0,-1.0,-1.0,2.0,-1.0
51070026,2.0,2.0,2.0,2.0,2.0
51070027,-1.0,3.0,2.0,2.0,-1.0
51070028,3.0,3.0,3.0,3.0,3.0
51070029,-1.0,3.0,3.0,2.0,4.0
51070030,3.0,3.0,3.0,3.0,3.0
51070031,2.0,2.0,2.0,2.0,1.0
51070032,2.0,2.0,2.0,2.0,2.0
51070033,-1.0,-1.0,-1.0,-1.0,-1.0
51070034,-1.0,-1.0,-1.0,-1.0,-1.0
51070035,2.0,-1.0,-1.0,3.0,3.0
51070036,4.0,-1.0,-1.0,4.0,4.0
51070037,3.0,3.0,3.0,3.0,2.0
51070038,3.0,3.0,3.0,4.0,2.0
51070039,2.0,2.0,2.0,2.0,3.0
51070040,3.0,4.0,4.0,3.0,-1.0
51070041,3.0,-1.0,3.0,3.0,1.0
51070042,2.0,2.0,2.0,2.0,2.0
51070043,-1.0,2.0,1.0,2.0,3.0
51070044,3.0,3.0,3.0,2.0,-1.0
51070045,3.0,2.0,1.0,1.0,2.0
51070046,3.0,3.0,-1.0,-1.0,-1.0
51070047,2.0,4.0,2.0,3.0,-1.0
51070048,2.0,4.0,2.0,4.0,2.0
