D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
170070052,2,2,2,3,2
170070053,3,2,3,2,2
170070054,3,2,3,3,3
170070057,3,2,3,3,2
170070069,2,2,2,2,2
170070074,3,3,3,3,2
170070075,3,3,3,4,3
170070076,3,3,3,3,3
170070080,3,2,3,2,2
170070085,3,3,3,3,3
170070087,3,2,2,2,2
170070093,3,3,3,3,3
170070104,3,3,3,3,2
170070105,3,3,3,3,3
170070112,3,3,3,2,2
170070113,3,2,3,3,2
170070122,2,1,1,1,1
170070126,4,3,3,3,2
170070128,2,2,2,2,2
170070132,4,4,4,4,4
170070154,2,2,2,2,2
170070156,2,2,2,3,2
170070197,3,3,3,2,2
170070198,3,3,3,3,3
170070210,4,4,2,3,4
170070213,2,2,3,4,2
170070214,3,3,3,3,2
170070215,2,2,2,2,2
170070219,4,3,3,3,3
170070222,3,2,3,3,2
170070224,4,4,4,4,4
170070253,2,3,2,2,3
170070255,1,1,3,2,2
170070261,4,4,4,4,4
170070308,3,3,3,2,2
170070312,4,4,4,4,4
170070323,3,3,3,3,3
170070332,2,2,2,2,2
170070334,3,3,3,3,2
170070337,3,4,3,3,4
170070341,4,4,2,4,2
170070344,3,3,3,3,3
170070358,3,2,2,3,3
170070366,4,3,4,4,4
170070369,2,2,2,2,2
170070378,3,3,3,3,3
170070385,2,2,3,3,1
170070388,4,4,4,4,4
170070389,3,3,3,3,3
170070390,2,2,2,2,2
170070393,3,3,3,3,2
170070394,1,2,2,3,3
170070395,2,2,3,2,2
170070407,4,4,4,4,4
170070408,4,4,4,4,2
170070414,4,2,3,3,3
170070415,1,1,1,1,1
170070418,3,2,3,2,2
170070421,3,2,2,3,2
170070422,3,2,2,3,1
170070423,2,2,2,2,2
170070426,3,3,3,4,2
170070432,2,1,3,2,2
170070442,4,4,4,4,4
170070465,3,3,3,3,3
170070471,3,2,3,3,2
170070497,4,4,4,4,1
170070503,4,4,4,3,3
170070507,4,4,4,4,4
170070510,4,4,4,4,4
170070514,2,3,4,2,2
170070515,3,4,4,4,4
170070522,2,1,1,1,1
170070530,2,2,2,2,2
170070531,4,4,4,4,1
170070534,3,4,3,3,3
170070538,4,4,4,4,2
170070541,3,2,2,2,2
170070544,2,2,3,4,1
170070545,2,2,2,2,2
170070553,4,3,4,4,3
170070558,4,4,4,4,3
170070559,3,3,3,3,3
170070560,3,3,3,2,2
170070561,2,2,3,2,2
170070562,3,3,3,2,2
170070565,3,3,3,3,3
170070585,3,2,2,2,2
170070593,4,3,4,2,3
170070598,3,3,2,3,2
170070601,4,3,4,3,3
170070621,4,2,4,2,2
170070626,3,2,3,3,3
170070630,4,3,4,4,4
170070631,3,3,2,2,2
170070663,1,1,1,1,1
170070666,4,2,3,3,3
170070669,3,2,3,2,2
170070672,2,3,3,3,2
170070673,3,2,3,3,2
170070676,4,3,4,4,4
170070680,3,3,3,1,3
170070682,3,3,4,2,2
170070686,3,3,3,3,4
170070699,4,4,4,4,4
170070703,2,2,3,3,2
170070704,3,3,3,3,3
170070706,3,3,3,3,3
170070723,2,2,2,2,1
170070731,3,4,2,3,1
170070734,4,4,4,4,4
170070737,1,1,1,1,4
170070749,2,2,2,2,2
170070750,3,3,4,3,2
170070751,2,3,3,2,2
170070752,3,2,2,1,1
170070756,3,2,3,3,2
170070760,3,3,3,3,3
170070762,4,4,4,2,2
170070763,4,4,4,4,4
170070764,3,4,4,4,4
170070769,1,1,1,1,1
170070776,3,3,2,2,2
170070779,3,2,3,3,3
170070805,4,4,4,4,4
170070809,3,3,3,3,3
170070810,4,4,4,4,3
170070836,3,2,2,3,3
170070856,4,2,2,3,2
170070868,4,4,4,3,2
170070881,2,2,2,4,1
170070884,4,2,3,4,4
170070890,2,2,2,2,2
170070904,4,4,4,4,4
170071000,4,2,4,3,2
170071009,3,3,4,3,3
170071010,3,3,3,1,1
170071012,4,4,4,4,4
170071013,2,3,3,3,3
170071014,4,4,4,4,4
170071018,3,3,3,2,2
170071020,3,3,3,3,3
170071024,4,4,3,4,3
170071029,4,4,1,4,4
170071042,3,1,3,4,4
170071045,3,2,2,2,2
170071046,3,3,3,3,3
170071051,3,2,3,2,2
170071052,4,4,4,1,4
170071053,3,2,4,4,4
170071059,2,3,3,3,4
170071060,4,2,4,3,3
170071061,3,2,3,3,2
170071062,3,4,4,2,1
170071083,3,3,3,3,3
170071092,3,3,2,2,2
170071094,3,3,3,3,3
170071095,2,2,2,2,1
170071096,3,3,3,3,2
170071097,3,3,3,4,3
170071101,4,4,4,4,4
170071104,4,4,1,3,1
170071110,3,4,4,4,3
170071113,3,2,3,2,2
170071124,4,3,3,3,3
170071131,2,2,2,2,2
170071152,3,3,3,4,4
170071153,3,2,4,3,2
170071158,3,3,3,2,3
170071160,4,4,4,4,4
170071163,2,2,3,3,2
170071164,3,2,2,2,2
170071165,2,3,3,4,2
170071166,4,4,4,4,4
170071178,2,2,2,2,2
170071181,3,3,2,2,2
170071187,4,4,4,4,2
170071188,3,2,2,2,2
170071191,3,3,3,2,4
170071216,4,4,2,2,3
170071219,3,3,3,2,1
170071222,4,3,4,4,3
170071225,1,1,1,1,1
170071226,2,2,2,2,2
170071230,4,4,4,4,4
170071231,2,3,3,2,2
170071234,3,3,3,2,1
170071248,3,2,3,2,2
