D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
170070052,2.0,2.0,2.0,3.0,2.0
170070053,3.0,2.0,3.0,2.0,2.0
170070054,3.0,2.0,3.0,3.0,3.0
170070057,3.0,2.0,3.0,3.0,2.0
170070069,2.0,2.0,2.0,2.0,2.0
170070074,3.0,3.0,3.0,3.0,2.0
170070075,3.0,3.0,3.0,4.0,3.0
170070076,3.0,3.0,3.0,3.0,3.0
170070080,3.0,2.0,3.0,2.0,2.0
170070085,3.0,3.0,3.0,3.0,3.0
170070087,3.0,2.0,2.0,2.0,2.0
170070093,3.0,3.0,3.0,3.0,3.0
170070104,3.0,3.0,3.0,3.0,2.0
170070105,3.0,3.0,3.0,3.0,3.0
170070112,3.0,3.0,3.0,2.0,2.0
170070113,3.0,2.0,3.0,3.0,2.0
170070122,2.0,1.0,1.0,1.0,1.0
170070126,4.0,3.0,3.0,3.0,2.0
170070128,2.0,2.0,2.0,2.0,2.0
170070132,4.0,4.0,4.0,4.0,4.0
170070154,2.0,2.0,2.0,2.0,2.0
170070156,2.0,2.0,2.0,3.0,2.0
170070197,3.0,3.0,3.0,2.0,2.0
170070198,3.0,3.0,3.0,3.0,3.0
170070210,4.0,4.0,2.0,3.0,4.0
170070213,2.0,2.0,3.0,4.0,2.0
170070214,3.0,3.0,3.0,3.0,2.0
170070215,2.0,2.0,2.0,2.0,2.0
170070219,4.0,3.0,3.0,3.0,3.0
170070222,3.0,2.0,3.0,3.0,2.0
170070224,4.0,4.0,4.0,4.0,4.0
170070253,2.0,3.0,2.0,2.0,3.0
170070255,1.0,1.0,3.0,2.0,2.0
170070261,4.0,4.0,4.0,4.0,4.0
170070308,3.0,3.0,3.0,2.0,2.0
170070312,4.0,4.0,4.0,4.0,4.0
170070323,3.0,3.0,3.0,3.0,3.0
170070332,2.0,2.0,2.0,2.0,2.0
170070334,3.0,3.0,3.0,3.0,2.0
170070337,3.0,4.0,3.0,3.0,4.0
170070341,4.0,4.0,2.0,4.0,2.0
170070344,3.0,3.0,3.0,3.0,3.0
170070358,3.0,2.0,2.0,3.0,3.0
170070366,4.0,3.0,4.0,4.0,4.0
170070369,2.0,2.0,2.0,2.0,2.0
170070378,3.0,3.0,3.0,3.0,3.0
170070385,2.0,2.0,3.0,3.0,1.0
170070388,4.0,4.0,4.0,4.0,4.0
170070389,3.0,3.0,3.0,3.0,3.0
170070390,2.0,2.0,2.0,2.0,2.0
170070393,3.0,3.0,3.0,3.0,2.0
170070394,1.0,2.0,2.0,3.0,3.0
170070395,2.0,2.0,3.0,2.0,2.0
170070407,4.0,4.0,4.0,4.0,4.0
170070408,4.0,4.0,4.0,4.0,2.0
170070414,4.0,2.0,3.0,3.0,3.0
170070415,1.0,1.0,1.0,1.0,1.0
170070418,3.0,2.0,3.0,2.0,2.0
170070421,3.0,2.0,2.0,3.0,2.0
170070422,3.0,2.0,2.0,3.0,1.0
170070423,2.0,2.0,2.0,2.0,2.0
170070426,3.0,3.0,3.0,4.0,2.0
170070432,2.0,1.0,3.0,2.0,2.0
170070442,4.0,4.0,4.0,4.0,4.0
170070465,3.0,3.0,3.0,3.0,3.0
170070471,3.0,2.0,3.0,3.0,2.0
170070497,4.0,4.0,4.0,4.0,1.0
170070503,4.0,4.0,4.0,3.0,3.0
170070507,4.0,4.0,4.0,4.0,4.0
170070510,4.0,4.0,4.0,4.0,4.0
170070514,2.0,3.0,4.0,2.0,2.0
170070515,3.0,4.0,4.0,4.0,4.0
170070522,2.0,1.0,1.0,1.0,1.0
170070530,2.0,2.0,2.0,2.0,2.0
170070531,4.0,4.0,4.0,4.0,1.0
170070534,3.0,4.0,3.0,3.0,3.0
170070538,4.0,4.0,4.0,4.0,2.0
170070541,3.0,2.0,2.0,2.0,2.0
170070544,2.0,2.0,3.0,4.0,1.0
170070545,2.0,2.0,2.0,2.0,2.0
170070553,4.0,3.0,4.0,4.0,3.0
170070558,4.0,4.0,4.0,4.0,3.0
170070559,3.0,3.0,3.0,3.0,3.0
170070560,3.0,3.0,3.0,2.0,2.0
170070561,2.0,2.0,3.0,2.0,2.0
170070562,3.0,3.0,3.0,2.0,2.0
170070565,3.0,3.0,3.0,3.0,3.0
170070585,3.0,2.0,2.0,2.0,2.0
170070593,4.0,3.0,4.0,2.0,3.0
170070598,3.0,3.0,2.0,3.0,2.0
170070601,4.0,3.0,4.0,3.0,3.0
170070621,4.0,2.0,4.0,2.0,2.0
170070626,3.0,2.0,3.0,3.0,3.0
170070630,4.0,3.0,4.0,4.0,4.0
170070631,3.0,3.0,2.0,2.0,2.0
170070663,1.0,1.0,1.0,1.0,1.0
170070666,4.0,2.0,3.0,3.0,3.0
170070669,3.0,2.0,3.0,2.0,2.0
170070672,2.0,3.0,3.0,3.0,2.0
170070673,3.0,2.0,3.0,3.0,2.0
170070676,4.0,3.0,4.0,4.0,4.0
170070680,3.0,3.0,3.0,1.0,3.0
170070682,3.0,3.0,4.0,2.0,2.0
170070686,3.0,3.0,3.0,3.0,4.0
170070699,4.0,4.0,4.0,4.0,4.0
170070703,2.0,2.0,3.0,3.0,2.0
170070704,3.0,3.0,3.0,3.0,3.0
170070706,3.0,3.0,3.0,3.0,3.0
170070723,2.0,2.0,2.0,2.0,1.0
170070731,3.0,4.0,2.0,3.0,1.0
170070734,4.0,4.0,4.0,4.0,4.0
170070737,1.0,1.0,1.0,1.0,4.0
170070749,2.0,2.0,2.0,2.0,2.0
170070750,3.0,3.0,4.0,3.0,2.0
170070751,2.0,3.0,3.0,2.0,2.0
