D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
276070001,3,2,2,2,2
276070002,2,2,2,2,2
276070003,2,-1,2,2,2
276070004,2,2,1,2,2
276070005,3,3,3,3,3
276070006,1,2,2,1,2
276070007,3,3,2,2,2
276070008,-1,-1,-1,-1,-1
276070009,2,3,2,2,2
276070010,3,2,2,3,3
276070011,2,2,2,2,2
276070012,3,2,2,2,3
276070013,3,3,2,2,3
276070014,2,3,2,1,2
276070015,3,3,2,2,2
276070016,2,3,-1,2,2
276070017,2,3,-1,2,3
276070018,2,2,2,2,-1
276070019,2,2,2,2,2
276070020,2,3,2,2,2
276070021,2,2,2,2,2
276070022,2,-1,-1,1,-1
276070023,2,2,2,2,3
276070024,2,2,2,-1,2
276070025,2,3,2,2,2
276070026,2,2,2,2,2
276070027,2,2,2,1,2
276070028,2,2,2,2,2
276070029,3,3,3,3,2
276070030,3,2,3,4,4
276070031,2,2,2,2,2
276070032,2,2,2,2,2
276070033,2,2,2,2,2
276070034,2,2,2,2,2
276070035,3,2,2,1,2
276070036,4,3,2,2,3
276070037,2,2,2,2,2
276070038,2,2,2,2,2
276070039,2,2,2,2,2
276070040,-1,-1,-1,1,3
276070041,2,3,2,2,2
276070042,2,2,2,2,3
276070043,2,2,2,2,2
276070044,3,4,4,3,4
276070045,1,4,2,2,4
276070046,2,2,2,2,2
276070047,-1,-1,-1,-1,-1
276070048,2,2,1,1,2
276070049,2,3,2,1,3
276070050,2,2,2,2,2
276070051,2,-1,-1,3,3
276070052,-1,-1,-1,-1,-1
276070053,2,2,2,-1,-1
276070054,2,2,2,2,2
276070055,2,-1,2,2,-1
276070056,1,2,1,1,2
276070057,2,2,2,2,2
276070058,2,2,2,2,2
276070059,2,2,1,1,2
276070060,3,2,2,2,3
276070061,2,2,1,1,2
276070062,2,2,2,2,2
276070063,2,2,2,2,2
276070064,2,2,1,1,1
276070065,3,3,3,-1,3
276070066,2,3,2,2,3
276070067,3,3,3,2,3
276070068,3,3,3,2,2
276070069,2,3,3,2,2
276070070,1,2,1,1,1
276070071,3,3,3,2,3
276070072,2,2,2,2,2
276070073,2,2,2,2,3
276070074,2,2,2,2,2
276070075,2,3,2,2,3
276070076,2,2,2,2,2
276070077,1,1,1,2,3
276070078,2,2,1,1,1
276070079,2,2,1,1,2
276070080,2,2,1,2,2
