D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
300070001,-1,-1,3,2,-1
300070002,3,2,3,2,3
300070003,3,2,3,2,3
300070004,2,2,3,2,3
300070005,4,2,3,3,4
300070006,2,-1,2,2,2
300070007,2,-1,2,2,2
300070008,4,-1,3,2,2
300070009,3,-1,3,2,2
300070010,2,2,3,2,2
300070011,3,3,3,3,3
300070012,2,2,2,2,2
300070013,2,3,2,3,3
300070014,2,2,2,3,3
300070015,2,2,2,3,3
300070016,2,2,2,2,2
300070017,3,2,3,3,3
300070018,3,2,2,3,4
300070019,4,-2,3,3,4
300070020,2,2,2,3,3
300070021,4,4,3,3,4
300070022,3,3,3,3,3
300070023,3,3,2,-2,3
300070024,4,2,3,4,4
300070025,4,4,4,4,4
300070026,3,3,3,2,4
300070027,2,2,3,3,3
300070028,3,3,3,3,3
300070029,4,4,4,3,4
300070030,3,3,-1,3,3
300070031,3,2,3,2,3
300070032,3,3,3,2,2
300070033,2,2,-1,2,2
300070034,2,1,2,1,2
300070035,4,4,2,2,4
300070036,2,1,2,2,2
300070037,3,2,4,3,2
300070038,2,1,2,2,2
300070039,3,3,3,3,4
300070040,2,2,3,2,3
300070041,3,3,3,4,4
300070042,3,3,3,2,2
300070043,2,2,2,3,3
300070044,3,2,3,2,3
300070045,4,4,4,4,4
300070046,3,3,3,2,3
300070047,2,-1,2,-1,2
300070048,3,4,3,3,3
300070049,-1,-1,-1,-1,-1
300070050,3,-1,-1,2,2
300070051,3,2,3,3,3
300070052,4,3,1,3,4
300070053,3,3,3,3,3
300070054,-1,-1,-1,-1,-1
300070055,3,2,3,3,3
300070056,2,2,2,2,2
300070057,3,3,3,3,3
300070058,3,-1,3,3,3
300070059,3,-1,2,2,3
300070060,3,3,3,3,3
300070061,3,-1,-1,2,3
300070062,3,-1,3,3,3
300070063,2,2,2,2,3
300070064,3,3,3,2,3
300070065,3,2,3,3,3
300070066,2,2,2,2,2
300070067,3,3,-2,2,4
300070068,3,2,3,3,3
300070069,2,2,2,2,3
300070070,3,2,3,2,3
300070071,3,2,3,2,2
300070072,3,2,3,2,3
300070073,3,-1,3,2,2
300070074,3,2,3,2,3
300070075,-1,-1,2,-1,-1
300070076,2,3,2,2,3
300070077,2,-1,2,2,-1
300070078,2,2,3,2,2
300070079,3,2,3,2,3
300070080,3,2,3,2,3
300070081,3,3,3,2,3
300070082,2,2,2,2,2
300070083,3,2,2,2,3
300070084,3,2,3,2,3
300070085,4,2,3,2,3
300070086,3,2,2,2,3
300070087,2,2,2,2,3
300070088,3,2,3,2,3
300070089,3,3,3,2,4
300070090,3,2,3,2,3
300070091,2,2,3,2,2
300070092,2,2,3,3,2
300070093,3,2,3,3,3
300070094,3,2,2,2,2
300070095,3,3,3,4,4
300070096,2,-1,2,2,2
300070097,3,-1,4,3,4
300070098,3,2,3,2,4
300070099,2,-1,3,2,3
300070100,3,2,3,3,3
300070101,4,3,4,4,4
300070102,2,3,2,3,3
300070103,3,3,3,3,3
300070104,2,3,2,3,3
300070105,2,2,2,3,2
300070106,3,3,2,3,3
300070107,3,3,3,3,3
300070108,2,2,2,2,3
300070109,2,2,2,3,3
300070110,2,2,2,2,3
300070111,3,2,3,3,3
300070112,3,3,3,3,3
300070113,3,3,3,3,3
300070114,-1,4,2,3,3
300070115,3,3,2,2,4
300070116,4,3,2,4,4
300070117,4,3,3,3,3
300070118,3,-2,-2,-2,-2
300070119,3,3,3,3,3
300070120,4,3,3,3,4
300070121,3,2,3,2,3
300070122,3,2,3,2,3
300070123,4,2,3,4,4
300070124,4,3,4,3,3
300070125,-2,-2,-2,-2,-2
300070126,3,2,4,3,4
300070127,3,2,3,3,3
300070128,3,2,4,4,4
300070129,2,2,3,2,3
300070130,3,2,3,2,3
300070131,2,2,3,2,4
300070132,3,2,3,3,4
300070133,4,3,3,2,4
300070134,3,3,3,2,3
300070135,3,3,3,3,4
300070136,3,2,2,2,3
300070137,3,2,2,2,3
300070138,3,3,3,3,3
300070139,3,2,3,2,3
300070140,3,3,3,2,3
300070141,4,3,3,3,4
300070142,3,3,3,2,4
300070143,4,2,2,2,4
300070144,3,3,3,3,4
300070145,4,3,4,3,4
300070146,4,3,3,3,4
300070147,3,3,3,2,3
300070148,2,2,2,2,3
300070149,3,3,3,2,3
300070150,3,3,3,3,3
300070151,4,4,4,4,4
300070152,4,4,2,2,2
300070153,3,4,4,3,3
300070154,4,4,4,4,4
300070155,4,4,4,4,4
300070156,3,2,2,2,3
300070157,4,4,4,4,4
300070158,3,4,3,3,4
300070159,3,3,3,3,4
300070160,4,3,4,4,4
300070161,3,3,3,2,3
300070162,2,2,2,2,2
300070163,3,2,2,2,3
300070164,2,2,2,2,2
300070165,4,2,3,2,4
300070166,3,2,2,2,3
300070167,2,2,3,2,3
300070168,3,3,3,3,3
300070169,3,2,4,3,2
300070170,3,3,3,3,4
300070171,3,2,3,-2,2
300070172,3,2,3,3,2
300070173,3,3,4,3,4
300070174,4,3,4,3,3
300070175,2,2,3,2,3
300070176,3,2,2,3,2
300070177,2,2,2,2,2
300070178,3,3,3,3,3
300070179,3,3,3,2,4
300070180,3,2,3,2,3
300070181,3,3,3,3,3
300070182,2,2,2,2,2
300070183,3,2,3,3,3
300070184,3,2,3,3,3
300070185,3,2,3,3,3
300070186,3,3,3,3,3
300070187,3,2,3,3,3
300070188,2,2,2,2,2
300070189,3,2,3,3,3
300070190,3,2,3,3,3
300070191,2,2,2,3,2
300070192,2,2,2,2,2
300070193,2,2,2,2,3
300070194,3,2,2,3,3
300070195,2,2,2,2,2
300070196,2,2,2,3,3
300070197,2,2,2,3,3
300070198,2,2,2,3,3
300070199,2,2,2,2,3
300070200,2,2,2,3,3
300070201,2,2,2,2,3
300070202,3,3,4,4,4
300070203,4,3,3,4,4
300070204,3,2,3,3,3
300070205,4,3,4,4,4
300070206,2,-1,2,2,1
300070207,2,2,2,1,4
300070208,3,3,3,3,4
300070209,3,3,3,3,3
300070210,4,4,4,4,4
300070211,4,2,4,4,4
300070212,3,3,3,4,4
300070213,3,3,3,3,3
300070214,4,4,4,4,4
300070215,4,3,4,4,3
300070216,3,2,3,2,3
300070217,3,4,4,4,3
300070218,3,2,3,3,4
300070219,3,2,3,2,3
300070220,3,3,3,3,3
300070221,4,4,4,4,4
300070222,4,4,2,4,3
300070223,4,4,4,4,4
300070224,2,2,3,3,3
300070225,4,3,3,4,4
300070226,3,3,4,3,4
300070227,3,3,3,3,3
300070228,3,3,3,3,4
300070229,3,3,3,3,3
300070230,4,4,4,4,4
300070231,3,3,3,4,4
300070232,4,3,3,4,3
300070233,4,3,4,3,4
300070234,4,4,4,3,4
300070235,4,3,3,4,4
300070236,3,3,3,3,4
300070237,4,3,4,2,4
300070238,3,4,3,3,4
300070239,4,4,4,4,4
300070240,3,3,3,3,4
300070241,2,2,2,2,2
300070242,3,3,3,2,3
300070243,3,3,3,3,3
300070244,3,2,3,3,3
300070245,2,2,2,2,3
300070246,3,2,3,3,3
300070247,3,2,3,3,3
300070248,3,3,3,3,3
300070249,2,2,2,2,3
300070250,3,3,3,3,3
300070251,3,2,2,3,2
300070252,3,2,3,4,3
300070253,3,2,3,3,3
300070254,3,2,2,2,2
300070255,3,2,3,3,3
300070256,2,2,2,3,2
300070257,2,2,2,3,2
300070258,3,2,3,3,4
300070259,3,-1,2,3,2
300070260,2,2,3,3,3
300070261,2,3,3,3,4
300070262,3,2,2,3,2
300070263,3,2,3,3,3
300070264,3,2,3,2,2
300070265,3,2,2,3,2
300070266,3,2,3,3,3
300070267,3,3,3,2,3
300070268,2,2,2,3,2
300070269,2,2,2,2,2
300070270,2,2,2,3,2
300070271,3,2,2,2,2
300070272,2,2,2,2,3
300070273,2,2,3,2,2
300070274,4,2,3,4,4
300070275,3,2,3,2,4
300070276,4,2,1,1,2
300070277,3,2,3,3,4
300070278,2,2,2,2,3
300070279,3,2,1,1,2
300070280,2,2,2,2,2
300070281,3,3,3,3,3
300070282,2,2,2,3,4
300070283,3,3,3,3,3
300070284,2,2,2,3,3
300070285,2,2,2,3,3
300070286,2,3,2,4,4
300070287,2,2,2,3,3
300070288,2,2,2,2,2
300070289,2,2,2,3,3
300070290,2,2,2,3,3
300070291,3,2,3,3,2
300070292,2,2,2,3,2
300070293,2,2,2,2,2
300070294,3,2,2,3,3
300070295,2,2,2,2,2
300070296,3,2,3,3,3
300070297,2,2,2,2,2
300070298,2,2,2,3,2
300070299,3,2,3,3,3
300070300,2,2,2,3,2
300070301,2,2,2,2,2
300070302,4,3,3,3,4
300070303,3,3,3,2,4
300070304,2,2,3,2,3
300070305,2,2,2,2,3
300070306,3,2,4,2,2
300070307,2,3,2,2,3
300070308,2,2,2,2,2
300070309,4,4,4,4,4
300070310,2,2,2,2,3
300070311,3,-1,3,3,3
300070312,3,2,3,3,3
300070313,4,4,4,3,4
300070314,3,3,3,3,4
300070315,3,3,3,3,3
300070316,3,3,3,3,3
300070317,3,2,3,4,4
300070318,3,3,3,3,3
300070319,4,4,4,4,4
300070320,3,3,3,3,4
300070321,3,3,-1,3,4
300070322,3,2,3,3,3
300070323,3,3,2,2,3
300070324,3,3,3,3,4
300070325,3,2,2,3,3
300070326,2,2,2,2,3
300070327,3,3,3,3,4
300070328,4,4,4,4,4
300070329,3,2,3,2,4
300070330,3,3,3,3,4
300070331,3,3,3,3,4
300070332,4,4,4,4,4
300070333,3,3,3,3,3
300070334,3,3,3,3,4
300070335,4,4,4,4,4
300070336,3,3,3,3,3
300070337,3,2,3,2,3
300070338,3,3,3,3,3
300070339,2,2,2,2,2
300070340,3,3,3,2,4
300070341,3,4,3,2,4
300070342,3,3,3,3,4
300070343,4,4,4,4,4
300070344,3,3,3,3,4
300070345,3,3,3,3,3
300070346,4,4,4,4,4
300070347,4,2,2,3,4
300070348,4,4,4,4,4
300070349,3,3,4,3,4
300070350,2,4,4,2,4
300070351,4,3,4,3,4
300070352,4,4,4,4,4
300070353,4,3,4,4,4
300070354,3,3,3,3,3
300070355,4,3,4,3,4
300070356,3,3,3,3,3
300070357,4,4,4,3,4
300070358,3,3,3,3,3
300070359,4,3,3,4,4
300070360,2,3,3,3,4
300070361,3,2,2,2,3
300070362,2,2,2,2,3
300070363,3,2,3,3,3
300070364,3,2,2,3,3
300070365,3,3,3,3,3
300070366,3,-1,2,2,3
300070367,3,2,3,2,3
300070368,3,2,3,3,3
300070369,3,3,3,3,3
300070370,3,2,3,3,3
300070371,3,2,3,3,3
300070372,2,2,2,2,3
300070373,3,3,3,3,3
300070374,3,4,3,2,4
300070375,3,2,3,2,3
300070376,3,-1,3,3,3
300070377,3,3,2,2,3
300070378,3,3,3,2,3
300070379,3,2,3,3,4
300070380,3,2,2,2,3
300070381,3,3,2,2,4
300070382,3,2,3,3,4
300070383,2,2,2,3,3
300070384,2,2,2,2,3
300070385,3,3,3,3,4
300070386,3,2,2,2,4
300070387,3,2,3,3,4
300070388,4,2,3,3,4
300070389,3,2,2,2,3
300070390,3,3,3,3,4
300070391,3,2,2,3,4
300070392,3,2,2,3,4
300070393,3,2,3,3,3
300070394,3,2,2,3,3
300070395,3,2,2,3,4
300070396,3,3,3,2,4
300070397,4,3,3,3,4
300070398,4,2,4,1,2
300070399,4,2,4,2,4
300070400,2,2,2,2,3
300070401,3,3,3,3,2
300070402,2,2,2,2,3
300070403,-1,-1,-1,-1,3
300070404,-1,-1,-1,2,3
300070405,2,-1,2,1,3
300070406,-1,-1,-1,-1,-1
300070407,2,-1,2,2,3
300070408,3,3,3,2,3
300070409,3,2,2,2,2
300070410,2,2,2,2,3
300070411,4,3,3,2,3
300070412,3,2,3,3,4
300070413,3,2,2,2,4
300070414,4,3,4,4,4
300070415,4,3,4,4,4
300070416,3,3,3,3,4
300070417,3,2,2,3,3
300070418,3,2,2,2,2
300070419,2,2,2,2,3
300070420,3,3,3,2,3
300070421,3,2,3,3,3
300070422,4,3,3,3,3
300070423,3,2,2,2,2
300070424,3,2,3,2,3
300070425,4,3,2,3,3
300070426,3,2,3,3,4
300070427,2,2,2,2,3
300070428,3,2,3,3,3
300070429,3,3,3,3,4
300070430,3,2,2,3,3
300070431,2,2,2,2,2
300070432,2,3,3,3,3
300070433,4,2,3,2,3
300070434,3,2,2,3,2
300070435,3,2,2,3,3
300070436,3,3,3,3,3
300070437,3,3,2,2,3
300070438,2,2,2,2,2
300070439,2,2,2,2,2
300070440,3,3,3,3,3
300070441,3,2,2,3,3
300070442,4,3,2,2,3
300070443,3,3,3,3,3
300070444,3,3,3,3,3
300070445,3,3,3,3,3
300070446,3,2,3,2,3
300070447,3,2,2,2,2
300070448,3,2,2,3,3
300070449,3,2,2,3,3
300070450,3,3,-1,3,3
300070451,2,2,2,2,2
300070452,2,3,2,2,3
300070453,3,2,2,3,3
300070454,2,2,2,3,3
300070455,3,2,2,2,3
300070456,2,2,2,2,2
300070457,2,2,2,2,2
300070458,3,2,2,2,3
300070459,3,2,2,2,3
300070460,2,2,2,2,2
300070461,3,3,3,2,3
300070462,3,3,3,3,4
300070463,3,3,3,2,2
300070464,3,3,4,4,3
300070465,4,4,4,4,4
300070466,3,3,2,2,2
300070467,3,3,3,3,3
300070468,3,3,2,3,3
300070469,3,3,3,2,3
300070470,3,3,3,3,2
300070471,3,3,3,3,3
300070472,4,4,4,3,3
300070473,3,3,3,2,2
300070474,3,3,3,2,3
300070475,3,3,3,3,3
300070476,3,3,3,3,3
300070477,3,3,3,3,3
300070478,3,3,3,3,3
300070479,3,3,3,3,3
300070480,3,3,3,3,3
300070481,3,3,3,2,3
300070482,3,3,3,3,2
300070483,4,4,4,3,2
300070484,3,3,3,3,3
300070485,4,4,4,3,3
300070486,3,3,3,3,2
300070487,3,3,3,3,2
300070488,3,3,3,3,3
300070489,4,4,4,3,3
300070490,3,3,2,3,2
300070491,3,3,3,3,3
300070492,3,3,3,3,2
300070493,3,3,3,3,3
300070494,4,4,4,4,4
300070495,3,3,3,3,2
300070496,3,3,3,4,3
300070497,4,4,4,4,4
300070498,2,2,2,2,2
300070499,2,2,2,2,2
300070500,3,3,3,3,3
300070501,2,2,2,2,3
300070502,3,2,3,2,3
300070503,4,3,4,3,4
300070504,3,2,2,2,3
300070505,2,2,2,2,2
300070506,3,2,2,2,4
300070507,3,2,3,3,4
300070508,3,2,3,3,4
300070509,3,3,3,3,3
300070510,3,2,3,3,4
300070511,3,3,3,4,4
300070512,3,3,3,4,4
300070513,3,3,3,3,3
300070514,2,3,3,3,3
300070515,3,3,3,4,4
300070516,3,3,3,4,4
300070517,3,3,3,4,4
300070518,3,3,3,4,4
300070519,3,3,3,3,3
300070520,3,3,4,3,3
300070521,3,3,3,3,3
300070522,3,3,2,3,3
300070523,3,3,2,2,3
300070524,3,3,3,2,2
300070525,3,3,3,3,3
300070526,3,3,3,2,2
300070527,3,3,3,3,3
300070528,4,3,3,3,4
300070529,3,3,2,2,2
300070530,4,3,3,3,4
300070531,3,3,3,3,3
300070532,3,3,3,3,3
300070533,4,4,3,3,3
300070534,3,3,3,3,3
300070535,3,3,3,3,3
300070536,3,3,3,3,3
300070537,2,2,2,2,3
300070538,3,3,3,3,3
300070539,3,3,3,3,3
300070540,3,2,2,3,3
300070541,3,3,3,3,3
300070542,2,2,2,2,2
300070543,2,2,2,2,2
300070544,2,2,2,2,3
300070545,2,2,2,2,2
300070546,2,3,3,2,4
300070547,3,3,3,3,4
300070548,2,2,2,2,3
300070549,3,3,3,3,3
300070550,2,3,2,3,3
300070551,3,3,3,3,4
300070552,2,1,2,2,3
300070553,4,3,4,2,3
300070554,3,3,2,2,2
300070555,3,2,2,2,3
300070556,3,4,3,3,4
300070557,3,2,2,2,4
300070558,3,2,2,2,3
300070559,2,1,2,2,3
300070560,4,2,3,2,4
300070561,2,1,2,1,2
300070562,2,2,2,2,3
300070563,3,2,3,2,3
300070564,3,2,2,2,3
300070565,2,2,2,2,2
300070566,2,1,2,1,2
300070567,2,2,2,2,2
300070568,2,2,3,2,3
300070569,2,2,2,2,2
300070570,2,2,2,2,2
300070571,2,2,1,2,2
300070572,2,2,2,3,3
300070573,3,2,-1,2,3
300070574,2,2,2,3,4
300070575,2,2,2,3,3
300070576,2,2,2,2,3
300070577,2,2,2,3,3
300070578,2,2,2,3,2
300070579,2,2,2,2,2
300070580,2,1,2,2,2
300070581,2,2,2,3,3
300070582,3,3,3,3,3
300070583,3,2,2,3,3
300070584,3,2,3,2,3
300070585,3,3,3,3,3
300070586,3,3,3,3,3
300070587,4,3,3,3,3
300070588,3,3,3,3,4
300070589,3,3,3,3,3
300070590,2,2,2,3,3
300070591,3,3,3,3,4
300070592,3,2,3,3,4
300070593,4,3,3,3,3
300070594,3,3,3,3,3
300070595,2,3,3,2,2
300070596,2,2,2,2,3
300070597,2,2,2,2,4
300070598,3,3,2,2,3
300070599,2,2,2,2,3
300070600,3,3,3,3,3
300070601,3,3,3,3,3
300070602,4,3,3,3,3
300070603,3,2,3,3,3
300070604,3,3,2,3,4
300070605,3,2,2,3,3
300070606,3,3,4,2,4
300070607,3,2,2,2,2
300070608,3,2,3,3,2
300070609,3,2,2,2,2
300070610,3,2,2,2,3
300070611,3,3,3,3,3
300070612,3,3,3,3,3
300070613,3,3,3,3,3
300070614,2,2,3,3,3
300070615,3,3,3,3,3
300070616,3,3,3,3,3
300070617,3,3,3,3,3
300070618,3,2,3,3,3
300070619,2,2,2,2,3
300070620,2,2,2,3,3
300070621,3,2,2,2,4
300070622,4,2,3,3,4
300070623,3,2,3,2,4
300070624,3,3,3,3,4
300070625,3,2,3,2,3
300070626,3,3,3,3,3
300070627,3,2,3,3,4
300070628,3,1,2,2,3
300070629,2,2,2,2,2
300070630,2,2,2,2,2
300070631,4,4,4,3,4
300070632,4,3,3,3,3
300070633,2,2,2,2,3
300070634,3,3,3,3,3
300070635,4,3,2,3,3
300070636,2,2,2,2,3
300070637,2,2,2,2,2
300070638,4,3,3,3,3
300070639,3,-2,3,3,3
300070640,2,2,3,3,2
300070641,3,3,4,3,3
300070642,-1,3,3,3,3
300070643,-1,-1,-1,3,3
300070644,-1,4,-1,3,3
300070645,-1,2,-1,3,2
