D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
300070001,-1.0,-1.0,3.0,2.0,-1.0
300070002,3.0,2.0,3.0,2.0,3.0
300070003,3.0,2.0,3.0,2.0,3.0
300070004,2.0,2.0,3.0,2.0,3.0
300070005,4.0,2.0,3.0,3.0,4.0
300070006,2.0,-1.0,2.0,2.0,2.0
300070007,2.0,-1.0,2.0,2.0,2.0
300070008,4.0,-1.0,3.0,2.0,2.0
300070009,3.0,-1.0,3.0,2.0,2.0
300070010,2.0,2.0,3.0,2.0,2.0
300070011,3.0,3.0,3.0,3.0,3.0
300070012,2.0,2.0,2.0,2.0,2.0
300070013,2.0,3.0,2.0,3.0,3.0
300070014,2.0,2.0,2.0,3.0,3.0
300070015,2.0,2.0,2.0,3.0,3.0
300070016,2.0,2.0,2.0,2.0,2.0
300070017,3.0,2.0,3.0,3.0,3.0
300070018,3.0,2.0,2.0,3.0,4.0
300070019,4.0,-2.0,3.0,3.0,4.0
300070020,2.0,2.0,2.0,3.0,3.0
300070021,4.0,4.0,3.0,3.0,4.0
300070022,3.0,3.0,3.0,3.0,3.0
300070023,3.0,3.0,2.0,-2.0,3.0
300070024,4.0,2.0,3.0,4.0,4.0
300070025,4.0,4.0,4.0,4.0,4.0
300070026,3.0,3.0,3.0,2.0,4.0
300070027,2.0,2.0,3.0,3.0,3.0
300070028,3.0,3.0,3.0,3.0,3.0
300070029,4.0,4.0,4.0,3.0,4.0
300070030,3.0,3.0,-1.0,3.0,3.0
300070031,3.0,2.0,3.0,2.0,3.0
300070032,3.0,3.0,3.0,2.0,2.0
300070033,2.0,2.0,-1.0,2.0,2.0
300070034,2.0,1.0,2.0,1.0,2.0
300070035,4.0,4.0,2.0,2.0,4.0
300070036,2.0,1.0,2.0,2.0,2.0
300070037,3.0,2.0,4.0,3.0,2.0
300070038,2.0,1.0,2.0,2.0,2.0
300070039,3.0,3.0,3.0,3.0,4.0
300070040,2.0,2.0,3.0,2.0,3.0
300070041,3.0,3.0,3.0,4.0,4.0
300070042,3.0,3.0,3.0,2.0,2.0
300070043,2.0,2.0,2.0,3.0,3.0
300070044,3.0,2.0,3.0,2.0,3.0
300070045,4.0,4.0,4.0,4.0,4.0
300070046,3.0,3.0,3.0,2.0,3.0
300070047,2.0,-1.0,2.0,-1.0,2.0
300070048,3.0,4.0,3.0,3.0,3.0
300070049,-1.0,-1.0,-1.0,-1.0,-1.0
300070050,3.0,-1.0,-1.0,2.0,2.0
300070051,3.0,2.0,3.0,3.0,3.0
300070052,4.0,3.0,1.0,3.0,4.0
300070053,3.0,3.0,3.0,3.0,3.0
300070054,-1.0,-1.0,-1.0,-1.0,-1.0
300070055,3.0,2.0,3.0,3.0,3.0
300070056,2.0,2.0,2.0,2.0,2.0
300070057,3.0,3.0,3.0,3.0,3.0
300070058,3.0,-1.0,3.0,3.0,3.0
300070059,3.0,-1.0,2.0,2.0,3.0
300070060,3.0,3.0,3.0,3.0,3.0
300070061,3.0,-1.0,-1.0,2.0,3.0
300070062,3.0,-1.0,3.0,3.0,3.0
300070063,2.0,2.0,2.0,2.0,3.0
300070064,3.0,3.0,3.0,2.0,3.0
300070065,3.0,2.0,3.0,3.0,3.0
300070066,2.0,2.0,2.0,2.0,2.0
300070067,3.0,3.0,-2.0,2.0,4.0
300070068,3.0,2.0,3.0,3.0,3.0
300070069,2.0,2.0,2.0,2.0,3.0
300070070,3.0,2.0,3.0,2.0,3.0
300070071,3.0,2.0,3.0,2.0,2.0
300070072,3.0,2.0,3.0,2.0,3.0
300070073,3.0,-1.0,3.0,2.0,2.0
300070074,3.0,2.0,3.0,2.0,3.0
300070075,-1.0,-1.0,2.0,-1.0,-1.0
300070076,2.0,3.0,2.0,2.0,3.0
300070077,2.0,-1.0,2.0,2.0,-1.0
300070078,2.0,2.0,3.0,2.0,2.0
300070079,3.0,2.0,3.0,2.0,3.0
300070080,3.0,2.0,3.0,2.0,3.0
300070081,3.0,3.0,3.0,2.0,3.0
300070082,2.0,2.0,2.0,2.0,2.0
300070083,3.0,2.0,2.0,2.0,3.0
300070084,3.0,2.0,3.0,2.0,3.0
300070085,4.0,2.0,3.0,2.0,3.0
300070086,3.0,2.0,2.0,2.0,3.0
300070087,2.0,2.0,2.0,2.0,3.0
300070088,3.0,2.0,3.0,2.0,3.0
300070089,3.0,3.0,3.0,2.0,4.0
300070090,3.0,2.0,3.0,2.0,3.0
300070091,2.0,2.0,3.0,2.0,2.0
300070092,2.0,2.0,3.0,3.0,2.0
300070093,3.0,2.0,3.0,3.0,3.0
300070094,3.0,2.0,2.0,2.0,2.0
300070095,3.0,3.0,3.0,4.0,4.0
300070096,2.0,-1.0,2.0,2.0,2.0
300070097,3.0,-1.0,4.0,3.0,4.0
300070098,3.0,2.0,3.0,2.0,4.0
300070099,2.0,-1.0,3.0,2.0,3.0
300070100,3.0,2.0,3.0,3.0,3.0
300070101,4.0,3.0,4.0,4.0,4.0
300070102,2.0,3.0,2.0,3.0,3.0
300070103,3.0,3.0,3.0,3.0,3.0
300070104,2.0,3.0,2.0,3.0,3.0
300070105,2.0,2.0,2.0,3.0,2.0
300070106,3.0,3.0,2.0,3.0,3.0
300070107,3.0,3.0,3.0,3.0,3.0
300070108,2.0,2.0,2.0,2.0,3.0
300070109,2.0,2.0,2.0,3.0,3.0
