D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
458070001,3,3,3,3,3
458070002,2,3,3,2,2
458070003,4,3,4,3,2
458070004,2,3,4,2,4
458070005,2,2,2,2,2
458070006,2,3,2,2,2
458070007,2,2,1,1,2
458070008,3,3,3,3,2
458070009,3,2,3,3,3
458070010,2,2,2,2,1
458070011,3,3,3,2,3
458070012,2,2,2,1,1
458070013,2,2,2,2,2
458070014,2,2,2,2,2
458070015,2,2,2,2,2
458070016,3,2,2,3,2
458070017,2,2,2,2,2
458070018,4,3,2,4,2
458070019,2,2,1,2,2
458070020,2,2,2,2,2
458070021,2,2,2,2,2
458070022,1,2,2,3,4
458070023,3,2,3,3,2
458070024,3,3,2,2,2
458070025,3,2,2,2,2
458070026,3,2,3,3,4
458070027,3,2,3,3,3
458070028,3,3,3,3,3
458070029,3,3,2,2,2
458070030,4,4,4,4,4
458070031,3,3,3,3,3
458070032,2,2,2,2,2
458070033,3,3,3,2,2
458070034,2,2,2,2,2
458070035,3,2,3,2,2
458070036,3,3,3,3,4
458070037,3,3,3,3,3
458070038,3,3,3,2,2
458070039,3,2,3,3,2
458070040,2,2,3,3,3
458070041,2,3,3,2,2
458070042,2,2,2,2,2
458070043,3,3,3,3,3
458070044,2,2,2,2,2
458070045,3,3,3,3,3
458070046,2,2,2,2,3
458070047,2,2,2,2,2
458070048,4,4,4,3,4
458070049,3,3,3,3,3
458070050,2,2,2,2,2
458070051,2,2,2,2,2
458070052,3,2,2,2,2
458070053,2,1,2,2,1
458070054,4,4,3,3,3
458070055,2,1,3,2,2
458070056,2,3,2,2,2
458070057,2,2,2,2,2
458070058,2,2,1,2,2
458070059,3,3,3,3,3
458070060,1,2,2,3,2
458070061,2,2,2,2,2
458070062,2,1,2,2,2
458070063,2,2,1,2,2
458070064,4,4,4,4,4
458070065,3,3,3,3,3
458070066,1,2,2,2,3
458070067,1,1,1,1,1
458070068,2,3,2,2,1
458070069,2,2,2,2,2
458070070,2,2,2,1,2
458070071,3,3,3,3,3
458070072,3,3,3,3,3
458070073,2,2,2,2,2
458070074,2,2,2,2,2
458070075,1,3,1,2,1
458070076,3,3,2,3,2
458070077,3,3,3,3,3
458070078,2,1,2,3,2
458070079,2,1,3,3,2
458070080,2,2,2,2,2
458070081,2,3,1,2,2
458070082,1,3,2,3,1
458070083,3,2,3,3,2
458070084,3,3,3,2,3
458070085,2,2,2,2,2
458070086,2,2,2,2,2
458070087,3,2,2,2,2
458070088,3,3,3,3,3
458070089,2,2,2,1,2
458070090,3,3,3,3,3
458070091,2,3,2,2,3
458070092,3,3,3,3,3
458070093,2,3,3,4,3
458070094,3,3,3,2,3
458070095,3,3,3,3,4
458070096,2,2,2,2,2
458070097,3,3,2,3,3
458070098,4,4,4,4,4
458070099,2,2,2,3,4
458070100,3,3,3,3,3
458070101,3,3,3,2,3
458070102,3,3,3,2,3
458070103,1,3,3,1,3
458070104,2,2,2,2,2
458070105,3,3,2,3,3
458070106,4,2,4,4,4
458070107,2,2,2,3,3
458070108,3,3,3,2,3
458070109,2,2,2,2,2
458070110,4,4,4,4,2
458070111,3,3,3,2,3
458070112,3,3,3,3,3
458070113,3,3,3,3,3
458070114,2,2,2,2,2
458070115,2,2,2,2,2
458070116,3,2,3,2,3
458070117,2,2,3,3,3
458070118,2,2,2,2,2
458070119,3,3,3,3,3
458070120,4,2,4,4,2
458070121,3,1,2,2,3
458070122,2,1,3,3,3
458070123,2,3,2,3,4
458070124,4,4,4,4,4
458070125,4,3,3,3,4
458070126,3,3,3,3,4
458070127,4,4,4,4,4
458070128,2,2,2,2,2
458070129,1,1,1,1,1
458070130,1,1,1,1,1
458070131,1,2,2,2,2
458070132,4,4,4,4,4
458070133,2,2,2,2,1
458070134,3,3,3,3,2
458070135,3,3,3,3,3
458070136,2,2,2,2,2
458070137,2,2,2,2,2
458070138,2,2,1,1,1
458070139,2,2,1,1,1
458070140,3,3,3,3,2
458070141,2,2,2,2,2
458070142,2,2,1,2,1
458070143,4,4,4,4,4
458070144,1,1,3,3,1
458070145,3,2,2,2,2
458070146,4,4,4,4,2
458070147,2,3,3,3,1
458070148,4,4,4,4,4
458070149,1,1,2,2,2
458070150,3,3,3,3,3
458070151,3,3,3,3,2
458070152,4,4,4,4,4
458070153,3,3,3,3,3
458070154,1,1,1,1,1
458070155,2,2,2,2,2
458070156,2,2,2,2,2
458070157,2,2,2,2,2
458070158,2,2,2,2,2
458070159,2,2,2,2,1
458070160,2,1,1,1,1
458070161,1,1,1,1,1
458070162,2,2,2,3,2
458070163,1,1,1,1,1
458070164,1,1,1,1,1
458070165,1,1,1,1,1
458070166,2,2,2,2,2
458070167,3,2,3,2,3
458070168,2,2,2,2,2
458070169,2,2,2,2,2
458070170,2,2,2,2,2
458070171,2,2,2,2,2
458070172,1,1,1,1,1
458070173,1,2,1,1,1
458070174,1,2,1,1,1
458070175,1,1,1,1,1
458070176,2,2,2,2,2
458070177,2,2,2,2,2
458070178,1,1,1,2,1
458070179,1,2,2,2,1
458070180,1,1,1,1,1
458070181,4,4,4,4,4
458070182,3,3,2,2,2
458070183,3,3,2,3,2
458070184,2,2,3,3,2
458070185,2,3,2,3,3
458070186,2,3,3,2,3
458070187,2,3,3,4,3
458070188,2,3,3,2,2
458070189,1,3,4,2,2
458070190,1,1,1,1,1
458070191,1,1,1,1,1
458070192,1,1,1,1,1
458070193,1,1,1,1,1
458070194,2,2,2,2,2
458070195,1,1,1,1,1
458070196,2,2,2,2,2
458070197,1,1,1,1,1
458070198,3,2,3,3,2
458070199,3,3,3,3,3
458070200,2,2,2,2,2
458070201,2,2,2,2,2
458070202,3,3,3,3,3
458070203,3,3,2,3,3
458070204,3,2,2,3,2
458070205,3,3,3,3,3
458070206,1,1,1,1,1
458070207,2,2,2,2,2
458070208,3,3,2,2,2
458070209,2,2,2,2,2
458070210,3,3,2,2,3
458070211,2,2,2,2,2
458070212,3,2,3,3,2
458070213,2,2,2,2,2
458070214,2,2,3,2,2
458070215,2,2,2,2,2
458070216,3,3,3,2,2
458070217,2,3,3,3,2
458070218,3,3,3,3,2
458070219,2,3,3,2,2
458070220,3,3,4,3,3
458070221,3,3,3,3,3
458070222,2,2,2,2,2
458070223,3,2,2,2,2
458070224,3,3,3,3,3
458070225,1,1,1,1,1
458070226,2,2,2,2,2
458070227,3,3,3,3,3
458070228,2,2,2,2,2
458070229,2,2,2,2,2
458070230,1,2,2,4,1
458070231,3,3,3,2,3
458070232,3,3,3,3,3
458070233,3,3,3,2,2
458070234,2,2,2,1,1
458070235,2,2,2,2,1
458070236,3,3,3,3,3
458070237,2,2,2,2,2
458070238,2,3,2,2,2
458070239,3,3,3,3,2
458070240,3,3,3,2,2
458070241,3,3,2,2,2
458070242,2,3,2,2,2
458070243,3,2,2,2,2
458070244,2,2,2,2,2
458070245,3,2,2,2,2
458070246,3,2,3,2,2
458070247,2,2,2,2,2
458070248,2,2,2,1,1
458070249,3,2,3,3,2
458070250,4,4,4,4,4
458070251,3,2,2,3,2
458070252,1,1,1,1,1
458070253,3,2,3,3,2
458070254,3,3,3,3,2
458070255,2,2,2,2,2
458070256,3,3,3,3,3
458070257,2,2,2,2,2
458070258,3,3,3,3,3
458070259,2,2,2,2,2
458070260,2,2,2,1,2
458070261,1,1,1,1,1
458070262,2,2,2,2,2
458070263,3,3,3,3,3
458070264,3,3,3,4,3
458070265,2,2,2,2,2
458070266,3,4,3,3,3
458070267,3,3,3,3,3
458070268,2,2,2,2,2
458070269,2,2,2,2,2
458070270,3,3,3,3,3
458070271,2,2,2,1,2
458070272,3,3,3,3,3
458070273,3,3,3,3,3
458070274,2,2,2,2,2
458070275,3,3,3,3,2
458070276,3,3,3,3,3
458070277,2,2,2,3,2
458070278,3,2,4,4,2
458070279,4,3,3,4,3
458070280,3,4,4,3,3
458070281,3,3,3,3,2
458070282,3,3,3,3,3
458070283,3,3,3,3,3
458070284,3,3,2,3,3
458070285,3,3,3,3,2
458070286,3,3,3,3,2
458070287,1,3,3,3,2
458070288,3,3,3,3,2
458070289,2,2,2,1,2
458070290,3,3,3,3,1
458070291,2,2,2,2,2
458070292,2,2,2,2,2
458070293,3,2,3,3,3
458070294,3,2,2,2,2
458070295,4,3,4,3,3
458070296,1,2,1,3,1
458070297,1,2,1,2,1
458070298,3,3,2,2,1
458070299,1,2,1,2,1
458070300,3,2,3,3,2
458070301,4,3,3,3,2
458070302,3,3,3,2,2
458070303,2,2,2,2,2
458070304,3,2,2,2,4
458070305,2,2,2,2,2
458070306,2,3,2,2,3
458070307,3,3,3,3,2
458070308,3,3,3,3,2
458070309,2,2,2,2,3
458070310,3,1,3,4,2
458070311,3,2,3,3,2
458070312,2,2,2,2,2
458070313,2,3,2,2,2
458070314,2,2,3,3,2
458070315,3,2,3,3,2
458070316,3,3,3,2,2
458070317,2,2,2,1,2
458070318,2,2,2,2,2
458070319,2,3,3,2,3
458070320,3,3,3,3,2
458070321,3,3,3,3,2
458070322,3,3,3,3,2
458070323,3,2,3,3,2
458070324,1,1,1,3,2
458070325,2,2,2,2,2
458070326,2,3,2,3,2
458070327,2,3,2,2,2
458070328,2,3,2,3,2
458070329,2,3,2,3,2
458070330,3,2,2,3,2
458070331,2,3,2,2,1
458070332,2,3,2,2,2
458070333,3,2,3,3,2
458070334,3,3,3,3,2
458070335,2,2,2,2,2
458070336,3,3,3,3,2
458070337,3,3,3,3,2
458070338,4,4,4,4,3
458070339,2,2,2,2,2
458070340,2,2,3,2,2
458070341,3,3,3,3,3
458070342,2,2,2,2,2
458070343,2,2,2,2,2
458070344,3,3,3,3,3
458070345,2,2,2,2,2
458070346,2,2,2,2,2
458070347,2,2,2,2,2
458070348,4,4,4,4,4
458070349,3,3,3,2,2
458070350,2,2,2,2,2
458070351,2,2,2,3,2
458070352,3,2,3,1,3
458070353,3,2,3,3,3
458070354,3,3,2,3,2
458070355,2,2,2,2,2
458070356,3,4,3,3,3
458070357,3,3,3,3,3
458070358,4,3,4,3,2
458070359,3,3,3,2,2
458070360,2,2,3,2,3
458070361,3,2,1,2,2
458070362,2,3,3,2,2
458070363,3,2,2,1,3
458070364,3,2,1,2,3
458070365,3,2,2,3,2
458070366,3,3,2,2,3
458070367,2,3,2,2,3
458070368,3,3,3,3,3
458070369,2,2,2,2,2
458070370,2,2,2,2,2
458070371,3,3,3,3,3
458070372,3,3,3,3,3
458070373,4,4,4,4,2
458070374,2,2,2,2,2
458070375,2,2,2,2,2
458070376,4,4,4,4,4
458070377,2,2,2,2,2
458070378,3,3,3,2,3
458070379,3,2,3,3,3
458070380,3,3,3,3,3
458070381,3,3,3,3,3
458070382,1,1,1,1,2
458070383,2,1,1,1,2
458070384,2,2,2,3,2
458070385,3,3,3,3,2
458070386,2,2,2,2,2
458070387,2,2,2,2,2
458070388,2,2,2,2,2
458070389,2,1,2,1,1
458070390,2,2,2,2,2
458070391,1,1,1,1,1
458070392,1,1,1,1,1
458070393,2,2,2,2,2
458070394,4,4,4,4,2
458070395,3,3,3,2,3
458070396,3,3,3,3,1
458070397,1,1,1,1,1
458070398,3,2,3,3,3
458070399,2,2,2,2,2
458070400,1,1,1,1,1
458070401,2,2,3,3,1
458070402,2,2,2,2,2
458070403,2,2,3,2,2
458070404,2,2,2,2,2
458070405,3,2,3,3,2
458070406,2,3,3,3,3
458070407,3,2,3,3,2
458070408,3,3,3,3,3
458070409,3,3,3,3,3
458070410,3,2,3,3,2
458070411,3,2,3,2,3
458070412,3,2,3,3,3
458070413,3,3,4,3,4
458070414,4,2,3,3,2
458070415,3,3,3,3,2
458070416,2,2,3,3,2
458070417,2,3,3,2,4
458070418,3,2,3,2,2
458070419,3,2,2,2,2
458070420,3,2,3,3,3
458070421,2,2,2,2,2
458070422,2,3,2,2,3
458070423,2,2,2,3,2
458070424,3,2,3,3,2
458070425,2,2,2,2,2
458070426,2,2,2,2,1
458070427,2,2,2,2,1
458070428,3,3,3,3,2
458070429,3,2,3,2,2
458070430,1,2,1,1,1
458070431,3,2,3,3,2
458070432,2,2,2,2,2
458070433,3,3,3,3,2
458070434,3,2,3,3,2
458070435,2,2,2,2,2
458070436,4,3,3,4,2
458070437,3,2,3,2,3
458070438,4,3,4,4,2
458070439,3,3,3,3,2
458070440,4,2,3,3,2
458070441,2,2,2,2,2
458070442,2,3,2,2,2
458070443,2,2,3,2,2
458070444,2,2,2,2,2
458070445,3,2,3,3,1
458070446,2,2,2,2,2
458070447,2,2,2,2,2
458070448,3,3,3,3,2
458070449,2,2,3,2,4
458070450,2,2,2,2,2
458070451,2,3,3,3,3
458070452,2,2,2,2,2
458070453,3,2,3,3,2
458070454,3,2,3,2,2
458070455,3,2,3,3,3
458070456,3,3,3,2,2
458070457,2,2,2,2,2
458070458,3,2,2,3,2
458070459,4,2,4,4,4
458070460,2,2,2,2,2
458070461,2,2,2,2,2
458070462,3,2,3,3,1
458070463,3,3,3,3,4
458070464,2,2,2,3,3
458070465,3,3,3,3,3
458070466,3,3,3,2,3
458070467,2,2,2,2,1
458070468,2,2,2,3,3
458070469,2,2,2,2,2
458070470,2,2,2,2,2
458070471,3,2,3,2,2
458070472,2,2,2,2,2
458070473,4,2,4,3,2
458070474,4,3,4,4,3
458070475,4,4,4,4,4
458070476,3,4,3,3,4
458070477,3,3,3,3,2
458070478,1,1,1,2,2
458070479,1,2,1,2,2
458070480,3,3,3,3,3
458070481,2,2,3,3,2
458070482,2,2,2,2,2
458070483,2,1,2,3,2
458070484,2,2,2,2,2
458070485,3,2,3,3,1
458070486,3,2,3,3,2
458070487,2,2,2,2,2
458070488,3,3,2,4,2
458070489,3,3,2,2,3
458070490,3,2,3,3,2
458070491,3,2,3,4,2
458070492,3,2,3,1,3
458070493,3,2,3,3,2
458070494,2,3,2,2,1
458070495,2,3,3,2,1
458070496,3,2,2,2,2
458070497,2,2,2,2,2
458070498,2,3,1,2,3
458070499,3,3,3,3,2
458070500,2,2,3,1,2
458070501,3,2,3,2,2
458070502,3,3,3,4,2
458070503,3,2,3,3,2
458070504,3,3,3,3,3
458070505,1,2,1,1,1
458070506,3,2,3,2,2
458070507,3,3,2,3,2
458070508,3,2,3,2,2
458070509,3,3,2,3,3
