D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
484070001,4,2,2,2,1
484070002,3,2,2,2,2
484070003,4,3,4,4,4
484070004,3,3,3,2,2
484070005,3,2,4,4,2
484070006,3,3,3,3,3
484070007,4,4,4,4,4
484070008,4,2,4,4,2
484070009,4,2,4,4,2
484070010,2,3,2,2,2
484070011,2,2,2,2,2
484070012,2,2,1,2,1
484070013,4,2,4,4,4
484070014,4,2,2,2,2
484070015,2,2,2,2,2
484070016,3,3,3,3,3
484070017,3,2,2,3,2
484070018,4,4,4,4,2
484070019,3,2,2,2,2
484070020,2,2,2,2,2
484070021,4,2,3,3,2
484070022,4,4,4,3,3
484070023,3,2,2,3,2
484070024,2,2,1,1,1
484070025,3,2,2,2,2
484070026,4,4,2,4,2
484070027,4,-1,4,4,4
484070028,4,4,4,4,4
484070029,3,3,3,3,2
484070030,4,2,4,4,4
484070031,3,3,4,4,4
484070032,3,3,3,2,2
484070033,-1,-1,-1,-1,-1
484070034,-1,-1,-1,-1,-1
484070035,3,4,3,3,3
484070036,2,2,2,3,3
484070037,2,3,3,2,2
484070038,4,4,3,4,2
484070039,4,4,4,3,3
484070040,4,4,4,4,4
484070041,4,3,3,4,3
484070042,4,4,4,4,4
484070043,3,4,3,3,3
484070044,4,4,4,1,2
484070045,2,1,2,2,2
484070046,2,2,2,2,2
484070047,3,3,3,3,3
484070048,3,3,3,3,2
484070049,4,4,3,3,3
484070050,3,3,3,3,3
484070051,4,4,4,4,4
484070052,3,3,3,3,2
484070053,4,4,4,3,4
484070054,4,4,3,4,3
484070055,3,3,3,3,3
484070056,4,4,4,4,4
484070057,4,4,4,4,3
484070058,3,2,2,3,2
484070059,3,2,-1,2,3
484070060,4,4,4,4,4
484070061,3,2,2,2,3
484070062,4,2,4,4,2
484070063,1,2,3,1,1
484070064,3,3,4,4,2
484070065,3,2,3,3,3
484070066,3,3,4,3,-1
484070067,4,3,3,3,4
484070068,2,2,3,2,2
484070069,4,2,3,2,2
484070070,3,3,3,3,3
484070071,4,4,3,4,4
484070072,4,2,4,2,2
484070073,3,2,3,3,3
484070074,3,1,4,4,1
484070075,4,3,4,3,3
484070076,4,4,4,4,4
484070077,4,4,4,4,3
484070078,4,4,4,4,4
484070079,4,4,4,4,4
484070080,3,2,3,3,2
484070081,4,3,4,-2,3
484070082,3,3,3,3,3
484070083,1,2,3,3,3
484070084,3,2,3,2,3
484070085,4,4,4,4,3
484070086,4,2,4,4,2
484070087,3,3,3,2,3
484070088,4,4,4,2,3
484070089,4,2,3,3,2
484070090,4,2,4,3,2
484070091,4,4,4,4,4
484070092,3,3,3,2,2
484070093,3,2,2,2,2
484070094,4,4,4,3,4
484070095,4,4,4,4,4
484070096,3,4,4,3,3
484070097,4,4,4,4,4
484070098,3,2,3,3,2
484070099,3,2,2,2,2
484070100,3,2,2,2,2
484070101,4,4,4,4,2
484070102,3,2,4,4,2
484070103,3,3,2,2,2
484070104,3,3,3,2,3
484070105,2,3,3,3,3
484070106,3,3,3,2,2
484070107,3,3,3,3,3
484070108,4,4,4,4,2
484070109,2,2,3,2,2
484070110,3,3,4,4,2
484070111,3,2,2,2,2
484070112,3,4,2,2,2
484070113,4,2,4,4,4
484070114,4,3,3,4,4
484070115,4,2,4,3,3
484070116,4,3,4,3,3
484070117,4,2,4,4,3
484070118,4,3,4,3,3
484070119,4,3,3,4,2
484070120,4,3,4,3,3
484070121,4,4,4,4,3
484070122,2,2,2,2,2
484070123,4,2,4,4,3
484070124,2,2,2,2,2
484070125,2,2,2,2,2
484070126,4,3,3,3,3
484070127,3,3,3,3,2
484070128,4,2,2,2,2
484070129,3,3,3,3,3
484070130,4,4,4,4,4
484070131,2,3,3,2,2
484070132,3,3,3,3,3
484070133,2,3,2,2,2
484070134,2,2,2,3,2
484070135,3,3,4,3,4
484070136,4,4,4,4,4
484070137,3,3,3,3,3
484070138,3,3,3,3,2
484070139,3,3,3,3,2
484070140,4,4,4,4,4
484070141,3,3,4,3,3
484070142,3,3,3,3,3
484070143,2,2,2,2,2
484070144,3,1,3,3,3
484070145,3,4,4,4,3
484070146,3,3,3,2,2
484070147,4,3,3,4,4
484070148,3,3,3,3,3
484070149,4,4,4,4,4
484070150,2,2,2,3,3
484070151,4,4,2,4,3
484070152,3,3,3,3,3
484070153,4,3,4,3,3
484070154,4,4,4,4,4
484070155,4,3,3,4,3
484070156,2,3,2,2,1
484070157,1,2,1,1,2
484070158,1,2,3,3,2
484070159,4,3,2,4,2
484070160,3,2,3,4,3
484070161,4,2,3,3,2
484070162,4,3,3,3,3
484070163,3,2,3,3,2
484070164,3,3,3,3,3
484070165,3,2,2,1,2
484070166,2,2,3,3,2
484070167,4,2,2,4,3
484070168,4,2,4,4,2
484070169,3,3,3,3,3
484070170,4,4,4,3,2
484070171,3,2,2,2,2
484070172,-1,-1,-1,-1,-1
484070173,3,3,3,3,3
484070174,3,3,3,2,2
484070175,2,2,2,2,2
484070176,2,2,2,3,2
484070177,4,4,4,4,3
484070178,3,3,3,3,3
484070179,2,1,2,1,1
484070180,2,3,1,3,2
484070181,4,4,4,4,-1
484070182,4,4,4,2,3
484070183,4,3,4,4,2
484070184,1,2,3,2,2
484070185,-2,1,1,1,1
484070186,2,2,2,4,2
484070187,3,3,4,4,2
484070188,4,4,4,3,3
484070189,4,2,3,3,3
484070190,4,4,4,4,4
484070191,4,3,4,3,3
484070192,2,1,3,2,3
484070193,3,4,4,4,3
484070194,4,3,4,2,1
484070195,2,2,2,2,2
484070196,3,3,3,2,2
484070197,2,2,2,3,3
484070198,3,3,4,2,2
484070199,3,2,3,3,3
484070200,3,2,2,3,2
484070201,4,4,4,4,4
484070202,2,-1,-1,2,2
484070203,2,4,2,4,2
484070204,2,2,2,2,2
484070205,3,3,3,3,2
484070206,3,3,3,3,2
484070207,3,3,3,3,3
484070208,3,3,3,3,3
484070209,3,3,3,3,3
484070210,3,3,3,3,2
484070211,3,3,3,3,3
484070212,3,2,4,4,4
484070213,4,2,2,2,2
484070214,2,2,2,2,2
484070215,4,3,3,2,3
484070216,4,2,4,4,2
484070217,3,3,2,3,2
484070218,1,2,2,2,2
484070219,3,2,1,2,2
484070220,2,2,3,4,2
484070221,2,2,2,2,2
484070222,3,2,4,2,2
484070223,2,3,2,2,2
484070224,2,2,2,2,1
484070225,3,2,4,4,2
484070226,4,3,3,3,3
484070227,1,1,1,1,1
484070228,3,2,2,2,2
484070229,2,2,1,3,3
484070230,3,2,2,3,3
484070231,2,2,2,2,2
484070232,4,4,4,4,4
484070233,3,3,3,3,3
484070234,2,2,2,2,2
484070235,3,3,3,3,3
484070236,4,3,1,4,4
484070237,4,2,3,3,4
484070238,4,4,4,4,4
484070239,4,2,2,2,2
484070240,2,2,3,4,1
484070241,4,4,4,4,2
484070242,3,3,3,3,3
484070243,4,4,4,4,4
484070244,3,1,1,3,1
484070245,4,2,3,4,4
484070246,3,4,4,3,2
484070247,2,3,4,1,2
484070248,3,3,2,3,3
484070249,4,4,4,4,4
484070250,4,4,4,4,4
484070251,3,4,3,4,4
484070252,3,4,2,3,4
484070253,3,3,4,3,2
484070254,4,4,3,4,4
484070255,4,4,4,4,4
484070256,4,2,4,4,4
484070257,4,4,4,2,2
484070258,4,4,4,3,3
484070259,3,2,3,3,2
484070260,3,3,3,3,3
484070261,3,3,3,3,2
484070262,2,3,4,4,4
484070263,4,4,4,4,4
484070264,4,4,4,4,4
484070265,3,3,3,3,3
484070266,3,3,3,3,3
484070267,4,4,4,4,4
484070268,4,4,4,4,4
484070269,3,3,3,3,3
484070270,3,2,3,4,2
484070271,3,3,4,4,3
484070272,3,2,3,3,3
484070273,4,4,4,4,4
484070274,2,2,2,2,2
484070275,3,2,4,2,-1
484070276,3,3,3,4,2
484070277,4,4,4,4,4
484070278,3,3,3,3,3
484070279,4,3,3,3,3
484070280,3,2,2,2,1
484070281,3,3,3,3,3
484070282,3,3,2,2,2
484070283,3,2,3,3,3
484070284,3,2,1,3,3
484070285,3,3,3,2,2
484070286,3,3,2,3,2
484070287,3,3,4,4,4
484070288,4,4,4,4,4
484070289,3,3,3,3,2
484070290,2,4,3,4,4
484070291,3,3,3,2,2
484070292,4,2,3,3,4
484070293,3,4,4,3,4
484070294,2,2,2,2,1
484070295,3,2,2,3,2
484070296,3,3,3,3,3
484070297,-1,-1,-1,-1,-1
484070298,4,2,3,3,2
484070299,3,4,3,3,2
484070300,3,2,3,4,2
484070301,3,2,3,3,2
484070302,2,2,2,2,2
484070303,4,4,4,1,4
484070304,2,2,2,2,2
484070305,2,2,2,3,1
484070306,3,3,2,3,1
484070307,4,2,2,2,3
484070308,3,4,3,4,3
484070309,3,3,3,3,3
484070310,3,2,2,3,3
484070311,3,3,3,3,3
484070312,2,2,2,2,2
484070313,4,2,3,4,2
484070314,3,2,2,3,2
484070315,4,4,4,4,4
484070316,1,2,2,4,4
484070317,3,3,3,2,2
484070318,3,3,4,2,3
484070319,4,3,4,4,4
484070320,3,3,2,2,2
484070321,3,3,3,2,2
484070322,2,2,2,2,2
484070323,2,2,2,2,3
484070324,4,3,3,4,4
484070325,4,4,4,4,4
484070326,4,3,3,3,3
484070327,3,3,3,3,2
484070328,4,2,2,2,2
484070329,4,4,4,2,2
484070330,2,2,2,2,3
484070331,2,2,3,3,2
484070332,2,2,2,2,3
484070333,3,2,3,3,3
484070334,4,4,2,2,2
484070335,3,2,1,3,1
