D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
604070001,2,2,3,2,2
604070002,3,3,3,2,2
604070003,4,4,4,4,2
604070004,4,4,4,4,4
604070005,4,4,4,4,4
604070006,3,2,3,2,2
604070007,3,3,3,2,3
604070008,4,3,3,4,2
604070009,3,2,3,2,2
604070010,3,3,3,3,3
604070011,4,3,4,3,3
604070012,3,3,3,3,3
604070013,3,3,3,3,3
604070014,4,3,3,3,3
604070015,3,3,3,3,3
604070016,4,3,4,3,3
604070017,3,2,3,3,2
604070018,4,2,4,4,2
604070019,3,3,3,3,3
604070020,3,2,3,2,2
604070021,3,2,3,2,1
604070022,4,1,3,4,1
604070023,4,2,3,3,2
604070024,4,2,3,3,2
604070025,4,3,2,2,2
604070026,4,4,4,4,3
604070027,4,4,3,3,2
604070028,4,4,4,4,3
604070029,4,4,4,3,2
604070030,3,3,3,3,2
604070031,3,3,3,3,2
604070032,3,3,3,3,2
604070033,4,4,4,3,2
604070034,4,4,4,3,2
604070035,4,4,3,3,2
604070036,4,2,3,3,1
604070037,3,2,4,3,2
604070038,4,2,4,2,2
604070039,4,2,4,2,2
604070040,4,2,3,3,2
604070041,2,2,3,3,2
604070042,3,3,3,3,1
604070043,2,2,3,3,2
604070044,3,3,3,3,2
604070045,3,3,3,3,3
604070046,4,4,4,2,2
604070047,3,2,3,3,2
604070048,3,2,3,3,2
604070049,3,3,3,3,2
604070050,2,2,2,2,2
604070051,3,3,4,4,2
604070052,3,3,3,3,3
604070053,3,3,3,3,2
604070054,3,3,3,2,2
604070055,3,3,3,3,3
604070056,3,2,2,2,2
604070057,4,4,4,2,2
604070058,4,2,3,2,3
604070059,3,2,2,3,2
604070060,3,3,3,3,3
604070061,3,2,4,4,4
604070062,4,2,3,4,3
604070063,3,3,3,3,3
604070064,4,3,3,4,3
604070065,2,2,2,3,3
604070066,3,3,4,2,2
604070067,3,3,4,3,3
604070068,4,4,4,3,4
604070069,3,4,4,2,3
604070070,3,3,3,2,3
604070071,3,2,3,3,3
604070072,3,2,2,3,2
604070073,3,3,3,3,2
604070074,2,4,3,3,2
604070075,3,2,3,3,3
604070076,4,3,3,3,3
604070077,3,4,3,3,4
604070078,2,3,2,1,2
604070079,4,3,4,3,3
604070080,3,3,3,3,3
604070081,3,3,3,3,3
604070082,3,3,3,3,3
604070083,3,3,3,3,3
604070084,4,4,4,4,4
604070085,3,2,3,2,2
604070086,3,3,3,3,2
604070087,4,3,3,3,3
604070088,4,3,3,3,3
604070089,4,2,2,2,2
604070090,3,3,3,3,3
604070091,3,3,4,3,2
604070092,3,3,3,2,2
604070093,3,3,3,3,3
604070094,3,3,3,3,2
604070095,3,2,3,3,2
604070096,4,4,4,4,4
604070097,4,4,4,4,4
604070098,4,3,4,3,2
604070099,4,4,4,4,4
604070100,4,4,4,4,4
604070101,4,4,4,4,4
604070102,4,3,3,3,2
604070103,4,4,4,4,4
604070104,4,4,4,4,3
604070105,3,3,3,2,3
604070106,1,2,2,2,2
604070107,3,4,3,3,3
604070108,3,3,3,3,3
604070109,3,3,4,3,3
604070110,3,3,3,3,3
604070111,2,2,2,2,2
604070112,3,2,3,3,3
604070113,2,3,3,2,2
604070114,2,2,3,2,3
604070115,3,3,3,3,3
604070116,4,4,4,4,4
604070117,4,4,4,4,4
604070118,4,4,4,4,4
604070119,3,3,3,3,3
604070120,4,4,4,4,4
604070121,4,4,4,4,3
604070122,3,3,4,3,2
604070123,3,3,4,2,2
604070124,4,4,4,3,3
604070125,3,3,4,4,3
604070126,4,3,4,4,4
604070127,4,3,4,4,4
604070128,4,3,4,4,3
604070129,4,3,4,4,4
604070130,4,3,4,4,3
604070131,3,3,3,3,3
604070132,4,4,4,4,4
604070133,4,4,4,4,4
604070134,3,4,2,2,2
604070135,3,3,3,3,3
604070136,3,3,3,3,3
604070137,3,3,3,3,4
604070138,3,3,3,3,3
604070139,3,3,3,3,3
604070140,3,3,3,4,3
604070141,3,4,3,3,4
604070142,3,3,4,3,3
604070143,4,4,4,4,4
604070144,3,3,3,3,3
604070145,3,3,3,3,2
604070146,3,3,4,4,2
604070147,3,4,4,4,-2
604070148,4,4,4,3,3
604070149,3,3,4,4,-1
604070150,3,3,4,2,2
604070151,3,2,3,3,3
604070152,3,3,3,3,2
604070153,3,3,3,3,3
604070154,3,3,3,3,3
604070155,3,3,3,3,3
604070156,3,3,3,3,3
604070157,3,3,3,3,3
604070158,3,2,3,3,2
604070159,3,2,3,3,2
604070160,3,2,3,3,2
604070161,3,3,4,2,3
604070162,4,2,4,2,3
604070163,3,2,3,2,3
604070164,3,3,3,3,2
604070165,4,3,2,2,2
604070166,3,3,3,2,2
604070167,3,2,2,3,2
604070168,4,3,4,3,2
604070169,4,3,2,3,2
604070170,3,3,3,3,2
604070171,4,4,4,4,4
604070172,2,2,2,2,2
604070173,4,4,4,4,4
604070174,3,2,2,2,2
604070175,4,3,4,3,3
604070176,3,3,3,3,2
604070177,2,2,2,2,2
604070178,3,3,3,3,2
604070179,3,3,3,3,3
604070180,2,2,2,3,2
604070181,4,3,3,4,3
604070182,3,4,3,3,4
604070183,3,4,3,2,3
604070184,3,4,3,3,4
604070185,2,3,4,3,3
604070186,3,3,3,3,3
604070187,4,3,4,4,3
604070188,4,3,3,4,3
604070189,4,2,4,4,3
604070190,4,2,4,4,3
604070191,3,3,3,3,3
604070192,4,3,4,3,3
604070193,3,3,3,3,3
604070194,3,3,3,2,3
604070195,3,3,3,3,3
604070196,3,3,3,3,2
604070197,3,2,3,3,4
604070198,3,3,3,3,3
604070199,4,4,4,4,4
604070200,4,4,4,4,4
604070201,2,2,2,4,3
604070202,4,4,4,4,4
604070203,3,3,3,3,3
604070204,4,4,4,4,4
604070205,4,4,4,4,3
604070206,3,4,3,3,3
604070207,2,3,2,2,2
604070208,3,3,2,3,3
604070209,4,4,4,4,4
604070210,2,3,3,2,3
604070211,3,4,4,3,3
604070212,4,3,4,4,4
604070213,3,4,4,3,3
604070214,3,2,3,3,3
604070215,2,3,4,3,3
604070216,3,1,2,2,1
604070217,4,3,4,4,3
604070218,4,4,4,4,3
604070219,3,3,3,2,2
604070220,2,2,3,2,2
604070221,3,3,3,2,2
604070222,4,3,3,3,3
604070223,4,2,3,2,2
604070224,4,3,3,3,2
604070225,4,3,2,3,2
604070226,4,3,2,2,2
604070227,4,4,4,2,2
604070228,3,3,3,2,2
604070229,4,2,2,3,2
604070230,2,2,2,2,2
604070231,3,3,3,3,3
604070232,3,2,3,2,3
604070233,3,2,3,3,3
604070234,3,2,3,3,1
604070235,3,2,4,2,3
604070236,4,2,2,2,2
604070237,4,2,3,3,3
604070238,4,3,3,3,2
604070239,3,3,3,3,3
604070240,4,2,2,3,-1
604070241,4,4,4,3,3
604070242,3,3,3,3,3
604070243,3,2,2,2,3
604070244,3,3,3,2,3
604070245,3,3,3,2,3
604070246,3,3,3,3,2
604070247,3,3,3,3,2
604070248,3,3,3,3,2
604070249,4,4,4,4,3
604070250,3,4,4,4,3
604070251,3,3,3,3,2
604070252,4,3,3,3,2
604070253,4,4,4,4,2
604070254,4,4,4,4,2
604070255,4,4,4,4,2
604070256,4,3,4,3,3
604070257,4,4,4,4,4
604070258,4,4,4,4,4
604070259,3,3,3,3,3
604070260,4,4,4,4,4
604070261,3,3,3,3,3
604070262,3,2,3,3,2
604070263,4,4,4,4,4
604070264,3,3,3,3,3
604070265,3,3,3,3,3
604070266,3,3,3,2,2
604070267,4,3,4,3,3
604070268,2,3,3,2,2
604070269,4,3,4,3,3
604070270,3,3,3,3,3
604070271,3,3,3,3,3
604070272,4,3,4,4,3
604070273,4,4,4,4,4
604070274,3,3,3,3,3
604070275,3,3,3,3,3
604070276,3,3,3,3,3
604070277,3,3,3,3,3
604070278,3,3,3,2,2
604070279,3,3,3,3,3
604070280,3,3,3,3,3
604070281,4,4,4,3,2
604070282,4,2,3,2,2
604070283,4,3,3,2,2
604070284,3,2,3,2,-1
604070285,4,3,3,3,3
604070286,3,2,3,3,2
604070287,4,2,3,3,-1
604070288,4,4,4,4,2
604070289,3,2,3,2,2
604070290,4,2,3,3,1
604070291,3,2,3,3,2
604070292,4,3,4,3,3
604070293,4,3,4,3,4
604070294,4,2,3,-1,-1
604070295,4,2,4,4,3
604070296,4,2,4,4,2
604070297,3,2,4,4,2
604070298,3,2,4,4,1
604070299,4,4,4,4,3
604070300,4,3,4,4,2
604070301,3,3,3,3,3
604070302,3,3,3,3,2
604070303,3,3,3,3,3
604070304,3,3,3,3,3
604070305,3,3,3,3,3
604070306,3,4,4,3,3
604070307,3,3,4,4,3
604070308,3,3,4,4,3
604070309,3,3,3,4,2
604070310,3,4,4,3,2
604070311,3,2,4,3,3
604070312,4,4,4,4,2
604070313,4,4,4,4,4
604070314,2,2,2,2,2
604070315,4,4,4,4,3
604070316,4,4,4,4,4
604070317,4,3,4,3,3
604070318,4,3,4,4,3
604070319,3,2,3,3,2
604070320,2,-1,4,2,2
604070321,3,3,3,3,3
604070322,3,3,3,3,3
604070323,3,3,3,3,2
604070324,3,3,3,3,2
604070325,4,3,3,3,2
604070326,3,3,3,2,2
604070327,3,3,3,2,3
604070328,3,3,3,3,3
604070329,2,3,3,2,3
604070330,3,3,3,2,3
604070331,4,2,4,4,2
604070332,4,4,4,3,3
604070333,4,2,4,4,2
604070334,4,2,3,-1,3
604070335,4,2,4,4,3
604070336,3,2,3,2,3
604070337,3,2,2,1,3
604070338,4,3,4,2,3
604070339,4,2,3,3,3
604070340,3,3,3,3,2
604070341,4,3,3,4,2
604070342,3,4,4,3,3
604070343,3,4,4,3,3
604070344,3,3,3,2,2
604070345,3,3,4,4,4
604070346,4,4,4,4,3
604070347,3,3,3,3,3
604070348,4,4,4,4,2
604070349,3,3,3,3,3
604070350,2,2,2,2,2
604070351,3,3,3,3,3
604070352,4,4,4,4,4
604070353,4,4,4,4,4
604070354,3,3,3,3,3
604070355,3,3,3,3,3
604070356,3,3,3,3,2
604070357,3,3,3,3,3
604070358,3,3,3,3,3
604070359,3,2,3,3,1
604070360,3,3,3,3,2
604070361,3,3,3,3,3
604070362,3,3,3,2,2
604070363,3,2,3,3,3
604070364,4,4,4,4,3
604070365,4,3,3,2,3
604070366,2,3,-1,2,2
604070367,2,2,3,3,2
604070368,3,2,3,3,3
604070369,3,2,3,2,2
604070370,4,3,3,3,2
604070371,4,2,2,2,2
604070372,4,4,4,4,4
604070373,4,2,3,3,2
604070374,3,3,3,3,2
604070375,3,2,3,3,3
604070376,3,2,3,2,2
604070377,4,2,2,2,2
604070378,3,3,4,3,2
604070379,2,3,3,2,2
604070380,4,4,4,4,2
604070381,3,3,3,3,3
604070382,4,4,4,4,4
604070383,4,4,4,4,4
604070384,4,4,4,4,2
604070385,4,4,4,4,4
604070386,3,3,3,2,3
604070387,3,3,3,2,3
604070388,3,3,3,3,3
604070389,4,3,4,3,3
604070390,3,3,3,3,3
604070391,3,4,3,3,2
604070392,3,2,3,2,3
604070393,3,3,3,3,3
