D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
604070001,2.0,2.0,3.0,2.0,2.0
604070002,3.0,3.0,3.0,2.0,2.0
604070003,4.0,4.0,4.0,4.0,2.0
604070004,4.0,4.0,4.0,4.0,4.0
604070005,4.0,4.0,4.0,4.0,4.0
604070006,3.0,2.0,3.0,2.0,2.0
604070007,3.0,3.0,3.0,2.0,3.0
604070008,4.0,3.0,3.0,4.0,2.0
604070009,3.0,2.0,3.0,2.0,2.0
604070010,3.0,3.0,3.0,3.0,3.0
604070011,4.0,3.0,4.0,3.0,3.0
604070012,3.0,3.0,3.0,3.0,3.0
604070013,3.0,3.0,3.0,3.0,3.0
604070014,4.0,3.0,3.0,3.0,3.0
604070015,3.0,3.0,3.0,3.0,3.0
604070016,4.0,3.0,4.0,3.0,3.0
604070017,3.0,2.0,3.0,3.0,2.0
604070018,4.0,2.0,4.0,4.0,2.0
604070019,3.0,3.0,3.0,3.0,3.0
604070020,3.0,2.0,3.0,2.0,2.0
604070021,3.0,2.0,3.0,2.0,1.0
604070022,4.0,1.0,3.0,4.0,1.0
604070023,4.0,2.0,3.0,3.0,2.0
604070024,4.0,2.0,3.0,3.0,2.0
604070025,4.0,3.0,2.0,2.0,2.0
604070026,4.0,4.0,4.0,4.0,3.0
604070027,4.0,4.0,3.0,3.0,2.0
604070028,4.0,4.0,4.0,4.0,3.0
604070029,4.0,4.0,4.0,3.0,2.0
604070030,3.0,3.0,3.0,3.0,2.0
604070031,3.0,3.0,3.0,3.0,2.0
604070032,3.0,3.0,3.0,3.0,2.0
604070033,4.0,4.0,4.0,3.0,2.0
604070034,4.0,4.0,4.0,3.0,2.0
604070035,4.0,4.0,3.0,3.0,2.0
604070036,4.0,2.0,3.0,3.0,1.0
604070037,3.0,2.0,4.0,3.0,2.0
604070038,4.0,2.0,4.0,2.0,2.0
604070039,4.0,2.0,4.0,2.0,2.0
604070040,4.0,2.0,3.0,3.0,2.0
604070041,2.0,2.0,3.0,3.0,2.0
604070042,3.0,3.0,3.0,3.0,1.0
604070043,2.0,2.0,3.0,3.0,2.0
604070044,3.0,3.0,3.0,3.0,2.0
604070045,3.0,3.0,3.0,3.0,3.0
604070046,4.0,4.0,4.0,2.0,2.0
604070047,3.0,2.0,3.0,3.0,2.0
604070048,3.0,2.0,3.0,3.0,2.0
604070049,3.0,3.0,3.0,3.0,2.0
604070050,2.0,2.0,2.0,2.0,2.0
604070051,3.0,3.0,4.0,4.0,2.0
604070052,3.0,3.0,3.0,3.0,3.0
604070053,3.0,3.0,3.0,3.0,2.0
604070054,3.0,3.0,3.0,2.0,2.0
604070055,3.0,3.0,3.0,3.0,3.0
604070056,3.0,2.0,2.0,2.0,2.0
604070057,4.0,4.0,4.0,2.0,2.0
604070058,4.0,2.0,3.0,2.0,3.0
604070059,3.0,2.0,2.0,3.0,2.0
604070060,3.0,3.0,3.0,3.0,3.0
604070061,3.0,2.0,4.0,4.0,4.0
604070062,4.0,2.0,3.0,4.0,3.0
604070063,3.0,3.0,3.0,3.0,3.0
604070064,4.0,3.0,3.0,4.0,3.0
604070065,2.0,2.0,2.0,3.0,3.0
604070066,3.0,3.0,4.0,2.0,2.0
604070067,3.0,3.0,4.0,3.0,3.0
604070068,4.0,4.0,4.0,3.0,4.0
604070069,3.0,4.0,4.0,2.0,3.0
604070070,3.0,3.0,3.0,2.0,3.0
604070071,3.0,2.0,3.0,3.0,3.0
604070072,3.0,2.0,2.0,3.0,2.0
604070073,3.0,3.0,3.0,3.0,2.0
604070074,2.0,4.0,3.0,3.0,2.0
604070075,3.0,2.0,3.0,3.0,3.0
604070076,4.0,3.0,3.0,3.0,3.0
604070077,3.0,4.0,3.0,3.0,4.0
604070078,2.0,3.0,2.0,1.0,2.0
604070079,4.0,3.0,4.0,3.0,3.0
604070080,3.0,3.0,3.0,3.0,3.0
604070081,3.0,3.0,3.0,3.0,3.0
604070082,3.0,3.0,3.0,3.0,3.0
604070083,3.0,3.0,3.0,3.0,3.0
604070084,4.0,4.0,4.0,4.0,4.0
604070085,3.0,2.0,3.0,2.0,2.0
604070086,3.0,3.0,3.0,3.0,2.0
604070087,4.0,3.0,3.0,3.0,3.0
