D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
840071001,1,1,1,1,1
840071002,1,1,1,1,1
840071003,2,2,2,2,2
840071004,2,2,2,2,4
840071005,2,2,2,3,2
840071006,1,1,1,1,1
840071007,4,4,3,2,2
840071008,3,3,3,3,3
840071009,4,4,4,4,4
840071010,4,4,4,4,4
840071011,2,2,2,2,4
840071012,4,4,4,4,4
840071013,2,3,2,3,4
840071014,4,3,4,2,3
840071015,4,3,4,2,3
840071016,3,2,1,1,1
840071017,3,3,3,3,3
840071018,4,4,3,3,4
840071019,3,3,2,2,2
840071020,3,3,3,3,3
840071021,3,3,3,3,3
840071022,2,4,3,2,2
840071023,3,3,3,3,3
840071024,3,2,2,2,1
840071025,3,3,2,2,4
840071026,3,2,2,2,3
840071027,2,2,2,2,3
840071028,2,2,3,3,2
840071029,3,3,3,4,4
840071030,2,3,2,3,4
840071031,3,3,2,3,4
840071032,4,4,3,3,3
840071033,2,3,3,3,1
840071034,3,2,2,2,2
840071035,3,3,3,3,2
840071036,4,4,4,4,2
840071037,3,3,2,2,2
840071038,3,3,3,3,3
840071039,4,4,4,4,4
840071040,3,2,2,2,2
840071041,4,3,4,2,4
840071042,3,2,3,3,1
840071043,4,2,3,2,4
840071044,3,3,4,4,3
840071045,1,-2,2,2,3
840071046,3,3,3,2,3
840071047,3,3,3,2,2
840071048,1,1,1,1,1
840071049,1,2,2,2,2
840071050,2,2,2,2,3
840071051,4,4,4,4,4
840071052,4,4,3,3,3
840071053,4,4,4,4,4
840071054,4,4,4,4,3
840071055,2,2,2,2,2
840071056,3,3,2,2,3
840071057,2,2,2,2,2
840071058,4,2,3,2,3
840071059,3,3,3,3,3
840071060,2,2,3,2,2
840071061,2,3,2,2,1
840071062,1,1,1,1,1
840071063,2,2,2,2,2
840071064,4,4,4,4,4
840071065,2,2,2,2,2
840071066,2,2,2,3,3
840071067,3,3,3,3,2
840071068,1,1,1,1,1
840071069,2,2,2,2,2
840071070,2,3,2,2,3
840071071,4,3,3,3,3
840071072,4,4,4,4,4
840071073,3,3,2,2,4
840071074,3,2,2,3,4
840071075,4,4,4,4,4
840071076,2,2,2,2,2
840071077,4,4,4,4,4
840071078,4,4,3,4,3
840071079,2,1,2,2,2
840071080,4,4,4,2,2
840071081,2,2,2,2,2
840071082,3,2,2,2,2
840071083,4,4,4,4,4
840071084,1,2,2,2,2
840071085,4,4,4,4,1
840071086,3,3,2,2,2
840071087,3,3,3,2,2
840071088,2,3,2,2,3
840071089,4,4,4,4,3
840071090,4,4,4,4,4
840071091,3,3,3,3,3
840071092,3,3,4,4,2
840071093,4,4,2,2,4
840071094,2,2,2,2,2
840071095,2,2,2,2,2
840071096,2,3,2,2,3
840071097,1,1,1,1,1
840071098,2,2,2,2,2
840071099,2,2,2,2,2
840071100,2,2,2,2,2
840071101,3,-2,3,3,2
