D_INTERVIEW,Q113,Q114,Q115,Q116,Q117
840071001,1.0,1.0,1.0,1.0,1.0
840071002,1.0,1.0,1.0,1.0,1.0
840071003,2.0,2.0,2.0,2.0,2.0
840071004,2.0,2.0,2.0,2.0,4.0
840071005,2.0,2.0,2.0,3.0,2.0
840071006,1.0,1.0,1.0,1.0,1.0
840071007,4.0,4.0,3.0,2.0,2.0
840071008,3.0,3.0,3.0,3.0,3.0
840071009,4.0,4.0,4.0,4.0,4.0
840071010,4.0,4.0,4.0,4.0,4.0
840071011,2.0,2.0,2.0,2.0,4.0
840071012,4.0,4.0,4.0,4.0,4.0
840071013,2.0,3.0,2.0,3.0,4.0
840071014,4.0,3.0,4.0,2.0,3.0
840071015,4.0,3.0,4.0,2.0,3.0
840071016,3.0,2.0,1.0,1.0,1.0
840071017,3.0,3.0,3.0,3.0,3.0
840071018,4.0,4.0,3.0,3.0,4.0
840071019,3.0,3.0,2.0,2.0,2.0
840071020,3.0,3.0,3.0,3.0,3.0
840071021,3.0,3.0,3.0,3.0,3.0
840071022,2.0,4.0,3.0,2.0,2.0
840071023,3.0,3.0,3.0,3.0,3.0
840071024,3.0,2.0,2.0,2.0,1.0
840071025,3.0,3.0,2.0,2.0,4.0
840071026,3.0,2.0,2.0,2.0,3.0
840071027,2.0,2.0,2.0,2.0,3.0
840071028,2.0,2.0,3.0,3.0,2.0
840071029,3.0,3.0,3.0,4.0,4.0
840071030,2.0,3.0,2.0,3.0,4.0
840071031,3.0,3.0,2.0,3.0,4.0
840071032,4.0,4.0,3.0,3.0,3.0
840071033,2.0,3.0,3.0,3.0,1.0
840071034,3.0,2.0,2.0,2.0,2.0
840071035,3.0,3.0,3.0,3.0,2.0
840071036,4.0,4.0,4.0,4.0,2.0
840071037,3.0,3.0,2.0,2.0,2.0
840071038,3.0,3.0,3.0,3.0,3.0
840071039,4.0,4.0,4.0,4.0,4.0
840071040,3.0,2.0,2.0,2.0,2.0
840071041,4.0,3.0,4.0,2.0,4.0
840071042,3.0,2.0,3.0,3.0,1.0
840071043,4.0,2.0,3.0,2.0,4.0
840071044,3.0,3.0,4.0,4.0,3.0
840071045,1.0,-2.0,2.0,2.0,3.0
840071046,3.0,3.0,3.0,2.0,3.0
840071047,3.0,3.0,3.0,2.0,2.0
840071048,1.0,1.0,1.0,1.0,1.0
840071049,1.0,2.0,2.0,2.0,2.0
840071050,2.0,2.0,2.0,2.0,3.0
840071051,4.0,4.0,4.0,4.0,4.0
840071052,4.0,4.0,3.0,3.0,3.0
840071053,4.0,4.0,4.0,4.0,4.0
840071054,4.0,4.0,4.0,4.0,3.0
840071055,2.0,2.0,2.0,2.0,2.0
840071056,3.0,3.0,2.0,2.0,3.0
840071057,2.0,2.0,2.0,2.0,2.0
840071058,4.0,2.0,3.0,2.0,3.0
840071059,3.0,3.0,3.0,3.0,3.0
840071060,2.0,2.0,3.0,2.0,2.0
840071061,2.0,3.0,2.0,2.0,1.0
840071062,1.0,1.0,1.0,1.0,1.0
840071063,2.0,2.0,2.0,2.0,2.0
840071064,4.0,4.0,4.0,4.0,4.0
840071065,2.0,2.0,2.0,2.0,2.0
840071066,2.0,2.0,2.0,3.0,3.0
840071067,3.0,3.0,3.0,3.0,2.0
840071068,1.0,1.0,1.0,1.0,1.0
840071069,2.0,2.0,2.0,2.0,2.0
840071070,2.0,3.0,2.0,2.0,3.0
840071071,4.0,3.0,3.0,3.0,3.0
840071072,4.0,4.0,4.0,4.0,4.0
840071073,3.0,3.0,2.0,2.0,4.0
840071074,3.0,2.0,2.0,3.0,4.0
840071075,4.0,4.0,4.0,4.0,4.0
840071076,2.0,2.0,2.0,2.0,2.0
840071077,4.0,4.0,4.0,4.0,4.0
840071078,4.0,4.0,3.0,4.0,3.0
840071079,2.0,1.0,2.0,2.0,2.0
840071080,4.0,4.0,4.0,2.0,2.0
840071081,2.0,2.0,2.0,2.0,2.0
840071082,3.0,2.0,2.0,2.0,2.0
840071083,4.0,4.0,4.0,4.0,4.0
840071084,1.0,2.0,2.0,2.0,2.0
840071085,4.0,4.0,4.0,4.0,1.0
840071086,3.0,3.0,2.0,2.0,2.0
840071087,3.0,3.0,3.0,2.0,2.0
840071088,2.0,3.0,2.0,2.0,3.0
840071089,4.0,4.0,4.0,4.0,3.0
840071090,4.0,4.0,4.0,4.0,4.0
840071091,3.0,3.0,3.0,3.0,3.0
840071092,3.0,3.0,4.0,4.0,2.0
840071093,4.0,4.0,2.0,2.0,4.0
840071094,2.0,2.0,2.0,2.0,2.0
840071095,2.0,2.0,2.0,2.0,2.0
840071096,2.0,3.0,2.0,2.0,3.0
840071097,1.0,1.0,1.0,1.0,1.0
840071098,2.0,2.0,2.0,2.0,2.0
840071099,2.0,2.0,2.0,2.0,2.0
840071100,2.0,2.0,2.0,2.0,2.0
840071101,3.0,-2.0,3.0,3.0,2.0
840071102,2.0,2.0,2.0,2.0,3.0
840071103,3.0,3.0,3.0,2.0,2.0
840071104,3.0,3.0,3.0,3.0,2.0
840071105,3.0,4.0,2.0,2.0,2.0
840071106,3.0,3.0,2.0,2.0,3.0
840071107,1.0,-2.0,1.0,1.0,1.0
840071108,3.0,3.0,3.0,2.0,3.0
840071109,3.0,3.0,3.0,3.0,3.0
840071110,2.0,2.0,2.0,1.0,3.0
840071111,3.0,3.0,2.0,3.0,2.0
840071112,2.0,1.0,1.0,3.0,1.0
840071113,2.0,4.0,1.0,4.0,3.0
840071114,1.0,2.0,1.0,1.0,2.0
840071115,3.0,3.0,3.0,3.0,2.0
840071116,2.0,2.0,2.0,2.0,2.0
840071117,3.0,3.0,3.0,3.0,3.0
840071118,3.0,2.0,2.0,2.0,3.0
840071119,3.0,3.0,3.0,3.0,2.0
840071120,3.0,3.0,2.0,2.0,3.0
840071121,3.0,3.0,3.0,3.0,3.0
840071122,3.0,3.0,3.0,2.0,2.0
840071123,4.0,3.0,3.0,3.0,4.0
840071124,3.0,3.0,3.0,3.0,3.0
840071125,2.0,2.0,2.0,2.0,4.0
840071126,3.0,3.0,1.0,2.0,2.0
840071127,2.0,2.0,2.0,2.0,2.0
840071128,2.0,2.0,2.0,2.0,2.0
840071129,2.0,3.0,2.0,3.0,4.0
840071130,3.0,3.0,3.0,3.0,3.0
840071131,3.0,3.0,3.0,3.0,3.0
840071132,4.0,4.0,3.0,4.0,4.0
840071133,4.0,4.0,-2.0,4.0,4.0
840071134,3.0,3.0,2.0,2.0,2.0
840071135,3.0,4.0,2.0,2.0,3.0
840071136,2.0,2.0,2.0,2.0,2.0
840071137,3.0,4.0,2.0,2.0,2.0
840071138,3.0,2.0,2.0,3.0,2.0
840071139,2.0,2.0,2.0,2.0,3.0
840071140,3.0,3.0,4.0,2.0,2.0
840071141,4.0,4.0,4.0,4.0,3.0
840071142,2.0,2.0,2.0,2.0,2.0
840071143,2.0,2.0,2.0,2.0,2.0
840071144,2.0,2.0,2.0,2.0,2.0
840071145,3.0,3.0,2.0,2.0,2.0
840071146,2.0,4.0,2.0,2.0,3.0
840071147,3.0,3.0,3.0,2.0,4.0
840071148,4.0,-2.0,3.0,2.0,3.0
840071149,4.0,4.0,3.0,2.0,3.0
840071150,4.0,2.0,2.0,2.0,2.0
