D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
51070001,1,0,0,2,2,2,2,2
51070002,0,1,2,1,2,0,2,2
51070003,0,1,0,0,0,0,2,2
51070004,2,0,2,2,0,2,0,0
51070005,0,2,2,0,0,2,0,0
51070006,0,0,1,0,2,2,2,2
51070007,0,0,0,0,1,0,2,2
51070008,0,2,0,0,0,2,0,2
51070009,0,2,0,0,0,0,2,0
51070010,2,2,2,2,2,0,0,2
51070011,0,2,2,2,0,2,2,2
51070012,2,2,2,2,2,2,2,2
51070013,2,2,0,0,2,0,1,0
51070014,0,2,0,0,0,0,2,2
51070015,0,0,2,0,2,0,2,2
51070016,0,2,1,2,0,2,2,2
51070017,0,0,2,1,2,0,2,2
51070018,2,2,2,0,2,0,2,0
51070019,2,0,0,0,0,2,0,0
51070020,0,2,0,0,2,0,0,0
51070021,2,2,0,0,2,2,2,0
51070022,2,2,0,0,2,0,2,2
51070023,0,2,1,0,1,0,2,2
51070024,0,1,2,2,2,2,2,2
51070025,0,2,0,0,0,2,2,2
51070026,0,2,0,0,2,0,2,2
51070027,0,0,2,1,2,1,2,2
51070028,0,0,1,0,0,0,2,2
51070029,2,0,2,1,2,2,2,2
51070030,0,0,2,0,2,2,2,0
51070031,0,2,0,0,0,0,2,0
51070032,2,0,2,2,2,0,2,0
51070033,0,2,2,1,2,1,2,2
51070034,2,2,1,1,1,1,1,1
51070035,0,1,2,2,2,2,2,2
51070036,0,1,2,2,2,2,2,2
51070037,0,0,2,1,2,0,2,2
51070038,1,2,0,0,0,2,2,2
51070039,0,0,0,0,2,2,2,2
51070040,1,1,0,1,2,2,1,2
51070041,0,2,2,2,2,2,2,2
51070042,0,0,2,2,2,2,0,2
51070043,0,2,0,0,0,0,2,0
51070044,0,2,0,2,0,0,0,0
51070045,2,2,0,2,0,2,0,0
51070046,2,1,2,2,2,2,2,2
51070047,2,0,2,2,2,0,0,0
51070048,2,2,2,2,2,0,0,0
51070049,0,2,2,2,0,0,0,2
51070050,0,2,0,2,0,2,2,2
51070051,0,0,0,1,2,2,2,2
51070052,0,2,2,2,2,2,2,2
51070053,0,2,0,0,0,0,2,0
51070054,0,2,0,0,0,2,0,0
51070055,2,2,0,0,0,2,2,2
51070056,0,2,0,2,2,0,2,2
51070057,0,0,0,2,0,0,0,0
51070058,2,2,0,0,0,2,0,2
51070059,2,2,2,1,2,0,2,2
51070060,2,2,2,0,0,2,0,0
51070061,2,2,2,1,2,0,2,2
51070062,0,2,0,2,0,0,2,2
51070063,2,2,0,0,2,2,2,2
