D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
170070052,0,0,2,0,2,1,0,2
170070053,2,2,1,2,1,2,2,1
170070054,0,2,2,2,1,0,2,2
170070057,2,0,2,2,2,2,2,2
170070069,0,0,2,2,2,0,2,2
170070074,2,2,2,2,2,2,2,2
170070075,2,0,2,2,2,2,2,2
170070076,0,2,2,2,2,2,0,2
170070080,0,0,2,0,2,0,2,2
170070085,0,0,2,2,2,0,0,0
170070087,2,0,2,2,2,0,2,2
170070093,1,0,2,2,2,0,2,2
170070104,2,1,1,2,0,2,2,2
170070105,0,0,2,2,2,0,2,2
170070112,0,2,1,2,0,2,2,2
170070113,0,0,2,1,2,0,2,2
170070122,2,2,2,2,2,2,2,2
170070126,0,0,2,0,2,2,0,2
170070128,1,0,2,2,2,0,2,2
170070132,2,2,2,0,2,0,2,2
170070154,1,2,2,0,2,2,0,0
170070156,2,0,2,2,2,0,2,2
170070197,0,0,1,0,0,2,1,1
170070198,1,1,2,1,2,1,2,2
170070210,1,0,2,0,0,0,0,2
170070213,0,0,2,0,2,0,0,2
170070214,0,0,2,0,2,2,2,2
170070215,0,0,2,2,2,2,2,0
170070219,0,1,2,1,2,2,2,2
170070222,0,2,0,1,0,2,2,1
170070224,0,0,2,2,2,0,2,2
170070253,2,2,2,2,2,2,2,1
170070255,0,0,2,2,2,0,0,2
170070261,0,2,2,2,2,2,2,2
170070308,1,2,2,1,1,2,2,2
170070312,0,0,2,0,2,0,0,0
170070323,0,2,2,2,2,2,2,2
170070332,0,0,2,1,2,2,1,2
170070334,0,0,2,0,0,2,2,2
170070337,0,2,2,0,2,2,2,2
170070341,2,0,0,0,2,2,0,2
170070344,0,0,2,0,0,2,0,1
170070358,2,1,2,1,1,1,2,2
170070366,0,1,2,2,0,2,2,2
170070369,1,2,1,2,1,1,0,2
170070378,0,0,2,2,2,1,2,2
170070385,0,2,2,0,2,0,2,2
170070388,2,2,2,2,2,2,2,2
170070389,1,2,2,2,1,1,1,2
170070390,0,0,0,0,0,0,2,2
170070393,0,0,2,2,2,0,2,2
170070394,0,0,2,0,0,2,0,0
170070395,0,2,1,1,2,1,2,1
170070407,0,0,0,2,0,1,2,2
170070408,1,0,2,2,2,2,2,2
170070414,0,0,2,2,0,0,2,2
170070415,0,0,0,0,0,2,2,2
170070418,2,2,0,2,0,0,2,2
170070421,2,2,1,1,0,1,1,2
170070422,0,2,2,2,2,0,2,2
