D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
170070052,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0
170070053,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
170070054,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0
170070057,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
170070069,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070074,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170070075,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
170070076,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
170070080,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
170070085,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
170070087,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070093,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070104,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
170070105,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070112,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0
170070113,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0
170070122,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170070126,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
170070128,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070132,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0
170070154,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
170070156,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070197,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
170070198,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
170070210,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
170070213,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
170070214,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
170070215,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
170070219,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
170070222,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0
170070224,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
170070253,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
