D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
276070001,0,2,2,2,2,2,2,2
276070002,2,2,2,2,2,2,2,2
276070003,2,1,1,2,2,2,0,2
276070004,2,2,1,2,0,2,0,2
276070005,0,0,2,2,2,2,2,2
276070006,1,2,0,2,0,2,0,0
276070007,1,2,2,2,2,2,2,2
276070008,0,1,1,1,2,2,2,1
276070009,0,0,2,1,2,2,2,2
276070010,2,2,2,2,2,0,0,2
276070011,2,2,1,2,2,2,2,2
276070012,0,0,2,2,2,2,2,2
276070013,0,0,2,1,2,2,2,2
276070014,2,2,0,2,0,2,0,0
276070015,2,2,2,2,0,2,2,2
276070016,0,2,0,2,0,2,1,1
276070017,2,2,1,2,1,2,0,0
276070018,1,2,2,2,2,2,0,2
276070019,1,2,0,2,2,2,-1,2
276070020,1,2,0,2,0,-1,0,2
276070021,2,2,2,2,0,2,0,1
276070022,0,0,2,2,2,2,2,2
276070023,2,2,1,2,0,2,0,2
276070024,1,2,2,0,2,2,1,2
276070025,0,1,2,2,1,1,0,2
276070026,1,2,0,2,0,2,2,2
276070027,0,2,2,2,2,2,0,2
276070028,2,0,1,1,0,2,2,2
276070029,2,2,2,2,0,2,0,2
276070030,2,2,0,2,2,2,0,0
276070031,-1,2,0,2,0,2,2,2
276070032,0,0,1,2,2,2,-1,1
276070033,0,0,2,1,2,2,2,2
276070034,2,2,-1,2,-1,2,-1,2
276070035,2,2,2,2,0,2,0,2
276070036,0,0,2,2,2,2,2,2
276070037,1,2,2,2,2,2,2,2
276070038,1,2,-1,2,0,2,2,2
276070039,2,2,0,2,0,1,0,2
276070040,2,1,1,2,1,2,2,2
276070041,1,2,0,2,1,2,0,1
276070042,0,0,2,2,2,2,2,2
276070043,0,2,1,2,0,2,0,2
276070044,0,0,2,2,0,2,2,2
276070045,1,2,2,2,1,2,1,2
276070046,2,2,1,2,2,2,1,-1
276070047,1,1,1,1,1,1,1,1
276070048,0,2,2,2,0,2,0,0
276070049,2,2,0,2,2,2,0,2
276070050,2,2,2,2,0,2,2,2
276070051,1,0,2,2,2,2,2,2
276070052,0,2,2,1,2,2,1,2
276070053,1,1,2,2,2,2,0,2
276070054,1,2,2,2,2,2,1,2
276070055,2,2,2,2,2,2,2,2
276070056,1,-1,2,2,2,2,2,2
276070057,0,0,2,0,2,2,1,2
276070058,0,2,2,2,0,2,0,2
276070059,0,2,2,2,2,0,2,2
276070060,0,0,2,1,2,2,2,2
276070061,0,2,2,2,2,2,0,2
276070062,2,2,0,2,0,2,0,2
276070063,2,2,2,2,2,2,0,2
276070064,0,2,0,2,2,2,0,0
276070065,2,2,2,2,2,2,0,2
276070066,2,2,0,2,0,2,0,2
276070067,1,1,0,2,2,1,1,1
276070068,2,1,0,2,0,1,1,1
276070069,2,2,0,2,1,2,0,0
276070070,2,2,-1,2,0,2,0,2
276070071,2,2,2,2,2,0,-1,2
276070072,0,0,2,1,2,2,2,2
276070073,0,2,1,1,0,2,1,2
276070074,2,2,0,2,1,2,0,1
276070075,2,2,2,2,0,2,0,2
276070076,2,2,0,2,0,2,2,2
276070077,0,2,0,2,2,2,0,2
276070078,0,0,2,2,2,2,2,2
276070079,0,0,2,2,0,2,2,0
276070080,2,2,2,2,2,2,0,2
276070081,0,2,2,2,0,2,2,2
276070082,2,2,2,2,2,2,2,2
276070083,0,0,2,2,2,0,2,2
276070084,0,1,1,2,2,1,0,2
276070085,0,0,2,2,2,2,2,2
276070086,2,1,2,2,2,2,2,2
276070087,1,2,0,2,0,2,0,2
276070088,0,2,2,2,2,2,2,2
276070089,2,2,2,2,2,2,1,2
276070090,2,2,2,2,2,2,0,0
276070091,2,2,0,2,2,2,0,2
276070092,2,2,2,1,2,2,0,0
276070093,0,1,2,2,2,2,2,2
276070094,1,2,2,2,2,2,1,2
276070095,0,0,2,1,2,2,2,2
276070096,2,2,2,2,2,2,2,2
276070097,2,2,2,1,2,1,1,2
276070098,1,-1,2,2,2,2,2,2
276070099,2,2,2,1,2,0,1,0
276070100,2,2,-1,2,2,2,0,1
276070101,1,2,2,2,1,2,0,2
276070102,2,2,0,2,0,2,0,0
276070103,0,2,2,2,1,2,2,2
276070104,0,2,2,1,2,2,2,2
276070105,0,2,2,2,0,2,0,2
276070106,0,0,2,2,2,2,0,2
276070107,2,2,0,2,0,2,2,0
276070108,0,2,-1,-1,2,2,2,2
276070109,2,2,2,2,2,2,0,2
276070110,2,2,2,2,0,2,0,2
276070111,2,2,2,2,0,2,0,2
276070112,0,2,0,2,0,2,0,2
276070113,0,2,2,2,2,2,2,2
276070114,2,1,2,2,2,2,0,2
276070115,0,0,2,2,2,2,0,2
276070116,1,0,0,2,0,2,0,2
276070117,2,2,1,2,1,2,0,0
276070118,2,2,2,2,2,2,1,1
276070119,-1,1,1,-1,1,1,1,1
276070120,2,2,2,2,2,2,0,2
276070121,1,0,2,2,1,2,0,2
276070122,1,2,0,2,2,2,1,2
276070123,2,2,2,2,0,2,1,2
276070124,2,2,0,2,0,2,2,2
276070125,2,2,2,2,2,2,0,2
276070126,0,2,0,2,2,2,1,2
276070127,2,2,1,2,1,2,1,2
276070128,2,2,-1,1,-1,2,2,2
276070129,2,2,0,2,0,2,0,0
276070130,2,2,0,2,0,2,0,0
276070131,2,2,0,2,-1,2,0,0
276070132,1,2,2,1,2,1,2,2
276070133,1,2,1,2,2,2,0,2
276070134,2,2,0,2,0,2,2,0
276070135,2,2,0,2,2,2,0,2
276070136,-1,1,2,2,2,2,2,2
276070137,1,2,2,2,2,2,2,2
276070138,1,2,0,2,2,2,2,2
276070139,1,-1,-1,2,1,2,1,2
276070140,2,0,2,2,0,2,2,2
276070141,0,0,1,2,2,2,0,2
276070142,1,1,2,2,2,2,1,2
276070143,-1,0,2,2,2,2,0,2
276070144,0,2,2,2,2,2,-1,2
276070145,-1,-1,-1,-1,-1,-1,-1,-1
276070146,2,2,0,2,0,2,0,2
276070147,0,2,0,2,2,2,0,2
276070148,2,-1,-1,2,2,2,-1,2
276070149,2,0,0,2,2,2,0,2
276070150,0,0,2,2,2,2,0,2
276070151,2,2,2,2,2,2,2,2
276070152,2,2,2,2,2,2,0,2
276070153,2,2,0,2,0,2,2,0
276070154,2,2,0,2,2,2,2,2
276070155,0,2,0,2,0,2,0,2
276070156,2,2,0,2,2,2,0,2
276070157,2,2,2,2,2,2,0,2
276070158,2,2,2,2,2,2,0,2
276070159,1,2,2,2,2,2,2,2
276070160,1,1,2,2,2,2,0,2
276070161,0,-1,0,2,2,2,-1,2
276070162,2,2,2,2,0,2,0,0
276070163,0,0,2,2,2,2,2,2
276070164,2,2,2,2,1,2,0,2
276070165,1,0,2,2,2,2,0,2
276070166,2,2,2,2,2,2,0,2
276070167,-1,-1,-1,2,0,1,0,2
276070168,2,1,2,2,2,2,0,0
276070169,1,2,2,1,0,2,0,0
276070170,2,2,0,2,0,2,0,0
276070171,2,2,2,2,2,2,0,2
276070172,2,2,2,2,2,2,2,2
276070173,2,2,2,2,1,2,0,2
276070174,0,0,2,0,2,2,1,2
276070175,2,2,0,2,2,2,0,2
276070176,2,2,0,2,2,2,0,2
276070177,1,1,2,2,2,0,0,2
276070178,0,2,2,2,2,2,2,2
276070179,1,1,2,1,2,1,0,2
276070180,2,2,2,2,2,2,0,2
276070181,0,2,2,2,2,2,0,0
276070182,2,2,0,2,0,0,0,2
