D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
300070001,0,2,1,2,0,2,0,0
300070002,1,0,2,2,0,2,2,0
300070003,0,0,2,2,2,2,2,2
300070004,1,2,2,2,1,2,2,2
300070005,0,0,2,2,2,2,2,2
300070006,0,0,2,2,0,2,2,2
300070007,2,2,0,2,0,2,2,-1
300070008,1,-1,2,2,0,2,1,0
300070009,1,-2,0,2,1,2,1,1
300070010,0,2,0,2,2,2,2,2
300070011,2,2,1,2,1,2,2,0
300070012,2,2,0,2,0,2,1,1
300070013,2,2,0,2,0,2,1,0
300070014,2,2,0,2,0,2,0,0
300070015,2,2,0,2,0,2,1,0
300070016,2,2,0,2,0,2,1,1
300070017,0,2,0,2,1,2,1,1
300070018,2,2,0,2,1,2,0,0
300070019,2,1,1,2,1,2,2,0
300070020,1,2,0,2,0,2,0,0
300070021,0,0,2,2,2,2,2,2
300070022,1,1,2,2,1,2,0,2
300070023,2,2,2,2,0,0,0,-2
300070024,0,0,2,2,2,0,2,2
300070025,2,2,2,-1,2,2,2,2
300070026,0,0,0,2,0,2,0,1
300070027,2,2,1,2,0,2,0,1
300070028,1,2,1,-2,0,1,0,-2
300070029,2,2,2,2,2,2,2,2
300070030,1,2,1,2,0,0,0,0
300070031,2,2,1,1,0,0,2,1
300070032,1,2,0,2,0,2,1,1
300070033,2,2,1,2,0,2,1,0
300070034,2,1,0,1,0,2,0,0
300070035,2,0,2,0,2,1,2,2
300070036,2,2,1,2,1,2,1,1
300070037,2,2,0,2,0,2,2,0
300070038,2,1,0,2,0,2,1,0
300070039,2,2,0,2,0,2,0,0
300070040,2,2,2,0,2,1,2,0
300070041,2,2,2,2,0,2,0,2
300070042,2,2,0,2,0,2,0,2
300070043,2,2,2,2,2,2,2,2
300070044,2,2,2,2,2,2,-1,-1
300070045,0,0,2,2,2,2,0,2
300070046,0,0,2,2,0,2,2,2
300070047,2,2,2,-1,2,2,2,2
300070048,0,2,1,2,0,0,0,1
300070049,-1,2,0,-1,-1,-1,-1,-1
300070050,2,0,2,2,2,0,2,2
300070051,0,0,2,2,2,0,2,2
300070052,0,0,2,0,0,0,0,1
300070053,2,2,1,2,0,2,0,2
300070054,2,2,1,-1,0,2,1,0
300070055,0,0,2,2,2,2,2,2
300070056,2,2,0,2,0,2,0,2
300070057,2,2,1,-1,2,2,0,-1
300070058,2,2,1,-1,0,2,0,2
300070059,2,2,2,2,-1,2,0,2
300070060,0,0,2,2,2,0,2,2
300070061,-1,-1,2,2,2,0,-1,2
300070062,0,2,2,2,2,0,2,2
300070063,0,0,2,2,2,0,0,2
300070064,0,0,2,2,2,0,-1,2
300070065,1,2,0,2,0,0,0,2
300070066,0,0,2,2,2,0,0,2
300070067,2,-1,2,-1,2,2,2,2
300070068,0,0,2,2,2,0,0,2
300070069,0,2,2,2,2,0,2,2
300070070,0,2,2,2,2,0,2,2
300070071,2,0,2,2,-1,2,2,1
300070072,2,0,2,2,0,2,2,0
300070073,2,2,1,2,0,2,1,-1
300070074,2,-1,2,2,1,1,2,0
300070075,1,-1,2,2,1,2,2,1
300070076,2,0,0,2,0,2,0,1
300070077,-1,-1,2,2,-1,2,2,2
300070078,1,0,2,2,0,2,2,1
300070079,0,0,2,2,-2,0,1,2
300070080,0,0,2,2,2,0,2,2
300070081,2,2,2,2,1,1,0,0
300070082,2,2,2,2,2,2,2,1
300070083,0,0,2,2,2,2,2,0
300070084,2,2,2,2,2,0,2,2
300070085,0,2,2,2,2,2,2,2
300070086,1,2,0,-2,0,1,1,0
300070087,0,2,2,2,2,2,2,2
300070088,0,2,2,2,2,2,2,2
300070089,0,2,2,2,1,2,2,-1
300070090,1,2,2,2,2,2,2,1
300070091,2,0,0,2,1,2,0,2
300070092,0,1,2,2,0,2,2,-1
300070093,1,0,2,2,2,2,2,2
300070094,2,1,2,2,2,2,2,1
300070095,2,2,0,2,0,2,2,1
300070096,0,0,2,2,2,1,2,2
300070097,2,2,1,2,0,2,1,1
300070098,2,0,2,2,2,2,2,2
300070099,2,0,2,2,2,1,2,2
300070100,2,2,0,0,0,2,0,0
300070101,0,2,0,2,1,2,0,0
300070102,2,2,0,2,1,2,0,1
300070103,2,2,2,2,1,2,0,1
300070104,2,2,1,2,1,2,0,1
300070105,0,2,1,2,1,2,0,0
300070106,2,2,0,2,1,2,0,0
300070107,1,1,2,2,2,2,2,2
300070108,1,2,1,2,1,2,0,0
300070109,0,1,1,2,1,2,0,0
300070110,1,1,1,2,1,2,0,1
300070111,2,2,2,2,2,2,2,2
300070112,2,2,2,2,2,2,2,2
