D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
300070001,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
300070002,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
300070003,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
300070004,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
300070005,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
300070006,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0
300070007,2.0,2.0,0.0,2.0,0.0,2.0,2.0,-1.0
300070008,1.0,-1.0,2.0,2.0,0.0,2.0,1.0,0.0
300070009,1.0,-2.0,0.0,2.0,1.0,2.0,1.0,1.0
300070010,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
300070011,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
300070012,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
300070013,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0
300070014,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
300070015,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0
300070016,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
300070017,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0
300070018,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
300070019,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
300070020,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
300070021,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
300070022,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0
300070023,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-2.0
300070024,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
300070025,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0
300070026,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
300070027,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0
300070028,1.0,2.0,1.0,-2.0,0.0,1.0,0.0,-2.0
300070029,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
300070030,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
300070031,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0
300070032,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
300070033,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0
300070034,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
300070035,2.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0
300070036,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
300070037,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
300070038,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
300070039,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
300070040,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0
300070041,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
300070042,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
300070043,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
300070044,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0
300070045,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
300070046,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0
300070047,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0
