D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
392070001,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
392070002,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
392070003,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0
392070004,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0
392070005,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070006,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
392070007,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
392070008,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
392070009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070010,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
392070011,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
392070012,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
392070013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070014,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
392070015,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
392070016,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
392070017,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
392070018,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
392070019,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
392070020,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
392070021,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070022,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0
392070023,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
392070024,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
392070025,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
392070026,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0
392070027,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
392070028,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0
392070029,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
392070030,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
392070031,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0
392070032,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070033,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
392070034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070037,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
392070038,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0
392070039,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0
392070040,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
392070041,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070042,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
392070043,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
392070044,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
392070045,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0
392070046,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070048,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0
392070049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070050,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0
392070051,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
392070052,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0
392070053,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
392070054,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
392070055,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0
392070056,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070057,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
392070058,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
392070059,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
392070060,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
392070061,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
392070062,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
392070063,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070064,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
392070065,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
392070066,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
392070067,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
