D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
458070001,1,1,1,1,1,1,1,1
458070002,1,2,1,1,0,1,2,1
458070003,0,0,2,0,2,1,2,2
458070004,0,1,0,0,0,0,0,0
458070005,1,2,1,1,2,2,1,2
458070006,2,1,2,1,2,2,1,2
458070007,1,1,1,2,1,1,1,2
458070008,1,2,2,2,1,2,1,1
458070009,2,2,0,1,0,1,1,1
458070010,2,1,2,1,1,2,1,1
458070011,1,2,2,1,2,1,1,1
458070012,2,2,1,1,1,2,2,2
458070013,1,1,0,1,0,1,0,2
458070014,0,0,2,1,2,1,2,2
458070015,0,0,2,0,2,1,1,2
458070016,1,0,2,1,2,2,2,2
458070017,1,0,2,1,2,2,2,2
458070018,1,2,2,2,1,1,0,1
458070019,1,2,1,1,-1,2,2,1
458070020,2,1,1,1,1,1,1,1
458070021,2,2,0,2,0,2,0,0
458070022,0,0,2,2,2,1,1,2
458070023,0,0,2,2,2,2,2,2
458070024,1,1,2,1,2,1,2,2
458070025,0,0,2,2,2,0,2,2
458070026,0,0,2,2,2,2,2,2
458070027,1,1,2,2,2,2,2,2
458070028,2,1,0,1,2,1,1,1
458070029,0,0,2,2,2,1,0,1
458070030,1,1,2,2,2,1,2,2
458070031,2,1,2,1,1,1,0,1
458070032,1,1,1,1,1,1,1,1
458070033,2,2,2,1,2,2,1,2
458070034,2,1,2,1,0,2,2,2
458070035,1,2,2,2,2,1,2,1
458070036,1,1,2,2,2,0,2,2
458070037,1,1,2,1,1,1,2,1
458070038,2,1,2,1,1,2,2,1
458070039,2,2,0,1,1,0,2,2
458070040,0,0,2,2,2,0,2,2
458070041,2,2,2,2,2,2,2,2
458070042,0,0,2,0,2,0,2,2
458070043,2,2,0,2,2,2,2,0
458070044,2,0,2,2,2,2,2,2
458070045,0,0,2,2,2,0,2,2
458070046,1,0,2,1,2,0,1,1
458070047,1,0,2,1,2,2,2,2
458070048,0,0,2,2,2,2,2,2
458070049,1,1,1,1,1,1,1,1
458070050,2,2,1,1,1,1,0,1
458070051,1,1,1,1,2,1,1,1
458070052,2,2,0,1,2,1,1,1
458070053,0,0,2,0,2,2,0,2
458070054,0,2,2,2,2,2,2,2
458070055,2,1,1,1,2,1,1,1
458070056,2,2,0,2,0,2,2,0
458070057,0,0,2,1,2,1,2,2
458070058,0,0,2,2,2,2,0,2
458070059,2,2,0,0,2,1,2,2
458070060,2,1,1,2,1,1,1,1
458070061,2,1,1,1,1,1,1,1
458070062,2,2,2,2,1,1,2,2
458070063,2,2,1,1,2,2,2,1
458070064,0,1,1,1,1,1,1,1
458070065,1,1,1,-1,2,0,0,0
458070066,1,1,2,0,1,2,1,1
458070067,2,2,2,2,2,2,2,2
458070068,2,1,0,1,0,2,0,1
458070069,2,2,0,2,0,0,0,0
458070070,0,0,2,1,2,1,1,2
458070071,0,0,2,2,2,1,2,2
458070072,0,0,2,1,2,2,2,2
458070073,2,0,2,-1,0,2,0,2
458070074,2,0,0,0,0,0,0,1
