D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
458070001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458070002,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
458070003,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0
458070004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
458070005,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
458070006,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
458070007,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
458070008,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
458070009,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
458070010,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
458070011,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
458070012,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
458070013,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
458070014,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0
458070015,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0
458070016,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
458070017,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
458070018,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0
458070019,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,1.0
458070020,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458070021,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
458070022,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0
458070023,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
458070024,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
458070025,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
458070026,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
458070027,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
458070028,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
458070029,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0
458070030,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
458070031,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
458070032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458070033,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
458070034,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0
458070035,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
458070036,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
458070037,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
458070038,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
458070039,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
458070040,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
458070041,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070042,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
458070043,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0
458070044,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
458070045,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
458070046,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0
458070047,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
