D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
484070001,1,1,1,1,1,1,1,1
484070002,2,2,2,2,2,2,2,1
484070003,2,1,0,2,2,2,2,1
484070004,2,2,2,2,1,1,0,0
484070005,1,2,1,1,1,2,1,1
484070006,0,0,0,0,0,0,0,0
484070007,0,2,0,0,0,0,0,0
484070008,0,2,0,1,1,2,0,0
484070009,2,2,2,1,2,2,0,0
484070010,0,2,1,2,0,2,0,0
484070011,2,2,0,1,0,2,2,2
484070012,1,0,0,0,0,1,2,0
484070013,0,1,2,2,1,2,0,2
484070014,0,2,2,0,2,2,2,2
484070015,2,0,0,2,0,2,2,0
484070016,0,1,0,2,0,2,0,0
484070017,2,2,0,0,1,2,0,0
484070018,2,0,1,1,0,2,0,0
484070019,1,0,0,1,1,1,1,1
484070020,1,1,2,1,1,1,2,2
484070021,0,1,0,0,0,2,0,2
484070022,0,1,2,2,2,2,1,1
484070023,1,0,1,2,1,2,1,0
484070024,0,2,0,0,2,0,0,2
484070025,1,2,1,0,0,1,1,0
484070026,2,0,2,2,2,0,2,2
484070027,2,2,0,1,-2,0,0,0
484070028,2,2,0,2,0,2,2,2
484070029,2,2,1,2,1,2,1,1
484070030,2,0,0,2,0,2,2,1
484070031,2,2,2,2,2,2,2,2
484070032,1,1,1,2,2,1,1,1
484070033,-1,-1,-1,-1,-1,-1,-1,-1
484070034,-1,-1,-1,-1,-1,-1,-1,-1
484070035,0,1,2,1,1,2,1,1
484070036,1,2,1,1,1,1,1,1
484070037,0,1,1,0,2,1,1,2
484070038,1,1,2,2,1,2,2,2
484070039,1,2,1,2,2,1,1,1
484070040,2,0,2,2,2,2,0,2
484070041,0,0,2,0,1,1,2,2
484070042,2,2,2,1,1,0,2,2
484070043,0,2,1,1,1,2,1,0
484070044,2,1,0,1,2,0,0,2
484070045,1,1,1,1,1,1,1,1
484070046,2,2,0,1,2,0,0,0
484070047,1,2,2,1,2,1,2,2
484070048,2,1,1,1,1,2,2,2
484070049,0,2,2,2,0,0,1,1
484070050,1,2,0,2,1,2,0,1
484070051,1,1,1,1,1,1,1,1
484070052,1,1,1,1,2,1,0,1
484070053,2,2,0,2,0,2,2,2
484070054,2,1,2,2,2,2,1,2
484070055,0,2,0,2,0,1,2,0
484070056,0,0,0,2,0,2,2,2
484070057,0,2,0,1,0,0,0,0
484070058,1,1,1,1,1,2,0,1
484070059,2,1,2,2,1,2,2,1
484070060,2,0,2,0,0,0,2,2
484070061,1,0,0,0,1,0,0,2
484070062,2,-1,-1,2,-1,2,0,0
484070063,2,1,2,2,1,2,2,1
484070064,0,0,0,0,1,2,0,1
484070065,0,2,0,2,0,2,0,0
484070066,2,2,0,0,-1,2,0,0
484070067,1,1,1,1,2,1,1,1
484070068,1,2,1,0,2,1,1,1
484070069,0,2,2,1,2,2,1,1
484070070,2,2,0,2,2,0,2,2
484070071,1,1,1,0,0,2,2,2
484070072,1,2,0,2,0,2,0,2
484070073,1,2,1,2,2,2,2,1
484070074,2,2,0,2,0,2,2,1
484070075,0,2,0,2,2,1,0,2
484070076,0,0,2,2,2,2,2,2
484070077,2,2,0,2,1,2,0,0
484070078,2,2,2,2,2,2,2,2
484070079,2,2,0,2,2,2,2,2
484070080,1,2,1,1,2,0,2,1
484070081,2,2,1,1,2,2,2,2
484070082,1,2,0,2,2,0,0,0
484070083,2,2,0,2,2,1,0,0
484070084,1,2,0,2,0,2,0,0
484070085,2,2,2,2,2,2,2,2
484070086,1,2,2,1,1,1,0,1
484070087,0,0,2,2,2,0,2,1
484070088,0,2,2,2,2,2,0,0
484070089,1,1,1,1,1,2,0,0
484070090,0,2,0,2,0,2,0,0
484070091,0,2,2,2,2,2,0,1
484070092,2,2,0,2,0,2,0,0
484070093,0,2,2,2,0,2,0,0
484070094,2,2,0,0,0,0,2,2
484070095,1,1,1,1,1,1,1,1
484070096,0,2,0,1,0,2,0,0
484070097,1,2,1,2,0,2,1,1
484070098,0,2,0,2,2,2,0,0
484070099,1,2,1,0,0,0,2,2
484070100,2,0,2,0,2,2,2,2
484070101,1,0,0,0,0,0,0,0
484070102,1,2,0,0,2,0,2,2
484070103,2,2,2,2,2,2,2,2
484070104,1,1,0,0,0,2,0,0
484070105,2,-1,2,2,-1,2,0,0
484070106,1,1,2,2,2,2,2,2
484070107,1,1,1,1,1,1,1,1
484070108,0,2,0,0,0,2,2,2
484070109,1,2,0,0,0,2,2,2
484070110,2,0,2,2,2,2,2,2
484070111,0,2,0,2,0,2,0,0
484070112,0,1,1,0,0,1,0,1
484070113,2,2,0,2,2,2,0,0
484070114,0,0,2,2,0,2,0,0
484070115,2,2,0,2,1,0,0,2
484070116,1,2,0,2,0,2,0,0
484070117,0,2,2,1,0,2,0,2
484070118,2,1,2,2,1,2,2,0
484070119,1,2,1,0,0,1,1,0
484070120,2,1,1,2,0,2,2,0
484070121,0,2,2,2,2,2,2,1
484070122,2,0,0,2,0,2,2,0
484070123,0,1,2,0,1,2,1,2
484070124,0,0,0,0,0,2,0,0
484070125,2,2,2,1,1,2,2,2
484070126,1,0,2,2,2,0,0,2
484070127,0,2,0,0,0,0,0,1
484070128,0,0,0,0,0,0,0,0
484070129,2,2,0,2,0,2,0,0
484070130,2,0,0,1,0,1,0,0
484070131,0,0,0,1,1,1,2,2
484070132,2,2,2,2,2,2,2,2
484070133,2,2,2,2,2,2,2,2
484070134,0,0,1,1,2,2,2,1
484070135,2,2,0,2,0,2,0,2
484070136,2,1,0,2,0,1,1,1
484070137,2,2,1,2,1,2,2,2
484070138,1,1,2,1,2,0,2,1
484070139,2,2,2,2,2,2,2,2
484070140,2,1,1,1,0,0,1,1
484070141,2,2,2,2,2,2,2,1
484070142,2,2,2,0,0,0,2,0
484070143,0,0,0,2,2,2,2,2
484070144,2,0,2,0,2,0,2,0
484070145,0,0,2,2,2,2,2,2
484070146,1,0,0,1,2,0,1,1
484070147,2,2,0,2,0,1,1,0
484070148,2,2,1,2,1,2,2,2
484070149,2,2,2,2,2,2,2,0
484070150,2,2,2,2,2,2,0,2
484070151,0,0,0,0,0,0,0,0
484070152,2,2,2,2,2,0,0,2
484070153,0,2,0,1,0,0,0,0
484070154,0,0,0,0,0,0,0,0
484070155,0,2,0,2,0,2,2,0
484070156,2,2,2,2,1,2,2,1
484070157,2,2,0,0,2,1,2,2
484070158,0,2,2,2,2,2,2,1
484070159,2,1,2,0,0,2,0,0
484070160,2,2,2,2,2,2,2,2
484070161,1,0,2,0,2,1,1,2
484070162,1,1,0,1,1,0,0,1
484070163,0,2,1,2,1,2,2,2
484070164,0,0,0,2,2,2,0,0
484070165,1,0,0,2,2,0,0,2
484070166,1,0,0,2,0,0,0,0
484070167,2,0,1,1,2,0,0,2
484070168,2,1,2,2,1,0,2,0
484070169,-1,2,2,-1,2,2,2,2
484070170,0,0,0,0,2,1,0,1
484070171,0,0,2,-1,2,1,2,2
484070172,2,2,2,0,0,2,0,0
484070173,0,0,0,0,2,2,2,2
484070174,2,2,2,2,2,0,2,2
484070175,2,2,2,2,2,0,2,2
484070176,1,2,2,1,2,2,2,2
484070177,2,1,0,0,0,0,1,2
484070178,2,2,2,2,1,2,2,0
484070179,1,1,0,2,0,0,0,0
484070180,1,2,0,0,0,0,0,0
484070181,0,0,2,2,2,2,2,2
484070182,0,2,0,0,2,2,2,2
484070183,1,1,0,1,0,0,0,0
484070184,1,0,2,0,0,0,0,0
484070185,2,2,2,2,2,2,0,0
484070186,0,0,0,2,0,2,2,0
484070187,2,2,0,2,0,0,0,2
484070188,2,2,0,0,0,2,0,0
484070189,2,0,2,0,2,0,2,0
484070190,2,0,2,2,2,0,2,0
484070191,1,1,0,0,2,0,1,0
484070192,1,1,0,2,0,2,1,2
484070193,2,-1,2,2,0,-1,-1,-1
484070194,0,0,0,2,0,2,0,2
484070195,2,2,0,2,0,2,2,0
484070196,0,0,2,2,2,1,2,2
484070197,0,0,0,2,1,2,1,2
484070198,2,0,0,2,-1,2,-1,0
484070199,2,-1,2,-1,2,0,-1,-1
484070200,1,2,0,2,0,2,0,0
484070201,2,0,2,2,0,2,2,2
484070202,0,-1,0,-1,0,2,0,0
484070203,0,2,2,2,2,2,0,0
484070204,2,2,0,2,0,2,0,0
484070205,0,2,2,2,2,2,2,2
484070206,1,1,2,2,2,2,2,2
484070207,1,1,2,2,2,0,2,2
484070208,1,1,2,2,2,2,1,2
484070209,2,2,1,1,1,2,1,1
484070210,0,0,1,1,2,1,2,1
484070211,2,1,2,2,2,2,2,2
484070212,1,0,0,2,0,0,2,1
484070213,0,0,2,-1,0,2,0,2
484070214,1,2,1,1,1,1,1,1
484070215,0,2,2,0,0,0,0,2
484070216,1,1,0,1,2,2,2,2
484070217,0,2,2,1,2,2,0,2
484070218,2,2,0,2,0,2,2,2
484070219,2,2,0,0,0,0,0,0
484070220,2,2,0,2,0,2,0,0
484070221,1,1,0,2,1,2,1,2
484070222,2,1,2,2,2,1,2,2
484070223,1,0,0,0,1,1,0,0
484070224,0,0,2,1,1,0,2,2
484070225,1,2,2,2,2,2,0,0
484070226,1,0,2,2,2,0,2,0
484070227,2,2,2,2,1,1,1,1
484070228,1,1,2,1,2,0,0,2
484070229,0,0,2,0,2,2,2,1
484070230,2,2,0,0,0,0,0,0
484070231,0,0,0,0,0,0,0,0
484070232,1,0,2,2,1,1,0,0
484070233,0,2,0,0,0,0,0,0
484070234,1,1,1,1,1,1,1,1
484070235,2,2,2,2,2,2,2,2
484070236,0,0,0,0,0,1,1,1
484070237,2,1,1,2,2,2,0,0
484070238,2,2,1,1,1,2,0,0
484070239,2,1,0,0,0,2,0,0
484070240,2,2,1,2,1,1,2,1
484070241,2,2,0,2,1,1,1,1
484070242,1,1,1,1,1,1,1,1
484070243,0,2,0,0,1,2,0,0
484070244,2,0,2,0,2,0,2,0
484070245,2,2,0,1,1,1,1,1
484070246,2,2,2,2,2,1,2,2
484070247,2,1,0,0,2,1,0,1
484070248,1,1,1,1,0,2,2,1
484070249,1,1,1,1,1,1,1,1
484070250,1,1,1,1,1,1,1,1
