D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
484070001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070002,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
484070003,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0
484070004,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
484070005,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
484070006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070008,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
484070009,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0
484070010,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
484070011,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0
484070012,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
484070013,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0
484070014,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
484070015,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
484070016,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
484070017,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
484070018,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
484070019,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
484070020,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
484070021,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
484070022,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
484070023,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
484070024,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
484070025,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
484070026,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
484070027,2.0,2.0,0.0,1.0,-2.0,0.0,0.0,0.0
484070028,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
484070029,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
484070030,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0
484070031,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070032,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
484070033,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070035,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
484070036,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
484070037,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
484070038,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
484070039,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
484070040,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
484070041,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
484070042,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0
484070043,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
484070044,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
484070045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070046,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
484070047,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
484070048,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
484070049,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0
484070050,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0
484070051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070052,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
484070053,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
484070054,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
484070055,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0
484070056,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
484070057,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
484070058,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
484070059,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
484070060,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
484070061,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
484070062,2.0,-1.0,-1.0,2.0,-1.0,2.0,0.0,0.0
484070063,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
484070064,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
484070065,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070066,2.0,2.0,0.0,0.0,-1.0,2.0,0.0,0.0
484070067,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
484070068,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0
484070069,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
484070070,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
484070071,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0
484070072,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
484070073,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
484070074,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0
484070075,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
484070076,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
484070077,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
484070078,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070079,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
484070080,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0
484070081,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
484070082,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
484070083,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0
484070084,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070085,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070086,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
484070087,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0
484070088,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
484070089,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
484070090,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070091,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
484070092,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070093,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
484070094,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
484070095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070096,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
484070097,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0
484070098,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
484070099,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0
484070100,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
484070101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070102,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
484070103,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070104,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
484070105,2.0,-1.0,2.0,2.0,-1.0,2.0,0.0,0.0
484070106,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
484070107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070108,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
484070109,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
484070110,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
484070111,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070112,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
484070113,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
484070114,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
484070115,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0
484070116,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070117,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0
484070118,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0
484070119,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
484070120,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0
484070121,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
484070122,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
484070123,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0
484070124,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
484070125,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
484070126,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
484070127,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
484070128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070129,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070130,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
484070131,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
484070132,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070133,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070134,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0
484070135,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
484070136,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0
484070137,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
484070138,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0
484070139,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070140,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
484070141,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
484070142,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
484070143,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
484070144,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
484070145,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
484070146,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
484070147,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
484070148,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
484070149,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
484070150,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
484070151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070152,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
484070153,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
484070154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070155,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
484070156,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
484070157,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
484070158,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
484070159,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
484070160,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070161,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0
484070162,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
484070163,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
484070164,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
484070165,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
484070166,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
484070167,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0
484070168,2.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0
484070169,-1.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0
484070170,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
484070171,0.0,0.0,2.0,-1.0,2.0,1.0,2.0,2.0
484070172,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
484070173,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
484070174,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
484070175,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
484070176,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
484070177,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
484070178,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0
484070179,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
484070180,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070181,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
484070182,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
484070183,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
484070184,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
484070185,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
484070186,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
484070187,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
484070188,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
484070189,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
484070190,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
484070191,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
484070192,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0
484070193,2.0,-1.0,2.0,2.0,0.0,-1.0,-1.0,-1.0
484070194,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
484070195,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
484070196,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0
484070197,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0
484070198,2.0,0.0,0.0,2.0,-1.0,2.0,-1.0,0.0
484070199,2.0,-1.0,2.0,-1.0,2.0,0.0,-1.0,-1.0
484070200,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070201,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0
484070202,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0
484070203,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
484070204,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070205,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070206,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
484070207,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
484070208,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
484070209,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
484070210,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0
484070211,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
484070212,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
484070213,0.0,0.0,2.0,-1.0,0.0,2.0,0.0,2.0
484070214,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
484070215,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
484070216,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0
484070217,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0
484070218,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
484070219,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070220,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
484070221,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0
484070222,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
484070223,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
484070224,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0
484070225,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
484070226,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
484070227,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
484070228,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
484070229,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0
484070230,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070232,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
484070233,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070235,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070236,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
484070237,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
484070238,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
484070239,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
484070240,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
484070241,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0
484070242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070243,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
484070244,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
484070245,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
484070246,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
484070247,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
484070248,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
484070249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070251,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
484070252,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
484070253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484070254,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
484070255,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
484070256,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
484070257,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
484070258,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
484070259,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
484070260,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
484070261,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0
484070262,2.0,2.0,0.0,-1.0,2.0,2.0,0.0,2.0
484070263,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070264,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070265,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070266,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
484070267,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
484070268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070269,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
484070270,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0
484070271,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
484070272,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0
484070273,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
484070274,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
484070275,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070276,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0
484070277,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
484070278,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0
484070279,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0
484070280,0.0,0.0,1.0,-1.0,1.0,0.0,2.0,1.0
484070281,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070282,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0
484070283,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
484070284,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
484070285,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
484070286,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0
484070287,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0
484070288,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
484070289,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0
484070290,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
484070291,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
484070292,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
484070293,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
484070294,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
484070295,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
484070296,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
484070297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070298,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
484070299,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
484070300,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
484070301,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
484070302,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
