D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
528070001,-5,-5,-5,-5,-5,-5,-5,-5
528070002,-1,2,0,-1,0,2,0,2
528070003,0,2,2,2,0,2,2,2
528070004,2,2,2,2,-1,2,0,2
528070005,-1,-1,2,-1,-1,-1,-1,-1
528070006,-1,2,2,2,2,2,0,2
528070007,2,2,2,0,2,2,0,0
528070008,-1,-1,2,-1,2,-1,2,-1
528070009,0,2,0,2,2,2,0,0
528070010,0,2,-1,-1,-1,2,0,0
528070011,2,2,2,2,2,2,2,2
528070012,2,2,2,2,2,2,2,2
528070013,2,2,2,2,2,2,0,2
528070014,2,2,-1,2,2,2,0,2
528070015,2,2,0,2,0,2,0,0
528070016,2,2,2,2,2,2,2,2
528070017,0,2,2,2,0,2,0,2
528070018,0,0,2,2,2,0,-1,2
528070019,0,2,2,2,2,2,0,2
528070020,0,-1,2,2,2,0,2,2
528070021,0,2,2,0,2,2,0,2
528070022,2,2,-1,2,-1,2,2,-1
528070023,-1,2,2,2,2,2,2,2
528070024,-1,2,2,2,2,2,2,2
528070025,0,2,2,2,0,2,0,2
528070026,-1,2,2,2,2,2,2,2
528070027,0,2,2,2,2,2,2,2
528070028,2,2,2,2,2,2,2,2
528070029,2,2,0,2,-1,2,0,2
528070030,2,-1,2,2,2,2,2,2
528070031,0,0,2,2,2,2,0,2
528070032,-2,-1,-1,-2,-2,-2,-2,-2
528070033,-1,2,0,2,0,-1,-1,-1
528070034,-5,-5,-5,-5,-5,-5,-5,-5
528070035,2,2,-1,-1,-1,2,-1,-1
528070036,2,2,2,2,2,2,-1,2
528070037,0,2,2,2,-1,2,0,0
528070038,2,2,0,2,0,2,2,0
528070039,2,2,2,2,0,2,0,0
528070040,0,0,2,0,2,0,2,2
528070041,0,2,0,0,0,0,0,0
528070042,2,2,0,2,0,2,0,0
528070043,-1,-1,-1,-1,-1,-1,-1,-1
528070044,2,2,2,2,2,2,0,0
528070045,-1,2,0,-1,-1,2,0,-1
528070046,-1,-2,-2,-2,-2,-2,-2,-2
528070047,2,2,2,2,2,2,0,2
528070048,-1,2,-1,-1,0,2,0,-1
528070049,-5,-5,-5,-5,-5,-5,-5,-5
528070050,-1,2,2,-1,-1,2,0,-1
528070051,0,2,2,2,0,0,0,0
528070052,0,0,2,2,2,0,2,2
528070053,2,2,0,2,0,2,0,2
528070054,2,2,2,2,2,2,0,2
528070055,2,2,0,2,0,2,0,2
528070056,-1,2,2,2,2,0,-1,2
528070057,2,2,2,2,2,2,0,2
528070058,-1,2,-1,0,0,2,-1,-1
528070059,2,2,2,2,-1,2,-1,2
528070060,-1,-1,-1,-1,-1,-1,-1,-1
528070061,2,2,2,2,2,2,0,2
528070062,0,0,2,-1,-1,-1,-1,2
528070063,0,2,-1,-1,-1,2,-1,2
528070064,2,2,0,0,0,2,0,2
528070065,2,2,2,2,0,2,0,2
528070066,2,2,2,2,2,2,0,2
528070067,2,2,2,2,2,2,2,2
528070068,0,2,2,-1,2,2,-1,0
528070069,2,2,2,2,2,2,2,2
528070070,-1,-1,-1,-1,-1,-1,-1,-1
528070071,0,0,0,0,0,0,0,2
528070072,-5,-5,-5,-5,-5,-5,-5,-5
528070073,0,0,2,-1,2,-1,2,2
528070074,2,2,2,-1,-1,2,-1,-1
528070075,-1,2,2,2,2,2,0,2
528070076,2,2,2,2,2,2,0,2
528070077,2,2,-1,2,-1,2,0,2
528070078,2,2,2,2,0,2,0,2
528070079,2,2,2,2,2,2,2,2
528070080,0,2,0,2,-1,2,0,0
528070081,-1,2,2,-1,2,2,0,2
528070082,0,2,2,0,2,2,0,2
528070083,2,2,2,0,0,2,2,0
528070084,2,2,-1,2,0,2,0,2
528070085,2,2,0,2,0,2,0,0
528070086,2,0,2,-1,2,2,2,2
528070087,2,0,2,2,2,2,0,2
528070088,0,0,2,2,2,0,2,2
528070089,-1,2,2,0,2,-1,2,2
528070090,2,2,0,2,-1,2,0,0
528070091,0,2,0,2,0,2,0,2
528070092,2,2,2,2,2,2,2,2
528070093,0,0,2,2,2,2,2,2
528070094,-1,2,-1,-1,-1,2,-1,2
528070095,2,2,2,2,2,2,2,2
528070096,2,2,2,2,2,2,0,0
528070097,0,2,2,2,2,2,0,2
528070098,2,2,-1,2,0,2,-1,-1
528070099,0,2,2,2,0,2,2,0
528070100,2,2,2,2,2,2,0,2
528070101,0,2,2,2,0,2,-1,2
528070102,2,2,-1,2,-1,2,0,2
528070103,-1,2,2,-1,-1,2,-1,-1
528070104,0,2,2,2,2,2,2,2
528070105,-1,2,-1,2,-1,2,2,2
528070106,0,2,2,-1,-1,2,2,2
528070107,0,0,2,2,2,2,0,2
528070108,-5,-5,-5,-5,-5,-5,-5,-5
528070109,2,0,2,2,2,2,2,2
528070110,0,2,2,2,2,2,2,2
528070111,2,2,2,2,2,2,2,2
528070112,2,0,2,2,2,2,2,2
528070113,-5,-5,-5,-5,-5,-5,-5,-5
528070114,0,2,2,0,2,0,2,2
528070115,2,2,0,2,-1,2,0,-1
528070116,0,2,2,2,2,2,0,2
528070117,0,2,2,2,2,2,0,2
528070118,-1,-1,-1,-1,-1,-1,-1,-1
528070119,2,2,2,2,-1,2,0,-1
528070120,-1,2,2,2,2,2,0,0
528070121,2,2,2,2,2,2,0,2
528070122,0,0,2,2,2,2,2,2
528070123,2,2,2,2,2,2,0,2
528070124,0,2,0,2,0,2,0,0
528070125,-1,0,-1,-2,-1,-1,-2,-1
528070126,2,2,0,2,0,2,0,2
528070127,2,2,-1,-1,-1,2,-1,0
528070128,0,2,2,2,2,2,0,2
528070129,0,2,-1,-1,0,2,-1,0
528070130,0,0,2,0,2,0,0,2
528070131,0,2,2,-1,2,2,2,2
528070132,2,2,2,2,2,2,2,2
528070133,-5,2,0,2,2,0,2,2
528070134,2,2,2,-1,2,2,2,2
528070135,0,2,2,2,2,2,2,2
528070136,2,2,0,2,0,2,0,0
528070137,0,2,2,-1,2,2,0,2
528070138,2,2,0,2,0,2,0,0
528070139,2,2,2,-1,2,2,0,2
528070140,2,2,2,2,2,2,0,0
528070141,2,2,2,2,2,0,0,2
528070142,2,2,2,2,2,2,2,2
528070143,2,2,0,-1,0,2,0,-1
528070144,2,2,2,2,2,2,2,0
528070145,-2,-2,-2,-2,-2,-2,-2,-2
528070146,2,2,2,2,2,2,2,2
528070147,0,2,2,2,2,2,2,2
528070148,0,-1,2,-1,-1,2,-1,-1
528070149,2,2,2,2,2,2,2,2
528070150,0,0,2,0,2,2,0,0
528070151,0,0,2,2,2,0,2,2
528070152,0,2,2,0,2,2,2,0
528070153,2,2,2,2,-1,2,2,2
528070154,2,2,-1,2,-1,2,0,-1
528070155,2,0,2,2,0,2,2,-1
528070156,2,2,0,2,0,2,0,0
528070157,-1,-1,2,-1,-1,2,-1,-1
528070158,2,2,-1,2,0,2,0,2
528070159,-1,-1,-1,-1,-1,-1,-1,-1
528070160,0,2,2,2,2,2,2,2
528070161,0,2,2,2,2,2,0,2
528070162,2,2,0,2,0,2,0,2
528070163,0,2,2,2,2,2,0,2
528070164,2,2,2,-1,2,2,0,2
528070165,0,0,0,0,2,0,2,2
528070166,-1,2,2,2,2,0,2,2
528070167,2,2,-1,2,-1,0,-1,2
528070168,0,0,2,2,2,-2,-2,2
528070169,0,0,2,2,2,2,2,2
528070170,2,2,2,2,2,2,2,2
528070171,2,2,2,2,2,2,2,2
528070172,2,2,0,2,0,2,0,0
528070173,2,2,2,2,2,2,2,2
528070174,-1,0,2,0,-1,0,0,-1
528070175,2,2,2,2,2,2,0,2
528070176,-5,-5,-5,-5,-5,-5,-5,-5
528070177,2,2,2,2,2,2,2,2
528070178,2,2,0,0,0,2,0,0
528070179,-1,2,2,2,2,0,2,2
528070180,2,2,-1,2,-1,2,0,0
528070181,2,2,2,-1,2,2,0,2
528070182,0,2,0,2,0,2,-1,2
528070183,0,2,0,2,0,2,2,2
528070184,2,2,2,-1,-1,2,-1,2
528070185,2,2,-1,2,-1,2,2,2
528070186,-1,-1,-1,-1,-1,-1,-1,-1
528070187,0,0,2,2,2,0,2,2
528070188,-1,-1,-1,-1,-1,-1,-1,-1
528070189,2,2,0,2,0,2,0,2
528070190,0,2,2,0,2,2,2,2
528070191,2,2,2,2,2,2,-1,-1
528070192,-2,-2,-2,-2,-2,-2,-2,-2
528070193,-1,0,2,-2,-1,-1,0,-2
528070194,2,2,0,2,0,2,0,0
528070195,2,2,2,2,2,2,0,2
