D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
528070001,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070002,-1.0,2.0,0.0,-1.0,0.0,2.0,0.0,2.0
528070003,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
528070004,2.0,2.0,2.0,2.0,-1.0,2.0,0.0,2.0
528070005,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
528070006,-1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
528070007,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
528070008,-1.0,-1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0
528070009,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
528070010,0.0,2.0,-1.0,-1.0,-1.0,2.0,0.0,0.0
528070011,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070012,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070013,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
528070014,2.0,2.0,-1.0,2.0,2.0,2.0,0.0,2.0
528070015,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
528070016,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070017,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
528070018,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,2.0
528070019,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
528070020,0.0,-1.0,2.0,2.0,2.0,0.0,2.0,2.0
528070021,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
528070022,2.0,2.0,-1.0,2.0,-1.0,2.0,2.0,-1.0
528070023,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070024,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070025,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
528070026,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070027,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070028,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
528070029,2.0,2.0,0.0,2.0,-1.0,2.0,0.0,2.0
528070030,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0
528070031,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
528070032,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0
528070033,-1.0,2.0,0.0,2.0,0.0,-1.0,-1.0,-1.0
528070034,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
528070035,2.0,2.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0
528070036,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0
528070037,0.0,2.0,2.0,2.0,-1.0,2.0,0.0,0.0
528070038,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
528070039,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
528070040,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
528070041,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
