D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
604070001,2,2,0,2,0,2,2,2
604070002,2,-1,1,-1,0,2,2,2
604070003,2,2,2,1,0,1,2,2
604070004,2,2,0,0,2,0,2,2
604070005,0,2,0,1,0,1,0,2
604070006,2,2,1,1,0,2,2,2
604070007,0,2,2,2,2,2,0,2
604070008,2,0,2,2,2,0,2,2
604070009,2,0,2,2,2,2,2,2
604070010,2,2,2,2,0,2,0,0
604070011,2,-1,2,2,2,2,2,2
604070012,2,-2,-2,2,2,2,2,2
604070013,2,-1,2,2,2,-1,2,2
604070014,0,2,0,2,0,2,0,0
604070015,2,0,0,0,-2,2,2,2
604070016,2,2,2,1,0,2,2,2
604070017,2,2,2,-2,0,2,2,2
604070018,2,0,2,2,2,2,2,2
604070019,2,2,2,2,2,2,2,2
604070020,2,2,2,-1,2,2,2,2
604070021,2,1,2,2,2,2,2,2
604070022,2,2,2,2,2,2,2,2
604070023,2,2,2,2,2,2,2,2
604070024,2,0,2,2,2,2,2,2
604070025,2,1,2,2,2,2,2,2
604070026,2,2,0,2,0,2,0,0
604070027,0,2,0,0,0,2,0,0
604070028,2,2,2,2,0,2,2,2
604070029,0,2,0,0,0,2,0,0
604070030,2,2,2,2,0,2,2,2
604070031,2,2,0,2,0,2,0,0
604070032,2,2,2,2,0,2,2,2
604070033,2,2,2,2,0,2,0,0
604070034,2,2,2,2,0,2,2,2
604070035,2,2,0,2,0,2,0,0
604070036,2,0,2,2,2,2,2,2
604070037,2,0,2,2,2,2,2,2
604070038,0,2,0,2,2,2,2,2
604070039,0,0,1,0,2,1,2,2
604070040,2,2,2,2,1,2,2,2
604070041,2,2,2,2,0,2,2,2
604070042,2,0,2,0,2,0,2,2
604070043,2,2,0,2,2,0,2,2
604070044,2,0,2,-1,2,0,2,2
604070045,2,2,2,2,2,0,2,2
604070046,2,2,2,0,0,2,2,2
604070047,2,2,2,2,0,2,2,2
604070048,2,0,2,0,2,0,2,2
604070049,2,2,0,2,0,2,2,2
604070050,2,2,0,2,0,0,2,2
604070051,2,2,2,2,0,1,2,2
604070052,0,0,2,2,2,0,2,2
604070053,2,0,2,2,2,2,2,2
604070054,2,0,2,2,2,2,2,2
604070055,2,0,2,0,2,0,0,0
604070056,0,2,2,0,2,2,2,2
604070057,2,0,2,2,2,0,2,2
604070058,2,0,2,2,0,2,2,2
604070059,2,1,2,0,2,0,0,2
604070060,0,0,0,0,0,0,0,0
604070061,2,2,0,0,0,2,2,2
604070062,2,2,2,2,2,2,2,2
604070063,0,2,2,2,2,2,2,2
604070064,2,2,2,0,2,2,2,2
604070065,2,0,2,2,2,0,2,2
604070066,2,2,2,2,2,2,2,2
604070067,2,0,2,2,2,2,2,2
604070068,2,0,2,0,2,2,2,0
604070069,2,2,2,2,2,2,2,2
604070070,2,0,2,2,2,2,2,2
604070071,2,2,2,2,2,2,2,2
604070072,2,2,2,2,2,0,2,2
604070073,2,2,2,0,0,2,2,2
604070074,2,2,2,2,2,2,2,2
604070075,2,0,2,2,2,0,2,2
604070076,2,0,0,2,2,0,2,2
604070077,2,0,2,0,2,0,2,2
604070078,2,0,1,2,0,2,0,0
604070079,2,0,2,0,2,2,0,2
604070080,1,-1,1,-1,1,1,1,1
604070081,0,2,2,2,2,2,0,2
604070082,2,2,0,0,0,0,0,2
604070083,0,2,2,2,0,0,0,2
604070084,0,2,0,0,0,2,2,2
604070085,2,2,2,2,0,0,2,2
604070086,2,0,2,2,2,2,2,2
604070087,2,0,2,2,2,2,2,2
604070088,2,2,2,2,0,2,2,2
604070089,2,0,2,2,2,2,2,2
604070090,2,-1,2,2,-1,2,2,2
604070091,2,2,2,2,2,2,2,2
604070092,2,-1,2,2,0,2,2,2
604070093,2,2,2,2,2,2,2,2
604070094,2,2,2,2,2,2,2,2
604070095,2,2,2,2,2,2,2,2
604070096,2,2,2,2,2,2,2,2
604070097,2,2,2,2,2,2,2,2
604070098,0,2,0,2,0,2,2,2
604070099,2,0,2,0,2,2,2,2
604070100,2,2,2,2,2,2,2,2
604070101,1,0,0,0,0,0,1,0
604070102,2,0,2,2,0,2,2,0
604070103,0,-1,0,2,2,2,2,2
604070104,0,2,2,0,0,0,2,2
604070105,2,2,2,2,2,0,2,0
604070106,2,2,2,2,2,0,2,2
604070107,0,0,2,2,0,2,2,2
604070108,2,0,2,2,2,-1,2,2
604070109,2,0,2,2,2,-1,2,2
604070110,2,0,2,2,2,-1,2,2
604070111,0,0,2,2,2,0,2,2
604070112,2,2,2,-1,0,-1,2,2
604070113,2,0,2,0,2,0,2,2
604070114,2,2,2,2,0,-1,2,2
604070115,2,2,2,-1,0,-1,2,2
604070116,2,0,2,2,2,2,2,2
604070117,2,2,2,2,2,2,2,2
604070118,2,2,2,2,2,2,2,2
604070119,2,0,2,2,2,2,2,2
604070120,2,2,2,-1,2,2,2,2
604070121,2,2,2,2,0,2,2,2
604070122,0,0,2,0,2,0,0,2
604070123,2,2,2,2,2,2,2,2
604070124,2,2,2,2,0,2,2,2
604070125,2,0,2,1,2,2,2,2
604070126,0,2,0,0,0,0,2,2
604070127,0,2,0,0,0,0,2,2
604070128,2,2,0,0,2,0,2,2
604070129,0,2,0,0,0,0,2,2
604070130,2,2,0,0,2,0,2,2
604070131,0,2,2,0,0,0,2,2
604070132,0,2,2,-1,0,-1,0,2
604070133,0,2,0,0,0,0,2,0
604070134,0,2,0,0,0,0,0,2
604070135,0,0,0,0,0,0,0,2
604070136,2,0,2,0,0,2,0,0
604070137,1,1,0,1,0,2,0,0
604070138,0,0,0,0,0,0,0,0
604070139,2,2,2,2,0,0,0,0
604070140,2,2,2,2,2,2,2,2
604070141,0,2,0,2,0,2,0,2
604070142,0,2,0,0,1,0,0,0
604070143,2,2,0,2,0,2,2,2
604070144,0,2,2,2,0,2,2,0
604070145,0,2,1,1,0,0,0,0
604070146,2,2,2,2,2,2,2,2
604070147,0,0,2,2,2,2,2,2
604070148,2,0,0,2,2,2,2,2
604070149,2,0,2,2,2,2,2,2
604070150,2,2,0,0,2,2,2,0
604070151,0,2,2,2,0,2,0,0
604070152,2,1,2,2,1,2,2,2
604070153,2,2,2,2,1,2,2,2
604070154,2,2,2,2,0,2,2,2
604070155,0,2,2,2,0,2,0,0
604070156,0,2,2,2,0,2,0,0
604070157,1,2,1,2,1,2,1,1
604070158,2,1,2,2,1,2,2,2
604070159,0,2,1,2,1,2,0,0
604070160,2,1,2,2,1,2,2,2
604070161,2,2,2,0,2,2,2,2
604070162,2,0,2,2,2,0,2,2
604070163,2,2,2,2,2,2,2,2
604070164,0,2,0,0,0,0,0,0
604070165,0,0,2,1,2,0,2,2
604070166,2,2,0,2,0,2,0,0
604070167,2,2,2,0,2,2,2,2
604070168,2,2,2,2,0,2,2,2
604070169,2,-2,0,-2,0,0,2,2
604070170,2,0,2,2,0,2,2,2
604070171,2,2,2,2,0,2,2,2
604070172,2,2,2,2,2,2,2,2
604070173,0,0,2,0,2,0,0,2
604070174,0,2,2,2,0,2,0,2
604070175,2,0,2,2,2,0,2,2
604070176,2,0,2,2,2,0,2,2
604070177,2,2,0,2,0,1,2,2
604070178,2,2,2,0,2,0,2,2
604070179,2,2,0,2,0,0,2,2
604070180,2,2,2,2,0,0,2,2
604070181,2,0,2,2,2,2,2,2
604070182,2,2,2,2,2,2,2,2
604070183,2,2,0,0,2,2,0,2
604070184,2,2,2,2,2,2,2,2
604070185,2,2,2,2,2,2,2,2
604070186,2,2,2,0,0,0,2,2
604070187,0,2,0,2,0,2,0,0
604070188,2,2,2,2,2,2,2,2
604070189,2,0,2,2,2,2,2,2
604070190,2,2,0,2,0,2,0,2
604070191,2,2,0,0,2,2,2,1
604070192,0,2,0,2,0,2,2,0
604070193,2,0,2,2,2,0,0,2
604070194,0,2,0,2,0,2,0,2
604070195,2,0,2,2,0,0,2,2
604070196,2,1,2,2,1,2,2,2
604070197,2,2,0,2,1,2,2,2
604070198,0,2,2,2,0,2,0,0
604070199,0,2,0,2,0,2,0,0
604070200,2,1,2,2,1,2,2,2
604070201,2,0,0,0,0,2,2,2
604070202,1,0,0,0,0,2,2,0
604070203,2,2,2,2,2,2,2,2
604070204,0,0,0,0,2,2,2,2
604070205,2,0,0,0,0,0,2,0
604070206,2,2,2,2,2,2,2,2
604070207,2,2,2,2,2,2,2,2
