D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
840071001,1,1,1,1,1,1,1,1
840071002,1,1,1,1,1,1,1,1
840071003,1,1,1,1,1,1,1,1
840071004,2,2,2,2,1,1,1,1
840071005,1,1,1,1,1,1,1,1
840071006,2,2,2,2,2,2,2,2
840071007,2,2,1,2,1,2,1,1
840071008,2,2,1,2,1,2,2,2
840071009,1,1,1,1,1,1,1,1
840071010,0,0,0,0,0,0,0,0
840071011,-1,2,0,2,0,2,2,-1
840071012,2,2,0,0,0,2,0,0
840071013,0,0,0,0,0,1,2,2
840071014,2,2,1,1,1,1,2,2
840071015,2,2,1,1,1,0,0,2
840071016,1,1,0,1,0,2,1,2
840071017,2,2,2,2,2,2,0,2
840071018,0,0,2,0,2,0,2,2
840071019,2,2,0,2,0,2,0,2
840071020,2,2,1,0,0,1,1,0
840071021,0,1,1,0,0,0,2,1
840071022,1,0,1,0,2,1,1,2
840071023,1,2,0,-2,2,2,2,1
840071024,1,-2,1,2,2,-2,1,2
840071025,2,2,1,1,2,2,1,1
840071026,1,0,2,1,2,1,1,1
840071027,2,2,1,1,2,1,2,2
840071028,1,1,1,1,1,1,1,1
840071029,1,1,1,1,2,2,2,1
840071030,1,1,1,1,1,1,1,-2
840071031,2,2,2,1,2,2,2,2
840071032,1,2,1,1,1,1,1,1
840071033,2,1,0,1,1,1,1,1
840071034,2,1,2,2,2,2,2,2
840071035,1,1,1,0,2,2,2,1
840071036,2,2,0,1,0,2,0,1
840071037,2,2,1,1,1,1,1,1
840071038,1,1,1,1,1,1,1,1
840071039,1,1,1,1,1,1,1,1
840071040,1,1,1,1,1,1,2,2
840071041,0,0,2,2,2,2,2,2
840071042,1,1,1,1,1,1,0,1
840071043,0,0,2,1,2,1,2,2
840071044,0,0,1,1,1,1,1,1
840071045,1,2,2,2,-2,2,2,-2
840071046,2,2,1,2,1,2,1,1
840071047,1,1,1,1,1,1,1,1
840071048,1,1,1,1,1,1,1,1
840071049,2,2,2,2,2,2,2,2
840071050,1,1,2,2,2,2,2,2
840071051,1,1,1,1,1,1,1,1
840071052,2,2,2,0,2,2,2,2
840071053,1,1,1,1,0,1,1,1
840071054,1,1,1,1,1,1,1,1
840071055,0,0,0,0,0,0,0,0
840071056,1,1,1,1,1,1,1,1
840071057,1,1,1,1,1,1,1,1
840071058,0,0,1,0,1,0,0,0
840071059,0,2,1,1,2,1,2,2
840071060,2,2,1,1,0,1,0,1
840071061,0,0,0,1,0,2,1,1
840071062,0,2,2,2,2,2,2,2
840071063,2,2,1,1,1,2,1,1
840071064,1,1,1,1,1,1,1,1
840071065,2,2,1,1,1,1,1,1
840071066,2,2,1,1,0,2,1,0
840071067,2,2,0,1,1,2,0,0
840071068,2,1,1,1,1,1,1,1
840071069,1,1,1,1,1,1,1,1
840071070,0,2,2,1,1,2,2,1
840071071,0,2,1,1,2,2,2,1
840071072,1,0,2,2,2,1,2,2
840071073,1,1,1,1,1,1,1,1
840071074,2,2,0,2,0,1,1,2
840071075,0,0,0,0,0,0,0,0
840071076,1,1,1,1,1,1,1,1
840071077,1,2,2,2,2,1,1,2
840071078,2,2,0,0,0,2,0,2
840071079,0,1,1,1,1,1,1,1
840071080,2,2,1,2,2,2,1,1
840071081,1,2,1,1,2,2,1,2
840071082,1,1,1,1,2,1,2,1
840071083,0,0,0,0,0,0,0,0
840071084,1,2,1,1,1,0,-2,1
840071085,1,2,2,1,2,2,2,1
840071086,1,1,1,1,1,1,2,1
840071087,1,2,2,1,2,2,1,0
840071088,2,1,2,2,2,1,1,2
840071089,1,1,1,1,1,1,1,1
840071090,1,1,2,1,2,1,2,2
840071091,0,2,1,1,1,1,0,1
840071092,2,2,1,1,1,1,1,1
840071093,2,2,1,2,2,2,2,2
840071094,2,2,1,1,0,1,1,1
840071095,0,1,1,0,0,1,2,1
840071096,1,0,2,1,2,0,2,1
840071097,1,1,1,1,1,1,1,1
840071098,-2,-2,1,1,1,2,1,2
840071099,1,2,1,1,2,2,1,1
840071100,2,2,0,1,0,2,0,1
840071101,2,2,2,0,2,2,2,1
840071102,2,2,1,1,1,1,0,2
840071103,2,2,2,0,2,2,2,2
840071104,1,1,0,1,2,2,0,1
840071105,2,2,2,1,0,0,0,2
840071106,1,0,2,2,1,1,2,2
840071107,0,0,2,2,2,2,2,2
