D_INTERVIEW,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129
840071001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071004,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
840071005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071006,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
840071007,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
840071008,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
840071009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840071011,-1.0,2.0,0.0,2.0,0.0,2.0,2.0,-1.0
840071012,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
840071013,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
840071014,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
840071015,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0
840071016,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0
840071017,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
840071018,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0
840071019,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
840071020,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
840071021,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
840071022,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0
840071023,1.0,2.0,0.0,-2.0,2.0,2.0,2.0,1.0
840071024,1.0,-2.0,1.0,2.0,2.0,-2.0,1.0,2.0
840071025,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
840071026,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0
840071027,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
840071028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071029,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
840071030,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
840071031,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
840071032,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
840071033,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
840071034,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
840071035,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0
840071036,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0
840071037,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
840071038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071040,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
840071041,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
840071042,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
840071043,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0
840071044,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
840071045,1.0,2.0,2.0,2.0,-2.0,2.0,2.0,-2.0
840071046,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
840071047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071049,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
840071050,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
840071051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071052,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
840071053,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
