D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
51070001,1,2,2,3,4,2,-2
51070002,3,3,-1,-1,-1,3,3
51070003,4,4,4,4,4,4,4
51070004,4,4,4,4,4,4,4
51070005,3,2,4,4,4,3,2
51070006,4,4,4,4,4,4,4
51070007,3,4,4,4,4,3,4
51070008,4,4,4,4,4,4,4
51070009,4,4,4,4,4,4,4
51070010,4,4,4,2,-2,3,4
51070011,4,4,4,4,4,4,4
51070012,4,2,1,4,4,2,3
51070013,3,2,3,3,4,3,3
51070014,4,4,4,4,4,4,4
51070015,3,4,4,4,4,4,4
51070016,4,4,4,4,4,4,4
51070017,4,4,4,4,4,4,4
51070018,3,4,4,4,4,4,4
51070019,4,4,4,4,3,3,4
51070020,4,4,4,4,4,4,4
51070021,4,4,2,-1,2,2,4
51070022,1,1,3,4,4,1,4
51070023,3,2,4,4,-1,3,4
51070024,4,4,4,4,4,4,4
51070025,4,4,4,4,4,4,4
51070026,4,4,4,4,4,3,3
51070027,3,2,4,-1,4,4,4
51070028,2,3,3,4,4,4,4
51070029,4,3,4,4,4,1,4
51070030,4,3,2,2,4,3,4
51070031,4,3,3,3,3,3,3
51070032,4,4,-1,4,4,4,4
51070033,4,4,4,4,4,4,4
51070034,-1,-1,-1,-1,-1,-1,-1
51070035,4,4,4,4,4,4,4
51070036,1,4,4,2,4,3,4
51070037,4,4,4,3,4,4,4
51070038,3,4,4,4,4,4,4
51070039,4,4,4,4,4,4,4
51070040,4,4,4,-1,4,4,4
51070041,2,3,2,-1,4,4,4
51070042,4,4,3,4,4,4,4
51070043,2,2,4,4,4,4,4
51070044,4,4,3,4,-1,4,-1
51070045,4,4,4,4,4,4,4
51070046,3,4,4,4,4,4,4
51070047,3,4,4,4,4,4,4
51070048,4,4,4,4,4,4,4
51070049,4,4,4,4,4,4,4
51070050,3,4,4,4,4,3,4
51070051,3,4,4,4,4,4,4
51070052,2,2,2,2,-1,2,3
51070053,3,3,3,3,4,3,3
51070054,4,2,4,4,4,4,4
51070055,4,3,3,3,4,3,4
51070056,4,2,4,4,-1,3,3
51070057,4,4,4,4,-2,4,-1
51070058,3,3,3,3,3,3,3
51070059,4,4,4,4,4,4,4
51070060,4,4,3,4,4,4,2
51070061,3,2,-1,4,4,4,4
51070062,4,4,4,4,4,4,4
51070063,4,4,4,3,4,4,4
51070064,4,4,4,4,4,4,4
51070065,4,1,4,4,4,2,4
51070066,3,3,3,4,4,4,4
51070067,4,4,4,4,4,4,4
51070068,4,2,3,2,4,1,3
51070069,4,4,4,4,4,4,4
51070070,-1,4,4,4,4,4,4
51070071,2,2,4,4,4,4,4
51070072,4,4,4,4,4,4,4
51070073,4,2,4,4,4,4,-1
51070074,-1,3,-1,-1,4,4,-1
51070075,-1,2,4,4,4,4,4
51070076,-1,4,4,4,4,4,4
51070077,3,3,4,4,4,4,4
51070078,1,3,4,4,4,4,4
51070079,3,4,4,-1,-1,2,4
51070080,4,4,4,4,4,4,4
51070081,4,4,4,1,4,1,4
51070082,3,2,3,4,-1,3,-1
51070083,3,4,4,3,4,4,4
51070084,3,4,4,4,4,4,4
51070085,4,2,4,4,4,4,4
51070086,3,4,4,4,4,4,4
51070087,4,4,4,4,4,4,4
51070088,3,4,4,4,4,4,4
51070089,4,4,4,4,4,4,4
51070090,3,3,3,4,4,4,4
51070091,3,-1,-1,-1,-1,4,4
51070092,3,4,4,4,4,4,4
51070093,2,4,4,4,4,4,4
51070094,3,3,3,3,4,3,4
51070095,1,3,3,-1,4,4,4
51070096,3,4,2,4,-2,4,-2
51070097,2,-2,4,4,-2,2,3
51070098,4,4,-2,-2,-2,4,-2
51070099,3,4,4,4,-1,-1,4
51070100,3,4,4,-1,-1,-1,-1
51070101,4,4,4,-1,-1,-1,-1
51070102,1,1,4,-1,-1,2,2
51070103,4,4,4,4,4,4,4
51070104,2,4,4,4,4,3,4
51070105,4,4,4,4,4,4,4
51070106,4,4,4,4,4,4,4
51070107,3,4,-1,4,4,4,4
51070108,1,1,1,4,4,1,4
51070109,4,4,4,3,4,4,-1
51070110,4,4,4,4,4,4,4
51070111,4,4,4,4,4,3,4
51070112,4,4,4,4,4,4,4
51070113,3,3,4,-2,-1,4,4
51070114,4,4,-1,4,4,4,4
51070115,-1,4,-1,4,4,4,4
51070116,4,4,4,4,4,4,4
51070117,4,4,4,4,4,4,4
51070118,4,4,4,4,4,4,4
51070119,2,1,3,3,1,1,1
51070120,3,4,2,3,4,2,3
51070121,3,3,4,4,4,4,4
51070122,4,3,3,3,4,3,4
51070123,2,3,4,4,4,4,4
51070124,3,4,4,4,4,4,4
51070125,2,4,3,3,4,3,4
51070126,1,3,4,4,4,4,4
51070127,4,4,4,4,4,4,4
51070128,4,4,-1,4,-1,4,4
51070129,4,4,4,4,4,3,4
51070130,2,3,3,3,4,2,3
51070131,1,2,4,4,4,4,4
51070132,3,2,3,3,4,2,4
51070133,4,4,4,4,4,4,4
51070134,4,4,4,4,4,4,4
51070135,3,4,4,4,4,4,4
51070136,4,4,-1,4,4,4,4
51070137,3,4,4,-1,4,4,-1
51070138,3,4,4,4,4,4,4
51070139,2,3,4,4,4,4,4
51070140,4,4,3,4,4,1,4
51070141,2,2,3,3,4,3,3
51070142,3,2,3,2,3,2,1
51070143,2,3,4,4,4,3,3
51070144,3,3,4,4,4,4,4
51070145,2,4,4,4,4,4,4
51070146,1,4,4,4,4,4,4
51070147,3,3,4,4,4,4,4
51070148,4,4,4,4,4,4,4
51070149,4,4,4,4,4,4,4
51070150,4,4,4,4,4,4,4
51070151,4,4,4,4,4,4,4
51070152,4,4,4,4,4,4,4
51070153,4,-2,-2,4,-2,4,-2
51070154,3,3,-2,-2,-2,4,-2
51070155,4,4,4,4,-2,-2,-2
51070156,4,2,4,4,4,4,4
51070157,2,4,4,4,4,4,4
51070158,3,4,4,4,4,4,4
51070159,3,4,4,4,4,4,4
51070160,2,4,4,4,4,4,4
51070161,4,4,4,4,4,4,4
51070162,3,3,4,4,4,4,4
51070163,4,3,4,4,4,4,4
51070164,4,4,4,4,4,4,4
51070165,4,4,4,4,-1,3,4
51070166,3,2,4,4,4,4,4
51070167,3,4,4,3,4,2,3
51070168,4,4,4,4,4,2,4
51070169,2,1,2,2,4,2,4
51070170,3,4,4,4,4,4,4
51070171,2,2,4,4,4,3,4
51070172,2,3,4,4,4,4,4
51070173,3,4,2,4,4,4,4
51070174,4,4,4,4,4,4,4
51070175,2,4,4,4,4,4,4
51070176,3,4,4,4,4,4,4
51070177,3,4,4,4,4,4,4
51070178,3,4,4,3,3,3,4
51070179,2,1,4,4,4,2,4
51070180,3,3,4,4,4,4,4
51070181,3,4,4,3,4,4,4
51070182,3,4,4,4,4,3,4
51070183,4,4,4,4,4,4,4
51070184,4,4,4,4,4,4,4
51070185,4,4,4,4,4,4,4
51070186,3,4,4,4,4,3,4
51070187,4,4,4,4,4,4,4
51070188,4,4,4,4,4,4,4
51070189,4,3,3,4,4,4,4
51070190,3,3,3,4,4,4,4
51070191,2,2,-2,-2,-2,4,4
51070192,-1,3,-2,-2,-2,4,-2
51070193,3,2,-2,3,-2,3,-2
51070194,2,4,4,4,4,4,4
51070195,4,4,4,4,4,3,3
51070196,3,4,4,4,4,4,4
51070197,3,2,4,4,3,3,4
51070198,4,2,4,4,4,2,4
51070199,4,3,4,3,4,2,4
51070200,3,3,4,4,4,3,4
51070201,4,4,4,4,4,4,4
51070202,3,4,4,4,-1,3,4
51070203,3,3,3,4,4,4,4
51070204,4,4,4,4,4,4,4
51070205,4,4,4,4,4,4,4
51070206,4,4,4,4,4,4,4
51070207,4,2,4,4,4,4,4
51070208,3,3,4,4,4,3,4
51070209,4,3,4,4,4,-1,4
51070210,3,3,4,4,4,4,4
51070211,4,4,4,4,4,4,4
51070212,4,4,-1,4,4,3,4
51070213,4,3,3,4,4,3,4
51070214,3,3,4,4,4,4,4
51070215,4,4,4,4,4,4,4
51070216,3,4,4,4,4,4,4
51070217,4,4,4,4,4,4,4
51070218,3,3,3,3,4,3,3
51070219,-1,4,4,4,4,4,4
51070220,-1,2,4,4,-1,4,4
51070221,3,4,4,4,4,4,4
51070222,3,3,4,4,4,4,4
51070223,1,3,4,4,4,3,4
51070224,4,4,3,3,-1,3,4
51070225,3,4,4,4,4,4,-2
51070226,4,4,4,4,4,4,4
51070227,4,4,4,4,4,4,4
51070228,4,1,4,4,4,4,4
51070229,4,-1,-1,-1,-1,-1,-1
51070230,4,-1,-1,-1,-1,-1,-1
51070231,-1,-1,-1,-1,-1,-1,-1
51070232,4,4,-1,-1,-1,-1,-1
51070233,-1,-1,-1,-1,-1,-1,-1
51070234,4,4,-1,-1,-2,3,-2
51070235,3,4,-1,-1,-1,-1,-1
51070236,2,4,4,4,4,4,4
51070237,2,4,4,4,4,4,4
51070238,3,3,4,4,4,4,4
51070239,3,3,4,2,-1,4,4
51070240,4,4,4,4,4,3,4
51070241,2,2,2,3,4,3,4
51070242,4,2,3,4,4,2,2
51070243,3,4,4,4,4,4,4
51070244,2,3,3,4,-1,4,4
51070245,-1,-1,4,4,4,4,-1
51070246,4,4,4,4,4,4,4
51070247,4,4,-2,-2,-2,-2,-2
51070248,3,3,2,2,-2,2,2
51070249,3,-2,-2,-2,-2,-2,-2
51070250,-2,-2,-2,-2,-2,-2,-2
51070251,4,4,-2,-2,-2,3,-2
51070252,1,1,4,4,4,2,1
51070253,4,4,4,4,4,4,4
51070254,3,4,4,4,4,4,4
51070255,3,4,4,4,4,4,4
51070256,4,4,4,4,4,4,4
51070257,3,4,4,4,4,4,4
51070258,3,4,4,4,4,3,4
51070259,4,3,4,-1,-1,4,4
51070260,4,3,4,4,4,3,4
51070261,3,4,4,4,4,4,4
51070262,4,4,4,4,4,4,4
51070263,3,4,4,4,4,4,4
51070264,4,4,4,4,4,4,4
51070265,4,4,4,4,4,4,4
51070266,4,4,4,4,4,4,4
51070267,4,-1,4,3,-1,2,-1
51070268,3,1,3,3,4,1,2
51070269,4,4,4,4,4,4,4
51070270,3,3,4,4,4,4,4
51070271,4,4,3,4,4,2,4
51070272,3,3,4,4,4,4,4
51070273,3,2,2,2,4,3,3
51070274,3,4,3,4,4,4,4
51070275,4,4,4,4,4,4,4
51070276,3,3,4,4,4,3,4
51070277,4,1,4,1,4,4,4
51070278,4,4,4,4,4,3,4
51070279,2,1,2,2,4,4,4
51070280,4,2,4,4,4,4,4
51070281,2,2,4,4,3,3,4
51070282,2,1,4,4,4,3,4
51070283,3,4,4,4,4,4,4
51070284,2,3,2,4,4,3,4
51070285,2,2,4,4,4,4,4
51070286,2,4,4,4,4,4,4
51070287,4,4,4,4,4,4,4
51070288,4,4,4,4,4,4,4
51070289,-1,3,4,4,4,-1,3
51070290,3,1,3,4,4,4,4
51070291,3,3,-1,4,4,3,4
51070292,4,2,4,4,4,4,4
51070293,4,3,-2,-2,-2,-2,-2
51070294,3,4,-2,-2,-2,-2,-2
51070295,1,3,4,2,4,4,4
51070296,3,4,4,4,4,4,4
51070297,2,4,2,-1,-1,3,4
51070298,3,4,4,4,4,4,4
51070299,1,1,4,4,-1,3,3
51070300,3,4,-1,4,4,4,4
51070301,2,3,2,2,-1,3,2
51070302,2,1,4,4,4,4,4
51070303,4,4,4,4,4,4,4
51070304,2,2,2,2,4,2,2
51070305,4,4,3,3,4,3,3
51070306,4,4,4,4,4,4,4
51070307,3,3,4,4,4,3,4
51070308,3,3,4,3,4,2,4
51070309,4,4,4,4,4,2,4
51070310,2,2,4,4,4,2,2
