D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
51070001,1.0,2.0,2.0,3.0,4.0,2.0,-2.0
51070002,3.0,3.0,-1.0,-1.0,-1.0,3.0,3.0
51070003,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070004,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070005,3.0,2.0,4.0,4.0,4.0,3.0,2.0
51070006,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070007,3.0,4.0,4.0,4.0,4.0,3.0,4.0
51070008,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070009,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070010,4.0,4.0,4.0,2.0,-2.0,3.0,4.0
51070011,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070012,4.0,2.0,1.0,4.0,4.0,2.0,3.0
51070013,3.0,2.0,3.0,3.0,4.0,3.0,3.0
51070014,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070015,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070016,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070017,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070018,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070019,4.0,4.0,4.0,4.0,3.0,3.0,4.0
51070020,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070021,4.0,4.0,2.0,-1.0,2.0,2.0,4.0
51070022,1.0,1.0,3.0,4.0,4.0,1.0,4.0
51070023,3.0,2.0,4.0,4.0,-1.0,3.0,4.0
51070024,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070025,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070026,4.0,4.0,4.0,4.0,4.0,3.0,3.0
51070027,3.0,2.0,4.0,-1.0,4.0,4.0,4.0
51070028,2.0,3.0,3.0,4.0,4.0,4.0,4.0
51070029,4.0,3.0,4.0,4.0,4.0,1.0,4.0
51070030,4.0,3.0,2.0,2.0,4.0,3.0,4.0
51070031,4.0,3.0,3.0,3.0,3.0,3.0,3.0
51070032,4.0,4.0,-1.0,4.0,4.0,4.0,4.0
51070033,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070035,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070036,1.0,4.0,4.0,2.0,4.0,3.0,4.0
51070037,4.0,4.0,4.0,3.0,4.0,4.0,4.0
51070038,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070039,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070040,4.0,4.0,4.0,-1.0,4.0,4.0,4.0
51070041,2.0,3.0,2.0,-1.0,4.0,4.0,4.0
51070042,4.0,4.0,3.0,4.0,4.0,4.0,4.0
51070043,2.0,2.0,4.0,4.0,4.0,4.0,4.0
51070044,4.0,4.0,3.0,4.0,-1.0,4.0,-1.0
51070045,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070046,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070047,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070048,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070049,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070050,3.0,4.0,4.0,4.0,4.0,3.0,4.0
51070051,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070052,2.0,2.0,2.0,2.0,-1.0,2.0,3.0
51070053,3.0,3.0,3.0,3.0,4.0,3.0,3.0
51070054,4.0,2.0,4.0,4.0,4.0,4.0,4.0
51070055,4.0,3.0,3.0,3.0,4.0,3.0,4.0
51070056,4.0,2.0,4.0,4.0,-1.0,3.0,3.0
51070057,4.0,4.0,4.0,4.0,-2.0,4.0,-1.0
51070058,3.0,3.0,3.0,3.0,3.0,3.0,3.0
51070059,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070060,4.0,4.0,3.0,4.0,4.0,4.0,2.0
51070061,3.0,2.0,-1.0,4.0,4.0,4.0,4.0
51070062,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070063,4.0,4.0,4.0,3.0,4.0,4.0,4.0
51070064,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070065,4.0,1.0,4.0,4.0,4.0,2.0,4.0
51070066,3.0,3.0,3.0,4.0,4.0,4.0,4.0
51070067,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070068,4.0,2.0,3.0,2.0,4.0,1.0,3.0
51070069,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070070,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
51070071,2.0,2.0,4.0,4.0,4.0,4.0,4.0
51070072,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070073,4.0,2.0,4.0,4.0,4.0,4.0,-1.0
51070074,-1.0,3.0,-1.0,-1.0,4.0,4.0,-1.0
51070075,-1.0,2.0,4.0,4.0,4.0,4.0,4.0
51070076,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
51070077,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070078,1.0,3.0,4.0,4.0,4.0,4.0,4.0
51070079,3.0,4.0,4.0,-1.0,-1.0,2.0,4.0
51070080,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070081,4.0,4.0,4.0,1.0,4.0,1.0,4.0
51070082,3.0,2.0,3.0,4.0,-1.0,3.0,-1.0
51070083,3.0,4.0,4.0,3.0,4.0,4.0,4.0
51070084,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070085,4.0,2.0,4.0,4.0,4.0,4.0,4.0
51070086,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070087,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070088,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070089,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070090,3.0,3.0,3.0,4.0,4.0,4.0,4.0
51070091,3.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0
51070092,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070093,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070094,3.0,3.0,3.0,3.0,4.0,3.0,4.0
51070095,1.0,3.0,3.0,-1.0,4.0,4.0,4.0
51070096,3.0,4.0,2.0,4.0,-2.0,4.0,-2.0
51070097,2.0,-2.0,4.0,4.0,-2.0,2.0,3.0
51070098,4.0,4.0,-2.0,-2.0,-2.0,4.0,-2.0
51070099,3.0,4.0,4.0,4.0,-1.0,-1.0,4.0
51070100,3.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0
51070101,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0
51070102,1.0,1.0,4.0,-1.0,-1.0,2.0,2.0
51070103,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070104,2.0,4.0,4.0,4.0,4.0,3.0,4.0
51070105,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070106,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070107,3.0,4.0,-1.0,4.0,4.0,4.0,4.0
51070108,1.0,1.0,1.0,4.0,4.0,1.0,4.0
51070109,4.0,4.0,4.0,3.0,4.0,4.0,-1.0
51070110,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070111,4.0,4.0,4.0,4.0,4.0,3.0,4.0
51070112,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070113,3.0,3.0,4.0,-2.0,-1.0,4.0,4.0
51070114,4.0,4.0,-1.0,4.0,4.0,4.0,4.0
51070115,-1.0,4.0,-1.0,4.0,4.0,4.0,4.0
51070116,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070117,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070118,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070119,2.0,1.0,3.0,3.0,1.0,1.0,1.0
51070120,3.0,4.0,2.0,3.0,4.0,2.0,3.0
51070121,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070122,4.0,3.0,3.0,3.0,4.0,3.0,4.0
51070123,2.0,3.0,4.0,4.0,4.0,4.0,4.0
51070124,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070125,2.0,4.0,3.0,3.0,4.0,3.0,4.0
51070126,1.0,3.0,4.0,4.0,4.0,4.0,4.0
51070127,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070128,4.0,4.0,-1.0,4.0,-1.0,4.0,4.0
51070129,4.0,4.0,4.0,4.0,4.0,3.0,4.0
51070130,2.0,3.0,3.0,3.0,4.0,2.0,3.0
51070131,1.0,2.0,4.0,4.0,4.0,4.0,4.0
51070132,3.0,2.0,3.0,3.0,4.0,2.0,4.0
51070133,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070134,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070135,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070136,4.0,4.0,-1.0,4.0,4.0,4.0,4.0
51070137,3.0,4.0,4.0,-1.0,4.0,4.0,-1.0
51070138,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070139,2.0,3.0,4.0,4.0,4.0,4.0,4.0
51070140,4.0,4.0,3.0,4.0,4.0,1.0,4.0
51070141,2.0,2.0,3.0,3.0,4.0,3.0,3.0
51070142,3.0,2.0,3.0,2.0,3.0,2.0,1.0
51070143,2.0,3.0,4.0,4.0,4.0,3.0,3.0
51070144,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070145,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070146,1.0,4.0,4.0,4.0,4.0,4.0,4.0
51070147,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070148,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070149,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070150,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070151,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070152,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070153,4.0,-2.0,-2.0,4.0,-2.0,4.0,-2.0
51070154,3.0,3.0,-2.0,-2.0,-2.0,4.0,-2.0
51070155,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0
51070156,4.0,2.0,4.0,4.0,4.0,4.0,4.0
51070157,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070158,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070159,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070160,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070161,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070162,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070163,4.0,3.0,4.0,4.0,4.0,4.0,4.0
51070164,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070165,4.0,4.0,4.0,4.0,-1.0,3.0,4.0
51070166,3.0,2.0,4.0,4.0,4.0,4.0,4.0
51070167,3.0,4.0,4.0,3.0,4.0,2.0,3.0
51070168,4.0,4.0,4.0,4.0,4.0,2.0,4.0
51070169,2.0,1.0,2.0,2.0,4.0,2.0,4.0
51070170,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070171,2.0,2.0,4.0,4.0,4.0,3.0,4.0
51070172,2.0,3.0,4.0,4.0,4.0,4.0,4.0
51070173,3.0,4.0,2.0,4.0,4.0,4.0,4.0
51070174,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070175,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070176,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070177,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070178,3.0,4.0,4.0,3.0,3.0,3.0,4.0
51070179,2.0,1.0,4.0,4.0,4.0,2.0,4.0
51070180,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070181,3.0,4.0,4.0,3.0,4.0,4.0,4.0
51070182,3.0,4.0,4.0,4.0,4.0,3.0,4.0
51070183,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070184,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070185,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070186,3.0,4.0,4.0,4.0,4.0,3.0,4.0
51070187,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070188,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070189,4.0,3.0,3.0,4.0,4.0,4.0,4.0
51070190,3.0,3.0,3.0,4.0,4.0,4.0,4.0
51070191,2.0,2.0,-2.0,-2.0,-2.0,4.0,4.0
51070192,-1.0,3.0,-2.0,-2.0,-2.0,4.0,-2.0
51070193,3.0,2.0,-2.0,3.0,-2.0,3.0,-2.0
51070194,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070195,4.0,4.0,4.0,4.0,4.0,3.0,3.0
51070196,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070197,3.0,2.0,4.0,4.0,3.0,3.0,4.0
51070198,4.0,2.0,4.0,4.0,4.0,2.0,4.0
51070199,4.0,3.0,4.0,3.0,4.0,2.0,4.0
51070200,3.0,3.0,4.0,4.0,4.0,3.0,4.0
51070201,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070202,3.0,4.0,4.0,4.0,-1.0,3.0,4.0
51070203,3.0,3.0,3.0,4.0,4.0,4.0,4.0
51070204,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070205,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070206,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070207,4.0,2.0,4.0,4.0,4.0,4.0,4.0
51070208,3.0,3.0,4.0,4.0,4.0,3.0,4.0
51070209,4.0,3.0,4.0,4.0,4.0,-1.0,4.0
51070210,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070211,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070212,4.0,4.0,-1.0,4.0,4.0,3.0,4.0
51070213,4.0,3.0,3.0,4.0,4.0,3.0,4.0
51070214,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070215,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070216,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070217,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070218,3.0,3.0,3.0,3.0,4.0,3.0,3.0
51070219,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
51070220,-1.0,2.0,4.0,4.0,-1.0,4.0,4.0
51070221,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070222,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070223,1.0,3.0,4.0,4.0,4.0,3.0,4.0
51070224,4.0,4.0,3.0,3.0,-1.0,3.0,4.0
51070225,3.0,4.0,4.0,4.0,4.0,4.0,-2.0
51070226,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070227,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070228,4.0,1.0,4.0,4.0,4.0,4.0,4.0
51070229,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070230,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070231,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070232,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070233,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070234,4.0,4.0,-1.0,-1.0,-2.0,3.0,-2.0
51070235,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
51070236,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070237,2.0,4.0,4.0,4.0,4.0,4.0,4.0
51070238,3.0,3.0,4.0,4.0,4.0,4.0,4.0
51070239,3.0,3.0,4.0,2.0,-1.0,4.0,4.0
51070240,4.0,4.0,4.0,4.0,4.0,3.0,4.0
51070241,2.0,2.0,2.0,3.0,4.0,3.0,4.0
51070242,4.0,2.0,3.0,4.0,4.0,2.0,2.0
51070243,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070244,2.0,3.0,3.0,4.0,-1.0,4.0,4.0
51070245,-1.0,-1.0,4.0,4.0,4.0,4.0,-1.0
51070246,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070247,4.0,4.0,-2.0,-2.0,-2.0,-2.0,-2.0
51070248,3.0,3.0,2.0,2.0,-2.0,2.0,2.0
51070249,3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
51070250,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
51070251,4.0,4.0,-2.0,-2.0,-2.0,3.0,-2.0
51070252,1.0,1.0,4.0,4.0,4.0,2.0,1.0
51070253,4.0,4.0,4.0,4.0,4.0,4.0,4.0
51070254,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070255,3.0,4.0,4.0,4.0,4.0,4.0,4.0
51070256,4.0,4.0,4.0,4.0,4.0,4.0,4.0
