D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
170070052,2,2,2,3,1,2,3
170070053,2,1,3,4,3,2,2
170070054,1,1,3,4,1,1,3
170070057,1,1,3,3,2,1,3
170070069,2,2,3,4,1,3,2
170070074,2,3,3,3,1,3,4
170070075,3,1,3,3,1,1,3
170070076,3,2,4,4,1,3,4
170070080,3,1,3,4,2,3,4
170070085,3,3,3,4,4,4,4
170070087,1,3,4,4,1,1,3
170070093,2,2,3,3,2,2,3
170070104,3,3,3,3,3,3,3
170070105,2,2,3,2,2,2,3
170070112,4,3,3,3,3,4,4
170070113,3,1,3,3,1,1,3
170070122,3,3,4,4,4,4,4
170070126,1,3,3,4,2,2,2
170070128,3,1,3,4,1,3,4
170070132,3,1,4,4,1,1,3
170070154,3,2,3,4,3,3,4
170070156,3,1,3,1,1,1,1
170070197,3,3,4,4,2,4,4
170070198,2,2,3,3,1,1,1
170070210,3,1,3,3,3,3,3
170070213,2,2,3,1,1,1,2
170070214,1,2,3,4,2,3,4
170070215,3,2,2,3,2,2,3
170070219,1,1,1,4,1,1,1
170070222,3,2,4,4,4,4,4
170070224,3,1,4,4,3,4,3
170070253,3,3,4,4,2,2,3
170070255,4,3,3,4,3,3,3
170070261,3,3,3,3,3,3,3
170070308,4,1,4,4,4,4,4
170070312,3,3,4,3,3,3,3
170070323,3,3,3,4,4,3,4
170070332,4,4,4,4,4,4,4
170070334,4,4,4,4,3,4,4
170070337,3,3,4,4,4,4,4
170070341,3,2,2,1,1,1,2
170070344,3,3,3,4,4,4,4
170070358,3,3,3,3,2,3,3
170070366,3,2,3,3,1,1,3
170070369,3,3,4,4,3,4,4
170070378,3,2,3,4,4,4,4
170070385,3,1,3,3,2,1,3
170070388,1,1,1,1,1,1,1
170070389,3,3,3,3,3,3,3
170070390,2,2,3,3,2,2,3
170070393,2,1,3,4,1,1,3
170070394,3,1,3,3,3,1,3
170070395,2,2,3,2,2,2,3
170070407,1,1,1,4,1,2,3
170070408,1,1,1,3,3,1,3
170070414,3,3,3,4,4,4,4
170070415,3,3,3,3,3,3,3
170070418,2,2,4,4,2,2,4
170070421,3,1,3,3,1,3,3
170070422,3,3,3,4,4,4,4
170070423,4,3,3,4,1,3,3
170070426,4,2,4,4,4,4,4
170070432,4,3,4,4,4,4,4
170070442,1,1,1,1,1,1,1
170070465,1,1,3,1,1,1,1
170070471,3,3,3,3,4,4,4
170070497,4,3,4,4,3,4,4
170070503,3,2,3,4,1,3,4
170070507,3,1,3,3,2,1,1
170070510,4,3,1,4,1,4,4
170070514,3,1,3,3,1,3,3
170070515,3,3,3,3,3,2,1
170070522,3,1,3,3,3,3,1
170070530,1,2,4,4,2,3,4
170070531,3,3,4,4,4,4,4
170070534,3,1,3,4,4,4,4
170070538,3,3,3,3,4,4,3
170070541,2,2,3,3,3,2,3
170070544,3,2,4,4,2,4,4
170070545,3,3,3,3,3,4,4
170070553,3,1,3,4,2,1,2
170070558,3,3,3,3,2,3,3
170070559,3,3,3,3,3,3,3
170070560,3,3,3,3,4,4,4
170070561,3,3,4,4,2,3,4
170070562,3,3,3,4,4,3,4
170070565,4,4,4,4,4,4,4
170070585,3,3,3,4,3,3,4
170070593,2,3,4,4,1,4,4
170070598,3,3,3,4,3,3,3
170070601,1,3,4,3,4,4,4
170070621,3,1,1,3,1,1,1
170070626,3,2,3,3,2,2,2
170070630,3,3,1,1,1,1,3
170070631,2,4,3,4,1,1,3
170070663,2,3,3,4,3,3,4
170070666,4,4,3,4,4,3,4
170070669,3,1,1,3,1,3,4
170070672,1,1,3,2,1,1,1
170070673,4,1,4,4,4,3,3
170070676,3,3,3,3,3,3,4
170070680,3,4,2,2,3,4,4
170070682,3,3,3,4,4,3,4
170070686,2,2,3,3,4,4,4
170070699,3,3,3,4,3,3,4
170070703,1,1,3,3,1,1,1
170070704,2,2,3,3,2,1,3
170070706,3,2,4,4,1,1,4
170070723,3,2,2,2,4,4,3
170070731,4,2,3,3,3,3,3
170070734,3,1,1,1,3,3,3
170070737,1,3,2,4,4,3,3
170070749,2,1,3,3,3,2,2
170070750,1,2,3,4,4,2,4
170070751,3,3,4,4,4,4,4
