D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
276070001,4,4,4,4,4,4,4
276070002,2,3,3,2,2,2,2
276070003,3,3,4,3,4,4,4
276070004,3,3,4,3,4,4,4
276070005,3,2,3,2,2,2,3
276070006,4,3,4,2,4,3,3
276070007,2,4,4,4,4,4,4
276070008,2,2,3,2,-1,2,-1
276070009,-1,4,-1,4,-1,2,-1
276070010,3,2,4,3,4,4,3
276070011,4,3,4,3,-1,3,3
276070012,3,3,4,4,-1,4,4
276070013,4,1,4,3,3,2,4
276070014,-2,4,4,4,4,4,4
276070015,4,3,4,4,4,3,3
276070016,4,2,4,2,3,3,4
276070017,4,3,4,4,4,4,4
276070018,4,4,4,4,4,4,4
276070019,3,2,3,3,1,1,3
276070020,4,4,4,4,4,4,3
276070021,4,4,3,4,4,4,4
276070022,4,4,4,4,1,4,4
276070023,-1,2,4,3,4,3,4
276070024,3,2,3,1,4,2,-1
276070025,4,3,4,3,4,4,4
276070026,4,4,4,4,4,4,4
276070027,4,3,4,4,4,4,4
276070028,3,3,4,2,4,4,4
276070029,4,2,4,3,4,4,4
276070030,4,2,2,2,4,1,1
276070031,4,3,4,4,4,3,4
276070032,3,4,4,4,4,4,4
276070033,4,4,4,4,4,4,4
276070034,-1,3,-1,3,-1,3,3
276070035,3,3,4,3,-1,3,3
276070036,4,4,4,4,4,4,4
276070037,3,3,4,4,4,4,4
276070038,4,3,4,3,4,3,4
276070039,3,3,4,4,4,4,4
276070040,-1,2,3,2,3,3,3
276070041,4,3,4,4,4,4,4
276070042,4,3,4,4,4,3,3
276070043,4,3,4,3,4,4,4
276070044,1,4,4,4,4,4,4
276070045,4,2,1,2,1,1,3
276070046,4,2,3,2,4,3,4
276070047,4,4,4,-1,4,4,3
276070048,4,3,4,4,3,4,4
276070049,4,3,4,4,4,4,4
276070050,4,4,4,4,4,3,4
276070051,4,4,4,4,4,4,4
276070052,2,3,4,4,4,3,4
276070053,3,3,4,4,4,4,4
276070054,4,4,4,4,4,4,4
276070055,3,4,3,4,4,4,4
276070056,4,1,3,2,-1,1,3
276070057,4,2,4,3,3,3,4
276070058,3,3,3,3,4,3,3
276070059,3,3,4,4,4,2,4
276070060,-1,4,4,4,4,4,4
276070061,2,1,4,3,3,3,3
276070062,4,2,3,2,3,3,3
276070063,3,2,4,2,3,3,3
276070064,3,3,4,4,4,4,4
276070065,3,1,4,3,3,3,-1
276070066,3,2,3,3,3,2,3
276070067,3,3,4,3,3,3,3
276070068,3,3,3,3,3,4,4
276070069,-1,3,4,1,-1,3,2
276070070,3,2,4,4,4,4,4
276070071,4,4,4,4,4,4,4
276070072,4,4,3,3,4,4,4
276070073,4,4,4,4,4,4,4
276070074,4,4,4,3,3,3,3
276070075,4,3,4,3,4,4,4
276070076,3,3,3,3,4,4,4
276070077,4,4,4,4,4,4,4
276070078,4,3,4,-1,4,4,4
276070079,4,4,4,4,4,4,4
276070080,4,4,4,4,4,4,4
276070081,3,2,4,4,2,3,4
276070082,4,3,3,3,4,3,4
276070083,3,3,4,2,4,4,3
276070084,4,3,4,4,4,4,4
276070085,2,3,4,2,4,3,3
276070086,4,4,4,4,4,4,4
276070087,4,4,4,4,4,4,4
276070088,3,1,2,3,2,2,2
276070089,3,1,4,3,3,2,3
276070090,2,1,4,2,1,2,2
276070091,4,2,4,2,4,4,4
276070092,4,4,4,4,4,4,4
276070093,3,3,3,3,3,3,3
276070094,4,2,4,3,4,3,4
276070095,3,3,3,3,3,3,3
276070096,4,4,4,4,4,4,4
276070097,3,3,3,2,2,2,3
276070098,3,2,4,-1,-1,2,-1
276070099,4,2,4,3,4,3,4
276070100,4,4,4,4,4,4,4
276070101,4,2,4,4,4,3,4
276070102,4,3,3,4,4,4,4
276070103,4,3,2,4,4,4,4
276070104,4,4,4,3,3,3,-1
276070105,4,4,4,4,4,4,4
276070106,4,3,4,4,4,4,4
276070107,4,4,4,4,4,4,4
276070108,4,4,4,4,4,4,4
276070109,3,3,2,3,3,3,3
276070110,4,4,4,2,4,4,4
276070111,3,3,3,3,2,3,3
276070112,4,1,3,3,3,3,4
276070113,4,3,4,4,4,4,4
276070114,3,4,4,4,4,4,4
276070115,2,3,3,2,4,4,4
276070116,4,3,4,4,4,4,4
276070117,4,4,4,4,4,4,4
276070118,3,3,3,3,3,3,3
276070119,3,4,4,4,4,4,4
