D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
276070001,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070002,2.0,3.0,3.0,2.0,2.0,2.0,2.0
276070003,3.0,3.0,4.0,3.0,4.0,4.0,4.0
276070004,3.0,3.0,4.0,3.0,4.0,4.0,4.0
276070005,3.0,2.0,3.0,2.0,2.0,2.0,3.0
276070006,4.0,3.0,4.0,2.0,4.0,3.0,3.0
276070007,2.0,4.0,4.0,4.0,4.0,4.0,4.0
276070008,2.0,2.0,3.0,2.0,-1.0,2.0,-1.0
276070009,-1.0,4.0,-1.0,4.0,-1.0,2.0,-1.0
276070010,3.0,2.0,4.0,3.0,4.0,4.0,3.0
276070011,4.0,3.0,4.0,3.0,-1.0,3.0,3.0
276070012,3.0,3.0,4.0,4.0,-1.0,4.0,4.0
276070013,4.0,1.0,4.0,3.0,3.0,2.0,4.0
276070014,-2.0,4.0,4.0,4.0,4.0,4.0,4.0
276070015,4.0,3.0,4.0,4.0,4.0,3.0,3.0
276070016,4.0,2.0,4.0,2.0,3.0,3.0,4.0
276070017,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070018,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070019,3.0,2.0,3.0,3.0,1.0,1.0,3.0
276070020,4.0,4.0,4.0,4.0,4.0,4.0,3.0
276070021,4.0,4.0,3.0,4.0,4.0,4.0,4.0
276070022,4.0,4.0,4.0,4.0,1.0,4.0,4.0
276070023,-1.0,2.0,4.0,3.0,4.0,3.0,4.0
276070024,3.0,2.0,3.0,1.0,4.0,2.0,-1.0
276070025,4.0,3.0,4.0,3.0,4.0,4.0,4.0
276070026,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070027,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070028,3.0,3.0,4.0,2.0,4.0,4.0,4.0
276070029,4.0,2.0,4.0,3.0,4.0,4.0,4.0
276070030,4.0,2.0,2.0,2.0,4.0,1.0,1.0
276070031,4.0,3.0,4.0,4.0,4.0,3.0,4.0
276070032,3.0,4.0,4.0,4.0,4.0,4.0,4.0
276070033,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070034,-1.0,3.0,-1.0,3.0,-1.0,3.0,3.0
276070035,3.0,3.0,4.0,3.0,-1.0,3.0,3.0
276070036,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070037,3.0,3.0,4.0,4.0,4.0,4.0,4.0
276070038,4.0,3.0,4.0,3.0,4.0,3.0,4.0
276070039,3.0,3.0,4.0,4.0,4.0,4.0,4.0
276070040,-1.0,2.0,3.0,2.0,3.0,3.0,3.0
276070041,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070042,4.0,3.0,4.0,4.0,4.0,3.0,3.0
276070043,4.0,3.0,4.0,3.0,4.0,4.0,4.0
276070044,1.0,4.0,4.0,4.0,4.0,4.0,4.0
276070045,4.0,2.0,1.0,2.0,1.0,1.0,3.0
276070046,4.0,2.0,3.0,2.0,4.0,3.0,4.0
276070047,4.0,4.0,4.0,-1.0,4.0,4.0,3.0
276070048,4.0,3.0,4.0,4.0,3.0,4.0,4.0
276070049,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070050,4.0,4.0,4.0,4.0,4.0,3.0,4.0
276070051,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070052,2.0,3.0,4.0,4.0,4.0,3.0,4.0
276070053,3.0,3.0,4.0,4.0,4.0,4.0,4.0
276070054,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070055,3.0,4.0,3.0,4.0,4.0,4.0,4.0
276070056,4.0,1.0,3.0,2.0,-1.0,1.0,3.0
276070057,4.0,2.0,4.0,3.0,3.0,3.0,4.0
276070058,3.0,3.0,3.0,3.0,4.0,3.0,3.0
276070059,3.0,3.0,4.0,4.0,4.0,2.0,4.0
276070060,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
276070061,2.0,1.0,4.0,3.0,3.0,3.0,3.0
276070062,4.0,2.0,3.0,2.0,3.0,3.0,3.0
276070063,3.0,2.0,4.0,2.0,3.0,3.0,3.0
276070064,3.0,3.0,4.0,4.0,4.0,4.0,4.0
276070065,3.0,1.0,4.0,3.0,3.0,3.0,-1.0
276070066,3.0,2.0,3.0,3.0,3.0,2.0,3.0
276070067,3.0,3.0,4.0,3.0,3.0,3.0,3.0
276070068,3.0,3.0,3.0,3.0,3.0,4.0,4.0
276070069,-1.0,3.0,4.0,1.0,-1.0,3.0,2.0
276070070,3.0,2.0,4.0,4.0,4.0,4.0,4.0
276070071,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070072,4.0,4.0,3.0,3.0,4.0,4.0,4.0
276070073,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070074,4.0,4.0,4.0,3.0,3.0,3.0,3.0
276070075,4.0,3.0,4.0,3.0,4.0,4.0,4.0
276070076,3.0,3.0,3.0,3.0,4.0,4.0,4.0
276070077,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070078,4.0,3.0,4.0,-1.0,4.0,4.0,4.0
276070079,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070080,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070081,3.0,2.0,4.0,4.0,2.0,3.0,4.0
276070082,4.0,3.0,3.0,3.0,4.0,3.0,4.0
276070083,3.0,3.0,4.0,2.0,4.0,4.0,3.0
276070084,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070085,2.0,3.0,4.0,2.0,4.0,3.0,3.0
276070086,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070087,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070088,3.0,1.0,2.0,3.0,2.0,2.0,2.0
276070089,3.0,1.0,4.0,3.0,3.0,2.0,3.0
276070090,2.0,1.0,4.0,2.0,1.0,2.0,2.0
276070091,4.0,2.0,4.0,2.0,4.0,4.0,4.0
276070092,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070093,3.0,3.0,3.0,3.0,3.0,3.0,3.0
276070094,4.0,2.0,4.0,3.0,4.0,3.0,4.0
276070095,3.0,3.0,3.0,3.0,3.0,3.0,3.0
276070096,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070097,3.0,3.0,3.0,2.0,2.0,2.0,3.0
276070098,3.0,2.0,4.0,-1.0,-1.0,2.0,-1.0
276070099,4.0,2.0,4.0,3.0,4.0,3.0,4.0
276070100,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070101,4.0,2.0,4.0,4.0,4.0,3.0,4.0
276070102,4.0,3.0,3.0,4.0,4.0,4.0,4.0
276070103,4.0,3.0,2.0,4.0,4.0,4.0,4.0
276070104,4.0,4.0,4.0,3.0,3.0,3.0,-1.0
276070105,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070106,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070107,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070108,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070109,3.0,3.0,2.0,3.0,3.0,3.0,3.0
276070110,4.0,4.0,4.0,2.0,4.0,4.0,4.0
276070111,3.0,3.0,3.0,3.0,2.0,3.0,3.0
276070112,4.0,1.0,3.0,3.0,3.0,3.0,4.0
276070113,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070114,3.0,4.0,4.0,4.0,4.0,4.0,4.0
276070115,2.0,3.0,3.0,2.0,4.0,4.0,4.0
276070116,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070117,4.0,4.0,4.0,4.0,4.0,4.0,4.0
276070118,3.0,3.0,3.0,3.0,3.0,3.0,3.0
276070119,3.0,4.0,4.0,4.0,4.0,4.0,4.0
276070120,2.0,3.0,3.0,2.0,-1.0,4.0,3.0
276070121,4.0,3.0,4.0,4.0,4.0,4.0,4.0
276070122,3.0,3.0,4.0,-1.0,4.0,4.0,4.0
