D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
300070001,1,4,4,4,4,4,4
300070002,1,4,4,4,2,4,4
300070003,1,3,4,2,3,4,4
300070004,2,4,4,4,4,4,4
300070005,3,3,4,4,3,4,3
300070006,2,3,4,-1,3,4,4
300070007,4,4,4,4,4,4,4
300070008,4,4,4,3,4,4,4
300070009,3,4,4,4,4,4,4
300070010,4,4,3,3,-1,4,4
300070011,3,2,4,4,4,4,4
300070012,2,3,4,4,4,4,4
300070013,2,3,4,2,3,4,3
300070014,4,3,4,4,4,4,4
300070015,3,3,4,4,4,4,3
300070016,4,4,4,4,4,4,4
300070017,3,4,4,4,3,4,4
300070018,2,3,4,4,4,4,4
300070019,2,3,3,4,4,4,4
300070020,4,3,-2,3,-2,3,-2
300070021,2,4,4,4,4,4,4
300070022,1,3,4,-1,-1,3,4
300070023,3,-1,4,3,-1,4,-1
300070024,4,4,2,3,4,4,4
300070025,3,2,4,2,4,3,3
300070026,4,3,4,4,4,4,4
300070027,4,3,3,2,-1,3,-1
300070028,3,3,4,3,-1,4,-1
300070029,-1,4,4,4,4,4,4
300070030,-1,4,4,-1,-1,4,-1
300070031,2,3,4,3,1,4,4
300070032,1,1,4,1,1,2,2
300070033,3,3,4,3,2,4,3
300070034,2,4,4,3,2,4,3
300070035,1,1,4,2,1,3,3
300070036,2,4,4,4,2,4,4
300070037,2,3,4,3,2,3,3
300070038,3,4,4,3,2,4,4
300070039,2,1,4,1,1,3,1
300070040,3,2,4,2,2,4,4
300070041,3,2,4,2,2,2,3
300070042,4,3,4,4,4,3,2
300070043,3,3,4,2,3,4,4
300070044,2,2,3,2,2,2,2
300070045,-1,2,-1,4,-1,-1,4
300070046,2,3,3,3,2,3,3
300070047,4,3,-1,4,4,4,4
300070048,-1,3,3,4,-1,3,3
300070049,3,3,3,2,3,3,3
300070050,3,3,4,3,3,3,3
300070051,2,1,4,4,1,2,2
300070052,1,1,2,1,1,4,4
300070053,2,1,4,1,1,2,-1
300070054,-1,3,-1,4,2,3,4
300070055,3,2,4,3,2,3,3
300070056,2,2,4,4,2,2,4
300070057,4,3,4,2,3,2,4
300070058,4,2,-1,2,-1,3,4
300070059,2,3,4,4,3,3,4
300070060,2,2,4,3,3,3,4
300070061,3,3,4,4,2,4,4
300070062,2,2,4,3,2,3,4
300070063,1,2,4,4,2,4,4
300070064,3,2,4,4,3,4,4
300070065,4,4,4,3,2,4,4
300070066,2,3,4,3,3,4,4
300070067,2,2,4,2,2,2,3
300070068,2,3,4,3,3,3,4
300070069,2,3,4,3,2,3,4
300070070,2,3,4,3,2,3,4
300070071,2,4,4,4,4,4,4
300070072,3,4,4,4,4,4,4
300070073,-1,4,4,4,4,4,4
300070074,1,4,4,4,4,4,4
300070075,4,-1,4,4,4,4,4
300070076,3,4,4,3,4,4,4
300070077,3,4,4,-1,-1,4,-1
300070078,3,4,4,4,4,4,4
300070079,1,3,4,4,4,4,4
300070080,1,3,4,3,3,4,-1
300070081,3,4,4,4,4,4,4
300070082,3,4,4,3,4,3,3
300070083,3,3,3,3,3,4,3
300070084,3,4,4,3,3,4,4
300070085,3,4,4,3,3,4,4
300070086,3,3,4,3,4,4,4
300070087,2,3,4,3,4,4,4
300070088,2,3,4,4,4,4,4
300070089,3,4,3,3,3,3,1
300070090,2,3,4,4,4,4,4
300070091,-1,-1,4,2,4,4,4
300070092,3,4,4,3,4,4,4
300070093,3,-2,4,3,3,3,3
300070094,3,3,4,3,4,4,3
300070095,3,3,4,2,4,4,4
300070096,3,3,4,2,3,3,4
300070097,4,3,4,3,4,4,4
300070098,3,3,4,2,3,4,4
300070099,2,3,4,3,3,4,4
300070100,4,3,4,3,4,4,4
300070101,3,4,4,4,3,4,4
300070102,3,3,3,4,3,4,3
300070103,3,4,4,4,3,3,2
300070104,2,2,4,4,2,2,2
300070105,4,4,4,4,4,4,4
300070106,4,4,4,4,4,4,4
300070107,3,4,4,4,3,4,4
300070108,3,3,4,4,3,4,4
300070109,3,4,4,4,3,4,4
300070110,4,4,4,4,4,4,4
300070111,3,3,4,3,-1,3,-1
300070112,3,4,4,3,-1,3,-1
300070113,3,4,4,4,4,4,4
300070114,3,4,4,4,4,4,4
300070115,2,2,4,4,3,3,3
300070116,2,-1,4,4,4,4,4
300070117,3,3,3,4,4,4,4
300070118,3,4,4,4,4,4,4
300070119,3,3,3,3,2,2,2
300070120,4,-1,4,4,4,4,4
300070121,3,3,4,4,4,4,4
300070122,4,4,4,4,4,4,4
300070123,4,4,4,4,4,4,4
300070124,4,4,4,4,4,4,4
300070125,2,4,4,4,4,4,3
300070126,2,4,4,4,4,4,4
300070127,3,4,4,3,4,4,4
300070128,3,4,4,3,4,4,4
300070129,3,4,4,4,4,4,4
300070130,3,3,4,3,4,3,4
300070131,2,4,4,3,4,4,3
300070132,3,3,4,3,3,3,3
300070133,2,4,4,4,4,4,4
300070134,2,2,4,4,4,4,3
300070135,2,3,4,3,3,3,3
300070136,3,4,4,3,3,4,3
300070137,2,3,4,3,3,4,3
300070138,3,4,4,4,3,4,3
300070139,3,4,4,4,4,4,3
300070140,2,3,4,3,4,4,4
300070141,3,4,4,3,2,3,3
300070142,3,3,4,3,3,4,3
300070143,2,-1,4,4,-1,4,4
300070144,3,3,4,3,3,3,3
300070145,2,4,4,3,3,4,4
300070146,2,3,4,3,3,4,3
300070147,2,4,4,4,4,4,2
300070148,3,4,4,3,3,4,4
300070149,3,4,4,3,4,4,4
300070150,2,4,4,3,3,4,4
300070151,2,2,4,2,2,3,3
300070152,1,1,3,2,1,2,1
300070153,2,2,3,3,1,2,3
300070154,2,2,4,2,2,3,3
300070155,1,1,4,3,1,1,1
300070156,1,1,4,2,1,1,-2
300070157,1,1,4,2,1,1,2
300070158,1,1,4,1,1,1,3
300070159,3,3,3,2,3,3,-2
300070160,1,1,3,1,1,1,2
300070161,3,4,4,-1,4,4,3
300070162,3,4,4,3,4,4,2
300070163,2,4,4,4,4,4,4
300070164,4,4,4,4,4,4,4
300070165,2,4,4,4,4,4,4
300070166,2,4,4,3,4,4,4
300070167,3,4,4,2,2,4,3
300070168,3,4,4,4,3,4,4
300070169,3,3,4,4,4,4,-1
300070170,3,4,4,3,4,4,2
300070171,2,4,4,-1,4,4,-1
300070172,2,4,4,4,-1,4,3
300070173,2,4,4,4,4,4,4
300070174,2,3,4,4,-1,-1,-1
300070175,3,4,4,4,4,4,4
300070176,3,2,4,4,4,4,4
300070177,3,3,4,4,4,4,4
300070178,3,3,4,4,4,4,4
300070179,3,4,4,4,4,4,-1
300070180,1,4,4,4,3,4,4
300070181,3,4,4,4,4,4,4
300070182,3,3,4,3,4,3,3
300070183,2,3,4,3,3,4,4
300070184,3,4,4,4,4,4,4
300070185,2,3,4,3,3,4,3
300070186,3,3,4,3,3,4,4
300070187,2,3,4,4,3,4,4
300070188,2,4,4,4,4,4,4
300070189,2,4,4,3,3,4,3
300070190,3,3,4,3,3,4,4
300070191,3,4,4,4,3,4,4
300070192,3,4,4,4,3,4,4
300070193,3,4,4,4,4,4,4
300070194,2,3,4,4,3,4,4
300070195,3,4,4,3,4,4,4
300070196,4,4,4,4,4,4,4
300070197,2,3,4,4,3,4,4
300070198,3,4,4,4,3,4,4
300070199,2,3,4,4,4,4,4
300070200,3,4,3,3,3,4,4
300070201,1,3,4,4,2,3,3
300070202,2,2,4,1,3,2,3
300070203,1,1,3,1,1,1,1
300070204,1,1,4,3,1,1,-1
300070205,1,1,4,4,1,1,3
300070206,-1,-1,4,3,-1,-1,-1
300070207,2,3,4,3,3,3,3
300070208,2,2,4,1,2,3,3
300070209,1,1,3,2,2,3,3
300070210,2,1,4,1,2,2,2
300070211,1,1,3,2,1,1,1
300070212,1,1,4,1,1,1,2
300070213,2,1,4,1,2,3,3
300070214,1,1,4,3,1,1,1
300070215,1,1,3,1,1,2,2
300070216,1,2,3,1,2,3,4
300070217,1,2,2,1,1,1,1
300070218,1,-1,3,3,2,3,3
300070219,2,3,3,2,2,2,3
300070220,1,1,3,2,1,1,2
300070221,1,1,2,2,1,1,1
300070222,2,2,4,2,2,3,3
300070223,1,1,3,1,1,1,2
300070224,1,1,3,1,1,1,1
300070225,2,3,3,3,2,2,2
300070226,1,2,3,2,1,2,-2
300070227,1,2,3,2,1,1,1
300070228,1,2,2,3,1,1,2
300070229,2,2,4,2,2,2,3
300070230,1,1,3,2,1,1,1
300070231,1,2,2,1,1,1,2
300070232,1,1,3,3,2,2,3
300070233,1,1,2,1,1,2,1
300070234,1,1,2,1,1,1,1
300070235,1,2,3,3,2,2,2
300070236,1,2,2,1,1,2,2
300070237,1,1,3,2,1,3,1
300070238,2,1,3,2,1,2,1
300070239,1,1,1,3,1,1,2
300070240,2,3,3,2,2,2,3
300070241,4,4,4,4,4,4,4
300070242,2,3,4,3,4,4,4
300070243,3,4,4,4,4,4,-1
300070244,3,3,4,2,3,4,3
300070245,4,4,4,4,4,4,4
300070246,2,2,4,3,3,4,4
300070247,3,3,4,4,2,3,3
300070248,2,3,4,4,4,4,4
300070249,2,3,4,4,3,3,4
300070250,3,3,4,3,4,4,-1
300070251,3,3,4,2,3,4,4
300070252,2,4,4,2,4,4,4
300070253,3,3,4,2,3,4,4
300070254,2,4,4,4,4,4,4
