D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
300070001,1.0,4.0,4.0,4.0,4.0,4.0,4.0
300070002,1.0,4.0,4.0,4.0,2.0,4.0,4.0
300070003,1.0,3.0,4.0,2.0,3.0,4.0,4.0
300070004,2.0,4.0,4.0,4.0,4.0,4.0,4.0
300070005,3.0,3.0,4.0,4.0,3.0,4.0,3.0
300070006,2.0,3.0,4.0,-1.0,3.0,4.0,4.0
300070007,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070008,4.0,4.0,4.0,3.0,4.0,4.0,4.0
300070009,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070010,4.0,4.0,3.0,3.0,-1.0,4.0,4.0
300070011,3.0,2.0,4.0,4.0,4.0,4.0,4.0
300070012,2.0,3.0,4.0,4.0,4.0,4.0,4.0
300070013,2.0,3.0,4.0,2.0,3.0,4.0,3.0
300070014,4.0,3.0,4.0,4.0,4.0,4.0,4.0
300070015,3.0,3.0,4.0,4.0,4.0,4.0,3.0
300070016,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070017,3.0,4.0,4.0,4.0,3.0,4.0,4.0
300070018,2.0,3.0,4.0,4.0,4.0,4.0,4.0
300070019,2.0,3.0,3.0,4.0,4.0,4.0,4.0
300070020,4.0,3.0,-2.0,3.0,-2.0,3.0,-2.0
300070021,2.0,4.0,4.0,4.0,4.0,4.0,4.0
300070022,1.0,3.0,4.0,-1.0,-1.0,3.0,4.0
300070023,3.0,-1.0,4.0,3.0,-1.0,4.0,-1.0
300070024,4.0,4.0,2.0,3.0,4.0,4.0,4.0
300070025,3.0,2.0,4.0,2.0,4.0,3.0,3.0
300070026,4.0,3.0,4.0,4.0,4.0,4.0,4.0
300070027,4.0,3.0,3.0,2.0,-1.0,3.0,-1.0
300070028,3.0,3.0,4.0,3.0,-1.0,4.0,-1.0
300070029,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
300070030,-1.0,4.0,4.0,-1.0,-1.0,4.0,-1.0
300070031,2.0,3.0,4.0,3.0,1.0,4.0,4.0
300070032,1.0,1.0,4.0,1.0,1.0,2.0,2.0
300070033,3.0,3.0,4.0,3.0,2.0,4.0,3.0
300070034,2.0,4.0,4.0,3.0,2.0,4.0,3.0
300070035,1.0,1.0,4.0,2.0,1.0,3.0,3.0
300070036,2.0,4.0,4.0,4.0,2.0,4.0,4.0
300070037,2.0,3.0,4.0,3.0,2.0,3.0,3.0
300070038,3.0,4.0,4.0,3.0,2.0,4.0,4.0
300070039,2.0,1.0,4.0,1.0,1.0,3.0,1.0
300070040,3.0,2.0,4.0,2.0,2.0,4.0,4.0
300070041,3.0,2.0,4.0,2.0,2.0,2.0,3.0
300070042,4.0,3.0,4.0,4.0,4.0,3.0,2.0
300070043,3.0,3.0,4.0,2.0,3.0,4.0,4.0
300070044,2.0,2.0,3.0,2.0,2.0,2.0,2.0
300070045,-1.0,2.0,-1.0,4.0,-1.0,-1.0,4.0
300070046,2.0,3.0,3.0,3.0,2.0,3.0,3.0
300070047,4.0,3.0,-1.0,4.0,4.0,4.0,4.0
300070048,-1.0,3.0,3.0,4.0,-1.0,3.0,3.0
300070049,3.0,3.0,3.0,2.0,3.0,3.0,3.0
300070050,3.0,3.0,4.0,3.0,3.0,3.0,3.0
300070051,2.0,1.0,4.0,4.0,1.0,2.0,2.0
300070052,1.0,1.0,2.0,1.0,1.0,4.0,4.0
300070053,2.0,1.0,4.0,1.0,1.0,2.0,-1.0
300070054,-1.0,3.0,-1.0,4.0,2.0,3.0,4.0
300070055,3.0,2.0,4.0,3.0,2.0,3.0,3.0
300070056,2.0,2.0,4.0,4.0,2.0,2.0,4.0
300070057,4.0,3.0,4.0,2.0,3.0,2.0,4.0
300070058,4.0,2.0,-1.0,2.0,-1.0,3.0,4.0
300070059,2.0,3.0,4.0,4.0,3.0,3.0,4.0
300070060,2.0,2.0,4.0,3.0,3.0,3.0,4.0
300070061,3.0,3.0,4.0,4.0,2.0,4.0,4.0
300070062,2.0,2.0,4.0,3.0,2.0,3.0,4.0
300070063,1.0,2.0,4.0,4.0,2.0,4.0,4.0
300070064,3.0,2.0,4.0,4.0,3.0,4.0,4.0
300070065,4.0,4.0,4.0,3.0,2.0,4.0,4.0
300070066,2.0,3.0,4.0,3.0,3.0,4.0,4.0
300070067,2.0,2.0,4.0,2.0,2.0,2.0,3.0
300070068,2.0,3.0,4.0,3.0,3.0,3.0,4.0
300070069,2.0,3.0,4.0,3.0,2.0,3.0,4.0
300070070,2.0,3.0,4.0,3.0,2.0,3.0,4.0
300070071,2.0,4.0,4.0,4.0,4.0,4.0,4.0
300070072,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070073,-1.0,4.0,4.0,4.0,4.0,4.0,4.0
300070074,1.0,4.0,4.0,4.0,4.0,4.0,4.0
300070075,4.0,-1.0,4.0,4.0,4.0,4.0,4.0
300070076,3.0,4.0,4.0,3.0,4.0,4.0,4.0
300070077,3.0,4.0,4.0,-1.0,-1.0,4.0,-1.0
300070078,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070079,1.0,3.0,4.0,4.0,4.0,4.0,4.0
300070080,1.0,3.0,4.0,3.0,3.0,4.0,-1.0
300070081,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070082,3.0,4.0,4.0,3.0,4.0,3.0,3.0
300070083,3.0,3.0,3.0,3.0,3.0,4.0,3.0
300070084,3.0,4.0,4.0,3.0,3.0,4.0,4.0
300070085,3.0,4.0,4.0,3.0,3.0,4.0,4.0
300070086,3.0,3.0,4.0,3.0,4.0,4.0,4.0
300070087,2.0,3.0,4.0,3.0,4.0,4.0,4.0
300070088,2.0,3.0,4.0,4.0,4.0,4.0,4.0
300070089,3.0,4.0,3.0,3.0,3.0,3.0,1.0
300070090,2.0,3.0,4.0,4.0,4.0,4.0,4.0
300070091,-1.0,-1.0,4.0,2.0,4.0,4.0,4.0
300070092,3.0,4.0,4.0,3.0,4.0,4.0,4.0
300070093,3.0,-2.0,4.0,3.0,3.0,3.0,3.0
300070094,3.0,3.0,4.0,3.0,4.0,4.0,3.0
300070095,3.0,3.0,4.0,2.0,4.0,4.0,4.0
300070096,3.0,3.0,4.0,2.0,3.0,3.0,4.0
300070097,4.0,3.0,4.0,3.0,4.0,4.0,4.0
300070098,3.0,3.0,4.0,2.0,3.0,4.0,4.0
300070099,2.0,3.0,4.0,3.0,3.0,4.0,4.0
300070100,4.0,3.0,4.0,3.0,4.0,4.0,4.0
300070101,3.0,4.0,4.0,4.0,3.0,4.0,4.0
300070102,3.0,3.0,3.0,4.0,3.0,4.0,3.0
300070103,3.0,4.0,4.0,4.0,3.0,3.0,2.0
300070104,2.0,2.0,4.0,4.0,2.0,2.0,2.0
300070105,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070106,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070107,3.0,4.0,4.0,4.0,3.0,4.0,4.0
300070108,3.0,3.0,4.0,4.0,3.0,4.0,4.0
300070109,3.0,4.0,4.0,4.0,3.0,4.0,4.0
300070110,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070111,3.0,3.0,4.0,3.0,-1.0,3.0,-1.0
300070112,3.0,4.0,4.0,3.0,-1.0,3.0,-1.0
300070113,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070114,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070115,2.0,2.0,4.0,4.0,3.0,3.0,3.0
300070116,2.0,-1.0,4.0,4.0,4.0,4.0,4.0
300070117,3.0,3.0,3.0,4.0,4.0,4.0,4.0
300070118,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070119,3.0,3.0,3.0,3.0,2.0,2.0,2.0
300070120,4.0,-1.0,4.0,4.0,4.0,4.0,4.0
300070121,3.0,3.0,4.0,4.0,4.0,4.0,4.0
300070122,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070123,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070124,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070125,2.0,4.0,4.0,4.0,4.0,4.0,3.0
300070126,2.0,4.0,4.0,4.0,4.0,4.0,4.0
300070127,3.0,4.0,4.0,3.0,4.0,4.0,4.0
300070128,3.0,4.0,4.0,3.0,4.0,4.0,4.0
300070129,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300070130,3.0,3.0,4.0,3.0,4.0,3.0,4.0
300070131,2.0,4.0,4.0,3.0,4.0,4.0,3.0
