D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
458070001,4,4,4,4,4,4,4
458070002,3,4,4,4,4,4,4
458070003,4,4,4,4,4,4,4
458070004,2,1,4,3,2,3,3
458070005,4,3,3,3,4,3,3
458070006,1,1,2,2,1,2,2
458070007,2,2,1,3,2,3,2
458070008,3,3,4,4,4,4,4
458070009,4,4,4,4,4,4,4
458070010,3,2,3,3,3,2,3
458070011,3,3,3,3,2,3,3
458070012,2,2,2,4,4,4,3
458070013,4,3,4,4,4,4,4
458070014,3,2,4,4,4,4,4
458070015,4,3,4,3,4,3,4
458070016,3,3,3,3,3,3,3
458070017,3,3,4,2,3,3,3
458070018,3,3,3,3,3,3,3
458070019,4,4,4,4,3,4,4
458070020,4,3,3,4,2,3,3
458070021,3,3,4,4,3,3,4
458070022,3,2,3,4,1,2,3
458070023,3,4,4,4,2,2,4
458070024,4,4,4,4,4,4,4
458070025,2,3,4,4,2,2,4
458070026,4,4,4,4,3,3,4
458070027,4,4,4,4,4,4,4
458070028,3,3,4,3,2,3,4
458070029,4,2,4,4,4,3,4
458070030,3,1,2,3,3,1,1
458070031,3,4,4,4,4,4,4
458070032,2,2,2,2,2,3,2
458070033,3,4,4,4,4,4,4
458070034,4,4,4,4,3,4,4
458070035,4,4,4,4,3,4,4
458070036,3,2,3,3,2,3,3
458070037,4,4,4,4,3,4,4
458070038,4,4,4,4,3,4,4
458070039,4,4,4,4,4,4,4
458070040,4,4,4,4,4,4,4
458070041,4,4,4,4,4,4,4
458070042,3,4,4,4,2,4,4
458070043,2,2,2,2,2,2,2
458070044,3,3,3,3,3,3,3
458070045,3,3,4,4,2,4,4
458070046,4,3,3,3,4,3,4
458070047,4,3,4,4,3,3,4
458070048,1,1,2,1,1,1,1
458070049,4,4,4,4,4,4,4
458070050,4,4,4,4,3,4,4
458070051,4,3,4,3,3,3,4
458070052,4,4,4,4,3,4,4
458070053,3,3,4,4,3,3,3
458070054,2,2,4,4,2,4,4
458070055,4,4,4,4,3,4,4
458070056,2,1,4,3,1,2,1
458070057,3,2,4,4,2,4,4
458070058,4,4,4,4,4,4,4
458070059,3,3,4,4,1,3,3
458070060,3,4,3,4,3,4,4
458070061,4,4,4,4,4,4,4
458070062,4,4,4,4,4,4,4
458070063,4,4,4,4,4,4,4
458070064,2,1,4,3,1,1,1
458070065,2,2,2,2,2,2,2
458070066,2,3,3,3,4,2,2
458070067,1,1,1,1,1,1,1
